Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,71.75,71.98,71.36,71.56,4760000,0.0,0
2019-02-06,71.31,71.85,71.12,71.28,4993800,0.0,0
2019-02-07,73.4,74.22,71.52,72.43,6972400,0.0,0
2019-02-08,72.68,75.54,72.12,75.5,12070200,0.0,0
2019-02-11,75.1,75.55,74.5,74.62,7012000,0.0,0
2019-02-12,74.76,76.33,74.55,76.08,6144800,0.0,0
2019-02-13,76.42,76.77,76.04,76.75,5248700,0.0,0
2019-02-14,76.57,77.88,76.48,77.26,5625500,0.0,0
2019-02-15,78.16,78.88,77.59,78.78,6435100,0.0,0
2019-02-19,78.85,79.01,78.0,78.72,5307100,0.0,0
2019-02-20,78.8,80.97,78.72,80.28,5633000,0.0,0
2019-02-21,80.28,81.01,79.79,80.79,5887200,0.0,0
2019-02-22,80.69,82.36,80.39,82.27,4317800,0.0,0
2019-02-25,82.51,82.79,81.72,81.75,5020100,0.0,0
2019-02-26,81.47,82.57,81.37,81.66,4756200,0.0,0
2019-02-27,82.39,82.69,81.87,82.38,4669900,0.0,0
2019-02-28,82.38,82.64,81.9,82.07,4290100,0.0,0
2019-03-01,82.52,82.79,81.89,82.61,4379100,0.0,0
2019-03-04,82.88,83.07,81.8,82.39,3711700,0.0,0
2019-03-05,81.96,82.77,81.69,82.11,5547100,0.0,0
2019-03-06,82.11,82.48,81.54,82.14,4938400,0.0,0
2019-03-07,82.19,82.26,81.55,82.1,4802400,0.0,0
2019-03-08,82.04,83.04,81.9,82.55,3865500,0.0,0
2019-03-11,82.7,84.49,82.7,84.24,6022500,0.0,0
2019-03-12,84.49,85.21,83.52,83.82,5669800,0.0,0
2019-03-13,83.91,84.76,83.62,84.49,4468900,0.0,0
2019-03-14,84.14,84.87,83.98,84.76,4534700,0.0,0
2019-03-15,84.54,86.2,84.39,85.76,12348400,0.0,0
2019-03-18,86.13,86.18,85.49,85.65,5948500,0.0,0
2019-03-19,85.65,86.42,85.1,85.43,6075400,0.0,0
2019-03-20,85.24,85.92,84.83,85.66,5253800,0.0,0
2019-03-21,85.28,86.86,85.17,86.76,4262600,0.0,0
2019-03-22,86.53,87.54,86.02,86.06,5980000,0.0,0
2019-03-25,85.58,85.83,84.28,84.38,7938800,1.14,0
2019-03-26,84.7,85.5,84.39,84.69,5925700,0.0,0
2019-03-27,84.38,84.7,82.16,83.19,6483200,0.0,0
2019-03-28,83.17,84.1,83.06,83.43,5840000,0.0,0
2019-03-29,83.62,84.61,83.24,84.49,6314000,0.0,0
2019-04-01,84.48,84.91,84.06,84.31,4249600,0.0,0
2019-04-02,84.74,85.16,83.87,84.13,3995200,0.0,0
2019-04-03,83.68,83.99,81.43,82.03,7540300,0.0,0
2019-04-04,82.3,82.88,82.16,82.28,4672800,0.0,0
2019-04-05,82.31,82.45,81.17,81.67,5495000,0.0,0
2019-04-08,81.99,82.05,81.22,81.55,4439100,0.0,0
2019-04-09,81.47,82.25,81.34,82.06,3898900,0.0,0
2019-04-10,81.75,82.25,81.65,81.93,2855400,0.0,0
2019-04-11,81.98,82.21,81.7,81.74,3893400,0.0,0
2019-04-12,82.21,82.25,81.59,81.99,4652900,0.0,0
2019-04-15,82.31,82.87,82.08,82.39,3491300,0.0,0
2019-04-16,82.44,82.84,82.06,82.41,4544800,0.0,0
2019-04-17,82.61,82.69,81.4,81.71,4675700,0.0,0
2019-04-18,81.87,83.6,78.99,80.77,7765400,0.0,0
2019-04-22,80.43,81.63,80.21,80.58,3530300,0.0,0
2019-04-23,80.68,81.32,80.22,81.17,6397600,0.0,0
2019-04-24,81.0,81.09,79.5,80.73,4716500,0.0,0
2019-04-25,79.77,80.2,78.82,79.91,5241400,0.0,0
2019-04-26,80.24,81.38,80.19,81.02,3930300,0.0,0
2019-04-29,80.94,81.54,80.67,81.16,4416700,0.0,0
2019-04-30,81.09,83.67,80.84,82.75,5640300,0.0,0
2019-05-01,83.21,83.29,81.9,82.0,3655700,0.0,0
2019-05-02,81.66,82.91,80.98,81.18,2852800,0.0,0
2019-05-03,81.74,82.16,81.18,81.92,2738800,0.0,0
2019-05-06,81.46,82.1,80.74,81.37,3307900,0.0,0
2019-05-07,80.88,81.1,79.37,80.71,4804400,0.0,0
2019-05-08,80.51,80.82,79.69,80.12,3224000,0.0,0
2019-05-09,79.71,80.52,79.03,80.23,3503200,0.0,0
2019-05-10,79.76,81.07,78.96,80.81,3318400,0.0,0
2019-05-13,80.15,80.18,79.47,80.01,2491200,0.0,0
2019-05-14,79.62,81.5,79.41,80.38,3157100,0.0,0
2019-05-15,80.05,81.81,79.83,81.58,3223700,0.0,0
2019-05-16,81.59,82.3,81.2,81.74,2928000,0.0,0
2019-05-17,81.96,83.36,81.14,82.98,3886200,0.0,0
2019-05-20,82.75,83.71,81.94,82.43,3131300,0.0,0
2019-05-21,82.64,82.88,81.86,81.98,3165300,0.0,0
2019-05-22,81.61,82.17,81.0,81.72,2886000,0.0,0
2019-05-23,81.72,82.48,81.6,82.44,2814700,0.0,0
2019-05-24,82.42,82.42,80.14,80.91,3283900,0.0,0
2019-05-28,80.32,80.32,77.35,77.96,8499900,0.0,0
2019-05-29,77.18,78.12,77.14,77.56,4282100,0.0,0
