Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,80.72,82.71,80.72,81.72,505400,0,0
2019-02-06,81.73,82.13,79.84,81.43,643200,0,0
2019-02-07,80.74,81.77,80.24,81.32,337300,0,0
2019-02-08,80.88,82.75,80.69,81.97,370800,0,0
2019-02-11,82.35,84.03,82.16,82.85,500300,0,0
2019-02-12,83.54,85.44,80.68,84.35,468100,0,0
2019-02-13,84.71,85.14,82.59,84.96,533800,0,0
2019-02-14,84.42,85.44,83.15,84.83,549100,0,0
2019-02-15,85.12,88.61,84.12,88.46,623000,0,0
2019-02-19,88.46,88.83,87.12,87.63,707000,0,0
2019-02-20,87.62,87.77,85.5,85.84,655300,0,0
2019-02-21,85.2,85.77,84.0,85.23,514800,0,0
2019-02-22,85.89,87.91,84.47,87.6,587900,0,0
2019-02-25,88.57,90.2,87.7,89.92,1332300,0,0
2019-02-26,93.42,93.42,88.06,92.11,1939300,0,0
2019-02-27,92.01,93.73,91.43,93.52,1322600,0,0
2019-02-28,93.49,95.63,92.97,93.91,647000,0,0
2019-03-01,94.2,95.61,93.35,94.35,727200,0,0
2019-03-04,94.65,94.79,91.03,92.51,479500,0,0
2019-03-05,92.41,96.66,92.02,93.86,855000,0,0
2019-03-06,92.64,93.67,91.12,92.13,570700,0,0
2019-03-07,92.28,94.37,91.47,93.08,903100,0,0
2019-03-08,92.77,93.01,90.0,92.03,394300,0,0
2019-03-11,91.96,94.05,91.37,93.97,451900,0,0
2019-03-12,94.29,96.26,93.58,95.88,620400,0,0
2019-03-13,95.97,96.53,95.28,95.73,510600,0,0
2019-03-14,95.21,96.46,94.85,95.96,481500,0,0
2019-03-15,96.4,98.65,95.92,98.04,707700,0,0
2019-03-18,98.5,99.0,96.01,97.47,577200,0,0
2019-03-19,97.85,98.97,96.54,98.83,465700,0,0
2019-03-20,99.0,100.37,97.4,99.47,542200,0,0
2019-03-21,98.99,101.94,98.99,101.87,835800,0,0
