Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,153.09,156.03,149.5,155.25,191000,0.0,0
2019-02-06,155.29,158.18,153.14,153.97,119700,0.0,0
2019-02-07,152.89,154.81,152.71,154.74,127400,0.0,0
2019-02-08,154.05,155.46,153.54,154.86,165300,0.0,0
2019-02-11,155.47,155.54,151.17,153.63,364200,0.0,0
2019-02-12,154.79,157.03,152.89,156.86,165000,0.0,0
2019-02-13,157.2,158.05,153.79,156.05,208300,0.0,0
2019-02-14,149.8,151.88,146.69,148.81,761800,0.0,0
2019-02-15,148.92,150.44,147.22,150.28,424500,0.0,0
2019-02-19,150.19,153.04,149.56,152.76,390000,0.0,0
2019-02-20,152.77,152.77,150.1,151.0,257300,0.0,0
2019-02-21,150.55,154.06,148.46,153.63,188800,0.0,0
2019-02-22,158.03,158.03,155.67,156.94,271600,0.0,0
2019-02-25,156.52,158.48,156.24,158.34,248600,0.0,0
2019-02-26,157.93,160.0,157.0,159.46,306800,0.0,0
2019-02-27,159.05,160.17,158.19,158.85,208200,0.0,0
2019-02-28,158.33,159.5,157.06,157.74,199100,0.0,0
2019-03-01,158.72,159.44,156.51,157.42,193700,0.0,0
2019-03-04,157.87,159.13,155.62,157.44,139600,0.0,0
2019-03-05,157.67,159.27,156.55,157.94,383200,0.0,0
2019-03-06,157.52,159.9,155.81,156.03,225100,0.0,0
2019-03-07,155.75,156.99,154.34,155.09,248100,0.0,0
2019-03-08,154.04,154.47,152.42,154.36,172300,0.0,0
2019-03-11,154.5,157.01,153.96,156.78,260000,0.0,0
2019-03-12,156.78,157.9,155.54,157.23,159000,0.0,0
2019-03-13,157.13,159.85,156.93,159.04,242600,0.45,0
2019-03-14,158.49,158.8,157.26,157.75,193600,0.0,0
2019-03-15,158.07,158.54,155.17,155.65,394700,0.0,0
2019-03-18,155.95,157.67,155.35,157.48,359100,0.0,0
2019-03-19,158.45,159.09,156.34,156.53,171800,0.0,0
2019-03-20,156.62,156.95,155.25,155.89,158100,0.0,0
2019-03-21,155.44,159.18,155.19,158.41,125800,0.0,0
2019-03-22,157.47,158.43,154.73,154.9,211900,0.0,0
2019-03-25,154.69,157.52,154.69,157.01,131100,0.0,0
2019-03-26,158.0,158.26,155.09,156.11,154000,0.0,0
2019-03-27,156.14,159.52,155.73,159.48,181000,0.0,0
2019-03-28,158.71,163.22,158.64,163.13,297700,0.0,0
2019-03-29,163.6,164.99,162.77,163.57,278300,0.0,0
2019-04-01,164.59,166.56,163.54,166.41,186300,0.0,0
2019-04-02,166.18,166.77,164.49,166.29,323700,0.0,0
2019-04-03,167.38,169.55,166.68,168.3,177700,0.0,0
2019-04-04,168.64,169.71,166.88,168.05,219100,0.0,0
2019-04-05,168.42,169.37,167.37,168.89,211200,0.0,0
2019-04-08,168.28,169.27,167.78,168.48,114100,0.0,0
2019-04-09,167.02,167.54,158.36,161.0,599200,0.0,0
2019-04-10,162.4,163.34,159.77,162.44,232300,0.0,0
2019-04-11,162.89,165.59,162.21,163.66,241900,0.0,0
2019-04-12,164.3,166.94,164.04,166.66,196700,0.0,0
2019-04-15,166.67,169.35,161.62,168.98,180800,0.0,0
2019-04-16,169.55,170.54,168.52,169.17,250900,0.0,0
2019-04-17,169.82,171.23,167.37,167.73,303100,0.0,0
2019-04-18,169.4,177.21,166.35,176.38,448500,0.0,0
2019-04-22,176.37,179.46,174.59,176.6,379600,0.0,0
2019-04-23,176.15,178.96,176.1,176.95,258500,0.0,0
2019-04-24,177.27,179.38,176.79,177.89,227100,0.0,0
2019-04-25,177.13,177.28,174.84,175.24,199500,0.0,0
2019-04-26,175.5,177.42,173.89,177.29,147900,0.0,0
2019-04-29,177.69,179.57,176.9,179.48,167300,0.0,0
2019-04-30,179.94,182.45,179.5,182.18,237700,0.0,0
2019-05-01,182.44,182.75,179.94,180.06,206700,0.0,0
2019-05-02,179.95,184.91,179.52,183.39,345500,0.0,0
2019-05-03,183.2,184.34,182.34,182.88,228500,0.0,0
2019-05-06,180.99,184.6,180.99,184.3,354100,0.0,0
2019-05-07,183.36,184.92,179.82,181.12,118000,0.0,0
2019-05-08,180.79,182.97,179.83,181.51,107900,0.0,0
2019-05-09,180.56,181.65,178.47,180.77,139000,0.0,0
2019-05-10,180.8,183.23,179.21,182.61,124300,0.0,0
2019-05-13,180.2,180.8,178.36,179.08,122600,0.0,0
2019-05-14,179.5,180.91,178.26,178.82,146100,0.0,0
2019-05-15,178.16,181.86,177.46,180.57,136400,0.0,0
2019-05-16,181.1,182.99,179.31,180.92,154100,0.55,0
2019-05-17,180.39,185.39,180.39,183.27,246000,0.0,0
2019-05-20,181.83,185.19,181.57,184.04,249700,0.0,0
2019-05-21,184.64,185.44,182.43,182.87,222700,0.0,0
2019-05-22,182.57,184.84,181.7,182.21,175900,0.0,0
2019-05-23,181.0,181.37,179.13,179.85,131200,0.0,0
2019-05-24,180.6,182.07,179.54,180.7,182400,0.0,0
2019-05-28,181.33,182.49,178.35,178.38,200800,0.0,0
2019-05-29,178.21,179.17,175.61,176.22,143400,0.0,0
2019-05-30,176.28,181.85,173.08,177.95,170500,0.0,0
2019-05-31,176.74,180.51,176.19,178.8,162100,0.0,0
2019-06-03,178.36,180.32,177.15,178.38,178500,0.0,0
