Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,20.18,20.28,20.01,20.24,684200,0,0
2019-02-06,20.2,20.27,20.03,20.14,607900,0,0
2019-02-07,19.85,20.11,19.3,20.08,1048200,0,0
2019-02-08,19.98,20.25,19.54,20.24,1078400,0,0
2019-02-11,20.25,20.43,20.07,20.4,1285200,0,0
2019-02-12,20.5,21.01,20.4,20.76,966000,0,0
2019-02-13,20.66,20.93,20.2,20.43,1573100,0,0
2019-02-14,19.96,20.55,19.36,19.49,2748800,0,0
2019-02-15,19.51,20.33,19.51,20.09,1554500,0,0
2019-02-19,20.05,20.1,19.64,19.88,1410400,0,0
2019-02-20,19.94,20.45,19.89,20.36,1466400,0,0
2019-02-21,20.32,20.33,19.98,20.31,853900,0,0
2019-02-22,20.11,20.25,19.79,20.08,642700,0,0
2019-02-25,20.07,20.18,19.85,20.0,878800,0,0
2019-02-26,20.03,20.38,19.73,19.77,999500,0,0
2019-02-27,19.7,19.76,19.34,19.68,895200,0,0
2019-02-28,19.7,19.81,19.41,19.67,799900,0,0
2019-03-01,19.77,19.95,19.53,19.82,831500,0,0
2019-03-04,19.82,19.91,19.48,19.75,512100,0,0
2019-03-05,19.4,20.1,19.4,19.9,761600,0,0
2019-03-06,19.89,20.0,19.61,19.78,594700,0,0
2019-03-07,19.76,20.15,19.72,19.94,1172900,0,0
2019-03-08,19.92,20.43,19.75,19.9,831800,0,0
2019-03-11,19.9,20.52,19.85,20.49,1638700,0,0
2019-03-12,20.5,20.64,20.28,20.44,1172600,0,0
2019-03-13,20.49,21.07,20.48,20.86,1222800,0,0
2019-03-14,20.86,20.92,20.66,20.89,842600,0,0
2019-03-15,20.95,21.3,20.83,20.94,1056100,0,0
2019-03-18,20.82,21.07,20.76,20.88,1090900,0,0
2019-03-19,20.95,20.97,20.64,20.69,754500,0,0
2019-03-20,20.69,20.8,20.42,20.61,1131100,0,0
2019-03-21,20.63,21.37,20.63,21.32,867600,0,0
2019-03-22,20.99,21.68,20.99,21.45,874700,0,0
2019-03-25,21.39,21.77,21.22,21.69,821200,0,0
2019-03-26,21.75,21.88,21.61,21.67,1162200,0,0
2019-03-27,21.69,21.81,21.36,21.65,582500,0,0
2019-03-28,21.62,22.08,21.62,22.06,601100,0,0
2019-03-29,22.1,22.32,21.92,22.29,836400,0,0
2019-04-01,22.31,22.52,21.87,22.1,1327300,0,0
2019-04-02,22.12,22.12,21.38,21.49,1066600,0,0
