Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-05-08,30.65,31.44,29.2,30.07,14793400,0,0
2019-05-09,29.64,30.3,29.03,30.1,1719300,0,0
2019-05-10,29.89,31.35,29.5,31.01,739700,0,0
2019-05-13,30.29,31.67,29.75,31.06,1040700,0,0
2019-05-14,31.1,32.6,31.02,31.75,2409100,0,0
2019-05-15,31.79,32.5,31.6,32.45,648900,0,0
2019-05-16,32.24,33.27,31.0,31.0,1292100,0,0
2019-05-17,30.75,31.68,30.63,30.92,767700,0,0
2019-05-20,30.98,31.98,30.76,31.85,404700,0,0
2019-05-21,31.98,33.67,31.93,32.7,884400,0,0
2019-05-22,32.64,33.0,32.15,32.57,421700,0,0
2019-05-23,32.43,32.57,31.5,31.9,478400,0,0
2019-05-24,32.01,32.29,31.51,32.08,189100,0,0
2019-05-28,32.25,32.44,31.56,31.9,333600,0,0
2019-05-29,31.74,31.88,31.12,31.45,251400,0,0
2019-05-30,31.34,31.71,31.26,31.28,258200,0,0
2019-05-31,31.13,31.85,30.88,31.75,309300,0,0
2019-06-03,32.0,32.4,31.27,32.27,394900,0,0
2019-06-04,32.52,32.64,31.56,32.0,429600,0,0
2019-06-05,31.94,31.96,31.23,31.59,363000,0,0
2019-06-06,31.59,32.39,31.5,31.99,323300,0,0
2019-06-07,32.0,32.73,31.99,32.39,445800,0,0
2019-06-10,32.6,32.88,30.86,31.84,725800,0,0
2019-06-11,32.0,32.0,31.22,31.91,403200,0,0
2019-06-12,31.64,32.0,31.45,31.73,207100,0,0
2019-06-13,31.65,32.15,31.09,31.78,262700,0,0
2019-06-14,31.79,31.97,31.5,31.65,170200,0,0
2019-06-17,31.49,31.76,31.14,31.32,612300,0,0
2019-06-18,32.43,33.88,31.59,32.96,2128300,0,0
2019-06-19,33.53,35.77,33.23,34.9,1144300,0,0
2019-06-20,35.25,36.45,35.19,35.73,1210500,0,0
2019-06-21,35.7,37.95,34.76,37.95,3683100,0,0
2019-06-24,37.95,38.33,36.35,36.79,696100,0,0
2019-06-25,36.99,37.5,36.52,36.75,899300,0,0
2019-06-26,36.31,37.07,35.98,37.06,862800,0,0
2019-06-27,36.82,37.93,36.75,37.01,1105700,0,0
2019-06-28,37.06,37.5,36.32,36.86,2847100,0,0
2019-07-01,37.07,38.09,35.61,36.61,1098000,0,0
2019-07-02,36.49,36.56,35.36,36.15,378400,0,0
2019-07-03,36.2,36.47,35.81,36.44,130300,0,0
2019-07-05,36.35,37.0,36.0,36.94,334800,0,0
2019-07-08,36.81,36.99,36.2,36.62,214500,0,0
2019-07-09,36.4,36.8,36.12,36.55,202900,0,0
2019-07-10,36.43,37.37,36.42,36.7,349600,0,0
2019-07-11,36.77,37.48,36.22,37.42,246500,0,0
2019-07-12,37.58,37.99,37.12,37.67,300700,0,0
2019-07-15,37.86,38.38,37.51,38.02,286400,0,0
2019-07-16,38.0,38.0,37.13,37.33,180100,0,0
2019-07-17,37.31,37.64,36.64,37.16,176500,0,0
2019-07-18,36.88,37.07,35.7,36.24,331300,0,0
2019-07-19,36.24,37.32,35.68,36.84,269400,0,0
2019-07-22,36.66,37.87,36.46,37.77,332500,0,0
2019-07-23,38.0,38.0,37.0,37.16,262600,0,0
2019-07-24,36.95,37.43,36.73,37.36,152900,0,0
2019-07-25,37.13,37.4,36.57,36.87,151300,0,0
2019-07-26,37.01,37.56,36.96,37.19,147900,0,0
2019-07-29,37.25,37.83,37.02,37.52,157800,0,0
2019-07-30,37.33,37.4,36.92,37.14,125000,0,0
2019-07-31,37.13,38.82,35.04,36.71,735300,0,0
2019-08-01,36.65,37.8,36.28,37.57,176100,0,0
2019-08-02,37.27,37.63,36.42,37.19,173400,0,0
2019-08-05,36.45,36.6,35.35,36.25,284700,0,0
2019-08-06,36.62,37.24,35.57,36.01,244300,0,0
2019-08-07,35.58,36.25,35.5,35.89,161300,0,0
2019-08-08,36.14,37.52,36.03,37.28,223000,0,0
2019-08-09,37.52,37.65,37.08,37.14,139900,0,0
2019-08-12,37.24,37.58,35.82,36.24,248100,0,0
2019-08-13,35.05,36.9,32.5,35.93,838300,0,0
2019-08-14,35.68,35.69,33.68,34.09,345400,0,0
2019-08-15,34.3,34.99,33.97,34.4,148800,0,0
2019-08-16,34.55,34.86,34.12,34.16,192900,0,0
2019-08-19,34.5,34.78,33.98,34.11,217700,0,0
2019-08-20,34.25,34.35,33.64,33.74,133800,0,0
2019-08-21,34.02,34.5,33.86,34.28,224600,0,0
2019-08-22,34.32,34.97,34.22,34.69,158000,0,0
2019-08-23,34.43,34.49,33.43,33.5,171300,0,0
2019-08-26,33.85,34.25,33.51,34.09,152700,0,0
2019-08-27,34.4,34.71,33.4,33.61,205100,0,0
2019-08-28,33.82,34.01,33.36,33.76,156600,0,0
2019-08-29,33.89,34.27,33.89,34.25,154600,0,0
2019-08-30,34.35,34.54,33.76,34.02,193800,0,0
2019-09-03,33.67,34.0,33.35,33.47,103900,0,0
2019-09-04,33.7,33.85,33.07,33.39,170300,0,0
2019-09-05,33.54,36.0,33.54,35.26,898800,0,0
2019-09-06,35.24,35.69,34.53,34.67,142700,0,0
2019-09-09,34.77,35.1,33.9,34.29,240800,0,0
2019-09-10,34.25,34.25,32.72,32.94,239400,0,0
2019-09-11,32.79,35.64,32.79,34.99,379200,0,0
2019-09-12,35.19,35.79,34.74,35.25,255000,0,0
2019-09-13,35.44,37.57,35.44,36.8,515700,0,0
2019-09-16,36.91,38.5,36.81,37.29,523400,0,0
2019-09-17,37.18,38.11,36.93,37.31,420700,0,0
2019-09-18,37.24,38.0,37.06,37.56,395900,0,0
2019-09-19,37.7,38.48,37.33,37.35,421300,0,0
2019-09-20,37.37,37.4,34.93,34.93,2302100,0,0
2019-09-23,35.15,36.08,33.61,33.98,422600,0,0
2019-09-24,33.76,34.25,32.9,33.39,297200,0,0
2019-09-25,33.39,33.92,32.37,33.66,258500,0,0
2019-09-26,33.41,33.79,32.91,33.38,269800,0,0
2019-09-27,33.44,33.95,33.03,33.52,316500,0,0
2019-09-30,33.5,33.62,32.86,32.98,486700,0,0
2019-10-01,33.06,33.15,32.57,32.91,244300,0,0
2019-10-02,32.64,32.88,31.69,31.87,300900,0,0
2019-10-03,31.75,33.03,31.75,32.91,311700,0,0
2019-10-04,32.97,33.33,32.22,33.0,281700,0,0
2019-10-07,33.07,33.07,32.33,32.95,288700,0,0
2019-10-08,32.6,32.92,32.23,32.36,400100,0,0
2019-10-09,32.68,32.79,31.87,32.02,201600,0,0
2019-10-10,32.13,33.3,31.95,32.95,292600,0,0
2019-10-11,33.45,33.65,32.41,32.81,246300,0,0
2019-10-14,32.72,32.96,32.29,32.44,184200,0,0
2019-10-15,32.36,32.84,32.22,32.51,194500,0,0
2019-10-16,32.43,32.83,32.34,32.64,237700,0,0
2019-10-17,32.8,33.13,32.6,32.66,380900,0,0
2019-10-18,32.68,32.8,32.05,32.33,482800,0,0
2019-10-21,32.46,33.09,32.3,32.58,212100,0,0
2019-10-22,32.58,33.1,32.27,32.94,160600,0,0
2019-10-23,32.84,34.11,32.84,33.99,162400,0,0
2019-10-24,34.05,34.28,33.4,33.75,150600,0,0
2019-10-25,33.8,34.07,33.56,33.98,114300,0,0
2019-10-28,34.0,34.68,33.78,33.97,136300,0,0
2019-10-29,33.96,34.64,33.96,34.61,111100,0,0
2019-10-30,34.55,34.97,34.25,34.93,166400,0,0
2019-10-31,34.98,35.72,34.6,35.6,312400,0,0
2019-11-01,35.76,35.78,34.53,35.31,328700,0,0
2019-11-04,35.81,37.41,35.14,36.7,301100,0,0
2019-11-05,36.96,37.26,36.56,37.25,258700,0,0
2019-11-06,37.23,38.53,37.02,37.85,286800,0,0
2019-11-07,38.18,38.36,37.34,37.93,186800,0,0
2019-11-08,37.94,38.7,37.81,38.13,164200,0,0
2019-11-11,38.14,38.3,37.69,37.73,298600,0,0
2019-11-12,38.54,39.05,37.12,37.8,527800,0,0
2019-11-13,37.84,38.38,37.75,38.21,390000,0,0
2019-11-14,38.3,38.73,37.93,38.02,212800,0,0
2019-11-15,38.4,39.28,38.0,38.93,310700,0,0
2019-11-18,39.0,39.5,38.66,38.99,520100,0,0
2019-11-19,39.16,39.5,38.8,39.11,321300,0,0
2019-11-20,39.36,39.59,38.47,38.99,191400,0,0
2019-11-21,39.21,39.21,38.18,38.31,217300,0,0
2019-11-22,38.3,38.68,38.21,38.49,141200,0,0
2019-11-25,38.67,39.89,38.3,39.83,374400,0,0
2019-11-26,39.77,40.55,39.56,39.71,748900,0,0
2019-11-27,39.75,40.22,39.7,39.93,234700,0,0
2019-11-29,39.74,40.35,39.56,40.03,126100,0,0
2019-12-02,40.16,40.3,39.68,39.92,299900,0,0
2019-12-03,39.4,39.88,39.05,39.8,238400,0,0
2019-12-04,39.96,40.41,39.6,40.07,239300,0,0
2019-12-05,40.17,40.35,39.56,39.9,220900,0,0
2019-12-06,40.2,40.78,39.9,40.33,154100,0,0
2019-12-09,40.23,40.75,39.92,39.95,175700,0,0
2019-12-10,40.31,40.7,40.1,40.18,303900,0,0
2019-12-11,40.17,41.01,39.94,40.99,202900,0,0
2019-12-12,41.18,42.65,40.94,42.35,387300,0,0
2019-12-13,42.1,42.34,41.1,41.41,254700,0,0
2019-12-16,41.89,41.89,41.03,41.13,261900,0,0
