Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,91.47,92.22,91.12,91.86,2849300,0.0,0
2019-02-06,91.36,92.12,91.06,91.14,3127800,0.0,0
2019-02-07,91.13,91.9,88.19,88.55,5291500,0.0,0
2019-02-08,91.62,91.86,88.53,90.27,4248400,0.0,0
2019-02-11,89.76,92.04,89.64,90.96,4229500,0.0,0
2019-02-12,91.94,92.17,90.65,90.73,2486000,0.0,0
2019-02-13,91.0,92.98,90.82,92.78,2627100,0.0,0
2019-02-14,92.25,92.89,91.79,92.33,2701500,0.0,0
2019-02-15,93.45,94.18,92.68,93.44,2647300,0.8,0
2019-02-19,92.9,94.38,92.85,94.18,2108000,0.0,0
2019-02-20,94.18,95.52,93.51,94.86,3586900,0.0,0
2019-02-21,94.69,95.66,93.84,94.24,2054000,0.0,0
2019-02-22,95.18,95.49,94.42,94.77,2102500,0.0,0
2019-02-25,94.57,95.1,94.43,94.7,1661000,0.0,0
2019-02-26,94.74,95.68,94.6,95.24,2274400,0.0,0
2019-02-27,95.49,96.21,94.74,95.04,1881900,0.0,0
2019-02-28,95.33,95.45,93.39,93.8,2351200,0.0,0
2019-03-01,94.24,95.26,93.89,94.89,2879000,0.0,0
2019-03-04,95.79,95.79,93.11,94.69,2386200,0.0,0
2019-03-05,94.88,95.29,94.24,94.87,2511900,0.0,0
2019-03-06,94.87,96.13,94.46,95.0,2644600,0.0,0
2019-03-07,94.98,95.11,93.34,93.88,3638000,0.0,0
2019-03-08,92.73,92.91,91.34,91.8,3334100,0.0,0
2019-03-11,92.61,94.23,92.3,94.1,2257400,0.0,0
2019-03-12,94.46,95.63,94.18,94.8,2362600,0.0,0
2019-03-13,95.44,95.73,94.79,95.47,2294500,0.0,0
2019-03-14,95.64,96.05,95.05,95.85,1663000,0.0,0
2019-03-15,95.39,97.15,95.3,95.9,3785800,0.0,0
2019-03-18,95.98,96.63,95.15,96.09,2530800,0.0,0
2019-03-19,96.65,97.74,95.94,96.26,2932600,0.0,0
2019-03-20,96.02,96.67,95.25,95.57,3292600,0.0,0
2019-03-21,95.43,96.5,95.27,95.93,2124000,0.0,0
2019-03-22,95.12,95.37,92.94,93.43,1856900,0.0,0
2019-03-25,93.21,93.42,92.41,93.31,1357500,0.0,0
2019-03-26,94.09,95.7,94.09,95.41,2284700,0.0,0
2019-03-27,95.15,95.68,94.39,94.68,1657400,0.0,0
2019-03-28,94.24,94.68,92.63,93.13,2524800,0.0,0
2019-03-29,94.04,94.33,91.97,92.64,2900400,0.0,0
2019-04-01,93.46,93.73,92.14,92.54,2635300,0.0,0
2019-04-02,92.8,93.23,91.37,92.01,2594800,0.0,0
2019-04-03,92.43,93.81,92.31,92.51,2096100,0.0,0
2019-04-04,93.02,94.29,92.05,94.28,2146800,0.0,0
2019-04-05,94.26,95.51,93.77,95.19,2705200,0.0,0
2019-04-08,95.28,96.23,94.62,95.69,2332400,0.0,0
2019-04-09,95.04,95.63,94.38,94.78,2352800,0.0,0
2019-04-10,95.3,96.7,95.04,95.99,1792100,0.0,0
2019-04-11,96.14,97.01,95.55,95.89,1486200,0.0,0
2019-04-12,96.91,97.08,94.38,94.59,2223700,0.0,0
2019-04-15,94.26,94.58,93.49,93.68,1934400,0.0,0
2019-04-16,93.59,93.8,92.1,93.43,1829600,0.0,0
2019-04-17,94.09,94.62,93.39,93.89,1591600,0.0,0
2019-04-18,93.89,94.18,92.33,92.88,2400100,0.0,0
2019-04-22,93.63,94.79,93.28,94.56,1927300,0.0,0
2019-04-23,94.79,95.32,94.02,94.81,2461000,0.0,0
2019-04-24,94.77,94.77,91.54,91.77,2974100,0.0,0
2019-04-25,91.65,93.49,91.04,92.69,2745400,0.0,0
2019-04-26,92.33,92.99,91.5,92.4,2091500,0.0,0
2019-04-29,92.72,93.37,92.36,92.82,2651200,0.0,0
2019-04-30,92.96,94.07,91.16,91.76,3303300,0.0,0
2019-05-01,91.74,92.37,89.34,89.4,3350700,0.0,0
2019-05-02,89.31,89.51,86.51,86.73,3708800,0.0,0
2019-05-03,87.5,88.16,87.15,87.18,2811100,0.0,0
2019-05-06,85.97,86.34,84.67,84.72,3427500,0.0,0
2019-05-07,84.1,84.36,82.59,84.25,3421700,0.0,0
2019-05-08,84.36,84.69,83.21,83.62,3095300,0.0,0
2019-05-09,83.19,83.77,81.49,83.47,3393700,0.0,0
2019-05-10,83.48,84.8,82.3,84.35,3094900,0.0,0
2019-05-13,83.32,84.31,82.48,83.51,3065600,0.0,0
2019-05-14,83.85,85.08,83.76,84.61,2450300,0.0,0
2019-05-15,84.4,85.32,83.86,84.98,2059900,0.0,0
2019-05-16,85.17,86.41,85.17,85.95,2645700,0.0,0
2019-05-17,85.13,85.3,83.32,83.4,2562400,0.9,0
2019-05-20,83.23,84.25,82.9,83.12,2106500,0.0,0
2019-05-21,83.3,85.16,83.28,84.73,2722600,0.0,0
2019-05-22,84.31,84.86,83.89,84.18,2111600,0.0,0
2019-05-23,82.9,82.95,80.65,80.91,3020000,0.0,0
2019-05-24,81.63,82.33,80.88,81.57,2661600,0.0,0
2019-05-28,81.56,81.88,81.0,81.15,3105100,0.0,0
2019-05-29,80.4,81.42,80.2,81.38,2232000,0.0,0
2019-05-30,81.05,81.64,79.98,80.7,2449600,0.0,0
2019-05-31,79.4,80.41,78.91,79.46,2785000,0.0,0
2019-06-03,79.58,80.91,79.26,80.84,3144800,0.0,0
2019-06-04,81.79,82.84,81.75,82.73,2781800,0.0,0
2019-06-05,83.27,83.47,81.43,83.42,3097000,0.0,0
2019-06-06,83.37,84.53,82.53,83.49,2837200,0.0,0
2019-06-07,83.94,84.52,83.08,84.1,2623700,0.0,0
2019-06-10,84.38,85.33,84.25,84.48,3026700,0.0,0
2019-06-11,85.13,85.74,83.31,83.31,2736700,0.0,0
2019-06-12,82.94,83.99,81.57,81.87,3232800,0.0,0
2019-06-13,82.7,84.32,82.63,83.83,3029700,0.0,0
2019-06-14,83.81,84.46,83.2,84.17,1830500,0.0,0
2019-06-17,84.07,85.06,84.07,84.49,2003400,0.0,0
2019-06-18,84.91,86.26,84.91,85.36,2336600,0.0,0
2019-06-19,85.48,86.52,84.92,86.15,2901700,0.0,0
2019-06-20,87.59,89.77,87.13,89.32,4082600,0.0,0
2019-06-21,89.89,90.4,88.51,89.08,6129800,0.0,0
2019-06-24,88.86,89.73,87.86,88.27,2360800,0.0,0
2019-06-25,87.94,89.1,87.58,88.34,3343800,0.0,0
2019-06-26,89.49,91.96,89.03,91.22,3816200,0.0,0
2019-06-27,91.12,91.41,90.02,90.23,2086400,0.0,0
2019-06-28,90.6,92.09,90.49,91.99,4442600,0.0,0
2019-07-01,93.29,93.75,92.07,92.5,2668700,0.0,0
2019-07-02,92.17,94.56,91.52,94.13,4112200,0.0,0
2019-07-03,94.41,95.43,94.27,95.41,2035500,0.0,0
2019-07-05,95.08,95.74,94.09,95.2,1956000,0.0,0
2019-07-08,94.95,96.91,94.95,95.35,3044500,0.0,0
2019-07-09,95.38,96.71,94.99,96.1,2369900,0.0,0
2019-07-10,96.59,97.32,95.89,96.48,1954600,0.0,0
2019-07-11,97.02,98.0,96.34,97.94,2446600,0.0,0
2019-07-12,97.61,98.98,97.61,98.67,1842400,0.0,0
2019-07-15,98.69,99.47,97.74,99.34,3089500,0.0,0
2019-07-16,99.33,100.08,98.16,99.7,2625600,0.0,0
2019-07-17,99.71,100.35,98.62,99.12,2254400,0.0,0
2019-07-18,98.54,100.24,98.18,100.23,2468000,0.0,0
2019-07-19,100.63,101.17,100.11,100.27,3972900,0.0,0
2019-07-22,100.91,101.44,99.85,100.85,1966800,0.0,0
2019-07-23,101.29,101.55,100.29,100.62,1873800,0.0,0
2019-07-24,100.35,101.12,99.68,100.72,2924400,0.0,0
2019-07-25,101.01,101.14,98.32,99.89,3649000,0.0,0
2019-07-26,100.65,100.94,98.8,100.62,2267300,0.0,0
2019-07-29,100.22,101.51,99.65,101.11,2275200,0.0,0
2019-07-30,100.66,101.93,99.91,101.89,1465900,0.0,0
2019-07-31,101.91,102.73,99.8,100.86,2415900,0.0,0
2019-08-01,100.26,101.88,99.73,100.3,2153200,0.0,0
2019-08-02,100.07,100.21,97.78,97.87,2059500,0.0,0
2019-08-05,96.28,96.72,93.42,94.05,3034800,0.0,0
2019-08-06,94.96,95.92,94.45,95.8,2164500,0.0,0
2019-08-07,94.05,96.11,93.48,95.72,2349800,0.0,0
2019-08-08,96.68,99.07,96.26,99.04,2311900,0.0,0
2019-08-09,98.86,99.29,97.91,98.78,2005600,0.0,0
2019-08-12,98.41,98.48,96.19,96.68,2069700,0.0,0
2019-08-13,96.3,99.47,95.49,98.09,2267800,0.0,0
2019-08-14,95.99,97.06,95.52,95.91,2529800,0.0,0
2019-08-15,96.3,96.82,94.78,95.85,2089900,0.0,0
2019-08-16,96.42,97.46,96.05,97.19,2118400,0.0,0
2019-08-19,98.54,98.97,97.36,98.02,2747900,0.9,0
2019-08-20,98.06,98.94,97.32,97.94,1904500,0.0,0
