Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,12.56,12.91,12.51,12.55,2584500,0.0,0
2019-02-06,12.48,12.67,12.29,12.53,3714100,0.0,0
2019-02-07,12.15,13.18,11.9,12.6,5771000,0.0,0
2019-02-08,12.59,12.89,12.17,12.48,4086700,0.0,0
2019-02-11,12.29,12.96,12.17,12.85,4945900,0.0,0
2019-02-12,13.07,13.53,13.07,13.26,4103400,0.0,0
2019-02-13,13.36,13.65,13.21,13.37,2123600,0.0,0
2019-02-14,13.36,13.74,13.33,13.55,3069400,0.0,0
2019-02-15,13.73,14.2,13.71,14.18,4082800,0.0,0
2019-02-19,14.14,14.43,14.08,14.23,3106500,0.0,0
2019-02-20,14.22,14.47,14.05,14.09,4242200,0.0,0
2019-02-21,14.03,14.14,13.58,13.67,3248400,0.0,0
2019-02-22,13.89,13.94,13.53,13.76,2723700,0.0,0
2019-02-25,13.73,14.03,13.67,13.96,3033200,0.0,0
2019-02-26,13.88,14.08,13.38,13.41,3225900,0.0,0
2019-02-27,13.43,13.65,13.33,13.36,3267800,0.0,0
2019-02-28,13.38,13.38,12.7,13.05,3895300,0.0,0
2019-03-01,13.11,13.48,13.04,13.3,3812500,0.0,0
2019-03-04,13.41,13.62,13.2,13.54,2920800,0.0,0
2019-03-05,13.56,13.65,13.13,13.25,3439800,0.0,0
2019-03-06,13.07,13.17,12.74,12.8,3105400,0.04,0
2019-03-07,12.82,12.91,12.45,12.77,6389500,0.0,0
2019-03-08,12.51,12.7,12.18,12.6,2541600,0.0,0
2019-03-11,12.75,13.14,12.7,13.02,2436300,0.0,0
2019-03-12,13.09,13.47,13.03,13.42,2510900,0.0,0
2019-03-13,13.57,13.83,13.55,13.74,2665800,0.0,0
2019-03-14,13.79,14.11,13.79,13.9,2585600,0.0,0
2019-03-15,13.82,13.98,13.68,13.72,3607500,0.0,0
2019-03-18,13.75,14.29,13.75,14.24,2380300,0.0,0
2019-03-19,14.36,14.46,14.02,14.11,2187500,0.0,0
2019-03-20,14.11,14.6,14.02,14.37,1753600,0.0,0
2019-03-21,14.28,14.55,14.24,14.48,1736600,0.0,0
2019-03-22,14.27,14.35,13.63,13.66,3463800,0.0,0
2019-03-25,13.57,13.94,13.41,13.91,2957300,0.0,0
2019-03-26,14.03,14.37,14.0,14.18,2322600,0.0,0
2019-03-27,14.19,14.36,13.65,13.91,4866900,0.0,0
2019-03-28,13.77,14.19,13.72,14.13,3981100,0.0,0
2019-03-29,14.33,14.39,13.77,13.84,2825500,0.0,0
2019-04-01,14.04,14.31,13.9,14.26,5565400,0.0,0
2019-04-02,14.33,14.39,13.99,14.09,3378600,0.0,0
2019-04-03,14.19,14.28,13.75,13.78,3428200,0.0,0
2019-04-04,13.81,14.27,13.68,14.25,2085300,0.0,0
2019-04-05,14.33,14.95,14.1,14.86,3849500,0.0,0
2019-04-08,14.87,15.21,14.75,15.12,5716200,0.0,0
2019-04-09,15.03,15.2,14.87,15.01,3910000,0.0,0
2019-04-10,15.06,15.35,15.06,15.19,2842100,0.0,0
2019-04-11,15.05,15.47,14.78,14.93,4354300,0.0,0
2019-04-12,14.62,15.4,14.58,15.01,2985800,0.0,0
2019-04-15,15.0,15.07,14.71,14.74,4457500,0.0,0
2019-04-16,14.89,15.55,14.82,15.44,5623800,0.0,0
2019-04-17,15.55,15.71,15.22,15.29,3448700,0.0,0
2019-04-18,15.31,15.46,15.05,15.18,2415700,0.0,0
2019-04-22,15.37,16.06,15.31,15.95,5760300,0.0,0
2019-04-23,15.97,16.05,15.6,15.63,3977900,0.0,0
