Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,110.31,112.79,110.31,111.63,1007900,0.0,0
2019-02-06,111.97,112.31,111.06,112.09,677700,0.0,0
2019-02-07,111.17,111.66,109.68,111.02,1091000,0.0,0
2019-02-08,109.68,110.73,109.41,110.71,851100,0.0,0
2019-02-11,111.12,113.27,111.12,112.6,691700,0.0,0
2019-02-12,113.06,114.65,112.42,114.15,1096400,0.0,0
2019-02-13,114.42,114.74,112.1,112.35,759900,0.0,0
2019-02-14,111.03,112.55,110.79,112.21,846900,0.0,0
2019-02-15,113.36,114.16,112.48,112.72,765600,0.0,0
2019-02-19,112.78,113.2,112.35,112.54,987500,0.0,0
2019-02-20,112.89,114.48,112.35,113.88,1054200,0.0,0
2019-02-21,113.73,115.21,113.52,114.92,911500,0.0,0
2019-02-22,115.83,117.51,115.22,117.43,1082000,0.0,0
2019-02-25,118.66,118.74,115.44,115.64,1512400,0.0,0
2019-02-26,115.63,117.49,114.9,115.54,707300,0.0,0
2019-02-27,115.3,116.69,114.76,116.16,816800,0.038,0
2019-02-28,115.99,115.99,114.59,114.69,927100,0.0,0
2019-03-01,116.22,118.28,114.22,114.97,951000,0.0,0
2019-03-04,115.18,115.36,111.62,111.96,1276200,0.0,0
2019-03-05,112.34,112.36,110.69,111.09,1163900,0.0,0
2019-03-06,111.32,111.61,109.24,109.96,1108500,0.0,0
2019-03-07,109.6,110.39,108.43,110.12,1079300,0.0,0
2019-03-08,109.1,110.21,107.8,110.14,835900,0.0,0
2019-03-11,110.7,111.89,110.23,111.85,601900,0.0,0
2019-03-12,112.17,112.24,110.65,111.89,662300,0.0,0
2019-03-13,112.32,113.87,112.28,112.98,652200,0.0,0
2019-03-14,112.86,113.08,112.2,112.58,483700,0.0,0
2019-03-15,112.63,112.96,110.32,110.37,1294100,0.0,0
2019-03-18,110.38,111.38,109.92,111.31,1215400,0.0,0
2019-03-19,111.6,111.81,109.62,109.93,844400,0.0,0
2019-03-20,109.64,110.22,106.72,106.95,1228500,0.0,0
2019-03-21,106.74,108.65,106.06,108.55,1019200,0.0,0
2019-03-22,108.13,108.46,106.52,107.07,1444900,0.0,0
2019-03-25,107.01,109.52,106.32,109.05,1225900,0.0,0
2019-03-26,110.2,111.06,109.22,109.96,822300,0.0,0
2019-03-27,110.33,111.92,110.07,110.75,1628600,0.0,0
2019-03-28,125.0,132.19,124.64,127.1,5484600,0.0,0
2019-03-29,127.77,127.77,121.29,121.8,2547300,0.0,0
2019-04-01,123.06,125.0,122.69,124.87,2051300,0.0,0
2019-04-02,125.05,125.16,123.14,124.04,1256700,0.0,0
2019-04-03,124.84,125.31,123.97,124.32,1153100,0.0,0
2019-04-04,124.29,128.93,123.6,128.33,1583000,0.0,0
2019-04-05,128.16,129.54,126.74,127.1,1385600,0.0,0
2019-04-08,126.67,128.08,125.88,127.24,1008600,0.0,0
2019-04-09,128.73,128.99,126.35,126.44,1165300,0.0,0
2019-04-10,126.6,128.14,126.3,127.17,796000,0.0,0
2019-04-11,126.88,127.73,126.09,126.75,725100,0.0,0
2019-04-12,127.21,128.99,126.9,128.99,955200,0.0,0
2019-04-15,129.0,130.18,127.81,128.58,904800,0.0,0
2019-04-16,128.63,130.52,127.91,129.79,852100,0.0,0
2019-04-17,130.22,132.47,130.22,132.16,1223300,0.0,0
2019-04-18,132.3,134.07,131.75,132.03,1048000,0.0,0
2019-04-22,131.83,132.2,130.33,130.76,782500,0.0,0
2019-04-23,131.24,132.03,129.34,131.96,1280100,0.0,0
2019-04-24,131.92,133.13,130.85,132.54,556200,0.0,0
2019-04-25,132.28,132.43,129.86,129.87,641700,0.0,0
2019-04-26,129.86,131.11,128.81,130.85,713900,0.0,0
2019-04-29,130.39,131.41,129.78,130.47,738900,0.0,0
2019-04-30,130.03,131.11,128.5,128.83,789100,0.0,0
2019-05-01,129.48,130.12,128.12,128.16,551900,0.0,0
2019-05-02,128.45,130.03,127.44,127.69,737200,0.0,0
2019-05-03,127.94,128.47,126.24,127.02,682300,0.0,0
2019-05-06,124.48,124.83,122.94,123.82,752700,0.0,0
2019-05-07,122.84,123.2,120.12,121.67,1051100,0.0,0
2019-05-08,121.39,123.25,120.46,121.29,885400,0.0,0
2019-05-09,120.97,121.43,118.19,120.5,1085000,0.0,0
2019-05-10,119.99,120.77,116.17,119.24,983800,0.0,0
2019-05-13,116.11,117.17,111.88,112.36,1568800,0.0,0
2019-05-14,112.69,113.46,110.71,112.23,1316900,0.0,0
2019-05-15,111.62,112.3,110.47,110.79,1180500,0.0,0
2019-05-16,110.83,111.8,110.04,110.26,805900,0.0,0
2019-05-17,109.33,110.5,108.51,108.57,802000,0.0,0
2019-05-20,107.47,107.87,105.6,105.93,1065300,0.0,0
2019-05-21,106.33,108.75,105.76,108.42,1077200,0.038,0
2019-05-22,109.45,111.96,109.28,109.47,1970700,0.0,0
2019-05-23,108.61,108.61,104.71,107.19,1586300,0.0,0
2019-05-24,107.68,108.84,106.34,106.86,1347500,0.0,0
2019-05-28,106.66,107.88,105.18,105.8,1416000,0.0,0
2019-05-29,103.91,104.43,98.66,99.16,2504700,0.0,0
2019-05-30,89.91,91.31,84.24,84.41,7940500,0.0,0
2019-05-31,82.76,85.66,82.44,85.11,2876800,0.0,0
2019-06-03,84.56,89.59,84.56,87.64,3332900,0.0,0
2019-06-04,89.18,91.48,88.16,90.97,2020000,0.0,0
2019-06-05,91.61,92.33,87.87,89.18,1557800,0.0,0
2019-06-06,88.87,89.12,86.55,87.8,1111500,0.0,0
2019-06-07,87.8,89.02,86.77,88.29,1352000,0.0,0
2019-06-10,88.45,91.42,88.45,89.69,922800,0.0,0
2019-06-11,90.37,91.93,88.51,88.62,1135600,0.0,0
2019-06-12,88.35,88.74,87.05,87.22,1436200,0.0,0
2019-06-13,88.15,89.85,87.79,89.69,741400,0.0,0
2019-06-14,89.32,89.4,87.49,87.97,1214500,0.0,0
2019-06-17,87.63,89.39,87.23,88.24,1061100,0.0,0
2019-06-18,89.03,92.17,88.99,89.56,1324500,0.0,0
2019-06-19,89.65,90.3,87.48,87.79,940600,0.0,0
2019-06-20,89.07,90.41,88.78,90.35,1065500,0.0,0
2019-06-21,90.42,93.21,89.89,93.18,2188600,0.0,0
2019-06-24,92.76,94.09,91.91,92.55,1248300,0.0,0
2019-06-25,92.4,92.4,90.96,91.21,990500,0.0,0
2019-06-26,91.73,94.42,91.46,93.47,1048100,0.0,0
2019-06-27,94.85,95.41,92.29,93.2,863100,0.0,0
2019-06-28,93.03,94.86,93.03,94.55,1174300,0.0,0
2019-07-01,97.13,98.7,94.02,95.17,2029200,0.0,0
2019-07-02,95.08,95.08,92.3,93.63,1011300,0.0,0
2019-07-03,94.04,94.46,92.91,93.57,661700,0.0,0
2019-07-05,93.79,93.81,91.44,92.74,901700,0.0,0
2019-07-08,92.24,93.58,91.76,91.82,852200,0.0,0
2019-07-09,91.67,91.67,89.81,89.99,1229600,0.0,0
2019-07-10,90.23,90.38,87.23,87.39,1659600,0.0,0
2019-07-11,87.63,88.4,86.84,88.16,1757200,0.0,0
2019-07-12,88.58,90.38,88.33,89.11,1284700,0.0,0
2019-07-15,89.68,91.5,89.48,90.4,1815000,0.0,0
2019-07-16,90.68,92.82,90.31,92.42,1041600,0.0,0
2019-07-17,88.08,90.06,88.08,89.49,2941400,0.0,0
2019-07-18,89.44,89.65,87.08,87.79,1618600,0.0,0
2019-07-19,88.25,89.52,87.77,88.17,1096500,0.0,0
2019-07-22,88.57,89.38,86.53,86.6,866400,0.0,0
2019-07-23,87.11,88.57,86.52,87.98,996800,0.0,0
2019-07-24,88.42,90.2,87.85,89.13,925500,0.0,0
2019-07-25,89.28,90.85,89.06,89.3,1068900,0.0,0
2019-07-26,89.5,89.97,87.96,89.23,938100,0.0,0
2019-07-29,88.82,89.44,87.54,89.0,971400,0.0,0
2019-07-30,88.82,89.45,86.98,89.0,1481800,0.0,0
2019-07-31,88.89,89.44,87.23,88.84,1417600,0.0,0
2019-08-01,88.39,88.84,80.73,82.72,1807300,0.0,0
2019-08-02,82.55,84.32,80.42,80.43,2181400,0.0,0
2019-08-05,78.85,78.91,75.53,76.53,2211100,0.0,0
2019-08-06,76.92,78.2,76.1,77.79,1418400,0.0,0
2019-08-07,77.23,78.14,76.35,77.79,1386000,0.0,0
2019-08-08,78.3,78.95,77.71,78.51,1352600,0.0,0
2019-08-09,77.99,78.08,74.54,74.59,1104000,0.0,0
2019-08-12,73.95,74.18,71.41,72.03,1303800,0.0,0
2019-08-13,71.66,77.1,71.44,74.6,2110200,0.0,0
2019-08-14,71.93,71.93,68.54,69.3,1876500,0.0,0
2019-08-15,69.49,69.91,67.35,69.13,2416200,0.0,0
2019-08-16,69.53,71.38,69.14,70.66,1361200,0.0,0
2019-08-19,72.18,72.88,71.84,71.89,1135500,0.0,0
2019-08-20,71.34,71.95,70.71,71.77,871800,0.0,0
2019-08-21,72.51,72.68,71.27,71.92,730000,0.0,0
2019-08-22,71.93,73.27,71.67,72.67,1322400,0.0,0
2019-08-23,71.49,72.3,68.7,68.95,2124300,0.0,0
