Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,47.96,49.26,47.95,48.92,15454200,0.0,0
2019-02-06,49.12,49.8,49.11,49.28,11052900,0.0,0
2019-02-07,49.02,49.3,48.48,48.75,10623300,0.0,0
2019-02-08,48.45,48.87,48.13,48.5,12461200,0.0,0
2019-02-11,48.75,49.47,48.58,49.02,9971800,0.0,0
2019-02-12,49.47,50.32,49.2,49.82,16637600,0.0,0
2019-02-13,50.15,50.62,49.72,49.75,11004000,0.0,0
2019-02-14,49.66,49.92,49.27,49.73,17895000,0.0,0
2019-02-15,50.22,50.49,49.76,50.13,12239500,0.0,0
2019-02-19,50.15,50.61,49.91,50.16,8258400,0.0,0
2019-02-20,50.39,51.03,50.28,50.58,12863700,0.0,0
2019-02-21,50.63,50.72,50.05,50.48,7826200,0.0,0
2019-02-22,50.81,51.26,50.76,51.23,13394500,0.0,0
2019-02-25,51.86,52.05,51.01,51.1,15341700,0.0,0
2019-02-26,51.19,51.32,50.42,51.14,11366700,0.0,0
2019-02-27,51.06,51.24,50.41,51.15,10426200,0.0,0
2019-02-28,51.11,51.84,50.83,51.49,19000200,0.0,0
2019-03-01,52.08,52.46,51.8,52.27,12659000,0.0,0
2019-03-04,52.63,52.75,51.36,51.86,14021700,0.0,0
2019-03-05,51.98,52.3,51.79,52.02,10092800,0.0,0
2019-03-06,52.57,54.11,52.42,53.46,20521300,0.62,0
2019-03-07,53.49,53.71,52.3,52.71,13667300,0.0,0
2019-03-08,52.14,52.32,51.73,52.22,10117100,0.0,0
2019-03-11,52.41,53.41,52.34,53.02,10738800,0.0,0
2019-03-12,53.32,53.96,53.21,53.5,9575300,0.0,0
2019-03-13,53.69,54.57,53.66,54.04,9198900,0.0,0
2019-03-14,54.17,54.51,53.9,54.05,7306100,0.0,0
2019-03-15,53.66,55.94,53.58,55.22,27985600,0.0,0
2019-03-18,55.24,55.79,55.06,55.44,13089300,0.0,0
2019-03-19,55.77,56.27,55.39,55.58,9363700,0.0,0
2019-03-20,55.64,56.28,55.36,55.76,8804800,0.0,0
2019-03-21,55.83,56.86,55.8,56.36,19542700,0.0,0
2019-03-22,56.27,56.67,55.36,55.43,10243500,0.0,0
2019-03-25,55.2,55.55,54.7,55.26,6929600,0.0,0
2019-03-26,55.75,56.96,55.29,56.58,16051800,0.0,0
2019-03-27,55.95,56.26,54.94,55.52,11934400,0.0,0
2019-03-28,55.64,55.99,54.96,55.17,11064300,0.0,0
2019-03-29,55.61,56.15,55.55,55.64,8529100,0.0,0
2019-04-01,56.23,56.73,55.71,56.4,12066500,0.0,0
2019-04-02,56.56,57.1,56.25,56.67,7614500,0.0,0
2019-04-03,56.78,56.87,55.78,56.27,11563400,0.0,0
2019-04-04,56.34,57.18,56.28,56.45,9905100,0.0,0
2019-04-05,56.56,56.77,56.28,56.57,12332600,0.0,0
2019-04-08,56.38,57.06,56.11,56.35,8942400,0.0,0
2019-04-09,56.16,56.25,55.64,56.04,11713400,0.0,0
2019-04-10,56.3,56.45,54.73,54.95,15976500,0.0,0
2019-04-11,55.06,55.51,54.43,54.53,13903800,0.0,0
2019-04-12,54.91,55.77,54.7,55.56,13483500,0.0,0
2019-04-15,55.74,56.26,55.64,55.78,10712500,0.0,0
2019-04-16,56.06,69.29,55.89,68.73,86755900,0.0,0
2019-04-17,76.89,80.5,74.62,77.15,156019300,0.0,0
2019-04-18,76.8,78.24,76.11,77.94,41621200,0.0,0
2019-04-22,77.88,80.48,77.4,79.97,33292500,0.0,0
2019-04-23,81.85,85.81,81.24,84.6,56973700,0.0,0
2019-04-24,84.91,86.46,83.22,84.71,40290400,0.0,0
2019-04-25,84.07,84.21,82.46,82.99,20732200,0.0,0
2019-04-26,82.45,84.64,82.15,84.52,18860600,0.0,0
2019-04-29,84.29,85.83,83.74,85.12,17930000,0.0,0
2019-04-30,84.86,85.32,83.95,84.03,17582400,0.0,0
2019-05-01,85.04,86.06,84.05,84.26,28211500,0.0,0
2019-05-02,85.36,88.13,84.05,85.01,40342000,0.0,0
2019-05-03,85.62,87.63,84.93,87.11,21068400,0.0,0
2019-05-06,84.22,86.53,84.04,86.09,15682100,0.0,0
2019-05-07,85.07,86.0,82.71,83.12,21579500,0.0,0
2019-05-08,82.78,83.63,82.06,82.47,15500700,0.0,0
2019-05-09,81.33,82.77,80.25,81.73,14516000,0.0,0
2019-05-10,81.34,84.22,81.31,83.74,15955600,0.0,0
2019-05-13,81.21,82.78,80.96,81.84,16689000,0.0,0
2019-05-14,82.21,84.33,81.95,84.03,14353700,0.0,0
2019-05-15,83.46,84.87,82.82,84.15,11784800,0.0,0
2019-05-16,81.74,82.73,80.12,80.79,22498800,0.0,0
2019-05-17,78.52,81.09,78.05,79.51,19523400,0.0,0
2019-05-20,76.05,76.42,74.21,74.75,32679300,0.0,0
2019-05-21,76.98,77.11,75.33,75.85,17282200,0.0,0
2019-05-22,67.44,69.99,66.31,67.62,66150700,0.0,0
2019-05-23,65.38,66.6,64.29,66.59,31820700,0.0,0
2019-05-24,67.25,67.46,64.36,64.59,21420000,0.0,0
2019-05-28,65.01,66.06,63.65,63.77,22667300,0.0,0
2019-05-29,63.76,64.53,63.18,64.15,16312600,0.0,0
2019-05-30,64.36,65.43,64.32,64.96,11554600,0.0,0
2019-05-31,64.17,66.18,63.93,65.19,15060300,0.0,0
2019-06-03,65.45,66.47,64.66,65.03,13620700,0.0,0
2019-06-04,65.96,66.83,65.07,66.78,15866700,0.0,0
2019-06-05,66.98,67.27,64.81,65.98,11779200,0.62,0
2019-06-06,65.88,66.92,65.24,66.54,10781700,0.0,0
2019-06-07,66.64,67.71,66.26,67.62,10495600,0.0,0
2019-06-10,67.93,70.35,67.93,69.45,15229200,0.0,0
2019-06-11,70.47,71.1,69.18,70.14,11839500,0.0,0
2019-06-12,68.45,69.28,68.13,68.51,9385900,0.0,0
2019-06-13,68.88,69.4,68.3,68.85,6790500,0.0,0
2019-06-14,67.29,68.05,66.85,67.65,12119500,0.0,0
2019-06-17,68.02,68.89,67.83,68.04,9411100,0.0,0
2019-06-18,68.61,71.27,68.59,70.84,14508000,0.0,0
2019-06-19,71.25,71.49,69.7,70.69,11999300,0.0,0
2019-06-20,72.05,72.53,71.11,71.61,9871800,0.0,0
2019-06-21,71.19,72.04,71.19,71.59,15244500,0.0,0
2019-06-24,71.84,72.31,71.08,72.03,8893000,0.0,0
2019-06-25,72.09,72.99,71.4,71.42,8953400,0.0,0
2019-06-26,72.62,74.52,72.51,73.79,13808000,0.0,0
2019-06-27,74.17,74.72,74.0,74.26,11151900,0.0,0
2019-06-28,74.49,75.25,73.65,74.89,29217500,0.0,0
2019-07-01,79.42,79.51,75.88,76.32,17705700,0.0,0
2019-07-02,76.08,76.28,75.43,75.82,7075600,0.0,0
