Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,21.64,22.13,21.57,21.89,1602200,0,0
2019-02-06,21.88,21.92,21.61,21.65,1732400,0,0
2019-02-07,21.45,21.54,21.15,21.51,1427600,0,0
2019-02-08,21.5,21.61,21.1,21.15,2404600,0,0
2019-02-11,21.16,21.39,21.0,21.18,2284400,0,0
2019-02-12,21.32,21.64,21.32,21.61,1896600,0,0
2019-02-13,21.63,21.92,21.36,21.83,1723100,0,0
2019-02-14,21.75,22.06,21.57,21.92,2030400,0,0
2019-02-15,21.99,22.29,21.86,21.86,2655800,0,0
2019-02-19,21.7,21.86,21.42,21.76,2313000,0,0
2019-02-20,21.74,21.96,21.5,21.84,2149200,0,0
2019-02-21,21.74,21.93,21.46,21.56,1663200,0,0
2019-02-22,21.68,21.9,21.58,21.8,2065500,0,0
2019-02-25,21.95,21.99,21.71,21.86,2841400,0,0
2019-02-26,21.84,22.06,21.75,21.93,2237900,0,0
2019-02-27,21.93,22.24,21.75,21.92,3509300,0,0
2019-02-28,21.13,21.13,17.5,18.01,10625800,0,0
2019-03-01,18.04,18.95,18.04,18.77,5985900,0,0
2019-03-04,18.92,18.98,18.32,18.41,3264700,0,0
2019-03-05,18.53,18.63,18.27,18.29,2529500,0,0
2019-03-06,18.23,18.31,17.83,17.9,2810300,0,0
2019-03-07,17.88,17.88,17.0,17.19,6027600,0,0
2019-03-08,17.73,17.99,17.2,17.44,6373000,0,0
2019-03-11,17.66,17.86,17.48,17.5,4120500,0,0
2019-03-12,17.66,17.75,17.42,17.72,4102600,0,0
2019-03-13,17.76,17.87,17.47,17.63,3899800,0,0
2019-03-14,17.62,17.63,17.19,17.38,3563200,0,0
2019-03-15,17.38,17.49,17.11,17.24,4233300,0,0
2019-03-18,17.22,17.46,17.13,17.29,1766900,0,0
2019-03-19,17.38,17.53,16.95,17.0,2831800,0,0
2019-03-20,17.0,17.18,16.77,17.05,3166200,0,0
2019-03-21,16.98,17.36,16.89,17.35,2255400,0,0
2019-03-22,17.27,17.35,16.9,17.02,2488500,0,0
2019-03-25,16.97,17.16,16.6,16.64,2513900,0,0
2019-03-26,16.73,16.81,16.17,16.44,4298800,0,0
2019-03-27,16.45,16.47,16.0,16.04,4120900,0,0
2019-03-28,16.07,16.23,15.88,15.91,4043900,0,0
2019-03-29,16.0,16.27,15.8,15.98,7204200,0,0
2019-04-01,16.15,16.54,16.08,16.28,10175800,0,0
2019-04-02,16.32,16.45,16.04,16.33,4392000,0,0
2019-04-03,16.44,16.76,16.44,16.61,3100800,0,0
2019-04-04,16.56,17.0,16.52,16.91,3352200,0,0
2019-04-05,17.02,17.17,16.92,17.04,3600700,0,0
2019-04-08,17.01,17.11,16.92,17.08,2420200,0,0
2019-04-09,16.99,17.09,16.71,16.76,2197600,0,0
2019-04-10,16.83,17.18,16.7,17.09,3557400,0,0
2019-04-11,17.08,17.22,17.02,17.05,2357100,0,0
2019-04-12,17.15,17.33,16.94,16.97,5289300,0,0
2019-04-15,17.0,17.46,16.73,17.28,4461800,0,0
2019-04-16,17.31,17.34,16.42,16.7,3525500,0,0
2019-04-17,16.74,17.03,16.72,16.91,2899600,0,0
2019-04-18,16.96,17.12,16.72,16.78,2018300,0,0
2019-04-22,16.7,16.77,16.47,16.57,2023700,0,0
2019-04-23,16.61,16.98,16.58,16.96,1944800,0,0
2019-04-24,16.94,17.17,16.89,17.12,1689600,0,0
2019-04-25,17.07,17.24,16.91,17.14,2665300,0,0
2019-04-26,17.1,17.31,16.65,17.27,1932900,0,0
2019-04-29,17.28,17.41,17.08,17.13,2344400,0,0
2019-04-30,17.0,17.24,16.8,17.05,2618700,0,0
2019-05-01,17.14,17.48,17.08,17.11,3507500,0,0
2019-05-02,17.1,17.32,17.06,17.2,1715200,0,0
2019-05-03,17.28,17.55,17.28,17.52,1642800,0,0
2019-05-06,17.09,17.35,17.09,17.32,2189200,0,0
2019-05-07,17.18,17.29,16.8,16.97,1954900,0,0
2019-05-08,16.89,17.09,16.67,16.96,1543800,0,0
