Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,56.45,57.13,56.22,56.49,406400,0.0,0
2019-02-06,56.52,56.8,56.0,56.11,327900,0.0,0
2019-02-07,56.01,56.14,54.91,55.93,455800,0.0,0
2019-02-08,55.47,55.91,54.39,55.64,485300,0.0,0
2019-02-11,56.01,56.26,55.49,56.07,554500,0.0,0
2019-02-12,56.65,57.74,56.64,57.2,591000,0.0,0
2019-02-13,57.56,58.68,57.36,58.14,1088700,0.0,0
2019-02-14,58.17,61.7,57.76,61.19,1436600,0.0,0
2019-02-15,61.73,62.59,61.09,62.42,1092300,0.54,0
2019-02-19,62.07,62.67,61.58,62.01,534200,0.0,0
2019-02-20,62.08,62.85,61.47,62.54,607100,0.0,0
2019-02-21,62.69,62.78,61.61,61.91,466000,0.0,0
2019-02-22,61.83,61.9,61.09,61.57,515600,0.0,0
2019-02-25,61.92,62.55,61.12,61.21,599000,0.0,0
2019-02-26,61.04,61.33,60.03,60.07,553300,0.0,0
2019-02-27,60.15,60.94,59.54,60.58,691700,0.0,0
2019-02-28,60.46,60.46,59.67,60.22,688100,0.0,0
2019-03-01,60.79,60.95,60.07,60.39,392700,0.0,0
2019-03-04,60.87,61.39,60.09,60.63,432400,0.0,0
2019-03-05,60.46,60.63,59.74,60.07,448600,0.0,0
2019-03-06,60.04,60.26,59.27,59.36,407800,0.0,0
2019-03-07,59.21,59.21,57.62,58.18,558800,0.0,0
2019-03-08,57.49,57.49,56.52,57.2,1040200,0.0,0
2019-03-11,57.03,59.07,56.82,59.01,1014800,0.0,0
2019-03-12,59.44,59.5,58.45,58.89,495300,0.0,0
2019-03-13,59.11,59.92,58.76,59.21,700600,0.0,0
2019-03-14,59.28,59.6,58.15,59.51,517900,0.0,0
2019-03-15,59.55,59.89,58.54,59.04,1542800,0.0,0
2019-03-18,58.98,59.95,58.97,59.63,697600,0.0,0
2019-03-19,59.91,59.91,58.04,58.1,418000,0.0,0
2019-03-20,58.01,58.3,56.9,57.66,536300,0.0,0
2019-03-21,57.42,58.49,57.42,58.27,610300,0.0,0
2019-03-22,58.11,58.11,56.63,56.99,451300,0.0,0
2019-03-25,56.67,57.22,55.9,56.05,658900,0.0,0
2019-03-26,56.46,57.04,56.26,56.84,353300,0.0,0
2019-03-27,56.94,58.29,56.93,57.73,469300,0.0,0
2019-03-28,57.82,59.95,57.8,59.7,659700,0.0,0
2019-03-29,60.43,61.05,59.98,60.06,546900,0.0,0
2019-04-01,60.63,61.95,60.39,61.84,335200,0.0,0
2019-04-02,61.75,62.03,60.92,61.09,496300,0.0,0
2019-04-03,61.34,62.24,61.3,61.7,450300,0.0,0
2019-04-04,61.67,62.87,61.66,62.69,347100,0.0,0
2019-04-05,62.71,63.42,62.53,62.71,333400,0.0,0
2019-04-08,62.26,63.13,62.08,63.09,279600,0.0,0
2019-04-09,62.71,62.86,61.85,62.08,262500,0.0,0
2019-04-10,62.18,62.83,61.72,62.4,198000,0.0,0
2019-04-11,62.43,63.34,62.21,63.17,491000,0.0,0
2019-04-12,63.67,64.81,63.45,64.17,356700,0.0,0
2019-04-15,63.94,64.5,63.18,63.4,291700,0.0,0
2019-04-16,63.0,63.76,62.57,63.72,311600,0.0,0
2019-04-17,64.3,64.63,63.34,63.52,318300,0.0,0
2019-04-18,63.81,64.1,63.29,63.53,193000,0.0,0
2019-04-22,63.48,63.82,63.01,63.68,238200,0.0,0
2019-04-23,63.7,64.19,63.35,63.94,359700,0.0,0
2019-04-24,64.03,65.54,64.0,65.1,519100,0.0,0
2019-04-25,64.34,64.72,61.69,61.92,470000,0.0,0
2019-04-26,61.92,63.27,61.69,62.87,468000,0.0,0
2019-04-29,63.11,63.71,62.19,63.45,739900,0.0,0
2019-04-30,62.43,62.94,59.58,61.04,1358900,0.0,0
2019-05-01,60.96,61.3,58.48,58.66,729500,0.0,0
2019-05-02,58.56,59.66,57.72,59.34,740300,0.0,0
2019-05-03,59.66,62.14,59.66,61.68,465400,0.0,0
2019-05-06,60.48,62.28,60.32,61.88,362400,0.0,0
2019-05-07,60.86,61.17,59.71,60.5,326500,0.0,0
2019-05-08,60.55,60.76,59.68,59.81,276800,0.0,0
2019-05-09,59.18,59.93,58.26,59.42,340700,0.0,0
2019-05-10,59.01,59.01,57.52,58.33,516000,0.0,0
2019-05-13,56.75,56.92,55.81,56.07,673400,0.0,0
2019-05-14,56.52,58.33,56.25,57.52,541200,0.0,0
2019-05-15,57.02,58.04,56.46,57.91,292100,0.0,0
2019-05-16,58.29,59.49,58.19,58.66,418900,0.0,0
2019-05-17,58.18,58.41,56.29,56.4,415300,0.54,0
2019-05-20,55.16,57.17,54.21,56.16,559700,0.0,0
2019-05-21,56.65,56.98,55.95,56.78,446800,0.0,0
2019-05-22,56.42,56.69,54.58,55.41,395700,0.0,0
2019-05-23,54.49,54.71,52.65,53.19,416100,0.0,0
