Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,116.45,117.33,114.83,115.34,2070000,0.0,0
2019-02-06,114.1,115.62,114.06,115.27,2856100,0.0,0
2019-02-07,114.54,114.54,111.61,112.86,1688800,0.0,0
2019-02-08,111.54,112.95,110.06,112.04,2122500,0.0,0
2019-02-11,113.28,114.24,112.82,113.27,1569200,0.0,0
2019-02-12,113.8,113.97,112.53,113.45,1771400,0.0,0
2019-02-13,114.89,115.84,114.55,114.96,1296400,0.0,0
2019-02-14,114.15,114.72,113.16,114.36,971000,0.0,0
2019-02-15,115.02,115.53,114.38,115.09,1325500,0.0,0
2019-02-19,114.71,117.78,114.71,116.45,1935300,0.0,0
2019-02-20,116.54,118.33,116.32,117.88,1119600,0.0,0
2019-02-21,120.03,121.22,117.57,118.02,1974000,0.0,0
2019-02-22,118.08,118.48,117.41,117.98,838200,0.0,0
2019-02-25,118.82,118.82,117.53,117.62,872900,0.0,0
2019-02-26,117.09,117.84,116.48,116.74,909600,0.0,0
2019-02-27,116.1,116.99,114.35,115.57,1267700,0.0,0
2019-02-28,115.33,116.52,114.43,115.59,1059300,0.0,0
2019-03-01,117.04,118.29,115.72,116.13,1378900,0.0,0
2019-03-04,116.28,116.78,113.67,114.81,1278600,0.0,0
2019-03-05,115.27,117.04,115.15,116.5,1189600,0.0,0
2019-03-06,116.4,117.06,114.82,114.91,1050100,0.7,0
2019-03-07,114.85,114.92,112.86,113.55,1775200,0.0,0
2019-03-08,112.86,114.49,112.42,114.37,1048000,0.0,0
2019-03-11,114.47,115.11,114.05,114.7,740900,0.0,0
2019-03-12,115.15,115.15,113.22,114.12,902800,0.0,0
2019-03-13,114.8,116.63,114.15,114.94,995600,0.0,0
2019-03-14,114.86,115.09,113.32,114.28,991600,0.0,0
2019-03-15,114.66,116.24,114.59,114.99,1142000,0.0,0
2019-03-18,115.44,116.52,115.19,116.09,1309100,0.0,0
2019-03-19,116.73,117.22,114.79,115.25,1084200,0.0,0
2019-03-20,114.92,114.92,113.05,113.84,1548000,0.0,0
2019-03-21,113.41,115.81,113.13,115.57,728200,0.0,0
2019-03-22,115.09,115.26,112.98,113.42,1423000,0.0,0
2019-03-25,113.02,113.44,111.74,112.36,1559000,0.0,0
2019-03-26,109.72,113.65,109.26,111.0,2616100,0.0,0
2019-03-27,111.35,111.63,108.57,108.92,1860000,0.0,0
2019-03-28,109.21,110.67,108.67,110.35,1342500,0.0,0
2019-03-29,110.73,112.68,110.44,112.48,1558500,0.0,0
2019-04-01,113.63,114.98,113.16,113.45,1615500,0.0,0
2019-04-02,113.45,114.34,113.02,114.09,1090700,0.0,0
2019-04-03,114.78,114.88,113.4,114.45,981900,0.0,0
2019-04-04,114.83,114.83,113.47,113.71,763400,0.0,0
2019-04-05,113.68,115.29,113.68,115.08,911800,0.0,0
2019-04-08,115.09,116.73,114.74,116.21,1843100,0.0,0
2019-04-09,115.35,116.1,112.87,113.17,1229000,0.0,0
2019-04-10,113.68,114.58,113.42,114.34,1015600,0.0,0
2019-04-11,114.69,116.8,114.68,116.72,1264400,0.0,0
2019-04-12,117.55,119.78,117.34,119.67,1757200,0.0,0
2019-04-15,120.1,120.24,119.27,120.18,1550700,0.0,0
2019-04-16,121.0,122.06,120.57,121.8,1654000,0.0,0
2019-04-17,122.32,122.48,120.77,120.94,1982700,0.0,0
2019-04-18,121.3,121.59,117.28,118.73,2415400,0.0,0
2019-04-22,117.82,118.53,117.52,118.16,1351200,0.0,0
2019-04-23,118.72,120.27,118.25,120.2,1235900,0.0,0
2019-04-24,120.45,120.45,117.86,119.23,1235100,0.0,0
2019-04-25,118.88,119.61,117.97,118.51,1142300,0.0,0
2019-04-26,119.1,119.38,118.29,118.9,1126300,0.0,0
2019-04-29,118.91,120.28,118.59,120.0,1618300,0.0,0
2019-04-30,119.61,119.61,117.57,118.68,2259300,0.0,0
2019-05-01,124.89,128.46,123.11,126.62,3795200,0.0,0
2019-05-02,126.42,126.57,123.21,123.42,1803600,0.0,0
2019-05-03,124.43,128.6,124.37,128.45,2134100,0.0,0
2019-05-06,124.95,127.21,124.78,126.76,1224300,0.0,0
2019-05-07,125.65,125.94,123.34,124.91,1309000,0.0,0
2019-05-08,124.44,126.12,123.97,124.95,1065700,0.0,0
2019-05-09,123.8,125.46,122.68,124.96,1057900,0.0,0
2019-05-10,123.93,125.12,121.17,123.72,1508600,0.0,0
2019-05-13,121.3,121.3,117.54,119.62,1761100,0.0,0
2019-05-14,119.92,122.71,119.8,121.28,1504100,0.0,0
2019-05-15,120.09,122.14,119.28,121.46,835200,0.0,0
2019-05-16,122.18,123.89,121.41,123.38,722600,0.0,0
2019-05-17,122.02,123.78,121.84,122.55,752900,0.0,0
2019-05-20,121.39,121.67,120.13,120.81,763800,0.0,0
2019-05-21,121.74,122.85,121.69,122.36,1033500,0.0,0
2019-05-22,121.6,123.01,121.46,122.63,929500,0.0,0
2019-05-23,121.16,122.12,120.41,122.1,1545700,0.0,0
2019-05-24,122.51,123.62,121.29,121.37,718000,0.0,0
2019-05-28,121.8,122.59,120.59,120.79,1179600,0.0,0
2019-05-29,119.99,120.51,118.71,119.54,1015900,0.0,0
2019-05-30,120.18,120.8,119.56,120.66,854100,0.0,0
2019-05-31,119.31,119.92,118.74,119.49,1041500,0.0,0
2019-06-03,119.63,120.37,118.53,119.13,1183800,0.7,0
2019-06-04,120.31,120.31,115.65,119.93,2833800,0.0,0
2019-06-05,120.86,120.86,114.88,116.93,2251100,0.0,0
2019-06-06,116.94,117.31,115.27,117.1,2023900,0.0,0
2019-06-07,117.32,121.4,117.32,119.4,1154600,0.0,0
