Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,214.34,216.43,212.84,215.31,213400,0.0,0
2019-02-06,215.26,217.44,214.34,217.12,208100,0.0,0
2019-02-07,216.59,217.93,214.38,217.31,227400,0.0,0
2019-02-08,216.41,217.71,212.88,216.63,212500,0.0,0
2019-02-11,217.08,217.08,213.25,215.24,266700,0.0,0
2019-02-12,209.74,209.74,203.16,207.44,834300,0.0,0
2019-02-13,208.15,210.93,207.37,209.47,470700,0.0,0
2019-02-14,208.84,210.78,206.75,209.05,285500,0.0,0
2019-02-15,210.9,213.21,209.89,211.87,275600,0.0,0
2019-02-19,210.98,215.24,210.58,214.45,252800,0.0,0
2019-02-20,214.05,216.82,214.01,216.48,185100,0.0,0
2019-02-21,216.45,218.8,215.68,217.61,235000,0.0,0
2019-02-22,218.65,219.6,217.1,218.69,197400,0.0,0
2019-02-25,218.9,220.27,217.31,217.99,320600,0.0,0
2019-02-26,217.73,219.69,217.32,217.61,225600,0.0,0
2019-02-27,217.46,219.7,216.77,219.06,255800,0.0,0
2019-02-28,219.59,221.02,217.89,220.84,231900,0.0,0
2019-03-01,221.35,222.33,218.25,220.13,210000,0.0,0
2019-03-04,219.89,221.52,217.33,219.64,209400,0.0,0
2019-03-05,219.57,221.05,219.06,219.19,298200,1.4,0
2019-03-06,219.9,221.53,218.27,218.29,251100,0.0,0
2019-03-07,218.17,218.17,214.35,214.39,256600,0.0,0
2019-03-08,212.81,214.33,212.22,213.05,281700,0.0,0
2019-03-11,213.41,215.71,212.77,214.18,285400,0.0,0
2019-03-12,214.86,216.49,214.27,214.48,330000,0.0,0
2019-03-13,214.74,216.61,214.4,214.55,275100,0.0,0
2019-03-14,214.81,216.01,214.37,215.24,220000,0.0,0
2019-03-15,214.75,217.86,214.44,215.28,595900,0.0,0
2019-03-18,216.14,217.69,216.14,216.6,239100,0.0,0
2019-03-19,216.97,217.96,214.72,215.12,181600,0.0,0
2019-03-20,214.74,215.25,208.01,208.3,375900,0.0,0
2019-03-21,207.51,212.29,206.51,211.77,223100,0.0,0
