Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,62.58,62.7,61.91,62.49,1233500,0.0,0
2019-02-06,62.27,62.75,61.88,62.22,1191700,0.0,0
2019-02-07,61.94,63.51,61.72,63.42,821700,0.0,0
2019-02-08,63.37,63.61,62.95,63.41,711000,0.0,0
2019-02-11,63.49,64.05,63.27,63.94,561000,0.0,0
2019-02-12,63.91,63.94,62.91,63.04,799300,0.0,0
2019-02-13,62.83,63.26,62.76,63.18,852800,0.0,0
2019-02-14,63.82,64.05,62.87,63.45,1010100,0.0,0
2019-02-15,63.86,64.01,63.15,63.99,1031400,0.0,0
2019-02-19,63.86,64.74,63.81,64.23,967900,0.0,0
2019-02-20,64.23,64.23,63.0,63.52,779700,0.0,0
2019-02-21,63.32,64.1,62.93,64.04,769100,0.0,0
2019-02-22,63.99,64.65,63.79,64.13,519300,0.585,0
2019-02-25,64.35,64.47,63.83,64.03,574300,0.0,0
2019-02-26,64.17,64.23,63.69,64.04,576300,0.0,0
2019-02-27,63.75,63.84,63.02,63.36,696200,0.0,0
2019-02-28,63.82,64.22,63.0,63.52,1284800,0.0,0
2019-03-01,63.59,63.62,61.92,62.48,1038500,0.0,0
2019-03-04,62.48,62.86,62.12,62.81,1000800,0.0,0
2019-03-05,62.81,63.62,62.66,63.37,563600,0.0,0
2019-03-06,63.22,63.56,62.67,62.73,637500,0.0,0
2019-03-07,62.66,63.17,62.16,62.31,850800,0.0,0
2019-03-08,62.29,62.7,61.87,62.08,781800,0.0,0
2019-03-11,62.19,62.98,62.04,62.83,798100,0.0,0
2019-03-12,62.91,63.37,62.88,63.25,524800,0.0,0
2019-03-13,63.23,63.9,63.23,63.59,558700,0.0,0
2019-03-14,63.7,63.76,62.33,63.59,506600,0.0,0
2019-03-15,63.55,63.68,62.89,63.04,1359900,0.0,0
2019-03-18,63.1,64.13,62.44,62.76,825600,0.0,0
2019-03-19,62.75,62.96,62.36,62.63,460600,0.0,0
2019-03-20,62.62,63.99,62.27,63.09,590800,0.0,0
2019-03-21,62.99,64.41,62.65,64.25,1080800,0.0,0
2019-03-22,64.38,65.08,64.12,64.35,712200,0.0,0
2019-03-25,64.4,64.7,63.99,64.37,602600,0.0,0
2019-03-26,64.38,65.4,64.38,65.33,601900,0.0,0
2019-03-27,65.32,65.62,64.97,65.58,714800,0.0,0
2019-03-28,65.73,66.29,65.53,66.24,687500,0.0,0
2019-03-29,66.28,66.52,65.38,65.7,962600,0.0,0
2019-04-01,65.72,66.18,64.75,65.88,694000,0.0,0
2019-04-02,66.05,66.12,64.95,65.86,1556200,0.0,0
2019-04-03,65.95,66.58,65.42,66.15,743800,0.0,0
2019-04-04,66.12,66.26,65.82,66.18,681600,0.0,0
2019-04-05,66.22,67.07,66.08,67.03,593200,0.0,0
