Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,10.9802,11.1872,10.8126,10.9703,1469500,0.0,0
2019-02-06,10.9112,11.0097,10.8027,10.8816,876700,0.0,0
2019-02-07,10.8422,10.9309,10.1621,10.4972,1504900,0.0,0
2019-02-08,10.4872,10.527,10.2882,10.338,1195900,0.1,0
2019-02-11,10.2086,10.6464,10.1987,10.6265,1716400,0.0,0
2019-02-12,10.7758,10.9947,10.4972,10.6066,1684300,0.0,0
2019-02-13,10.6166,10.8852,10.4773,10.537,1364000,0.0,0
2019-02-14,10.4972,10.7161,10.4474,10.5171,1148500,0.0,0
2019-02-15,10.6663,10.8454,10.4076,10.527,1262000,0.0,0
2019-02-19,10.4574,10.7161,10.3579,10.5867,1713500,0.0,0
2019-02-20,10.5867,11.1439,10.5867,11.0245,2110000,0.0,0
2019-02-21,10.9748,11.0743,10.5967,10.7161,1225000,0.0,0
2019-02-22,11.0444,11.0444,10.726,10.736,870500,0.0,0
2019-02-25,10.4773,10.8952,10.4773,10.7459,699800,0.0,0
2019-02-26,10.7658,10.8653,10.3778,10.3877,905400,0.0,0
2019-02-27,10.4574,10.9549,10.3977,10.8056,1538300,0.0,0
2019-02-28,10.8653,10.9051,10.4773,10.6962,3129500,0.0,0
2019-03-01,10.7857,10.8952,10.527,10.6763,1367600,0.0,0
2019-03-04,10.736,10.935,10.5668,10.7559,981700,0.0,0
2019-03-05,10.7658,10.8355,10.3678,10.4574,1158100,0.0,0
2019-03-06,10.3678,10.4275,9.7808,9.8803,1642700,0.0,0
2019-03-07,9.8604,9.9499,9.7112,9.7908,1544500,0.0,0
2019-03-08,9.5022,9.6813,9.5022,9.6216,1305700,0.0,0
2019-03-11,9.6714,9.8604,9.4027,9.7311,1568700,0.0,0
2019-03-12,9.741,9.8405,9.6415,9.741,1010000,0.0,0
2019-03-13,10.0594,10.6862,9.7012,9.8306,1648000,0.0,0
2019-03-14,10.0693,10.6763,9.8504,9.9201,1636500,0.0,0
2019-03-15,9.8704,9.9798,9.8107,9.8505,1807300,0.0,0
2019-03-18,9.8704,10.2584,9.8604,10.2086,1201600,0.0,0
2019-03-19,10.2285,10.338,10.0096,10.1489,1548200,0.0,0
2019-03-20,10.1887,10.5569,10.1788,10.4275,1095800,0.0,0
2019-03-21,10.3778,10.4972,10.2385,10.4375,1181100,0.0,0
2019-03-22,10.3579,10.4076,10.0096,10.0196,1721100,0.0,0
2019-03-25,9.9599,10.1688,9.8405,10.139,974300,0.0,0
2019-03-26,10.4076,10.8753,10.3081,10.7758,1814400,0.0,0
2019-03-27,10.7857,11.0842,10.6763,10.9847,2268000,0.0,0
2019-03-28,10.8653,11.4026,10.8454,11.323,1736600,0.0,0
2019-03-29,11.7111,11.7111,11.1937,11.3529,1649500,0.0,0
2019-04-01,11.4723,12.1091,11.3529,11.9598,2761500,0.0,0
2019-04-02,11.9698,12.0892,11.731,11.7608,2563100,0.0,0
2019-04-03,11.8603,11.93,11.5121,11.6016,1566700,0.0,0
2019-04-04,12.1986,13.0444,11.9797,12.2384,3602400,0.0,0
2019-04-05,12.2583,12.6862,12.0892,12.6464,2925200,0.0,0
2019-04-08,12.726,12.9051,12.6265,12.8056,1312100,0.0,0
2019-04-09,12.7061,12.7359,12.2583,12.3081,1508200,0.0,0
2019-04-10,12.3877,12.716,12.3578,12.5071,1621600,0.0,0
2019-04-11,12.4076,12.6663,12.2882,12.3877,1651500,0.0,0
2019-04-12,12.6464,12.9349,12.2285,12.4673,1353500,0.0,0
2019-04-15,12.1887,12.527,11.8106,12.3777,1360900,0.0,0
2019-04-16,12.527,12.8056,12.4275,12.6563,1271700,0.0,0
2019-04-17,12.716,12.8155,12.4474,12.6066,1318700,0.0,0
2019-04-18,12.6165,12.8951,12.3479,12.3976,1192100,0.0,0
2019-04-22,12.5469,12.7558,12.3877,12.6563,1328500,0.0,0
2019-04-23,12.6364,12.9349,12.5668,12.8255,1166800,0.0,0
2019-04-24,11.5917,11.7608,10.2783,10.5469,9003100,0.0,0
2019-04-25,10.4275,10.8952,10.338,10.4773,3402100,0.0,0
2019-04-26,10.4773,10.7061,10.3579,10.6464,2146800,0.0,0
2019-04-29,10.6166,10.8255,10.5469,10.5768,1565000,0.0,0
2019-04-30,10.726,10.726,10.1788,10.2385,1419300,0.0,0
2019-05-01,10.2882,10.3479,10.0693,10.0892,1398300,0.0,0
2019-05-02,10.0295,10.2584,9.9599,10.2086,1567000,0.0,0
2019-05-03,10.2982,10.4076,10.1589,10.2882,1119400,0.0,0
2019-05-06,10.1091,10.4176,10.0097,10.3678,1568100,0.0,0
2019-05-07,10.1688,10.3678,9.9499,10.3081,1473000,0.0,0
2019-05-08,10.338,10.3877,9.7709,9.94,1582600,0.0,0
2019-05-09,9.88,10.0,9.72,9.89,1335400,0.05,0
2019-05-10,9.85,9.85,9.42,9.63,1738400,0.0,0
2019-05-13,9.6,9.72,9.22,9.25,1737600,0.0,0
2019-05-14,9.31,9.68,9.28,9.63,1248100,0.0,0
2019-05-15,9.47,9.76,9.47,9.71,855700,0.0,0
2019-05-16,9.74,9.79,9.6,9.66,1140200,0.0,0
2019-05-17,9.52,9.56,9.09,9.12,1416000,0.0,0
2019-05-20,9.07,9.21,8.96,9.0,952300,0.0,0
2019-05-21,9.03,9.15,8.99,9.03,1168900,0.0,0
2019-05-22,9.0,9.0,8.39,8.47,1328500,0.0,0
2019-05-23,8.23,8.23,7.86,8.06,1729600,0.0,0
2019-05-24,8.31,8.4,7.98,8.01,1524100,0.0,0
2019-05-28,8.03,8.03,7.75,7.96,1190000,0.0,0
2019-05-29,7.77,7.96,7.63,7.91,1206300,0.0,0
2019-05-30,7.82,8.05,7.54,7.62,1607900,0.0,0
2019-05-31,7.38,7.56,7.33,7.44,4386600,0.0,0
2019-06-03,7.58,7.68,7.38,7.5,1654100,0.0,0
2019-06-04,7.63,7.95,7.56,7.69,2184400,0.0,0
2019-06-05,7.72,7.85,7.5,7.6,2211800,0.0,0
2019-06-06,7.61,7.72,7.21,7.49,1840200,0.0,0
2019-06-07,7.52,7.63,7.26,7.53,1994200,0.0,0
2019-06-10,7.55,7.57,7.25,7.32,3212400,0.0,0
2019-06-11,7.45,7.66,7.31,7.35,1389400,0.0,0
2019-06-12,7.33,7.33,6.77,6.83,1703300,0.0,0
2019-06-13,6.96,7.17,6.81,7.15,2060700,0.0,0
2019-06-14,7.13,7.13,6.8,6.84,1910800,0.0,0
2019-06-17,6.84,7.25,6.78,7.13,1770500,0.0,0
2019-06-18,7.13,7.41,6.94,7.04,2134900,0.0,0
2019-06-19,7.04,7.06,6.7,6.92,2115200,0.0,0
2019-06-20,7.08,7.26,6.98,7.01,1772900,0.0,0
2019-06-21,7.0,7.09,6.79,7.03,3455400,0.0,0
2019-06-24,7.05,7.3,6.94,7.06,1900600,0.0,0
2019-06-25,6.99,7.21,6.9,7.11,1622400,0.0,0
2019-06-26,7.32,7.49,7.16,7.17,1373700,0.0,0
2019-06-27,7.13,7.29,7.08,7.12,1135700,0.0,0
2019-06-28,7.15,7.26,7.05,7.21,8230600,0.0,0
2019-07-01,7.42,7.53,7.05,7.25,2511000,0.0,0
2019-07-02,7.21,7.25,6.76,6.83,2114200,0.0,0
2019-07-03,6.84,6.9,6.75,6.81,1186000,0.0,0
2019-07-05,6.78,6.98,6.76,6.98,1031300,0.0,0
2019-07-08,6.93,7.13,6.88,6.96,1369100,0.0,0
2019-07-09,6.89,6.9,6.61,6.68,2027300,0.0,0
2019-07-10,6.81,6.9,6.66,6.79,1155300,0.0,0
2019-07-11,6.78,6.84,6.62,6.68,1205700,0.0,0
2019-07-12,6.64,6.77,6.52,6.64,1254700,0.0,0
2019-07-15,6.69,6.75,6.28,6.38,2072800,0.0,0
2019-07-16,6.35,6.67,6.26,6.36,1843100,0.0,0
2019-07-17,6.34,6.46,6.21,6.22,1770700,0.0,0
2019-07-18,6.15,6.25,5.95,6.11,2104000,0.0,0
