Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,140.96,141.44,140.01,141.21,283500,0.0,0
2019-02-06,141.3,141.91,139.95,140.95,423200,0.6,0
2019-02-07,140.45,141.98,139.49,141.74,461100,0.0,0
2019-02-08,141.04,142.15,138.83,140.49,267100,0.0,0
2019-02-11,141.23,141.23,138.8,139.93,263900,0.0,0
2019-02-12,140.81,143.04,140.77,142.39,390200,0.0,0
2019-02-13,142.96,143.2,139.78,140.66,469000,0.0,0
2019-02-14,140.21,140.98,139.36,139.53,331800,0.0,0
2019-02-15,140.7,143.0,140.7,142.51,325500,0.0,0
2019-02-19,142.05,142.28,140.37,141.04,654000,0.0,0
2019-02-20,141.11,143.02,140.85,142.59,281800,0.0,0
2019-02-21,142.3,142.75,140.64,141.54,247400,0.0,0
2019-02-22,142.02,142.35,141.05,142.26,244600,0.0,0
2019-02-25,143.01,143.26,141.64,142.4,235500,0.0,0
2019-02-26,141.6,142.67,140.64,141.31,197600,0.0,0
2019-02-27,140.93,141.84,140.76,141.73,216300,0.0,0
2019-02-28,141.52,143.27,141.17,142.63,392300,0.0,0
2019-03-01,143.62,144.62,142.29,143.38,281700,0.0,0
2019-03-04,143.55,145.43,142.61,143.57,662200,0.0,0
2019-03-05,143.5,144.33,142.67,142.71,359700,0.0,0
2019-03-06,142.6,144.75,142.06,142.45,358700,0.0,0
2019-03-07,141.91,142.88,140.59,142.12,518100,0.0,0
2019-03-08,140.67,142.02,140.29,141.17,232900,0.0,0
2019-03-11,141.58,142.32,140.58,141.81,285600,0.0,0
2019-03-12,142.15,142.5,141.09,141.21,320600,0.0,0
2019-03-13,141.5,142.36,141.05,141.17,314200,0.0,0
2019-03-14,141.12,142.52,140.37,142.42,306100,0.0,0
2019-03-15,142.42,144.2,142.42,143.44,458600,0.0,0
2019-03-18,144.03,145.32,144.01,144.99,299000,0.0,0
2019-03-19,145.58,145.58,142.9,143.19,205900,0.0,0
2019-03-20,143.19,143.54,140.81,140.87,273600,0.0,0
2019-03-21,140.22,143.16,140.02,143.06,208800,0.0,0
2019-03-22,142.08,142.43,139.53,139.98,344800,0.0,0
2019-03-25,139.93,140.52,138.41,138.95,305400,0.0,0
2019-03-26,139.38,140.11,138.03,138.97,163100,0.0,0
2019-03-27,139.12,139.91,138.4,138.86,189600,0.0,0
2019-03-28,138.96,139.62,138.22,139.2,161900,0.0,0
2019-03-29,140.14,140.72,139.23,140.16,340600,0.0,0
2019-04-01,141.66,143.03,141.22,142.89,241800,0.0,0
2019-04-02,142.91,142.91,140.99,141.74,337100,0.0,0
2019-04-03,142.91,142.91,140.77,141.12,703200,0.0,0
2019-04-04,141.9,143.3,141.72,143.12,241200,0.0,0
2019-04-05,143.14,144.44,142.79,143.65,316000,0.0,0
2019-04-08,143.88,144.88,143.2,144.27,325800,0.0,0
2019-04-09,144.26,144.26,142.02,142.44,248900,0.0,0
2019-04-10,142.69,144.78,142.26,144.34,265900,0.0,0
2019-04-11,144.55,146.08,144.55,145.67,254700,0.0,0
2019-04-12,147.1,147.69,146.16,146.95,179300,0.0,0
2019-04-15,146.71,148.01,146.41,146.84,170200,0.0,0
2019-04-16,146.84,148.68,146.84,148.68,183600,0.0,0
2019-04-17,148.65,149.38,148.36,148.67,242400,0.0,0
2019-04-18,149.06,150.18,148.07,149.66,315100,0.0,0
2019-04-22,148.79,149.51,148.36,149.26,314600,0.0,0
2019-04-23,149.4,150.49,148.03,148.39,461400,0.0,0
2019-04-24,147.79,148.07,146.88,147.29,231200,0.0,0
2019-04-25,146.47,147.3,145.5,146.31,216800,0.0,0
2019-04-26,146.12,148.48,145.96,148.48,111300,0.0,0
2019-04-29,149.04,149.85,148.77,149.13,345600,0.0,0
2019-04-30,149.16,150.69,145.42,149.56,454000,0.0,0
2019-05-01,149.37,150.25,146.93,146.93,279100,0.0,0
2019-05-02,147.64,149.9,146.84,147.53,186000,0.0,0
2019-05-03,147.91,149.06,146.6,148.75,132100,0.0,0
2019-05-06,147.0,148.95,146.49,148.22,228600,0.0,0
2019-05-07,147.27,149.29,146.3,146.67,227000,0.0,0
2019-05-08,146.27,147.11,145.54,145.71,240100,0.6,0
2019-05-09,143.38,145.87,142.11,145.11,179000,0.0,0
2019-05-10,144.45,147.55,143.96,147.12,293000,0.0,0
2019-05-13,144.42,145.0,142.63,142.99,259100,0.0,0
2019-05-14,143.2,145.8,143.16,144.92,324400,0.0,0
2019-05-15,143.66,146.57,143.62,146.19,239400,0.0,0
2019-05-16,147.13,149.94,146.46,149.38,339000,0.0,0
2019-05-17,148.1,151.02,147.91,150.07,322300,0.0,0
2019-05-20,149.5,151.01,148.61,150.79,326300,0.0,0
2019-05-21,151.07,152.25,150.42,151.23,189500,0.0,0
2019-05-22,150.73,151.02,149.24,150.35,190500,0.0,0
2019-05-23,149.05,149.32,146.74,147.85,192500,0.0,0
2019-05-24,148.98,149.7,147.7,149.46,131500,0.0,0
2019-05-28,149.58,150.0,147.1,147.48,308900,0.0,0
2019-05-29,146.91,148.19,146.38,147.87,187400,0.0,0
2019-05-30,147.79,149.5,146.21,147.02,180900,0.0,0
2019-05-31,145.87,147.67,144.49,146.75,347300,0.0,0
2019-06-03,146.97,148.42,145.8,148.36,319900,0.0,0
2019-06-04,149.66,149.66,147.32,148.9,337400,0.0,0
2019-06-05,148.74,149.91,147.14,149.49,366400,0.0,0
2019-06-06,149.15,149.98,147.72,149.58,344900,0.0,0
2019-06-07,149.76,150.65,149.1,149.91,241400,0.0,0
2019-06-10,150.73,151.03,149.27,149.56,142300,0.0,0
2019-06-11,150.6,150.6,148.7,149.59,204400,0.0,0
2019-06-12,149.75,149.75,148.16,149.75,310700,0.0,0
2019-06-13,150.37,150.65,149.16,150.43,345600,0.0,0
2019-06-14,150.66,152.35,149.72,152.09,214500,0.0,0
2019-06-17,152.41,152.77,150.53,150.72,175000,0.0,0
2019-06-18,150.66,153.62,149.06,151.71,320300,0.0,0
2019-06-19,152.51,153.69,150.98,151.49,264900,0.0,0
2019-06-20,152.52,154.07,150.35,153.91,254100,0.0,0
2019-06-21,153.28,154.22,150.72,150.97,407900,0.0,0
2019-06-24,151.05,152.34,150.32,150.55,232700,0.0,0
2019-06-25,151.16,151.94,150.2,150.28,445100,0.0,0
2019-06-26,150.68,151.14,148.36,148.36,458000,0.0,0
2019-06-27,148.45,153.42,148.45,153.17,402800,0.0,0
2019-06-28,154.05,155.58,153.2,154.65,423500,0.0,0
2019-07-01,156.61,157.32,154.32,155.75,316200,0.0,0
2019-07-02,155.82,155.84,153.79,155.13,230800,0.0,0
2019-07-03,155.62,156.68,154.49,156.54,114700,0.0,0
2019-07-05,156.52,157.27,154.85,157.27,170400,0.0,0
2019-07-08,156.86,157.29,154.96,156.11,214300,0.0,0
2019-07-09,155.61,157.37,155.2,157.12,218300,0.0,0
2019-07-10,157.12,158.13,156.48,156.9,189500,0.0,0
2019-07-11,157.55,157.64,155.47,156.58,164000,0.0,0
2019-07-12,157.08,158.64,156.64,158.39,161700,0.0,0
2019-07-15,158.98,158.98,157.18,157.49,150400,0.0,0
2019-07-16,157.86,158.19,157.27,157.75,176500,0.0,0
2019-07-17,157.11,157.14,155.37,155.75,165200,0.0,0
2019-07-18,156.19,156.92,155.5,156.81,280900,0.0,0
2019-07-19,156.95,157.75,155.03,155.14,216600,0.0,0
2019-07-22,155.42,156.52,154.53,155.76,245800,0.0,0
2019-07-23,156.23,157.5,155.75,157.14,250800,0.0,0
2019-07-24,157.28,158.25,156.02,157.41,162400,0.0,0
2019-07-25,157.4,158.68,156.7,157.85,340600,0.0,0
2019-07-26,158.14,161.7,157.69,161.55,329800,0.0,0
2019-07-29,161.43,162.01,156.84,158.44,418900,0.0,0
2019-07-30,150.28,157.53,144.56,152.27,712900,0.0,0
2019-07-31,152.11,155.79,151.64,154.54,414200,0.0,0
2019-08-01,154.31,154.31,150.4,150.81,395600,0.0,0
2019-08-02,150.39,150.81,148.32,150.04,195500,0.0,0
2019-08-05,147.76,148.31,145.03,146.12,388200,0.0,0
2019-08-06,146.58,147.82,144.81,147.55,347800,0.0,0
2019-08-07,145.26,147.17,143.92,146.41,356300,0.7,0
2019-08-08,147.96,150.03,147.79,149.28,453100,0.0,0
2019-08-09,148.52,148.77,147.8,147.82,217600,0.0,0
2019-08-12,146.68,148.0,146.22,146.87,277200,0.0,0
2019-08-13,146.42,149.16,146.35,147.25,391700,0.0,0
2019-08-14,144.55,146.21,143.76,143.91,288200,0.0,0
2019-08-15,144.62,145.65,143.66,144.94,340600,0.0,0
2019-08-16,145.36,148.51,145.16,148.07,223000,0.0,0
2019-08-19,149.86,150.0,147.43,148.78,331200,0.0,0
2019-08-20,148.74,149.45,147.21,147.28,296300,0.0,0
2019-08-21,148.21,149.46,147.27,148.48,295500,0.0,0
2019-08-22,149.01,150.22,147.48,149.27,193500,0.0,0
2019-08-23,148.53,151.01,146.31,146.67,291200,0.0,0
2019-08-26,147.76,148.74,146.29,148.64,196300,0.0,0
2019-08-27,148.92,149.59,146.55,148.22,386400,0.0,0
2019-08-28,147.57,149.76,147.12,149.65,450400,0.0,0
2019-08-29,150.94,151.63,150.35,151.07,304400,0.0,0
2019-08-30,151.57,153.44,151.32,153.33,390200,0.0,0
2019-09-03,152.52,152.68,150.14,151.66,447100,0.0,0
2019-09-04,153.01,154.7,151.69,153.26,420600,0.0,0
2019-09-05,153.36,156.58,153.2,154.43,420500,0.0,0
2019-09-06,154.68,156.42,154.53,155.18,296700,0.0,0
2019-09-09,156.11,157.72,154.66,157.56,366900,0.0,0
2019-09-10,157.93,158.16,155.48,157.48,321200,0.0,0
2019-09-11,158.06,158.64,156.0,158.63,229500,0.0,0
2019-09-12,158.77,158.95,157.07,158.54,304200,0.0,0
2019-09-13,159.33,160.34,158.03,158.95,509200,0.0,0
2019-09-16,158.12,159.06,157.41,158.04,360500,0.0,0
2019-09-17,157.92,158.41,157.03,158.26,298100,0.0,0
2019-09-18,157.92,158.61,157.15,158.27,257700,0.0,0
2019-09-19,158.45,159.34,157.27,157.45,211600,0.0,0
2019-09-20,158.28,158.82,156.8,158.0,490700,0.0,0
2019-09-23,156.84,159.45,156.84,158.76,243800,0.0,0
2019-09-24,158.76,160.06,158.15,159.21,304200,0.0,0
2019-09-25,159.49,161.15,159.3,160.27,381500,0.0,0
2019-09-26,160.07,161.29,159.37,159.82,427900,0.0,0
2019-09-27,160.4,161.71,159.46,159.79,232800,0.0,0
2019-09-30,160.23,160.94,159.04,159.22,398600,0.0,0
2019-10-01,159.97,160.8,156.34,156.37,188300,0.0,0
2019-10-02,155.44,156.22,152.31,153.44,302500,0.0,0
2019-10-03,152.73,153.9,151.77,153.44,255700,0.0,0
2019-10-04,153.61,155.5,153.27,155.39,186300,0.0,0
2019-10-07,154.77,155.3,153.81,153.88,241300,0.0,0
2019-10-08,152.25,152.62,150.36,150.42,212800,0.0,0
2019-10-09,151.86,152.24,151.04,151.29,125200,0.0,0
2019-10-10,151.42,153.13,151.3,151.51,176600,0.0,0
2019-10-11,153.77,155.32,152.46,154.1,375200,0.0,0
2019-10-14,153.55,154.48,153.28,154.22,204000,0.0,0
2019-10-15,154.38,156.5,154.21,155.71,167000,0.0,0
2019-10-16,155.36,156.27,154.45,156.06,172400,0.0,0
2019-10-17,156.83,157.22,154.79,155.76,188100,0.0,0
2019-10-18,155.43,157.08,155.1,156.08,107400,0.0,0
2019-10-21,157.52,158.25,156.56,157.73,166500,0.0,0
2019-10-22,157.58,159.21,156.44,156.89,170400,0.0,0
2019-10-23,156.61,158.02,155.66,156.0,146000,0.0,0
2019-10-24,156.45,157.03,155.44,156.19,147800,0.0,0
2019-10-25,156.06,156.7,155.32,156.56,222400,0.0,0
2019-10-28,157.62,159.52,157.1,158.69,296800,0.0,0
2019-10-29,158.3,161.75,158.3,161.61,350100,0.0,0
2019-10-30,161.25,163.04,159.86,162.4,315400,0.0,0
2019-10-31,161.11,164.03,159.13,161.79,551700,0.0,0
2019-11-01,163.25,164.57,162.63,164.11,292800,0.0,0
2019-11-04,165.53,166.27,164.36,166.07,367500,0.0,0
2019-11-05,166.43,168.38,163.42,164.48,435100,0.0,0
2019-11-06,164.12,168.1,163.8,167.26,378900,0.0,0
2019-11-07,167.63,168.56,166.58,167.62,201700,0.0,0
2019-11-08,167.25,168.03,166.61,167.95,155400,0.7,0
2019-11-11,166.93,168.16,166.89,168.08,169000,0.0,0
2019-11-12,168.25,168.44,166.9,167.16,286100,0.0,0
2019-11-13,166.08,166.9,164.93,166.24,201900,0.0,0
2019-11-14,166.18,166.28,165.15,165.84,200400,0.0,0
2019-11-15,165.84,166.79,164.62,165.08,316100,0.0,0
2019-11-18,164.32,164.95,162.93,163.31,334700,0.0,0
2019-11-19,164.09,165.63,163.56,163.9,255300,0.0,0
2019-11-20,163.35,164.06,162.21,163.55,331000,0.0,0
2019-11-21,164.01,164.32,162.38,163.93,258700,0.0,0
2019-11-22,164.0,165.54,163.03,165.03,322800,0.0,0
2019-11-25,164.45,166.07,164.06,164.44,303900,0.0,0
2019-11-26,164.34,165.33,163.67,165.26,384500,0.0,0
2019-11-27,165.98,168.13,165.04,167.3,234000,0.0,0
2019-11-29,167.12,167.63,165.41,165.46,104800,0.0,0
2019-12-02,165.91,166.89,163.99,164.15,334600,0.0,0
2019-12-03,162.84,163.13,160.44,161.21,236600,0.0,0
2019-12-04,161.49,163.3,160.56,161.98,414400,0.0,0
