Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,8.91,8.96,8.74,8.84,8108500,0,0
2019-02-06,8.73,8.87,8.68,8.83,6598300,0,0
2019-02-07,8.7,8.75,8.03,8.35,14561000,0,0
2019-02-08,8.25,8.33,8.05,8.28,7745200,0,0
2019-02-11,8.14,8.41,8.11,8.21,9508500,0,0
2019-02-12,8.37,8.51,8.29,8.3,8458000,0,0
2019-02-13,8.37,8.63,8.31,8.35,10410400,0,0
2019-02-14,8.33,8.57,8.29,8.54,9816300,0,0
2019-02-15,8.64,9.05,8.64,8.93,16070800,0,0
2019-02-19,8.72,8.87,8.53,8.73,18085200,0,0
2019-02-20,8.84,9.02,8.65,8.69,15263600,0,0
2019-02-21,8.64,8.87,8.43,8.5,16905100,0,0
2019-02-22,8.65,8.66,8.2,8.25,17345200,0,0
2019-02-25,8.21,8.42,8.2,8.32,12175200,0,0
2019-02-26,8.32,8.38,8.11,8.15,11814300,0,0
2019-02-27,8.2,8.38,8.12,8.24,9671400,0,0
2019-02-28,8.28,8.29,7.92,8.17,15026400,0,0
2019-03-01,8.24,8.46,8.2,8.36,17205800,0,0
2019-03-04,8.42,8.69,8.4,8.66,16373300,0,0
2019-03-05,8.68,8.81,8.61,8.68,15658000,0,0
2019-03-06,8.63,8.67,8.37,8.37,12521400,0,0
2019-03-07,8.39,8.44,8.15,8.37,12451200,0,0
2019-03-08,8.16,8.27,7.93,8.1,11494000,0,0
2019-03-11,8.27,8.63,8.18,8.63,12970600,0,0
2019-03-12,8.66,9.16,8.65,9.01,21877500,0,0
2019-03-13,9.14,9.28,8.98,9.11,14750500,0,0
2019-03-14,9.14,9.2,8.99,9.04,10648800,0,0
2019-03-15,9.0,9.13,8.97,9.01,10079100,0,0
2019-03-18,9.0,9.53,9.0,9.49,13947400,0,0
2019-03-19,9.59,9.69,9.23,9.32,12675400,0,0
2019-03-20,9.28,9.58,9.16,9.46,12694300,0,0
2019-03-21,9.42,9.59,9.37,9.49,9231500,0,0
2019-03-22,9.36,9.43,8.83,8.94,15673900,0,0
2019-03-25,8.87,8.94,8.68,8.83,10453800,0,0
2019-03-26,8.99,9.3,8.87,8.93,10167500,0,0
2019-03-27,8.93,9.07,8.69,8.81,7469600,0,0
2019-03-28,8.7,8.87,8.54,8.82,10638500,0,0
2019-03-29,9.0,9.06,8.67,8.71,8240500,0,0
2019-04-01,8.86,9.29,8.84,9.26,14762000,0,0
2019-04-02,9.22,9.34,9.03,9.11,10521400,0,0
2019-04-03,9.2,9.29,8.93,8.96,10610200,0,0
2019-04-04,9.0,9.06,8.74,9.05,10009800,0,0
2019-04-05,9.08,9.28,9.02,9.14,8817700,0,0
2019-04-08,9.18,9.32,9.01,9.08,10165000,0,0
2019-04-09,9.0,9.14,8.88,9.0,9777000,0,0
2019-04-10,9.11,9.14,8.85,8.86,11049400,0,0
2019-04-11,8.82,9.03,8.65,8.84,14679200,0,0
2019-04-12,9.0,9.1,8.79,8.82,10018800,0,0
2019-04-15,8.8,8.8,8.55,8.6,8557700,0,0
2019-04-16,8.69,8.73,8.42,8.7,10695500,0,0
2019-04-17,8.76,8.95,8.65,8.69,8628200,0,0
2019-04-18,8.78,8.91,8.7,8.84,10008600,0,0
2019-04-22,9.01,9.67,8.97,9.62,21662400,0,0
2019-04-23,9.59,9.79,9.53,9.65,15530300,0,0
2019-04-24,9.62,9.69,9.17,9.18,11338400,0,0
2019-04-25,9.2,9.21,8.92,8.93,11385700,0,0
2019-04-26,8.85,8.89,8.58,8.8,12168300,0,0
2019-04-29,8.83,8.84,8.65,8.8,12567700,0,0
2019-04-30,8.8,8.83,7.81,7.86,40351600,0,0
2019-05-01,7.86,8.15,7.59,7.64,21390500,0,0
2019-05-02,7.49,7.54,7.2,7.48,26014900,0,0
2019-05-03,7.6,7.85,7.42,7.76,16355000,0,0
2019-05-06,7.56,7.63,7.44,7.59,13729300,0,0
2019-05-07,7.47,7.48,7.25,7.37,16042000,0,0
2019-05-08,7.36,7.71,7.33,7.59,14733300,0,0
2019-05-09,7.5,7.64,7.32,7.63,11905600,0,0
2019-05-10,7.58,7.61,7.28,7.46,11095000,0,0
2019-05-13,7.33,7.41,6.93,7.06,16754600,0,0
2019-05-14,7.18,7.55,7.16,7.39,14007900,0,0
2019-05-15,7.27,7.52,7.23,7.41,8521900,0,0
2019-05-16,7.48,7.75,7.48,7.54,9503600,0,0
2019-05-17,7.44,7.7,7.41,7.41,8260900,0,0
2019-05-20,7.39,7.5,7.3,7.39,7233200,0,0
2019-05-21,7.43,7.83,7.43,7.63,12255600,0,0
2019-05-22,7.55,7.59,7.24,7.3,9593600,0,0
2019-05-23,7.07,7.11,6.57,6.85,26190200,0,0
2019-05-24,6.98,7.08,6.68,6.75,11667500,0,0
2019-05-28,6.8,6.89,6.65,6.69,11454000,0,0
2019-05-29,6.56,6.76,6.4,6.75,16346600,0,0
2019-05-30,6.73,6.98,6.56,6.63,18012500,0,0
2019-05-31,6.43,6.51,6.13,6.2,27773300,0,0
2019-06-03,6.26,6.35,6.14,6.3,19063100,0,0
2019-06-04,6.37,6.48,6.23,6.26,17960500,0,0
