Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,93.6,95.02,93.56,93.95,1709900,0.0,0
2019-02-06,94.05,95.07,93.97,94.74,1089500,0.37,0
2019-02-07,94.67,95.22,93.75,94.87,1159400,0.0,0
2019-02-08,95.8,96.34,94.82,95.95,1538000,0.0,0
2019-02-11,95.98,96.87,95.77,96.35,1095600,0.0,0
2019-02-12,97.08,97.5,96.26,97.34,1202200,0.0,0
2019-02-13,97.61,98.52,96.95,98.05,1193400,0.0,0
2019-02-14,98.11,99.01,97.76,98.56,1011500,0.0,0
2019-02-15,99.06,99.6,98.68,99.56,853200,0.0,0
2019-02-19,99.55,100.18,98.76,98.87,1030400,0.0,0
2019-02-20,98.55,98.94,97.59,98.89,1354600,0.0,0
2019-02-21,98.95,99.39,98.63,99.21,966600,0.0,0
2019-02-22,99.41,100.56,99.19,100.34,604000,0.0,0
2019-02-25,100.47,101.23,100.46,100.76,583900,0.0,0
2019-02-26,100.83,100.83,99.45,99.91,835600,0.0,0
2019-02-27,99.64,101.18,99.64,100.92,832500,0.0,0
2019-02-28,102.09,102.56,101.19,101.52,1812500,0.0,0
2019-03-01,101.89,102.38,101.31,102.2,672800,0.0,0
2019-03-04,102.69,102.79,100.12,101.0,916800,0.0,0
2019-03-05,101.0,101.77,99.72,101.52,668000,0.0,0
2019-03-06,101.54,101.54,99.68,99.72,758900,0.0,0
2019-03-07,99.71,100.17,98.93,99.6,1143200,0.0,0
2019-03-08,99.4,100.44,99.19,100.11,998800,0.0,0
2019-03-11,100.25,101.0,99.94,100.5,1099800,0.0,0
2019-03-12,100.95,102.24,100.87,101.86,983800,0.0,0
2019-03-13,102.05,102.57,101.49,101.72,872200,0.0,0
2019-03-14,101.66,101.66,100.07,100.11,972500,0.0,0
2019-03-15,100.01,100.83,99.31,99.48,2279400,0.0,0
2019-03-18,99.47,99.72,96.08,96.54,1915700,0.0,0
2019-03-19,96.79,97.32,96.21,97.03,1101100,0.0,0
2019-03-20,98.25,99.91,97.58,97.93,1467600,0.0,0
2019-03-21,97.6,100.33,97.6,100.08,676800,0.0,0
2019-03-22,99.86,101.01,99.22,99.25,599200,0.0,0
2019-03-25,99.09,100.86,98.59,100.52,560600,0.0,0
2019-03-26,101.08,102.54,100.97,101.41,658300,0.0,0
2019-03-27,100.88,101.42,99.57,100.6,630800,0.0,0
2019-03-28,100.83,101.86,100.81,101.79,539100,0.0,0
2019-03-29,102.08,103.16,101.85,103.05,985400,0.0,0
2019-04-01,103.93,104.25,102.91,103.74,700300,0.0,0
2019-04-02,103.5,104.32,102.93,104.08,624400,0.0,0
2019-04-03,104.28,104.47,101.87,102.09,1783800,0.0,0
2019-04-04,100.78,101.52,99.96,100.4,720200,0.0,0
2019-04-05,99.73,101.03,98.97,100.02,975500,0.0,0
