Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,138.41,140.61,138.15,140.42,261300,0.0,0
2019-02-06,140.4,140.73,139.38,140.52,204500,0.0,0
2019-02-07,139.96,141.64,139.62,141.54,331800,0.0,0
2019-02-08,141.14,141.7,139.63,141.31,204400,0.0,0
2019-02-11,142.38,142.69,140.77,142.28,257700,0.0,0
2019-02-12,143.66,143.67,141.43,142.23,259000,0.0,0
2019-02-13,142.73,143.83,141.73,142.67,301000,0.0,0
2019-02-14,142.18,143.24,141.31,141.45,296300,0.0,0
2019-02-15,142.54,142.89,140.63,141.06,537000,0.0,0
2019-02-19,141.07,143.4,140.98,143.02,265700,0.0,0
2019-02-20,143.3,144.65,142.97,144.02,195000,0.0,0
2019-02-21,144.13,145.24,143.51,143.86,172900,0.0,0
2019-02-22,144.35,145.04,142.92,143.95,185400,0.0,0
2019-02-25,144.1,145.22,143.1,144.62,229900,0.0,0
2019-02-26,144.38,145.34,144.16,144.53,171900,0.0,0
2019-02-27,143.92,145.14,143.77,144.8,202100,0.0,0
2019-02-28,144.9,146.5,144.35,145.9,280200,0.0,0
2019-03-01,146.7,146.7,144.04,144.96,187200,0.0,0
2019-03-04,144.98,146.2,142.5,143.8,211600,0.0,0
2019-03-05,143.71,145.49,143.31,144.35,247300,0.0,0
2019-03-06,144.33,145.03,143.35,143.58,142800,0.0,0
2019-03-07,143.13,143.75,140.9,141.0,166700,0.0,0
2019-03-08,140.09,142.0,140.09,141.56,147900,0.0,0
2019-03-11,141.97,143.79,141.58,143.65,193300,0.0,0
2019-03-12,143.63,144.5,142.88,143.47,160300,0.0,0
2019-03-13,143.78,145.89,143.72,144.18,317700,0.0,0
2019-03-14,144.35,145.76,143.87,145.49,220800,0.34,0
2019-03-15,145.49,147.16,145.11,145.82,758500,0.0,0
2019-03-18,145.94,146.47,144.65,145.23,218000,0.0,0
2019-03-19,145.84,145.84,143.5,143.95,158700,0.0,0
2019-03-20,143.92,143.92,141.1,141.45,190300,0.0,0
2019-03-21,140.52,143.66,140.52,143.12,235500,0.0,0
2019-03-22,142.55,143.74,142.33,142.53,137500,0.0,0
2019-03-25,142.67,143.59,142.39,143.31,149500,0.0,0
2019-03-26,144.02,144.26,142.49,143.09,253300,0.0,0
2019-03-27,142.96,143.76,141.78,141.85,180200,0.0,0
2019-03-28,141.72,142.18,140.23,141.72,151600,0.0,0
2019-03-29,142.64,142.8,141.92,142.71,178000,0.0,0
2019-04-01,143.54,144.08,142.69,143.93,179800,0.0,0
2019-04-02,144.07,144.07,142.26,142.47,223700,0.0,0
2019-04-03,143.19,143.19,141.74,142.5,268400,0.0,0
