Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,292.72,296.51,291.54,296.27,415700,0.0,0
2019-02-06,294.82,298.4,294.82,298.15,648100,0.0,0
2019-02-07,294.95,296.72,294.19,296.03,511400,0.0,0
2019-02-08,294.97,298.62,293.23,298.56,326600,0.0,0
2019-02-11,299.57,300.44,297.68,299.64,335500,0.0,0
2019-02-12,301.38,306.73,300.48,306.5,424100,0.0,0
2019-02-13,306.01,309.14,304.62,307.69,426300,0.0,0
2019-02-14,305.99,306.83,304.02,304.48,354400,0.0,0
2019-02-15,307.53,310.33,307.45,310.29,351600,0.0,0
2019-02-19,309.01,311.48,308.39,309.57,225500,0.0,0
2019-02-20,310.25,312.03,309.3,311.79,240900,0.0,0
2019-02-21,310.74,313.22,309.25,313.12,408300,0.0,0
2019-02-22,314.41,315.69,312.48,315.49,398000,0.0,0
2019-02-25,317.94,318.51,316.47,317.64,454600,0.0,0
2019-02-26,317.41,319.37,316.72,318.16,509700,0.0,0
2019-02-27,317.55,322.41,317.02,321.83,393000,0.0,0
2019-02-28,320.77,322.93,319.55,321.92,531500,0.0,0
2019-03-01,324.37,324.99,321.31,321.9,538500,0.0,0
2019-03-04,323.93,325.48,318.28,319.21,496300,0.0,0
2019-03-05,318.8,320.78,318.15,318.25,468600,0.0,0
2019-03-06,317.9,319.55,317.33,318.11,330400,0.0,0
2019-03-07,317.12,318.24,314.69,317.54,471100,0.0,0
2019-03-08,314.48,316.3,313.41,315.97,311500,0.0,0
2019-03-11,316.52,321.66,316.5,321.42,352800,0.0,0
2019-03-12,322.66,323.05,321.11,322.01,412200,0.0,0
2019-03-13,321.76,325.63,321.76,324.6,308200,0.0,0
2019-03-14,324.84,325.73,322.49,323.72,311100,0.0,0
2019-03-15,325.8,325.8,323.45,324.47,664800,0.0,0
2019-03-18,325.8,329.87,324.62,329.7,405100,0.0,0
2019-03-19,331.61,333.09,329.12,330.15,515100,0.0,0
2019-03-20,330.27,332.08,327.22,328.95,248500,0.0,0
2019-03-21,327.38,333.2,326.19,332.22,214500,0.0,0
2019-03-22,331.37,331.83,327.47,327.71,350400,0.0,0
2019-03-25,327.97,331.06,327.4,329.21,362000,0.0,0
2019-03-26,331.36,334.06,331.01,333.48,226200,0.0,0
2019-03-27,333.17,334.8,331.9,333.78,285600,0.0,0
2019-03-28,332.77,338.43,332.77,338.28,362000,0.0,0
2019-03-29,339.61,340.74,337.76,340.14,436100,0.0,0
2019-04-01,343.06,346.8,340.93,346.07,540100,0.0,0
2019-04-02,347.13,347.13,344.41,346.41,391100,0.0,0
2019-04-03,347.33,349.03,344.17,345.15,487900,0.0,0
2019-04-04,344.9,345.68,342.46,343.32,477700,0.0,0
2019-04-05,344.93,347.04,342.71,344.1,391000,0.463,0
2019-04-08,342.81,344.68,340.06,342.45,540700,0.0,0
2019-04-09,340.02,342.91,339.46,341.63,396700,0.0,0
2019-04-10,342.36,342.36,340.27,341.55,255500,0.0,0
2019-04-11,343.06,345.73,340.05,345.08,256100,0.0,0
2019-04-12,346.71,349.98,345.69,349.85,298300,0.0,0
2019-04-15,351.22,352.21,348.07,350.02,265600,0.0,0
2019-04-16,351.47,351.7,347.0,347.99,409400,0.0,0
