Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,91.38,92.46,91.2,92.26,1533600,0.0,0
2019-02-06,91.99,92.08,90.79,91.73,1393200,0.0,0
2019-02-07,91.24,91.78,90.66,91.67,1518100,0.0,0
2019-02-08,91.41,92.26,91.15,92.02,1656700,0.0,0
2019-02-11,92.32,93.71,92.04,93.19,1773100,0.0,0
2019-02-12,93.69,94.18,93.1,93.81,1541200,0.0,0
2019-02-13,94.18,94.19,92.97,93.7,2189200,0.0,0
2019-02-14,93.19,93.21,91.44,92.36,1996600,0.0,0
2019-02-15,93.38,93.74,92.63,93.07,2342600,0.0,0
2019-02-19,93.04,93.04,91.87,92.73,2225300,0.0,0
2019-02-20,92.81,93.41,92.42,93.03,2358100,0.0,0
2019-02-21,92.99,93.07,92.22,92.6,1624600,0.0,0
2019-02-22,92.7,93.48,92.56,93.43,1602600,0.0,0
2019-02-25,93.75,94.26,92.78,92.92,1826400,0.0,0
2019-02-26,92.97,93.88,92.7,93.4,2022100,0.0,0
2019-02-27,92.88,94.27,92.61,93.83,2659600,0.0,0
2019-02-28,93.91,94.47,93.03,93.88,2685900,0.0,0
2019-03-01,94.82,95.25,93.63,93.91,1997500,0.0,0
2019-03-04,94.47,94.62,92.24,92.67,1755200,0.0,0
2019-03-05,94.16,94.52,92.51,93.23,3723000,0.0,0
2019-03-06,93.06,95.54,92.57,93.49,4341600,0.0,0
2019-03-07,92.65,92.86,90.21,91.49,3599800,0.0,0
2019-03-08,90.57,90.77,87.77,88.17,3061900,0.0,0
2019-03-11,88.43,90.03,88.11,89.83,2375200,0.0,0
2019-03-12,89.92,90.28,89.13,90.25,2115400,0.0,0
2019-03-13,90.35,90.67,89.75,89.78,2007500,0.0,0
2019-03-14,89.56,89.56,87.43,88.35,3705700,0.0,0
2019-03-15,88.45,89.36,87.98,89.26,5396200,0.255,0
2019-03-18,89.01,90.68,89.01,90.48,2869000,0.0,0
2019-03-19,90.55,91.72,90.22,91.06,2599400,0.0,0
2019-03-20,91.04,91.36,90.5,90.86,2182000,0.0,0
2019-03-21,90.7,91.26,90.38,90.85,1520200,0.0,0
2019-03-22,90.42,90.81,88.82,88.89,2318100,0.0,0
2019-03-25,88.6,90.01,88.39,89.16,1610300,0.0,0
2019-03-26,89.61,90.52,89.4,90.25,1837800,0.0,0
2019-03-27,90.35,91.68,90.1,91.01,2328600,0.0,0
2019-03-28,91.43,92.34,90.81,91.25,1923200,0.0,0
2019-03-29,91.8,92.84,91.41,92.43,2146800,0.0,0
2019-04-01,93.1,93.67,92.28,93.59,2556600,0.0,0
2019-04-02,93.45,93.57,92.78,93.09,2011000,0.0,0
2019-04-03,93.69,94.43,92.91,94.3,1717500,0.0,0
2019-04-04,94.38,96.9,94.29,96.78,1971000,0.0,0
2019-04-05,97.09,98.22,96.79,97.71,2329500,0.0,0
2019-04-08,97.5,98.28,96.92,97.96,1427700,0.0,0
2019-04-09,97.27,97.73,96.64,96.85,1291100,0.0,0
2019-04-10,97.36,98.04,96.98,97.64,1570600,0.0,0
2019-04-11,97.92,98.24,96.4,96.93,1929500,0.0,0
2019-04-12,97.12,97.68,96.31,96.67,1913200,0.0,0
2019-04-15,96.58,97.65,96.31,97.31,1447900,0.0,0
2019-04-16,97.76,98.45,97.36,98.17,1333800,0.0,0
2019-04-17,98.61,99.4,98.47,99.21,1551500,0.0,0
2019-04-18,99.73,100.05,99.11,99.29,2393700,0.0,0
2019-04-22,98.89,99.3,96.44,97.08,1565700,0.0,0
2019-04-23,97.53,97.66,96.54,97.16,2080100,0.0,0
2019-04-24,97.24,98.82,97.01,97.86,2416000,0.0,0
2019-04-25,96.87,98.02,96.5,97.32,1489900,0.0,0
