Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,29.63,29.78,29.25,29.56,744100,0.0,0
2019-02-06,29.51,29.55,29.1,29.18,1047600,0.0,0
2019-02-07,26.44,28.15,25.84,27.95,1698300,0.0,0
2019-02-08,28.07,28.23,27.39,27.54,800600,0.0,0
2019-02-11,27.52,27.93,27.42,27.48,723100,0.0,0
2019-02-12,27.52,27.87,27.4,27.8,731200,0.0,0
2019-02-13,27.76,27.99,27.58,27.62,481100,0.0,0
2019-02-14,27.64,27.69,27.33,27.38,629400,0.0,0
2019-02-15,27.51,27.72,27.36,27.61,613900,0.0,0
2019-02-19,27.54,28.1,27.54,27.92,480000,0.0,0
2019-02-20,27.95,28.48,27.85,28.34,568000,0.0,0
2019-02-21,28.22,28.33,27.98,28.2,301400,0.0,0
2019-02-22,28.29,28.57,28.27,28.41,297300,0.0,0
2019-02-25,28.45,28.66,28.38,28.52,435200,0.0,0
2019-02-26,28.56,28.59,28.14,28.32,418300,0.0,0
2019-02-27,28.16,28.53,28.11,28.37,370000,0.0,0
2019-02-28,28.43,28.67,28.16,28.43,946500,0.0,0
2019-03-01,28.47,28.86,28.36,28.77,1229800,0.0,0
2019-03-04,28.88,28.91,28.18,28.7,803100,0.0,0
2019-03-05,28.65,28.7,28.41,28.55,647800,0.0,0
2019-03-06,28.6,28.6,28.21,28.22,780700,0.0,0
2019-03-07,28.33,28.33,27.81,27.87,665100,0.0,0
2019-03-08,27.79,27.93,27.59,27.78,1094600,0.0,0
2019-03-11,27.94,28.81,27.94,28.79,567500,0.0,0
2019-03-12,28.91,28.99,28.57,28.66,366300,0.0,0
2019-03-13,28.69,28.84,28.54,28.79,615300,0.0,0
2019-03-14,28.84,28.87,28.56,28.76,379200,0.27,0
2019-03-15,28.81,28.83,28.45,28.53,919800,0.0,0
2019-03-18,28.61,28.67,28.23,28.35,436200,0.0,0
2019-03-19,28.29,28.68,28.29,28.53,395700,0.0,0
2019-03-20,28.57,28.75,28.27,28.54,531900,0.0,0
2019-03-21,28.41,29.24,28.34,29.22,537300,0.0,0
2019-03-22,29.16,29.37,29.03,29.11,534100,0.0,0
2019-03-25,29.01,29.36,28.77,29.26,845100,0.0,0
2019-03-26,29.3,29.47,29.01,29.19,866000,0.0,0
2019-03-27,29.19,29.72,29.12,29.5,906600,0.0,0
2019-03-28,29.58,30.79,29.46,30.69,1062300,0.0,0
2019-03-29,30.81,30.96,30.5,30.68,1358900,0.0,0
2019-04-01,30.68,30.92,30.32,30.9,725300,0.0,0
2019-04-02,30.92,31.12,30.39,30.58,977800,0.0,0
2019-04-03,30.61,31.12,30.48,30.89,693600,0.0,0
2019-04-04,30.95,31.09,30.66,31.09,489900,0.0,0
2019-04-05,30.98,31.47,30.96,31.22,735500,0.0,0
2019-04-08,31.15,31.31,31.01,31.15,449500,0.0,0
2019-04-09,31.16,31.24,30.59,30.63,492200,0.0,0
2019-04-10,30.79,31.12,30.74,31.04,505200,0.0,0
2019-04-11,31.07,31.32,30.98,31.01,455700,0.0,0
2019-04-12,31.01,31.32,30.8,31.19,554200,0.0,0
2019-04-15,31.27,31.39,31.03,31.14,319200,0.0,0
2019-04-16,31.19,31.28,30.69,30.95,527600,0.0,0
2019-04-17,31.04,31.1,30.69,30.69,724500,0.0,0
2019-04-18,30.77,31.11,30.57,30.94,614800,0.0,0
2019-04-22,30.86,30.97,30.23,30.5,508700,0.0,0
2019-04-23,30.6,31.15,30.48,30.99,413300,0.0,0
2019-04-24,31.03,31.44,31.03,31.23,502400,0.0,0
2019-04-25,31.0,31.24,30.58,30.62,597500,0.0,0
2019-04-26,30.69,31.19,30.69,31.09,360700,0.0,0
2019-04-29,31.09,31.09,30.53,30.69,425900,0.0,0
2019-04-30,30.69,31.11,30.52,30.95,519200,0.0,0
2019-05-01,31.03,31.53,31.01,31.05,394900,0.0,0
2019-05-02,31.53,32.05,30.7,30.87,482700,0.0,0
2019-05-03,31.21,31.73,31.16,31.64,470200,0.0,0
2019-05-06,31.31,31.93,31.08,31.8,527300,0.0,0
2019-05-07,31.49,31.75,30.91,31.15,335700,0.0,0
2019-05-08,31.19,31.34,30.57,30.59,280400,0.0,0
2019-05-09,30.42,30.91,30.19,30.82,429600,0.0,0
2019-05-10,30.77,30.96,30.45,30.85,424100,0.0,0
2019-05-13,30.52,30.71,30.32,30.53,419300,0.0,0
2019-05-14,30.51,30.63,30.23,30.26,372900,0.0,0
2019-05-15,30.2,30.4,29.97,30.36,371100,0.0,0
2019-05-16,30.31,30.61,30.14,30.46,287100,0.0,0
2019-05-17,30.33,30.43,29.92,30.08,628400,0.0,0
2019-05-20,29.95,29.95,29.28,29.31,414000,0.0,0
2019-05-21,29.4,29.44,29.16,29.41,294800,0.0,0
2019-05-22,29.47,29.47,28.93,28.96,272000,0.0,0
2019-05-23,28.69,28.8,28.25,28.44,616800,0.0,0
2019-05-24,28.61,28.68,28.17,28.37,250900,0.0,0
2019-05-28,28.5,28.5,27.88,27.91,514100,0.0,0
2019-05-29,27.87,27.98,27.5,27.64,303700,0.0,0
2019-05-30,27.69,27.8,27.22,27.43,381200,0.0,0
2019-05-31,27.3,27.59,27.26,27.4,427500,0.0,0
2019-06-03,27.43,27.5,27.13,27.33,452000,0.0,0
2019-06-04,27.3,27.62,27.25,27.61,351400,0.0,0
2019-06-05,27.63,28.35,27.47,28.3,779100,0.0,0
2019-06-06,28.32,28.76,28.09,28.69,740900,0.0,0
2019-06-07,28.81,29.39,28.67,29.25,693400,0.0,0
2019-06-10,29.27,29.52,29.22,29.22,447300,0.0,0
2019-06-11,29.46,29.82,29.46,29.76,408900,0.0,0
2019-06-12,29.83,29.96,29.68,29.78,554700,0.0,0
2019-06-13,29.87,30.23,29.8,30.08,419100,0.27,0
2019-06-14,30.04,30.31,29.78,29.89,308100,0.0,0
2019-06-17,29.93,30.15,29.8,30.09,402600,0.0,0
2019-06-18,30.34,30.54,30.16,30.31,346700,0.0,0
2019-06-19,30.28,30.44,29.93,30.14,412800,0.0,0
2019-06-20,30.45,30.83,30.33,30.62,504800,0.0,0
2019-06-21,30.46,30.49,30.05,30.14,692600,0.0,0
2019-06-24,30.29,30.29,29.71,29.72,403800,0.0,0
2019-06-25,29.69,29.98,29.45,29.48,523900,0.0,0
2019-06-26,29.55,29.82,28.89,28.95,695100,0.0,0
2019-06-27,29.13,29.64,29.12,29.43,455800,0.0,0
2019-06-28,29.47,30.04,29.46,29.76,704800,0.0,0
2019-07-01,30.16,30.16,29.62,29.97,317500,0.0,0
2019-07-02,30.09,30.41,29.81,30.35,458000,0.0,0
2019-07-03,30.48,30.79,30.45,30.77,183000,0.0,0
2019-07-05,30.59,30.79,30.2,30.67,290000,0.0,0
2019-07-08,30.66,30.68,30.12,30.17,688700,0.0,0
2019-07-09,30.08,30.12,29.46,29.71,426600,0.0,0
2019-07-10,29.91,29.91,29.47,29.75,637800,0.0,0
2019-07-11,29.66,29.86,29.12,29.31,760300,0.0,0
2019-07-12,29.25,29.38,28.89,29.12,514000,0.0,0
2019-07-15,29.19,29.19,28.86,28.96,389100,0.0,0
2019-07-16,28.85,29.13,28.78,28.99,361800,0.0,0
2019-07-17,28.98,29.03,28.57,28.82,481500,0.0,0
2019-07-18,28.77,28.82,28.46,28.7,485200,0.0,0
2019-07-19,28.74,29.26,28.74,28.89,478100,0.0,0
2019-07-22,28.93,29.05,28.78,28.87,380900,0.0,0
2019-07-23,28.9,29.1,28.73,28.94,354900,0.0,0
2019-07-24,28.81,29.09,28.69,28.9,289400,0.0,0
2019-07-25,28.92,29.0,28.39,28.43,310800,0.0,0
2019-07-26,28.5,28.75,28.21,28.56,660800,0.0,0
2019-07-29,28.54,29.14,28.41,28.61,662900,0.0,0
2019-07-30,28.62,28.9,28.34,28.87,344300,0.0,0
2019-07-31,28.93,28.96,28.37,28.52,647400,0.0,0
2019-08-01,28.6,28.64,28.14,28.17,552700,0.0,0
2019-08-02,28.11,28.27,27.78,27.92,308900,0.0,0
2019-08-05,27.61,27.68,27.18,27.53,373300,0.0,0
2019-08-06,27.61,27.86,27.27,27.78,490900,0.0,0
2019-08-07,27.76,27.96,27.41,27.74,470200,0.0,0
2019-08-08,27.15,27.31,25.37,26.52,1570600,0.0,0
2019-08-09,26.33,26.6,25.46,25.59,732500,0.0,0
2019-08-12,25.5,25.88,25.5,25.82,697800,0.0,0
2019-08-13,25.68,26.52,25.64,26.13,589900,0.0,0
2019-08-14,25.9,26.1,25.7,25.71,686700,0.0,0
2019-08-15,25.9,26.44,25.85,26.37,674300,0.0,0
2019-08-16,26.34,26.78,25.85,26.56,1055000,0.0,0
2019-08-19,26.7,26.78,26.36,26.44,493900,0.0,0
2019-08-20,26.42,26.42,26.08,26.08,437800,0.0,0
2019-08-21,26.16,26.33,26.03,26.14,479800,0.0,0
2019-08-22,26.07,26.42,26.02,26.38,462100,0.0,0
2019-08-23,26.27,26.45,25.79,25.83,488300,0.0,0
2019-08-26,26.02,26.09,25.75,25.9,384700,0.0,0
2019-08-27,26.05,26.12,25.6,25.66,459900,0.0,0
2019-08-28,25.71,26.18,25.69,26.0,461800,0.0,0
2019-08-29,26.17,26.47,26.09,26.11,383700,0.0,0
2019-08-30,26.1,26.35,25.98,26.32,490000,0.0,0
2019-09-03,26.32,26.32,26.03,26.18,293300,0.0,0
2019-09-04,26.33,26.48,26.26,26.38,433100,0.0,0
2019-09-05,26.38,26.76,26.38,26.49,371200,0.0,0
2019-09-06,26.53,26.65,26.33,26.61,355600,0.0,0
2019-09-09,26.56,26.74,26.36,26.73,615300,0.0,0
2019-09-10,26.66,27.52,26.61,27.45,693300,0.0,0
2019-09-11,27.46,27.95,27.22,27.95,532000,0.0,0
2019-09-12,28.12,28.12,27.53,27.8,470100,0.27,0
2019-09-13,27.85,28.02,27.38,27.42,709000,0.0,0
2019-09-16,27.33,27.65,27.22,27.63,385700,0.0,0
2019-09-17,27.64,27.71,27.42,27.7,346700,0.0,0
2019-09-18,27.8,28.07,27.61,27.94,422200,0.0,0
2019-09-19,28.04,28.33,27.83,28.0,561300,0.0,0
2019-09-20,28.03,28.25,27.75,27.86,1381300,0.0,0
2019-09-23,27.76,28.14,27.68,28.06,391500,0.0,0
2019-09-24,28.13,28.35,27.84,27.91,414600,0.0,0
2019-09-25,27.84,28.48,27.84,28.29,425000,0.0,0
2019-09-26,28.36,28.63,28.15,28.45,454800,0.0,0
2019-09-27,28.5,28.59,27.94,28.11,510000,0.0,0
2019-09-30,28.15,28.29,27.91,27.96,399800,0.0,0
2019-10-01,27.97,28.21,27.57,27.65,326700,0.0,0
2019-10-02,27.56,27.57,27.06,27.44,350500,0.0,0
2019-10-03,27.46,27.86,27.17,27.78,643900,0.0,0
2019-10-04,27.84,28.11,27.69,28.08,315000,0.0,0
2019-10-07,27.9,28.36,27.9,27.99,594600,0.0,0
2019-10-08,27.88,27.99,27.55,27.81,370800,0.0,0
2019-10-09,28.0,28.06,27.79,27.91,241600,0.0,0
2019-10-10,28.0,28.12,27.7,27.98,412800,0.0,0
2019-10-11,28.2,28.54,28.19,28.25,384500,0.0,0
2019-10-14,28.27,28.29,27.92,28.18,263800,0.0,0
2019-10-15,28.21,28.3,27.89,28.01,314000,0.0,0
2019-10-16,28.01,28.37,27.94,28.35,423300,0.0,0
2019-10-17,28.37,28.6,28.36,28.49,333500,0.0,0
