Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,6.23,6.25,5.83,5.87,24559000,0,0
2019-02-06,5.87,5.93,5.79,5.84,15559700,0,0
2019-02-07,5.88,5.94,5.76,5.9,26282800,0,0
2019-02-08,5.87,5.93,5.76,5.9,16713600,0,0
2019-02-11,5.9,6.03,5.87,5.95,13142400,0,0
2019-02-12,5.99,6.15,5.97,6.14,16417800,0,0
2019-02-13,6.14,6.22,6.1,6.13,11850900,0,0
2019-02-14,6.12,6.24,6.1,6.18,12578100,0,0
2019-02-15,6.2,6.34,6.18,6.3,10302600,0,0
2019-02-19,6.29,6.38,6.27,6.33,15201900,0,0
2019-02-20,6.3,6.41,6.26,6.31,22288400,0,0
2019-02-21,6.3,6.5,6.3,6.48,15466800,0,0
2019-02-22,6.49,6.54,6.4,6.44,13318500,0,0
2019-02-25,6.47,6.52,6.41,6.44,20620200,0,0
2019-02-26,6.42,6.42,6.3,6.34,17361400,0,0
2019-02-27,6.32,6.35,6.26,6.35,13103800,0,0
2019-02-28,6.35,6.43,6.33,6.35,11780400,0,0
2019-03-01,6.35,6.42,6.34,6.4,9734900,0,0
2019-03-04,6.43,6.45,6.37,6.42,10585100,0,0
2019-03-05,6.41,6.46,6.36,6.39,19704400,0,0
2019-03-06,6.36,6.36,6.07,6.24,26542900,0,0
2019-03-07,6.19,6.35,6.18,6.3,12735200,0,0
2019-03-08,6.24,6.3,6.1,6.1,13497200,0,0
2019-03-11,6.11,6.17,6.04,6.14,11704300,0,0
2019-03-12,6.14,6.22,6.1,6.22,15670000,0,0
2019-03-13,6.22,6.34,6.2,6.3,16367300,0,0
2019-03-14,6.31,6.33,6.22,6.26,8167900,0,0
2019-03-15,6.28,6.41,6.27,6.39,10686400,0,0
2019-03-18,6.38,6.5,6.36,6.47,11367200,0,0
2019-03-19,6.48,6.5,6.34,6.36,13170900,0,0
2019-03-20,6.36,6.4,6.26,6.28,6265700,0,0
2019-03-21,6.28,6.37,6.23,6.29,7163500,0,0
2019-03-22,6.27,6.29,6.2,6.25,6830300,0,0
2019-03-25,6.21,6.33,6.2,6.29,10192400,0,0
2019-03-26,6.29,6.42,6.22,6.4,14504500,0,0
2019-03-27,6.4,6.41,5.95,6.03,31523100,0,0
2019-03-28,6.02,6.05,5.57,5.66,28590900,0,0
2019-03-29,5.66,6.02,5.5,5.65,20661300,0,0
2019-04-01,5.73,5.8,5.57,5.62,14515000,0,0
2019-04-02,5.62,5.71,5.57,5.62,16201500,0,0
2019-04-03,5.6,5.7,5.53,5.59,12890900,0,0
2019-04-04,5.61,5.71,5.57,5.63,11568300,0,0
2019-04-05,5.66,5.73,5.59,5.63,12330200,0,0
2019-04-08,5.64,5.79,5.58,5.77,13084100,0,0
2019-04-09,5.73,5.84,5.67,5.83,11712800,0,0
2019-04-10,5.8,5.96,5.8,5.94,10382000,0,0
2019-04-11,5.95,6.02,5.86,5.98,14949900,0,0
2019-04-12,6.0,6.17,5.96,6.1,16390700,0,0
2019-04-15,6.09,6.09,5.84,5.88,16403700,0,0
2019-04-16,5.91,6.15,5.91,6.01,17105600,0,0
2019-04-17,5.74,5.95,5.63,5.64,46764500,0,0
2019-04-18,5.66,5.81,5.62,5.77,12245000,0,0
2019-04-22,5.75,5.92,5.71,5.88,14095900,0,0
2019-04-23,5.89,5.93,5.69,5.71,23697000,0,0
2019-04-24,5.73,5.73,5.49,5.62,21796700,0,0
2019-04-25,5.64,5.69,5.52,5.61,14801200,0,0
2019-04-26,5.65,5.67,5.52,5.54,15541000,0,0
2019-04-29,5.55,5.59,5.44,5.54,17089400,0,0
2019-04-30,5.57,5.66,5.52,5.58,10245900,0,0
2019-05-01,5.56,5.62,5.46,5.56,13622200,0,0
2019-05-02,5.57,5.63,5.45,5.48,20036800,0,0
2019-05-03,5.5,5.8,5.5,5.8,26888700,0,0
2019-05-06,5.67,5.75,5.6,5.74,12324800,0,0
2019-05-07,5.7,5.84,5.69,5.79,26294600,0,0
2019-05-08,5.66,5.67,5.55,5.62,18029100,0,0
2019-05-09,5.58,5.99,5.58,5.98,22318000,0,0
2019-05-10,5.93,6.19,5.86,6.19,20970400,0,0
2019-05-13,6.02,6.28,5.9,6.02,23873100,0,0
2019-05-14,6.02,6.03,5.87,5.99,16112900,0,0
2019-05-15,5.95,6.1,5.9,6.07,13365800,0,0
2019-05-16,6.04,6.2,5.99,6.08,24185100,0,0
2019-05-17,6.06,6.24,6.0,6.18,28874800,0,0
2019-05-20,7.79,7.9,6.8,7.34,166194700,0,0
2019-05-21,7.19,7.34,7.12,7.22,51751500,0,0
2019-05-22,7.03,7.09,6.58,6.67,52396000,0,0
2019-05-23,6.9,7.04,6.72,6.95,37122200,0,0
2019-05-24,7.01,7.27,6.84,7.16,21663700,0,0
2019-05-28,7.15,7.17,6.9,6.91,27473400,0,0
2019-05-29,6.94,6.95,6.77,6.8,17142700,0,0
2019-05-30,6.73,7.16,6.58,7.16,38941800,0,0
2019-05-31,7.03,7.12,6.77,6.87,28905000,0,0
2019-06-03,6.87,6.97,6.58,6.78,19760400,0,0
2019-06-04,6.86,7.01,6.82,6.98,20298000,0,0
2019-06-05,7.01,7.14,6.91,7.07,20166000,0,0
2019-06-06,7.04,7.14,6.77,6.98,17039100,0,0
2019-06-07,6.99,7.18,6.97,7.1,13350200,0,0
2019-06-10,7.13,7.21,6.96,6.99,11478400,0,0
2019-06-11,6.99,7.02,6.48,6.58,36177000,0,0
2019-06-12,6.6,6.85,6.54,6.63,34770600,0,0
2019-06-13,6.59,6.83,6.53,6.81,25366000,0,0
2019-06-14,6.76,7.24,6.73,7.01,33156900,0,0
2019-06-17,7.03,7.14,6.99,7.1,21127300,0,0
2019-06-18,7.15,7.32,7.14,7.23,33587600,0,0
2019-06-19,7.27,7.5,7.16,7.45,24037400,0,0
2019-06-20,7.47,7.54,7.19,7.4,21186900,0,0
2019-06-21,7.27,7.28,6.8,6.87,30240600,0,0
2019-06-24,6.97,7.0,6.83,6.84,14101400,0,0
2019-06-25,6.84,6.9,6.8,6.83,12443900,0,0
2019-06-26,6.87,6.88,6.56,6.56,23214500,0,0
2019-06-27,6.61,6.67,6.51,6.59,11648200,0,0
2019-06-28,6.6,6.64,6.53,6.57,16655700,0,0
2019-07-01,6.64,6.67,6.55,6.58,14667900,0,0
2019-07-02,6.58,7.11,6.56,6.88,23024200,0,0
2019-07-03,6.93,7.16,6.84,6.98,17158700,0,0
2019-07-05,7.0,7.14,6.95,7.04,10614200,0,0
2019-07-08,7.01,7.1,6.85,6.87,12415700,0,0
2019-07-09,6.87,6.9,6.8,6.84,8710900,0,0
2019-07-10,7.05,7.2,7.01,7.16,27699600,0,0
2019-07-11,7.15,7.19,6.72,6.91,28538900,0,0
2019-07-12,6.92,7.18,6.92,7.1,19480100,0,0
2019-07-15,7.09,7.17,7.05,7.11,14444600,0,0
2019-07-16,7.1,7.25,6.99,7.22,22831100,0,0
2019-07-17,7.22,7.26,7.09,7.09,11576200,0,0
2019-07-18,7.07,7.14,6.79,6.92,23185400,0,0
2019-07-19,6.9,6.98,6.77,6.95,27575000,0,0
2019-07-22,7.13,7.3,6.88,7.0,45784000,0,0
2019-07-23,7.04,7.12,6.92,7.09,22037800,0,0
2019-07-24,7.47,7.81,7.38,7.66,55840500,0,0
2019-07-25,7.7,7.73,7.41,7.44,48227100,0,0
2019-07-26,7.6,8.06,7.59,7.99,70984400,0,0
2019-07-29,8.01,8.02,7.7,7.78,20599800,0,0
2019-07-30,7.74,7.75,7.43,7.52,25942500,0,0
2019-07-31,7.52,7.56,7.17,7.33,27485600,0,0
2019-08-01,7.39,7.39,7.16,7.18,25057600,0,0
2019-08-02,6.95,6.99,6.59,6.76,35180700,0,0
2019-08-05,6.52,6.69,6.52,6.66,22056400,0,0
2019-08-06,6.74,6.74,6.63,6.71,20932100,0,0
2019-08-07,6.65,6.75,6.6,6.73,11488400,0,0
2019-08-08,6.75,6.89,6.73,6.85,10888000,0,0
2019-08-09,6.77,6.92,6.73,6.81,8241300,0,0
2019-08-12,6.79,6.81,6.67,6.75,7397400,0,0
2019-08-13,6.79,6.89,6.71,6.8,13596400,0,0
2019-08-14,6.75,6.89,6.73,6.79,19186200,0,0
2019-08-15,6.8,6.89,6.76,6.86,13564200,0,0
2019-08-16,6.89,6.98,6.88,6.91,8733500,0,0
2019-08-19,6.95,6.98,6.89,6.96,6158800,0,0
2019-08-20,6.95,6.96,6.79,6.8,9971100,0,0
2019-08-21,6.85,6.86,6.78,6.82,5345500,0,0
2019-08-22,6.84,6.88,6.77,6.87,6271800,0,0
2019-08-23,6.83,6.94,6.72,6.74,7355700,0,0
2019-08-26,6.8,6.86,6.72,6.85,4404200,0,0
2019-08-27,6.85,6.86,6.69,6.7,7975400,0,0
2019-08-28,6.7,6.87,6.63,6.82,7779800,0,0
2019-08-29,6.87,6.87,6.77,6.82,6774900,0,0
2019-08-30,6.83,6.85,6.74,6.79,5453300,0,0
2019-09-03,6.76,6.77,6.62,6.7,10094600,0,0
2019-09-04,6.63,6.78,6.63,6.76,8391600,0,0
2019-09-05,6.83,6.84,6.74,6.76,8283400,0,0
2019-09-06,6.75,6.88,6.72,6.82,11249000,0,0
2019-09-09,6.85,6.94,6.83,6.91,7864200,0,0
2019-09-10,6.89,6.92,6.81,6.87,4759900,0,0
2019-09-11,6.83,7.0,6.83,6.93,7050100,0,0
2019-09-12,6.91,6.99,6.88,6.91,7217600,0,0
2019-09-13,6.89,6.94,6.83,6.83,5276100,0,0
2019-09-16,6.79,6.86,6.75,6.84,3955900,0,0
2019-09-17,6.81,6.89,6.78,6.78,9629300,0,0
2019-09-18,6.79,6.82,6.67,6.73,12091500,0,0
2019-09-19,6.72,6.78,6.71,6.74,4790800,0,0
2019-09-20,6.71,6.74,6.48,6.58,12514100,0,0
2019-09-23,6.59,6.63,6.49,6.59,9056900,0,0
2019-09-24,6.6,6.6,6.33,6.37,22193300,0,0
2019-09-25,6.32,6.39,6.25,6.34,21442700,0,0
2019-09-26,6.3,6.31,6.18,6.19,13069200,0,0
2019-09-27,6.11,6.19,5.85,6.05,19479100,0,0
2019-09-30,6.07,6.22,5.99,6.17,14950900,0,0
2019-10-01,6.22,6.22,6.1,6.16,14511100,0,0
2019-10-02,6.11,6.13,5.93,5.98,12544500,0,0
2019-10-03,6.0,6.04,5.84,5.96,19583500,0,0
2019-10-04,5.96,6.16,5.95,6.07,19211600,0,0
2019-10-07,6.04,6.15,6.04,6.12,19452700,0,0
2019-10-08,6.06,6.2,6.01,6.13,13473000,0,0
2019-10-09,6.17,6.19,6.07,6.14,10877500,0,0
2019-10-10,6.2,6.38,6.18,6.27,16474500,0,0
2019-10-11,6.27,6.49,6.27,6.42,15312800,0,0
2019-10-14,6.37,6.42,6.34,6.35,5534800,0,0
2019-10-15,6.36,6.48,6.34,6.48,9758500,0,0
2019-10-16,6.44,6.5,6.42,6.44,9142300,0,0
2019-10-17,6.5,6.51,6.28,6.44,36331600,0,0
2019-10-18,6.43,6.55,6.38,6.42,18185800,0,0
2019-10-21,6.41,6.49,6.37,6.42,14344100,0,0
2019-10-22,6.43,6.43,6.33,6.35,10713900,0,0
2019-10-23,6.35,6.41,6.31,6.39,9709500,0,0
2019-10-24,6.39,6.4,6.27,6.28,9841500,0,0
2019-10-25,6.35,6.42,6.32,6.38,9536200,0,0
2019-10-28,6.4,6.55,6.31,6.32,17862900,0,0
2019-10-29,6.33,6.33,5.96,6.19,41813200,0,0
2019-10-30,6.17,6.34,6.11,6.26,17227700,0,0
2019-10-31,6.25,6.25,6.09,6.21,10221000,0,0
2019-11-01,6.22,6.33,6.19,6.3,12162300,0,0
2019-11-04,6.28,6.32,6.1,6.15,13425100,0,0
2019-11-05,6.15,6.18,6.05,6.14,13007700,0,0
2019-11-06,6.15,6.16,6.0,6.15,17081200,0,0
2019-11-07,6.18,6.31,6.1,6.19,27456400,0,0
2019-11-08,6.17,6.17,6.06,6.11,10131800,0,0
2019-11-11,6.06,6.12,5.84,5.91,19909200,0,0
2019-11-12,5.92,5.95,5.77,5.87,15201200,0,0
2019-11-13,5.83,6.08,5.78,6.06,16648600,0,0
2019-11-14,5.99,6.01,5.82,5.87,10669800,0,0
2019-11-15,5.87,5.97,5.81,5.83,18639900,0,0
2019-11-18,5.82,5.9,5.76,5.86,17799900,0,0
2019-11-19,5.9,5.9,5.72,5.74,8259400,0,0
2019-11-20,5.74,5.79,5.55,5.63,10510600,0,0
2019-11-21,5.66,5.76,5.57,5.63,10078000,0,0
2019-11-22,5.63,5.76,5.61,5.74,11380900,0,0
2019-11-25,5.73,5.97,5.66,5.94,29815300,0,0
2019-11-26,5.94,6.09,5.88,5.96,13917000,0,0
2019-11-27,5.99,6.0,5.89,5.91,9304100,0,0
2019-11-29,5.91,5.95,5.88,5.92,4664500,0,0
