Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,33.65,33.95,33.12,33.31,474400,0,0.0
2019-02-06,33.51,33.56,33.1,33.18,383800,0,0.0
2019-02-07,33.18,33.23,32.67,33.01,428400,0,0.0
2019-02-08,33.01,33.72,32.99,33.6,407000,0,0.0
2019-02-11,33.7,33.95,33.53,33.67,250800,0,0.0
2019-02-12,33.78,34.27,33.6,33.87,458800,0,0.0
2019-02-13,34.02,34.02,33.51,33.81,403800,0,0.0
2019-02-14,33.75,34.36,33.66,33.89,323500,0,0.0
2019-02-15,34.0,34.34,33.96,34.21,348900,0,0.0
2019-02-19,34.1,34.79,34.04,34.69,517600,0,0.0
2019-02-20,34.81,35.39,34.77,35.37,371800,0,0.0
2019-02-21,33.41,33.98,31.12,31.82,1487400,0,0.0
2019-02-22,31.68,32.63,31.63,32.15,846800,0,0.0
2019-02-25,32.5,32.86,32.12,32.33,689300,0,0.0
2019-02-26,32.24,32.34,31.76,31.78,652500,0,0.0
2019-02-27,31.73,31.76,31.3,31.5,368300,0,0.0
2019-02-28,31.42,31.48,30.85,31.25,518400,0,0.0
2019-03-01,31.39,31.9,31.22,31.56,380900,0,0.0
2019-03-04,31.71,31.97,31.36,31.63,334000,0,0.0
2019-03-05,31.63,31.82,30.97,31.09,580900,0,0.0
2019-03-06,31.01,31.29,30.53,30.53,344100,0,0.0
2019-03-07,30.48,30.82,30.16,30.38,396900,0,0.0
2019-03-08,30.11,30.32,30.0,30.21,235500,0,0.0
2019-03-11,30.19,30.57,29.93,30.0,433700,0,0.0
2019-03-12,30.1,30.47,29.82,30.07,404100,0,0.0
2019-03-13,30.17,30.41,29.94,30.23,511500,0,0.0
2019-03-14,30.19,30.48,29.99,30.12,673200,0,0.0
2019-03-15,30.22,30.34,30.04,30.14,416100,0,0.0
2019-03-18,30.11,30.53,29.98,30.18,1009300,0,0.0
2019-03-19,30.31,30.68,30.14,30.21,358000,0,0.0
2019-03-20,30.04,30.62,29.81,30.12,650400,0,0.0
2019-03-21,29.98,30.24,29.73,30.16,493800,0,0.0
2019-03-22,29.98,30.11,29.08,29.08,294000,0,0.0
2019-03-25,29.07,29.13,28.41,28.74,297900,0,0.0
2019-03-26,28.79,29.38,28.79,29.23,345300,0,0.0
2019-03-27,29.25,29.43,28.88,29.09,249800,0,0.0
2019-03-28,29.08,29.53,28.95,29.46,255000,0,0.0
2019-03-29,29.64,29.86,29.41,29.54,260200,0,0.0
2019-04-01,29.76,30.01,29.59,29.91,277700,0,0.0
2019-04-02,29.9,30.61,29.8,30.53,395800,0,0.0
2019-04-03,30.59,30.87,30.17,30.38,626500,0,0.0
2019-04-04,30.49,31.58,30.41,31.47,275100,0,0.0
2019-04-05,31.54,31.9,31.31,31.76,387500,0,0.0
2019-04-08,31.7,31.87,31.57,31.8,158600,0,0.0
2019-04-09,31.69,31.72,31.25,31.35,171300,0,0.0
2019-04-10,31.46,31.72,31.35,31.67,166700,0,0.0
2019-04-11,31.8,31.99,31.52,31.81,265000,0,0.0
2019-04-12,32.0,32.2,31.6,32.07,155200,0,0.0
2019-04-15,31.98,32.26,31.41,31.86,385100,0,0.0
2019-04-16,31.96,32.65,31.87,32.54,365200,0,0.0
2019-04-17,32.73,32.98,32.4,32.66,414300,0,0.0
2019-04-18,32.71,32.71,32.28,32.32,495600,0,0.0
2019-04-22,32.24,32.41,31.9,32.37,113300,0,0.0
2019-04-23,32.47,32.67,32.24,32.36,313500,0,0.0
2019-04-24,32.39,32.39,31.95,32.16,258900,0,0.0
2019-04-25,31.99,32.07,31.6,31.77,144500,0,0.0
2019-04-26,31.76,32.28,31.67,32.2,156600,0,0.0
2019-04-29,32.01,32.73,31.83,32.49,157000,0,0.0
2019-04-30,32.46,32.46,32.14,32.29,231700,0,0.0
2019-05-01,32.47,32.72,32.16,32.41,161000,0,0.0
2019-05-02,32.47,32.55,31.52,31.82,257900,0,0.0
2019-05-03,31.97,32.38,31.71,32.34,180100,0,0.0
2019-05-06,31.83,32.58,30.27,32.5,161900,0,0.0
2019-05-07,32.18,32.33,30.79,31.81,246200,0,0.0
2019-05-08,33.62,34.34,32.78,33.38,526000,0,0.0
2019-05-09,33.1,33.1,32.19,32.5,357700,0,0.0
2019-05-10,32.42,32.56,31.95,32.5,577800,0,0.0
2019-05-13,31.95,32.2,31.39,31.84,243500,0,0.0
2019-05-14,32.21,32.93,32.05,32.57,321700,0,0.0
