Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,43.02,43.26,42.5,42.69,775900,0.0,0
2019-02-06,42.73,43.0,42.53,42.91,680700,0.0,0
2019-02-07,42.74,42.98,42.56,42.88,971700,0.0,0
2019-02-08,42.63,43.38,42.63,43.19,918600,0.0,0
2019-02-11,43.1,43.43,42.82,43.35,857900,0.0,0
2019-02-12,43.56,43.91,43.24,43.78,614200,0.0,0
2019-02-13,43.93,44.4,43.91,44.31,689700,0.0,0
2019-02-14,44.11,45.13,44.11,44.62,1070000,0.0,0
2019-02-15,44.77,45.24,44.47,45.22,1047300,0.0,0
2019-02-19,41.26,44.02,40.77,42.29,2726200,0.0,0
2019-02-20,41.78,42.36,41.52,42.04,1805400,0.0,0
2019-02-21,42.14,42.14,41.39,41.58,1034300,0.0,0
2019-02-22,41.82,42.18,41.63,42.17,831600,0.0,0
2019-02-25,42.26,42.36,41.4,41.69,973800,0.0,0
2019-02-26,41.7,41.92,41.45,41.57,950300,0.0,0
2019-02-27,41.45,41.65,40.79,40.99,1248300,0.0,0
2019-02-28,41.02,41.04,40.65,40.67,1662300,0.0,0
2019-03-01,40.95,41.15,40.61,40.89,1024100,0.0,0
2019-03-04,40.95,41.67,40.93,41.3,1114300,0.0,0
2019-03-05,41.55,41.57,40.99,40.99,1373600,0.0,0
2019-03-06,40.9,41.07,40.21,40.26,1044800,0.0,0
2019-03-07,40.09,40.17,39.0,39.29,1717300,0.0,0
2019-03-08,39.13,39.28,38.8,39.23,950000,0.0,0
2019-03-11,39.35,39.35,38.48,38.85,1337300,0.0,0
2019-03-12,38.88,39.07,38.65,38.9,896300,0.0,0
2019-03-13,39.07,39.26,38.75,38.95,1092400,0.0,0
2019-03-14,39.01,39.27,38.69,39.07,875900,0.18,0
2019-03-15,39.17,39.32,38.46,38.62,1380500,0.0,0
2019-03-18,38.61,39.31,38.47,39.25,1339400,0.0,0
2019-03-19,39.37,39.78,39.33,39.46,1294200,0.0,0
2019-03-20,39.46,39.46,38.59,38.89,1025600,0.0,0
2019-03-21,38.98,39.63,38.97,39.36,791300,0.0,0
2019-03-22,39.18,39.29,38.47,38.84,1170400,0.0,0
2019-03-25,38.84,39.2,38.61,38.92,1349500,0.0,0
2019-03-26,39.17,39.6,39.0,39.54,1491900,0.0,0
2019-03-27,39.52,39.61,38.89,39.04,3964700,0.0,0
2019-03-28,39.14,39.75,39.03,39.66,5388700,0.0,0
2019-03-29,39.49,39.94,39.33,39.68,2668100,0.0,0
2019-04-01,39.98,40.13,39.63,40.03,1894200,0.0,0
2019-04-02,40.22,40.31,39.88,39.98,1323500,0.0,0
2019-04-03,40.03,40.47,39.94,40.34,1470700,0.0,0
2019-04-04,40.38,40.44,39.95,40.06,1118200,0.0,0
2019-04-05,40.25,40.5,40.19,40.21,2016500,0.0,0
2019-04-08,40.27,40.84,40.24,40.81,978300,0.0,0
2019-04-09,40.53,40.72,40.26,40.39,1171800,0.0,0
2019-04-10,40.54,40.88,40.31,40.88,793300,0.0,0
2019-04-11,41.01,41.05,40.68,40.83,779800,0.0,0
2019-04-12,41.03,41.57,40.95,41.37,968800,0.0,0
2019-04-15,41.41,41.82,41.41,41.68,986900,0.0,0
2019-04-16,41.86,41.86,40.94,41.08,1547000,0.0,0
2019-04-17,41.28,41.28,40.71,41.03,1045200,0.0,0
2019-04-18,41.11,41.11,40.48,40.83,1336400,0.0,0
2019-04-22,40.71,41.06,40.61,40.79,980600,0.0,0
2019-04-23,40.84,41.25,40.59,40.98,1435900,0.0,0
2019-04-24,40.97,41.47,40.83,41.15,1894900,0.0,0
2019-04-25,41.52,43.44,41.52,42.47,2194300,0.0,0
2019-04-26,42.58,42.64,42.02,42.21,1435300,0.0,0
2019-04-29,42.14,42.16,41.48,41.51,1369200,0.0,0
2019-04-30,41.51,41.73,40.92,41.12,1143100,0.0,0
2019-05-01,41.33,41.33,40.82,40.88,753900,0.0,0
2019-05-02,40.69,41.17,40.59,41.11,718800,0.0,0
2019-05-03,41.35,41.7,41.26,41.53,942700,0.0,0
2019-05-06,41.02,42.27,40.67,42.22,1007800,0.0,0
2019-05-07,42.18,42.4,41.04,41.22,1297400,0.0,0
2019-05-08,41.17,41.66,41.09,41.59,870400,0.0,0
2019-05-09,41.29,41.9,40.89,41.82,1441900,0.0,0
2019-05-10,41.62,42.23,41.27,42.09,725800,0.0,0
2019-05-13,41.46,41.66,41.32,41.63,733500,0.0,0
2019-05-14,41.71,41.86,41.39,41.72,655000,0.0,0
2019-05-15,41.56,41.94,41.29,41.69,533600,0.0,0
2019-05-16,41.85,42.29,41.76,42.12,756700,0.0,0
2019-05-17,41.85,42.57,41.79,42.3,750000,0.0,0
2019-05-20,41.98,42.18,41.62,41.77,727400,0.0,0
2019-05-21,42.06,42.75,41.98,42.52,1302300,0.0,0
2019-05-22,42.4,43.01,42.4,42.65,811700,0.0,0
2019-05-23,42.3,42.92,42.1,42.76,1352400,0.0,0
2019-05-24,42.85,43.07,42.61,42.93,864600,0.0,0
2019-05-28,42.95,43.15,42.12,42.23,904300,0.0,0
2019-05-29,41.95,42.67,41.95,42.56,1257600,0.0,0
2019-05-30,42.89,43.19,42.63,43.03,1229800,0.0,0
2019-05-31,42.64,43.49,42.47,43.36,1780900,0.0,0
2019-06-03,43.39,43.79,43.28,43.5,899600,0.0,0
2019-06-04,43.64,44.22,43.61,44.18,783000,0.0,0
2019-06-05,44.32,44.46,43.98,44.4,505900,0.0,0
2019-06-06,44.32,44.54,44.25,44.42,569700,0.0,0
2019-06-07,44.59,44.91,44.46,44.58,606500,0.0,0
2019-06-10,44.69,45.07,44.49,44.67,585600,0.0,0
2019-06-11,44.73,44.99,44.21,44.43,419000,0.0,0
2019-06-12,44.47,44.92,44.33,44.92,710900,0.0,0
2019-06-13,45.01,45.59,44.79,45.57,869800,0.18,0
2019-06-14,45.6,46.01,45.43,45.64,720800,0.0,0
2019-06-17,45.64,45.88,45.31,45.5,506600,0.0,0
2019-06-18,45.69,46.22,45.61,45.97,534000,0.0,0
2019-06-19,45.95,46.25,45.76,46.15,659300,0.0,0
2019-06-20,46.31,46.51,46.12,46.34,625000,0.0,0
2019-06-21,46.11,46.3,45.53,45.53,1086300,0.0,0
2019-06-24,45.6,45.79,45.29,45.32,565000,0.0,0
2019-06-25,45.36,45.81,45.08,45.74,934700,0.0,0
2019-06-26,45.76,45.8,44.94,44.94,916200,0.0,0
2019-06-27,44.95,45.86,44.95,45.79,733500,0.0,0
2019-06-28,45.61,46.56,45.61,46.42,1641900,0.0,0
2019-07-01,46.72,46.92,45.7,46.1,860200,0.0,0
2019-07-02,46.15,46.74,45.82,46.5,782000,0.0,0
2019-07-03,46.64,47.09,46.49,47.03,431400,0.0,0
2019-07-05,46.82,46.95,46.59,46.89,451700,0.0,0
2019-07-08,46.66,46.85,46.09,46.39,704900,0.0,0
2019-07-09,46.19,46.64,46.19,46.45,570100,0.0,0
2019-07-10,46.55,46.79,46.18,46.27,1031600,0.0,0
2019-07-11,46.4,46.83,46.4,46.77,605300,0.0,0
2019-07-12,46.85,47.4,46.7,47.38,614000,0.0,0
2019-07-15,47.5,47.5,46.81,46.98,669500,0.0,0
2019-07-16,46.98,47.19,46.8,46.99,425000,0.0,0
2019-07-17,46.98,47.13,46.55,46.57,500400,0.0,0
2019-07-18,46.6,47.05,46.4,46.99,390500,0.0,0
2019-07-19,47.08,47.25,46.42,46.43,748100,0.0,0
2019-07-22,46.47,46.8,46.33,46.47,660500,0.0,0
2019-07-23,46.7,46.99,46.37,46.93,567000,0.0,0
2019-07-24,46.87,47.09,46.59,46.98,507700,0.0,0
2019-07-25,46.9,47.06,46.6,46.77,535100,0.0,0
2019-07-26,46.96,47.23,46.71,46.84,607800,0.0,0
2019-07-29,46.77,46.96,46.54,46.73,796400,0.0,0
2019-07-30,45.22,47.49,44.89,47.46,2536100,0.0,0
2019-07-31,47.48,48.16,45.46,45.78,1377900,0.0,0
2019-08-01,45.91,46.81,45.6,46.08,1032100,0.0,0
2019-08-02,45.93,45.93,44.93,45.54,625300,0.0,0
2019-08-05,44.92,45.2,44.01,44.46,870500,0.0,0
2019-08-06,44.68,45.12,44.38,44.94,759900,0.0,0
2019-08-07,44.66,45.87,44.51,45.63,836400,0.0,0
2019-08-08,45.93,46.64,45.7,46.55,1137600,0.0,0
2019-08-09,46.48,46.99,46.23,46.73,504600,0.0,0
2019-08-12,46.71,47.22,46.45,46.56,711100,0.0,0
2019-08-13,46.48,47.19,46.47,46.93,766600,0.0,0
2019-08-14,46.49,46.85,46.19,46.53,886500,0.0,0
2019-08-15,46.73,47.07,46.62,46.83,659100,0.0,0
2019-08-16,46.93,47.97,46.84,47.66,1146100,0.0,0
2019-08-19,48.25,48.32,47.35,47.56,933500,0.0,0
2019-08-20,47.35,47.47,46.74,46.85,726500,0.0,0
2019-08-21,47.14,47.24,46.5,46.74,1032300,0.0,0
2019-08-22,46.92,47.19,46.42,46.73,461100,0.0,0
2019-08-23,46.68,46.71,45.57,45.74,632900,0.0,0
2019-08-26,45.85,46.54,45.8,46.52,814200,0.0,0
2019-08-27,46.87,47.24,45.6,45.6,716600,0.0,0
2019-08-28,45.59,46.19,45.02,46.05,689700,0.0,0
2019-08-29,46.29,46.63,46.16,46.48,570600,0.0,0
2019-08-30,46.41,46.41,45.49,45.94,615000,0.0,0
2019-09-03,45.73,45.96,45.41,45.71,504700,0.0,0
2019-09-04,46.12,46.16,45.39,45.9,596400,0.0,0
2019-09-05,46.14,46.43,45.96,46.29,356900,0.0,0
2019-09-06,46.41,46.67,46.07,46.37,465400,0.0,0
2019-09-09,46.57,46.63,46.01,46.3,940200,0.0,0
2019-09-10,46.18,46.19,45.39,46.15,592000,0.0,0
2019-09-11,46.32,46.73,46.13,46.62,527400,0.0,0
2019-09-12,46.87,47.47,46.73,47.2,936900,0.18,0
