Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,23.72,24.18,23.65,24.1,1172400,0,0
2019-02-06,24.09,24.11,23.73,23.92,749900,0,0
2019-02-07,23.77,23.87,23.52,23.75,1049900,0,0
2019-02-08,23.75,23.92,23.24,23.52,951900,0,0
2019-02-11,23.67,23.82,23.5,23.7,1862200,0,0
2019-02-12,23.81,24.28,23.75,23.82,1334200,0,0
2019-02-13,23.76,24.03,23.75,23.98,1074700,0,0
2019-02-14,23.96,24.19,23.79,23.94,1567900,0,0
2019-02-15,24.02,24.83,23.81,24.55,1940500,0,0
2019-02-19,24.67,25.18,24.5,24.9,2639500,0,0
2019-02-20,24.7,24.84,23.97,24.14,3052300,0,0
2019-02-21,23.46,24.48,23.16,23.29,4085600,0,0
2019-02-22,22.71,23.77,22.5,23.48,2471800,0,0
2019-02-25,23.55,23.91,23.49,23.69,1674000,0,0
2019-02-26,23.74,23.78,23.29,23.32,2009300,0,0
2019-02-27,23.14,23.53,23.14,23.29,1190800,0,0
2019-02-28,23.36,23.56,23.1,23.32,1668000,0,0
2019-03-01,23.41,23.65,22.63,23.2,3619000,0,0
2019-03-04,22.95,23.22,22.85,23.12,1644600,0,0
2019-03-05,23.18,23.32,23.04,23.12,625400,0,0
2019-03-06,22.88,23.35,22.88,23.03,2242700,0,0
2019-03-07,22.44,23.21,22.33,22.85,2342800,0,0
2019-03-08,22.8,22.88,22.02,22.11,1604300,0,0
2019-03-11,22.12,22.26,21.85,22.22,2115900,0,0
2019-03-12,22.24,22.24,21.84,21.95,1542300,0,0
2019-03-13,22.0,22.43,21.99,22.28,2025000,0,0
2019-03-14,22.32,22.48,22.2,22.31,1310800,0,0
2019-03-15,22.33,22.76,22.12,22.39,3351400,0,0
2019-03-18,22.37,22.58,22.26,22.53,1395700,0,0
2019-03-19,22.57,22.6,22.09,22.14,1309300,0,0
2019-03-20,22.1,22.44,22.0,22.06,1224400,0,0
2019-03-21,21.79,22.62,21.79,22.51,2686800,0,0
2019-03-22,22.53,22.71,22.38,22.61,1674000,0,0
2019-03-25,22.61,22.82,22.37,22.62,1509000,0,0
2019-03-26,22.75,22.9,22.36,22.56,1831900,0,0
2019-03-27,22.3,22.3,21.64,21.74,2351000,0,0
2019-03-28,21.78,21.99,21.6,21.71,1160600,0,0
2019-03-29,21.72,21.8,21.43,21.54,2107800,0,0
2019-04-01,21.6,21.84,21.47,21.67,1473100,0,0
2019-04-02,21.58,21.58,20.94,21.09,2046900,0,0
2019-04-03,21.11,21.26,20.8,20.92,2826900,0,0
2019-04-04,20.84,21.34,20.84,21.28,1409000,0,0
2019-04-05,21.25,21.62,21.25,21.48,1196800,0,0
2019-04-08,21.44,21.51,21.29,21.38,1007400,0,0
2019-04-09,21.3,21.43,21.17,21.25,1758600,0,0
2019-04-10,21.2,21.61,21.2,21.55,1480500,0,0
2019-04-11,21.6,21.78,21.46,21.59,1395500,0,0
2019-04-12,21.66,21.66,21.32,21.33,1365300,0,0
2019-04-15,21.34,21.57,21.18,21.36,1293400,0,0
2019-04-16,21.31,21.31,20.94,21.2,1495600,0,0
2019-04-17,21.32,21.62,21.25,21.56,2093000,0,0
2019-04-18,21.59,21.86,21.47,21.57,1157500,0,0
2019-04-22,21.56,21.67,20.72,21.02,3080200,0,0
2019-04-23,21.05,21.22,20.58,20.78,2449100,0,0
2019-04-24,20.82,21.37,20.78,21.33,2153100,0,0
2019-04-25,21.24,21.48,21.06,21.16,1485300,0,0
2019-04-26,21.02,21.14,20.84,21.02,1694500,0,0
2019-04-29,21.37,21.85,21.17,21.57,2424800,0,0
2019-04-30,21.5,21.6,20.94,21.42,2275300,0,0
2019-05-01,21.44,21.7,21.25,21.29,1648700,0,0
2019-05-02,22.9,24.06,21.77,22.44,7342800,0,0
2019-05-03,22.5,22.59,22.09,22.13,1918500,0,0
2019-05-06,21.97,22.57,21.85,22.51,2473100,0,0
2019-05-07,22.5,22.67,22.18,22.28,1762800,0,0
2019-05-08,22.2,22.35,22.04,22.17,1186500,0,0
2019-05-09,22.2,22.54,22.2,22.48,1162900,0,0
2019-05-10,22.49,22.57,22.21,22.47,1283400,0,0
2019-05-13,22.28,22.28,21.57,21.7,1469800,0,0
2019-05-14,21.67,21.84,21.22,21.49,1053800,0,0
2019-05-15,21.48,21.52,21.22,21.41,1001000,0,0
2019-05-16,21.46,21.53,20.98,21.1,1140300,0,0
2019-05-17,21.05,21.35,20.95,20.98,1030400,0,0
2019-05-20,20.89,20.9,20.72,20.74,1039300,0,0
2019-05-21,20.7,21.08,20.69,20.86,761100,0,0
2019-05-22,20.81,20.81,20.48,20.54,1116400,0,0
2019-05-23,20.48,20.56,20.28,20.45,1014000,0,0
2019-05-24,20.47,20.61,20.37,20.55,1309600,0,0
2019-05-28,20.62,20.81,20.51,20.56,1274000,0,0
2019-05-29,20.27,20.71,19.95,20.29,2123500,0,0
2019-05-30,20.27,20.57,19.99,20.04,1133300,0,0
2019-05-31,19.95,20.08,19.72,20.05,1468800,0,0
