Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,76.86,77.02,74.87,75.68,764300,0,0
2019-02-06,75.04,76.65,74.31,75.68,858300,0,0
2019-02-07,75.01,76.18,73.46,73.75,1223300,0,0
2019-02-08,67.43,67.43,63.69,65.02,3580000,0,0
2019-02-11,65.29,66.96,65.29,66.53,1069300,0,0
2019-02-12,66.93,67.76,65.21,66.46,720100,0,0
2019-02-13,66.67,68.54,66.66,68.31,836200,0,0
2019-02-14,68.38,69.24,66.53,68.57,851100,0,0
2019-02-15,69.25,71.66,68.67,71.48,848900,0,0
2019-02-19,71.15,71.97,69.93,70.15,695000,0,0
2019-02-20,70.2,70.38,68.55,69.76,495000,0,0
2019-02-21,69.66,69.66,68.02,69.16,366100,0,0
2019-02-22,69.25,71.29,68.72,71.23,439900,0,0
2019-02-25,71.9,73.92,71.41,72.7,564500,0,0
2019-02-26,72.34,72.82,71.4,71.43,406400,0,0
2019-02-27,71.0,73.99,70.73,73.57,584600,0,0
2019-02-28,73.39,74.72,71.99,74.28,718300,0,0
2019-03-01,74.75,74.87,74.02,74.68,455900,0,0
2019-03-04,74.26,75.22,71.31,71.99,744400,0,0
2019-03-05,72.0,73.78,70.81,71.87,661800,0,0
2019-03-06,71.59,71.89,69.05,69.39,485000,0,0
2019-03-07,69.35,69.81,67.81,68.89,393400,0,0
2019-03-08,68.68,70.01,67.99,69.22,521800,0,0
2019-03-11,69.46,71.17,68.48,70.96,783300,0,0
2019-03-12,71.46,71.5,70.24,70.89,434200,0,0
2019-03-13,71.01,73.36,70.83,73.05,617800,0,0
2019-03-14,73.06,74.32,72.66,73.6,573200,0,0
2019-03-15,73.99,75.75,73.06,74.62,995000,0,0
2019-03-18,74.73,75.28,72.7,73.45,459700,0,0
2019-03-19,73.63,73.9,72.67,72.86,412900,0,0
2019-03-20,72.78,73.8,72.19,72.77,391900,0,0
2019-03-21,72.26,75.47,71.69,75.31,661800,0,0
2019-03-22,74.01,75.31,73.08,73.99,772400,0,0
2019-03-25,73.67,74.41,71.12,73.87,765800,0,0
2019-03-26,74.44,76.08,73.53,75.29,692200,0,0
2019-03-27,75.74,76.69,73.92,75.18,690200,0,0
2019-03-28,75.87,77.52,69.66,71.82,3425000,0,0
2019-03-29,72.5,74.35,71.57,73.24,1097300,0,0
2019-04-01,73.7,74.71,72.92,73.61,1238100,0,0
2019-04-02,73.39,75.0,73.0,74.56,887000,0,0
2019-04-03,74.82,74.83,72.96,73.72,1593900,0,0
2019-04-04,73.68,74.42,71.73,73.79,937400,0,0
2019-04-05,74.88,79.57,74.88,79.37,2150400,0,0
2019-04-08,78.75,80.16,77.21,80.1,1384400,0,0
2019-04-09,79.86,81.4,79.22,79.4,904500,0,0
2019-04-10,79.7,81.25,79.15,80.91,817500,0,0
2019-04-11,80.75,80.76,77.89,78.31,745600,0,0
2019-04-12,78.89,79.53,77.77,78.05,782800,0,0
2019-04-15,78.33,79.49,76.51,77.64,526000,0,0
2019-04-16,77.81,78.6,76.06,76.7,718000,0,0
2019-04-17,77.01,77.04,70.56,70.8,1194400,0,0
2019-04-18,70.95,72.0,68.44,69.18,1810600,0,0
2019-04-22,68.69,69.48,67.97,68.76,849900,0,0
2019-04-23,68.86,70.79,67.93,70.72,1674500,0,0
2019-04-24,70.98,70.98,69.16,69.3,723600,0,0
2019-04-25,70.1,71.53,68.65,71.09,812100,0,0
