Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,59.62,60.43,59.15,59.32,956900,0.0,0
2019-02-06,59.32,59.61,57.73,57.88,1826600,0.0,0
2019-02-07,57.41,58.52,57.28,58.48,1493100,0.0,0
2019-02-08,58.05,59.5,58.05,59.42,912900,0.0,0
2019-02-11,59.42,59.86,59.06,59.46,931400,0.0,0
2019-02-12,59.67,60.39,59.47,59.48,892900,0.0,0
2019-02-13,59.65,60.14,59.03,60.04,1833900,0.0,0
2019-02-14,52.72,53.85,50.0,52.25,11894600,0.82,0
2019-02-15,52.47,52.53,51.35,52.13,2770400,0.0,0
2019-02-19,52.02,53.73,52.02,53.07,1702700,0.0,0
2019-02-20,53.33,53.79,53.02,53.43,2017500,0.0,0
2019-02-21,53.81,54.24,53.45,53.7,981800,0.0,0
2019-02-22,53.79,54.46,53.65,54.4,938900,0.0,0
2019-02-25,54.66,54.95,54.13,54.41,1223400,0.0,0
2019-02-26,54.34,54.65,53.69,53.81,1004500,0.0,0
2019-02-27,53.93,54.51,53.77,54.24,743000,0.0,0
2019-02-28,54.24,54.68,52.95,53.05,1347500,0.0,0
2019-03-01,53.41,53.75,52.34,53.21,1001000,0.0,0
2019-03-04,53.25,53.46,50.72,51.08,1994500,0.0,0
2019-03-05,50.97,51.36,50.18,50.92,1320800,0.0,0
2019-03-06,51.19,51.31,49.64,49.65,1013700,0.0,0
2019-03-07,49.52,49.7,48.63,48.88,974600,0.0,0
2019-03-08,48.49,48.57,47.54,47.85,1452600,0.0,0
2019-03-11,48.0,48.22,47.44,47.62,1456000,0.0,0
2019-03-12,47.59,47.59,46.8,46.88,1157100,0.0,0
2019-03-13,47.43,48.66,47.25,48.49,1595000,0.0,0
2019-03-14,48.5,49.2,48.1,48.97,1082000,0.0,0
2019-03-15,49.28,49.55,48.25,48.76,1928000,0.0,0
2019-03-18,48.75,48.88,47.9,48.16,1176900,0.0,0
2019-03-19,48.34,48.79,47.45,47.6,1292000,0.0,0
2019-03-20,47.49,47.79,45.84,46.06,2807000,0.0,0
2019-03-21,45.94,47.04,45.53,46.46,1188900,0.0,0
2019-03-22,46.15,46.15,44.57,45.29,1777900,0.0,0
2019-03-25,45.12,45.35,44.45,44.52,1312500,0.0,0
2019-03-26,44.53,46.43,44.53,46.11,1537200,0.0,0
2019-03-27,46.11,46.71,45.75,46.61,1091000,0.0,0
2019-03-28,46.79,47.0,45.67,46.38,1136000,0.0,0
2019-03-29,46.58,47.27,46.49,47.0,1235900,0.0,0
2019-04-01,47.4,47.4,46.75,47.24,876200,0.0,0
2019-04-02,47.14,48.08,47.09,47.62,1005600,0.0,0
2019-04-03,48.0,48.18,47.31,47.66,1535500,0.0,0
2019-04-04,47.76,48.12,47.25,47.68,1003100,0.0,0
2019-04-05,47.81,48.12,47.46,47.85,953100,0.0,0
2019-04-08,47.85,48.0,47.28,47.79,1168100,0.0,0
2019-04-09,47.61,48.12,47.28,47.91,1302600,0.0,0
2019-04-10,47.95,48.25,47.63,47.85,1350900,0.0,0
2019-04-11,47.97,48.22,47.25,48.02,1405900,0.0,0
2019-04-12,48.3,48.32,47.94,48.22,962300,0.0,0
2019-04-15,48.36,48.47,47.72,48.25,1060700,0.0,0
2019-04-16,48.2,48.41,47.91,48.3,1091300,0.0,0
2019-04-17,48.55,48.55,47.38,48.01,1607300,0.0,0
