Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,101.66,102.28,101.29,102.15,776900,0.0,0
2019-02-06,101.91,102.52,101.36,102.04,758800,0.0,0
2019-02-07,100.95,102.07,99.97,100.65,1055500,0.0,0
2019-02-08,100.18,100.79,99.3,100.44,799800,0.0,0
2019-02-11,100.63,101.13,99.29,100.18,843800,0.0,0
2019-02-12,100.25,101.59,100.13,101.17,719600,0.0,0
2019-02-13,101.17,101.26,99.63,100.56,940500,0.0,0
2019-02-14,100.08,100.09,98.87,99.25,1011600,0.85,0
2019-02-15,100.07,101.82,99.9,101.05,1238700,0.0,0
2019-02-19,101.07,101.82,100.34,101.66,834700,0.0,0
2019-02-20,101.67,105.07,101.18,104.53,1952300,0.0,0
2019-02-21,104.18,104.66,103.37,104.36,739500,0.0,0
2019-02-22,99.89,100.17,97.29,99.13,1732600,0.0,0
2019-02-25,99.73,99.86,98.11,98.78,1307700,0.0,0
2019-02-26,104.79,106.83,102.35,103.69,2792500,0.0,0
2019-02-27,105.29,105.32,103.35,105.14,2055300,0.0,0
2019-02-28,105.34,105.42,103.25,103.52,1573700,0.0,0
2019-03-01,103.81,104.5,102.98,103.04,1301300,0.0,0
2019-03-04,102.0,103.15,98.95,100.22,2548800,0.0,0
2019-03-05,100.07,100.26,99.25,99.78,4625400,0.0,0
2019-03-06,99.79,101.15,98.77,101.08,2269200,0.0,0
2019-03-07,101.07,101.5,100.06,100.31,1067600,0.0,0
2019-03-08,100.51,100.52,99.6,100.18,798500,0.0,0
2019-03-11,99.97,100.82,99.58,100.8,903300,0.0,0
2019-03-12,100.91,101.16,100.27,100.48,708500,0.0,0
2019-03-13,100.78,101.13,100.23,100.93,784600,0.0,0
2019-03-14,101.05,101.62,100.35,101.51,947000,0.0,0
2019-03-15,101.36,103.23,100.95,103.2,2424500,0.0,0
2019-03-18,103.28,104.73,103.24,104.6,1482500,0.0,0
2019-03-19,104.52,105.44,103.76,104.5,918700,0.0,0
2019-03-20,104.8,105.53,104.11,104.65,933300,0.0,0
2019-03-21,104.82,109.15,104.65,109.07,1324800,0.0,0
2019-03-22,109.08,112.46,109.08,111.72,1983300,0.0,0
2019-03-25,111.31,113.76,111.31,113.31,1409300,0.0,0
2019-03-26,113.7,114.13,112.91,113.1,994800,0.0,0
2019-03-27,113.21,113.42,112.27,112.31,998700,0.0,0
2019-03-28,112.44,113.75,112.44,113.43,861000,0.0,0
2019-03-29,113.32,114.12,112.92,113.87,1624800,0.0,0
2019-04-01,113.93,114.14,112.61,113.12,1047700,0.0,0
2019-04-02,113.29,114.01,112.47,113.43,1214600,0.0,0
2019-04-03,113.33,113.63,112.37,112.74,836700,0.0,0
2019-04-04,112.81,113.42,112.37,113.08,862500,0.0,0
2019-04-05,113.07,114.28,112.78,113.91,891000,0.0,0
2019-04-08,114.36,116.08,114.06,115.32,1010500,0.0,0
2019-04-09,115.42,117.83,115.14,116.78,1167900,0.0,0
2019-04-10,116.93,117.68,115.86,116.38,930000,0.0,0
2019-04-11,116.95,117.22,116.23,116.76,626000,0.0,0
2019-04-12,116.36,116.56,115.51,115.67,735200,0.0,0
2019-04-15,115.82,116.62,115.44,116.49,616500,0.0,0
2019-04-16,116.56,117.16,115.37,116.24,498800,0.0,0
2019-04-17,116.63,116.86,115.76,116.57,505100,0.0,0
2019-04-18,117.78,118.68,116.67,117.97,709000,0.0,0
2019-04-22,118.09,118.99,118.0,118.48,448000,0.0,0
2019-04-23,118.41,119.19,118.34,118.97,634200,0.0,0
2019-04-24,119.08,120.08,117.78,119.6,594000,0.0,0
2019-04-25,119.6,119.6,118.1,118.48,636400,0.0,0
2019-04-26,118.69,120.07,118.21,120.02,639600,0.0,0
2019-04-29,119.72,120.1,119.02,119.3,573900,0.0,0
2019-04-30,119.59,120.29,118.56,119.86,1240600,0.0,0
2019-05-01,119.84,120.21,118.54,119.75,705100,0.0,0
2019-05-02,119.23,120.16,118.71,120.15,478300,0.0,0
2019-05-03,120.22,120.79,119.71,120.75,387000,0.0,0
2019-05-06,120.55,122.67,120.22,122.32,598600,0.0,0
2019-05-07,122.37,122.52,121.16,122.27,774400,0.0,0
2019-05-08,122.3,122.68,121.02,121.81,603100,0.0,0
2019-05-09,121.65,123.38,121.35,123.12,705700,0.0,0
2019-05-10,123.01,124.17,122.58,124.03,548500,0.0,0
2019-05-13,123.26,124.11,122.7,123.9,542800,0.0,0
2019-05-14,123.6,124.53,123.16,123.92,516200,0.0,0
2019-05-15,124.03,125.2,123.55,124.62,595200,0.0,0
2019-05-16,124.7,126.32,123.62,123.73,857400,0.85,0
2019-05-17,123.61,125.9,123.61,124.87,673500,0.0,0
2019-05-20,124.8,126.37,124.3,125.35,783400,0.0,0
2019-05-21,125.41,125.46,124.38,124.66,594800,0.0,0
2019-05-22,124.7,125.44,123.74,125.24,521200,0.0,0
2019-05-23,124.72,125.57,124.02,125.1,411500,0.0,0
2019-05-24,125.41,125.86,124.53,124.66,420800,0.0,0
2019-05-28,124.6,125.11,121.7,121.7,836500,0.0,0
2019-05-29,121.25,121.27,118.47,119.01,1227400,0.0,0
2019-05-30,119.25,120.36,118.7,119.23,851800,0.0,0
2019-05-31,118.7,119.62,117.63,119.61,807200,0.0,0
2019-06-03,119.66,122.6,119.39,122.31,816500,0.0,0
2019-06-04,122.71,123.85,121.93,122.6,1075100,0.0,0
2019-06-05,123.76,123.84,122.35,123.25,1084200,0.0,0
2019-06-06,118.0,123.58,115.77,120.41,1986800,0.0,0
2019-06-07,120.37,122.91,119.81,122.54,1124900,0.0,0
2019-06-10,122.4,123.07,120.28,120.68,775400,0.0,0
2019-06-11,120.74,122.28,120.4,121.14,888000,0.0,0
2019-06-12,121.56,122.58,121.27,121.88,754400,0.0,0
2019-06-13,121.75,122.69,120.71,121.53,604700,0.0,0
2019-06-14,121.56,122.37,121.24,121.33,502800,0.0,0
2019-06-17,121.36,121.77,120.06,120.44,639400,0.0,0
2019-06-18,120.96,120.96,118.27,118.67,1153500,0.0,0
2019-06-19,118.38,119.22,117.28,118.93,862600,0.0,0
2019-06-20,118.88,119.32,117.59,119.16,739100,0.0,0
2019-06-21,119.41,120.74,118.79,119.57,1807100,0.0,0
2019-06-24,120.08,120.38,119.21,119.37,829400,0.0,0
2019-06-25,119.47,119.47,117.98,118.64,974700,0.0,0
2019-06-26,117.39,117.79,113.91,114.14,1595800,0.0,0
2019-06-27,113.56,115.3,112.62,115.02,1101500,0.0,0
2019-06-28,115.15,115.67,112.92,113.34,1340900,0.0,0
2019-07-01,114.06,115.78,113.7,114.64,941300,0.0,0
2019-07-02,114.73,115.72,113.6,115.7,1111700,0.0,0
2019-07-03,116.15,118.45,115.92,117.81,714300,0.0,0
2019-07-05,117.48,117.66,115.72,117.58,674100,0.0,0
2019-07-08,117.88,118.29,116.78,117.3,716300,0.0,0
2019-07-09,117.18,117.36,115.95,116.87,1102300,0.0,0
2019-07-10,116.79,117.19,115.62,116.25,897100,0.0,0
2019-07-11,115.75,115.78,112.26,112.68,1313600,0.0,0
2019-07-12,112.77,113.02,111.99,112.37,1021200,0.0,0
2019-07-15,112.44,114.1,112.09,113.25,580000,0.0,0
2019-07-16,113.32,114.11,113.12,113.61,697500,0.0,0
2019-07-17,113.59,114.73,113.13,114.15,633100,0.0,0
2019-07-18,114.47,114.48,113.28,114.03,554500,0.0,0
2019-07-19,114.12,114.99,112.45,112.47,880600,0.0,0
2019-07-22,112.26,112.43,109.97,110.32,772000,0.0,0
2019-07-23,110.19,111.05,109.4,110.84,707100,0.0,0
2019-07-24,111.07,111.52,110.03,110.3,687600,0.0,0
2019-07-25,110.39,111.96,109.76,111.24,552200,0.0,0
2019-07-26,111.47,112.72,111.21,112.43,596800,0.0,0
2019-07-29,112.53,112.9,111.0,112.52,703100,0.0,0
2019-07-30,112.76,113.6,110.78,111.32,659400,0.0,0
2019-07-31,111.29,111.89,108.32,109.41,1001100,0.0,0
2019-08-01,109.92,112.2,109.73,109.94,893100,0.0,0
2019-08-02,110.4,111.02,109.77,110.35,614500,0.0,0
2019-08-05,110.37,111.27,107.66,108.6,796300,0.0,0
2019-08-06,108.58,109.52,107.32,108.9,892200,0.0,0
2019-08-07,108.77,109.94,107.26,109.64,779400,0.0,0
2019-08-08,108.89,111.8,108.79,111.72,692200,0.0,0
2019-08-09,112.01,112.22,109.5,110.05,675500,0.0,0
2019-08-12,110.01,111.88,109.64,111.7,637400,0.0,0
2019-08-13,111.32,113.34,111.19,112.17,787700,0.0,0
2019-08-14,112.17,113.3,111.12,111.54,892700,0.0,0
2019-08-15,111.9,113.0,111.48,112.59,505700,0.88,0
2019-08-16,113.18,113.72,112.73,113.4,583800,0.0,0
2019-08-19,113.67,115.4,113.49,115.29,787400,0.0,0
2019-08-20,115.15,115.23,113.49,113.63,836900,0.0,0
