Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,27.27,27.63,27.04,27.58,2314900,0,0
2019-02-06,27.76,27.95,27.15,27.67,2638000,0,0
2019-02-07,27.5,28.07,27.1,27.7,5766700,0,0
2019-02-08,32.6,32.95,31.34,31.91,14443000,0,0
2019-02-11,32.25,32.77,31.55,32.58,3798700,0,0
2019-02-12,32.69,32.7,31.9,31.99,3392100,0,0
2019-02-13,32.0,32.65,31.75,32.54,2363400,0,0
2019-02-14,32.36,32.98,31.89,32.84,1870900,0,0
2019-02-15,32.97,33.39,32.75,32.99,1937800,0,0
2019-02-19,32.85,33.76,32.62,33.63,1608400,0,0
2019-02-20,33.66,33.93,33.38,33.73,1678000,0,0
2019-02-21,33.77,33.89,33.46,33.61,1224000,0,0
2019-02-22,33.75,34.13,33.53,33.78,1257500,0,0
2019-02-25,33.91,34.32,33.82,34.17,1698200,0,0
2019-02-26,34.12,34.39,33.72,33.75,1266100,0,0
2019-02-27,33.7,34.34,33.67,34.07,1265100,0,0
2019-02-28,34.01,34.17,33.62,33.63,1459600,0,0
2019-03-01,34.12,34.72,33.89,34.2,1316100,0,0
2019-03-04,34.26,34.43,33.74,34.15,2059500,0,0
2019-03-05,33.94,34.0,32.99,33.33,3539300,0,0
2019-03-06,33.49,33.71,32.74,32.8,1538600,0,0
2019-03-07,32.72,32.9,32.14,32.73,2017700,0,0
2019-03-08,32.52,32.8,32.22,32.46,1440500,0,0
2019-03-11,32.5,32.92,32.34,32.64,2075300,0,0
2019-03-12,32.64,32.88,32.35,32.79,1456400,0,0
2019-03-13,32.89,32.95,32.67,32.8,959900,0,0
2019-03-14,32.75,33.0,32.56,32.75,1031600,0,0
2019-03-15,32.7,32.88,32.28,32.58,1714700,0,0
2019-03-18,32.6,33.19,32.6,33.1,1522700,0,0
2019-03-19,33.17,33.27,32.69,32.86,1945000,0,0
2019-03-20,32.78,32.97,32.08,32.33,1457200,0,0
2019-03-21,32.35,32.62,32.17,32.49,2626400,0,0
2019-03-22,32.2,32.2,30.47,30.47,2771800,0,0
2019-03-25,30.47,31.22,30.16,31.02,2121300,0,0
2019-03-26,31.34,31.87,31.23,31.5,1779100,0,0
2019-03-27,33.08,33.45,31.95,32.58,2372800,0,0
2019-03-28,32.87,33.48,32.84,33.2,1575400,0,0
2019-03-29,33.35,34.0,32.89,33.61,2288400,0,0
2019-04-01,33.8,34.44,33.8,34.36,1605400,0,0
2019-04-02,34.42,34.82,34.12,34.26,2660600,0,0
2019-04-03,34.5,34.91,34.5,34.71,1740600,0,0
2019-04-04,34.64,35.0,34.5,34.95,1469900,0,0
2019-04-05,34.69,35.0,34.47,34.63,1680500,0,0
2019-04-08,34.58,34.73,34.23,34.51,1581000,0,0
2019-04-09,34.28,34.53,33.93,34.02,1044000,0,0
2019-04-10,34.0,34.45,33.98,34.45,993400,0,0
2019-04-11,34.47,34.76,34.12,34.35,1471500,0,0
2019-04-12,34.46,34.69,34.11,34.41,1129300,0,0
2019-04-15,34.7,34.87,34.48,34.84,1678800,0,0
2019-04-16,34.87,35.25,34.56,35.08,2478400,0,0
2019-04-17,35.29,35.66,34.84,35.28,3438000,0,0
2019-04-18,29.64,32.5,29.64,31.6,10441000,0,0
2019-04-22,31.36,31.45,29.43,29.77,5504900,0,0
2019-04-23,29.8,30.15,29.28,29.89,4507900,0,0
2019-04-24,29.91,31.51,29.91,31.16,4486300,0,0
2019-04-25,31.14,31.31,30.55,30.6,1234600,0,0
2019-04-26,30.7,31.47,30.5,31.16,1793000,0,0
2019-04-29,31.07,31.81,31.07,31.63,1514200,0,0
2019-04-30,31.69,31.9,31.33,31.66,1186000,0,0
2019-05-01,31.69,31.84,31.3,31.3,1222600,0,0
2019-05-02,31.3,31.45,30.82,31.4,1643700,0,0
2019-05-03,31.48,32.07,31.4,32.01,1560300,0,0
2019-05-06,31.34,31.39,30.31,30.52,2374600,0,0
2019-05-07,30.29,30.5,29.41,29.71,1751200,0,0
2019-05-08,29.65,30.06,29.49,29.53,1448000,0,0
2019-05-09,29.49,29.71,29.01,29.41,2229500,0,0
2019-05-10,29.25,29.49,28.62,29.46,1651000,0,0
2019-05-13,28.76,28.76,27.2,27.59,2467400,0,0
2019-05-14,27.7,28.17,27.35,27.97,1904800,0,0
2019-05-15,27.62,28.23,27.47,28.09,1554200,0,0
2019-05-16,28.21,28.66,27.99,28.36,1582700,0,0
2019-05-17,28.06,28.85,28.0,28.24,1407000,0,0
2019-05-20,27.95,28.27,27.64,28.07,1093500,0,0
2019-05-21,28.19,28.69,28.06,28.58,1108500,0,0
2019-05-22,28.47,29.46,28.36,29.36,2100400,0,0
2019-05-23,29.16,29.28,28.03,28.11,1961200,0,0
2019-05-24,28.25,28.86,28.11,28.78,1435500,0,0
2019-05-28,28.82,29.15,28.19,28.23,1221100,0,0
2019-05-29,27.88,28.25,27.26,28.19,1516800,0,0
2019-05-30,28.23,28.72,27.86,28.0,1461200,0,0
2019-05-31,27.5,28.08,27.4,27.93,2004600,0,0
2019-06-03,27.85,28.31,27.55,27.8,1866800,0,0
2019-06-04,28.4,29.26,28.35,29.09,2746400,0,0
2019-06-05,29.37,29.51,28.89,29.43,1563000,0,0
2019-06-06,29.5,30.2,29.27,30.01,2430600,0,0
