Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,19.19,19.23,18.19,18.68,3200500,0.0,0
2019-02-06,18.47,19.11,18.29,18.55,1596900,0.0,0
2019-02-07,18.29,18.34,17.23,17.27,2613900,0.0,0
2019-02-08,17.2,17.33,16.3,16.61,4188300,0.0,0
2019-02-11,16.41,17.32,16.41,17.3,3460300,0.0,0
2019-02-12,17.77,18.32,17.73,18.09,1731900,0.0,0
2019-02-13,18.24,18.93,18.24,18.85,1844500,0.0,0
2019-02-14,18.76,19.02,18.61,18.68,2551900,0.0,0
2019-02-15,19.02,19.67,18.88,19.63,2085500,0.0,0
2019-02-19,19.43,19.69,18.88,18.91,2571500,0.0,0
2019-02-20,18.8,19.62,18.74,19.51,3536000,0.0,0
2019-02-21,18.4,18.78,16.55,16.86,8938500,0.0,0
2019-02-22,17.07,17.45,16.32,16.74,4400200,0.0,0
2019-02-25,16.48,16.81,16.24,16.74,3242500,0.0,0
2019-02-26,16.55,17.17,16.16,16.27,3116700,0.0,0
2019-02-27,16.41,17.05,16.12,16.5,2304300,0.0,0
2019-02-28,16.59,16.59,15.81,16.19,2064400,0.0,0
2019-03-01,16.34,16.67,15.99,16.38,1904700,0.0,0
2019-03-04,16.67,16.82,16.2,16.71,1979600,0.0,0
2019-03-05,16.74,16.89,16.35,16.47,1683400,0.0,0
2019-03-06,16.34,16.43,15.88,15.9,1557700,0.0,0
2019-03-07,15.94,16.03,15.51,15.65,1783000,0.0,0
2019-03-08,15.16,15.21,14.62,14.93,2489300,0.0,0
2019-03-11,15.05,15.28,14.73,14.84,3034100,0.0,0
2019-03-12,15.06,15.7,15.0,15.66,2152800,0.0,0
2019-03-13,16.18,16.53,15.8,16.18,2133900,0.0,0
2019-03-14,16.17,16.44,15.72,15.77,1618100,0.0,0
2019-03-15,15.55,15.72,15.41,15.56,3005400,0.0,0
2019-03-18,15.78,16.05,15.73,15.93,2875900,0.0,0
2019-03-19,16.19,16.2,15.26,15.38,2350000,0.0,0
2019-03-20,15.38,16.59,15.31,16.31,2514900,0.0,0
2019-03-21,16.38,17.19,16.33,17.13,2009300,0.0,0
2019-03-22,16.81,16.82,15.87,16.26,2917500,0.0,0
2019-03-25,16.24,16.52,15.87,16.29,2862300,0.0,0
2019-03-26,16.79,17.25,16.71,16.83,2488300,0.0,0
2019-03-27,16.89,17.16,16.58,16.88,2099200,0.0,0
2019-03-28,16.65,17.12,16.65,17.04,1636700,0.0,0
2019-03-29,17.57,17.75,17.25,17.33,2171800,0.0,0
2019-04-01,17.6,17.85,17.3,17.56,1649400,0.0,0
2019-04-02,17.56,17.91,17.38,17.49,1907700,0.0,0
2019-04-03,17.62,17.63,16.29,16.46,3510400,0.0,0
2019-04-04,16.46,17.24,16.37,17.16,2534300,0.0,0
2019-04-05,17.2,18.02,17.19,17.98,2480100,0.0,0
2019-04-08,18.0,18.38,17.84,18.08,2303300,0.0,0
2019-04-09,18.03,18.13,17.5,17.56,1846500,0.0,0
2019-04-10,17.73,18.14,17.55,17.99,1935800,0.0,0
2019-04-11,17.98,18.11,17.08,17.13,2532300,0.0,0
2019-04-12,17.91,18.15,17.45,18.14,2577500,0.0,0
2019-04-15,18.02,18.11,17.59,17.59,2181400,0.0,0
2019-04-16,17.65,17.84,17.15,17.75,2583600,0.0,0
2019-04-17,17.46,17.76,17.32,17.42,2272400,0.0,0
2019-04-18,17.37,17.61,17.15,17.37,2549600,0.0,0
2019-04-22,17.82,18.62,17.79,18.38,3001700,0.0,0
2019-04-23,18.42,18.75,18.09,18.31,1698800,0.0,0
2019-04-24,18.43,18.53,17.16,17.19,2361100,0.0,0
2019-04-25,17.06,17.2,16.36,16.36,2162600,0.05,0
2019-04-26,16.13,16.24,15.6,15.86,2289200,0.0,0
2019-04-29,15.91,16.19,15.61,16.02,2023400,0.0,0
2019-04-30,16.28,16.3,15.73,15.83,2290400,0.0,0
2019-05-01,15.63,15.73,15.08,15.1,2933100,0.0,0
2019-05-02,14.51,14.91,13.71,14.67,5718300,0.0,0
2019-05-03,14.9,15.06,14.44,14.82,3542100,0.0,0
2019-05-06,14.44,15.4,14.14,15.14,2913300,0.0,0
2019-05-07,14.8,15.14,14.3,14.53,2300400,0.0,0
2019-05-08,14.56,15.11,14.43,14.89,2307800,0.0,0
2019-05-09,15.05,15.13,14.63,15.01,2865300,0.0,0
2019-05-10,14.95,15.33,14.46,15.27,1863300,0.0,0
2019-05-13,15.05,15.39,14.53,14.53,2066000,0.0,0
2019-05-14,14.59,15.19,14.59,15.07,1863300,0.0,0
2019-05-15,14.83,15.37,14.74,15.33,1673800,0.0,0
2019-05-16,15.44,15.81,15.44,15.78,1479400,0.0,0
2019-05-17,15.53,15.65,14.85,15.01,2138000,0.0,0
2019-05-20,14.94,15.06,14.42,14.49,1390800,0.0,0
2019-05-21,14.56,14.94,14.33,14.74,1932000,0.0,0
2019-05-22,14.51,14.61,13.69,13.75,1813300,0.0,0
2019-05-23,13.39,13.42,12.76,12.92,3478100,0.0,0
2019-05-24,13.14,13.32,12.47,12.65,2955000,0.0,0
2019-05-28,12.67,12.88,12.43,12.46,1492900,0.0,0
2019-05-29,12.33,12.81,12.15,12.73,4192100,0.0,0
2019-05-30,12.73,12.97,12.05,12.1,2483400,0.0,0
2019-05-31,11.88,12.03,11.54,11.56,1923800,0.0,0
2019-06-03,11.69,11.81,11.24,11.67,3006000,0.0,0
2019-06-04,11.83,12.12,11.62,12.09,1772500,0.0,0
2019-06-05,12.05,12.06,11.05,11.15,2892000,0.0,0
2019-06-06,11.22,11.59,11.09,11.56,2146000,0.0,0
2019-06-07,11.65,12.01,11.34,11.74,2519700,0.0,0
2019-06-10,11.85,12.0,11.52,11.55,2124500,0.0,0
2019-06-11,11.76,11.92,11.58,11.7,1969900,0.0,0
2019-06-12,11.42,11.46,10.64,10.68,2082200,0.0,0
2019-06-13,11.04,11.08,10.67,10.83,2589100,0.0,0
2019-06-14,10.85,11.03,10.27,10.31,2353500,0.0,0
2019-06-17,10.16,10.95,10.11,10.89,3302000,0.0,0
2019-06-18,11.11,11.75,11.11,11.61,3533700,0.0,0
2019-06-19,11.52,11.52,11.08,11.12,1964900,0.0,0
2019-06-20,11.56,12.18,11.51,12.08,3387100,0.0,0
2019-06-21,12.12,12.37,11.55,11.73,2822900,0.0,0
2019-06-24,11.77,11.98,11.59,11.92,2654200,0.0,0
2019-06-25,11.85,12.13,11.73,11.86,2895800,0.0,0
2019-06-26,12.13,12.64,12.02,12.48,2558000,0.0,0
2019-06-27,12.49,12.62,12.19,12.21,2504100,0.0,0
2019-06-28,12.22,12.59,12.22,12.44,14234600,0.0,0
2019-07-01,12.54,12.8,11.94,12.26,4691400,0.0,0
2019-07-02,12.58,12.68,11.24,11.34,6761800,0.0,0
2019-07-03,11.44,11.56,11.02,11.17,3174300,0.0,0
2019-07-05,11.07,11.72,11.02,11.53,2855000,0.0,0
2019-07-08,11.22,11.77,11.17,11.56,22348700,0.0,0
2019-07-09,11.55,11.66,11.12,11.47,2528100,0.0,0
2019-07-10,11.66,11.76,11.4,11.64,3579300,0.0,0
2019-07-11,11.66,11.7,10.91,10.97,4092700,0.0,0
2019-07-12,10.96,11.0,10.47,10.75,2453600,0.0,0
2019-07-15,10.92,11.18,10.24,10.27,3107300,0.0,0
2019-07-16,10.18,10.31,9.72,9.85,3370000,0.0,0
2019-07-17,9.79,9.87,9.09,9.14,5097200,0.0,0
2019-07-18,9.01,9.34,8.83,9.29,5499600,0.0,0
2019-07-19,9.29,9.92,9.14,9.84,4430900,0.0,0
2019-07-22,9.91,10.16,9.9,10.09,2868800,0.0,0
2019-07-23,10.02,10.3,9.94,10.08,2757000,0.0,0
2019-07-24,10.09,10.26,9.76,10.01,2947900,0.0,0
2019-07-25,10.13,10.15,9.37,9.45,3051600,0.0,0
2019-07-26,9.45,9.45,9.04,9.17,3327100,0.0,0
2019-07-29,9.14,9.18,8.46,8.84,5127000,0.0,0
2019-07-30,8.79,9.73,8.57,9.6,4349300,0.0,0
2019-07-31,9.59,10.47,9.58,9.91,4464100,0.0,0
2019-08-01,9.44,9.56,8.47,9.0,5664800,0.0,0
2019-08-02,9.44,10.78,8.9,9.94,6787600,0.0,0
2019-08-05,9.54,9.9,9.08,9.53,5430300,0.0,0
2019-08-06,9.63,9.96,9.18,9.79,5643400,0.0,0
2019-08-07,9.35,9.77,9.22,9.64,6527000,0.0,0
2019-08-08,9.89,10.56,9.62,10.53,4704700,0.0,0
