Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,35.04,35.31,35.04,35.24,76700,0.0,0
2019-02-06,35.26,35.27,34.74,34.74,60400,0.0,0
2019-02-07,35.07,35.38,35.03,35.37,90300,0.0,0
2019-02-08,34.91,34.96,34.78,34.78,8500,0.0,0
2019-02-11,34.6,34.79,34.42,34.44,108100,0.0,0
2019-02-12,34.62,34.8,34.45,34.76,18900,0.0,0
2019-02-13,34.4,34.55,34.21,34.32,45200,0.0,0
2019-02-14,34.32,34.7,34.28,34.53,139300,0.0,0
2019-02-15,34.26,34.29,34.02,34.09,132100,0.0,0
2019-02-19,33.99,34.13,33.86,34.04,183600,0.0,0
2019-02-20,34.48,34.5,34.25,34.38,91400,0.0,0
2019-02-21,34.71,34.71,34.4,34.46,55600,0.0,0
2019-02-22,34.72,34.89,34.56,34.75,51000,0.0,0
2019-02-25,35.02,35.39,35.02,35.37,177100,0.0,0
2019-02-26,34.98,35.38,34.98,35.28,231400,0.0,0
2019-02-27,35.01,35.19,34.9,34.99,33100,0.0,0
2019-02-28,35.4,35.64,35.39,35.54,40200,0.0,0
2019-03-01,35.92,36.1,35.82,35.85,12100,0.0,0
2019-03-04,35.84,35.85,35.49,35.72,9400,0.0,0
2019-03-05,37.05,37.24,36.62,37.08,478200,0.0,0
2019-03-06,37.35,37.55,37.19,37.35,80400,0.0,0
2019-03-07,37.4,37.4,36.86,36.93,41300,0.0,0
2019-03-08,36.89,37.19,36.76,37.14,78700,0.0,0
2019-03-11,37.93,38.57,37.93,38.5,121600,0.0,0
2019-03-12,38.6,38.94,38.6,38.67,51600,0.0,0
2019-03-13,38.66,38.93,38.65,38.79,273500,0.0,0
2019-03-14,38.73,38.94,38.73,38.94,15700,0.0,0
2019-03-15,39.04,39.53,38.93,39.43,122900,0.0,0
2019-03-18,39.49,39.57,39.41,39.48,98700,0.0,0
2019-03-19,39.51,39.61,39.42,39.46,47000,0.0,0
2019-03-20,39.46,39.87,39.32,39.81,50000,0.0,0
2019-03-21,39.34,39.62,39.34,39.61,25000,0.0,0
2019-03-22,39.03,39.12,38.59,38.61,36500,0.0,0
2019-03-25,38.55,38.68,38.45,38.48,21300,0.0,0
2019-03-26,39.05,39.05,38.73,38.81,49300,0.0,0
2019-03-27,39.1,39.22,38.96,39.12,36900,0.0,0
2019-03-28,39.39,39.7,39.39,39.63,73800,0.0,0
2019-03-29,39.72,39.97,39.68,39.79,63000,0.0,0
2019-04-01,40.08,40.24,39.98,40.23,37000,0.0,0
2019-04-02,40.3,40.36,40.18,40.28,59000,0.0,0
2019-04-03,40.28,40.28,39.9,40.25,111800,0.0,0
2019-04-04,39.81,39.92,39.66,39.73,172600,0.0,0
2019-04-05,40.04,40.11,39.77,40.05,19900,0.0,0
2019-04-08,39.72,39.72,39.38,39.49,47800,0.0,0
2019-04-09,39.62,39.62,39.4,39.52,29100,0.0,0
2019-04-10,39.55,39.8,39.54,39.72,25800,0.0,0
2019-04-11,39.59,39.77,39.59,39.68,32600,0.0,0
2019-04-12,39.73,39.78,39.68,39.74,24400,0.0,0
2019-04-15,39.91,39.97,39.52,39.96,23600,0.0,0
2019-04-16,39.93,40.15,39.93,40.1,15200,0.0,0
2019-04-17,40.18,40.22,40.06,40.07,24800,0.0,0
2019-04-18,39.91,39.91,39.6,39.85,14800,0.0,0
2019-04-22,39.18,39.42,38.54,38.95,17800,0.0,0
2019-04-23,38.94,39.08,38.89,38.99,24200,0.0,0
2019-04-24,39.0,39.24,38.48,38.52,155600,0.0,0
2019-04-25,38.5,39.04,38.49,38.65,67200,0.0,0
2019-04-26,38.59,38.85,38.55,38.79,40400,0.0,0
2019-04-29,38.79,38.9,38.65,38.72,38300,0.0,0
2019-04-30,38.39,38.83,38.34,38.59,52500,0.0,0
2019-05-01,38.69,38.78,38.53,38.53,25900,0.0,0
2019-05-02,38.52,38.52,38.06,38.18,78700,0.0,0
2019-05-03,38.2,38.74,38.2,38.68,54000,0.0,0
2019-05-06,38.22,38.4,38.12,38.32,15600,0.0,0
2019-05-07,37.56,37.72,36.97,37.03,83000,0.0,0
2019-05-08,36.97,37.07,36.89,36.89,26300,0.0,0
2019-05-09,36.41,36.76,36.12,36.56,55900,0.0,0
2019-05-10,36.75,36.89,36.46,36.71,17900,0.0,0
2019-05-13,35.55,35.7,35.29,35.4,34100,0.0,0
2019-05-14,35.9,36.25,35.9,36.19,51500,0.0,0
2019-05-15,35.84,36.11,35.76,36.1,70100,0.0,0
2019-05-16,36.11,36.39,36.11,36.21,24900,0.0,0
2019-05-17,36.11,36.63,36.11,36.35,57900,0.0,0
2019-05-20,38.13,38.19,37.77,37.89,188900,0.0,0
2019-05-21,37.78,38.11,37.68,38.08,79300,0.0,0
2019-05-22,37.92,38.16,37.88,37.94,38000,0.0,0
2019-05-23,37.82,38.11,37.71,38.09,241400,0.0,0
2019-05-24,38.86,39.11,38.66,38.82,128900,0.0,0
2019-05-28,39.32,39.69,39.32,39.52,102400,0.0,0
2019-05-29,39.18,39.52,39.09,39.14,14800,0.0,0
2019-05-30,39.24,39.49,39.1,39.49,123300,0.0,0
2019-05-31,39.25,39.57,39.12,39.44,31700,0.0,0
2019-06-03,39.57,39.73,39.54,39.68,34000,0.0,0
2019-06-04,39.46,39.64,39.32,39.56,20400,0.0,0
2019-06-05,39.64,39.65,39.36,39.45,76700,0.0,0
2019-06-06,39.07,39.13,38.75,39.04,15700,0.0,0
2019-06-07,39.04,39.23,39.03,39.09,13400,0.0,0
2019-06-10,38.91,38.91,38.58,38.78,11500,0.0,0
2019-06-11,39.01,39.08,38.94,38.94,28500,0.0,0
2019-06-12,38.65,38.81,38.51,38.6,28500,0.0,0
2019-06-13,38.39,38.51,38.15,38.15,74100,0.0,0
2019-06-14,37.91,37.98,37.75,37.75,9100,0.0,0
2019-06-17,37.51,37.69,37.37,37.54,47900,0.212,0
2019-06-18,37.51,37.69,37.46,37.47,98800,0.0,0
2019-06-19,36.95,37.06,36.72,36.92,45700,0.0,0
2019-06-20,37.43,37.67,37.3,37.49,131300,0.0,0
2019-06-21,37.53,37.65,37.27,37.54,13400,0.0,0
2019-06-24,37.58,37.64,37.49,37.52,17400,0.0,0
2019-06-25,37.57,37.77,37.53,37.56,20400,0.0,0
2019-06-26,37.62,38.23,37.62,38.15,114500,0.0,0
2019-06-27,38.3,38.67,38.3,38.61,50300,0.0,0
2019-06-28,38.65,38.66,38.19,38.23,80800,0.0,0
2019-07-01,38.55,38.89,38.36,38.5,111900,0.0,0
2019-07-02,38.44,38.53,38.39,38.51,26400,0.0,0
