Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,12.61,12.83,12.58,12.82,2360318,0.0,0
2019-02-06,12.79,12.92,12.73,12.89,2353181,0.0,0
2019-02-07,12.88,13.15,12.78,13.1,1975027,0.0,0
2019-02-08,13.06,13.1,12.78,12.95,1457843,0.0,0
2019-02-11,12.96,13.17,12.91,13.11,1195611,0.0,0
2019-02-12,13.12,13.13,12.68,12.72,2449538,0.0,0
2019-02-13,12.73,12.92,12.62,12.67,1688847,0.0,0
2019-02-14,12.67,12.91,12.62,12.85,1659626,0.0,0
2019-02-15,12.88,13.02,12.86,13.0,1470359,0.0,0
2019-02-19,13.03,13.14,12.99,13.04,1202062,0.0,0
2019-02-20,13.06,13.07,12.87,12.9,1303669,0.0,0
2019-02-21,12.94,13.01,12.68,12.88,1614200,0.0,0
2019-02-22,12.95,13.03,12.81,12.88,1389871,0.0,0
2019-02-25,12.91,12.97,12.4,12.49,4362544,0.0,0
2019-02-26,12.49,12.56,12.23,12.25,2524798,0.0,0
2019-02-27,12.23,12.27,11.98,12.11,2010898,0.0,0
2019-02-28,12.12,12.28,11.89,11.92,3948588,0.0,0
2019-03-01,11.92,11.96,10.79,10.81,6797330,0.0,0
2019-03-04,10.83,11.22,10.75,10.94,3302852,0.0,0
2019-03-05,10.94,11.02,10.88,10.93,1857642,0.0,0
2019-03-06,10.95,11.02,10.83,10.9,2308701,0.0,0
2019-03-07,10.92,11.02,10.88,10.93,2074239,0.0,0
2019-03-08,10.93,11.13,10.9,11.09,1750289,0.0,0
2019-03-11,11.1,11.25,11.09,11.24,1376681,0.0,0
2019-03-12,11.25,11.33,11.0,11.05,2342300,0.0,0
2019-03-13,11.08,11.4,11.08,11.38,2215731,0.0,0
2019-03-14,11.39,11.5,11.36,11.37,1239811,0.0,0
2019-03-15,11.41,11.46,11.08,11.11,4403677,0.0,0
2019-03-18,11.16,11.23,10.81,10.86,1992136,0.0,0
2019-03-19,10.85,10.96,10.78,10.81,1852089,0.0,0
2019-03-20,10.8,10.9,10.59,10.83,1802433,0.0,0
2019-03-21,10.8,11.19,10.79,11.05,1997337,0.0,0
2019-03-22,11.06,11.15,10.81,10.84,1542623,0.0,0
2019-03-25,10.83,10.87,10.6,10.82,1390306,0.0,0
2019-03-26,10.83,10.97,10.71,10.82,1653543,0.0,0
2019-03-27,10.84,10.92,10.77,10.84,1630904,0.0,0
2019-03-28,10.81,10.85,10.67,10.83,1714204,0.0,0
2019-03-29,10.88,10.97,10.79,10.84,2337527,0.0,0
2019-04-01,10.87,11.01,10.79,11.01,1697795,0.0,0
2019-04-02,8.74,9.4,8.6,9.31,15655402,0.0,0
2019-04-03,8.95,9.28,8.88,9.23,8735020,0.0,0
2019-04-04,9.15,9.37,8.99,9.16,5808318,0.0,0
2019-04-05,9.06,9.14,8.67,8.71,6096531,0.0,0
2019-04-08,8.62,8.65,8.2,8.23,7308450,0.0,0
2019-04-09,8.19,8.25,8.05,8.07,3265801,0.0,0
2019-04-10,8.07,8.09,7.96,8.0,3933911,0.0,0
2019-04-11,8.01,8.03,7.79,7.9,3619260,0.0,0
2019-04-12,7.89,7.9,7.74,7.88,3615588,0.0,0
2019-04-15,7.86,7.88,7.77,7.8,1665978,0.0,0
2019-04-16,7.79,7.92,7.65,7.74,3268523,0.0,0
2019-04-17,7.73,7.76,7.4,7.43,4344838,0.0,0
2019-04-18,7.39,7.59,7.39,7.5,2850258,0.0,0
2019-04-22,7.5,7.54,7.23,7.47,5754841,0.0,0
2019-04-23,7.44,7.6,7.4,7.51,2563903,0.0,0
2019-04-24,7.51,7.59,7.41,7.5,2446333,0.0,0
2019-04-25,7.46,7.57,7.37,7.53,2910290,0.0,0
2019-04-26,7.58,7.76,7.56,7.58,4788232,0.15,0
2019-04-29,7.63,7.68,7.46,7.49,2409938,0.0,0
2019-04-30,7.46,7.63,7.42,7.53,2421262,0.0,0
2019-05-01,7.53,7.69,7.53,7.55,1666389,0.0,0
2019-05-02,7.58,7.69,7.48,7.61,2730464,0.0,0
2019-05-03,7.63,8.03,7.6,7.94,3498672,0.0,0
2019-05-06,7.89,7.97,7.78,7.84,2089286,0.0,0
2019-05-07,7.8,7.87,7.53,7.59,2549195,0.0,0
2019-05-08,7.6,7.64,7.44,7.47,3168519,0.0,0
2019-05-09,7.53,7.82,7.28,7.76,4153806,0.0,0
2019-05-10,7.73,7.79,7.55,7.64,2791189,0.0,0
2019-05-13,7.57,7.8,7.55,7.74,2910127,0.0,0
2019-05-14,7.73,7.78,7.6,7.64,1962917,0.0,0
2019-05-15,7.61,7.81,7.57,7.78,1646101,0.0,0
2019-05-16,7.77,7.77,7.63,7.64,2162774,0.0,0
2019-05-17,7.65,7.65,7.52,7.57,1502840,0.0,0
2019-05-20,7.51,7.59,7.41,7.42,2394355,0.0,0
2019-05-21,7.42,7.57,7.41,7.45,1744733,0.0,0
2019-05-22,7.44,7.5,7.36,7.41,2507701,0.0,0
2019-05-23,7.42,7.42,7.27,7.4,2128776,0.0,0
2019-05-24,7.44,7.52,7.41,7.43,1408011,0.0,0
2019-05-28,7.42,7.46,7.27,7.3,3827654,0.0,0
2019-05-29,7.3,7.33,7.02,7.08,4961681,0.0,0
2019-05-30,7.07,7.27,7.03,7.27,2317176,0.0,0
2019-05-31,7.24,7.41,7.19,7.39,5287416,0.0,0
2019-06-03,7.41,7.43,7.31,7.34,2708362,0.0,0
2019-06-04,7.34,7.44,7.26,7.43,3429904,0.0,0
2019-06-05,7.49,7.63,7.42,7.52,2645581,0.0,0
2019-06-06,7.55,7.63,7.46,7.58,1999086,0.0,0
2019-06-07,7.6,7.66,7.49,7.58,1945139,0.0,0
2019-06-10,7.57,7.65,7.46,7.51,2565446,0.0,0
2019-06-11,7.5,7.72,7.49,7.71,2489269,0.0,0
2019-06-12,7.71,7.72,7.59,7.63,1934697,0.0,0
2019-06-13,7.65,7.94,7.63,7.94,2936141,0.0,0
2019-06-14,7.94,7.94,7.5,7.52,2547149,0.0,0
2019-06-17,7.53,7.89,7.53,7.82,2391776,0.0,0
2019-06-18,7.82,7.89,7.59,7.74,2968149,0.0,0
2019-06-19,7.71,7.81,7.64,7.73,2673546,0.0,0
2019-06-20,7.77,7.93,7.67,7.67,2654055,0.0,0
2019-06-21,7.68,7.79,7.58,7.66,3961594,0.0,0
2019-06-24,7.71,7.82,7.55,7.58,2872748,0.0,0
2019-06-25,7.59,7.7,7.53,7.64,2717260,0.0,0
2019-06-26,7.64,7.69,7.42,7.42,3267176,0.0,0
2019-06-27,7.45,7.77,7.45,7.77,3143732,0.0,0
2019-06-28,7.79,7.87,7.7,7.75,27969868,0.0,0
2019-07-01,7.8,7.88,7.51,7.57,3354215,0.0,0
2019-07-02,7.59,7.87,7.5,7.87,4046950,0.0,0
2019-07-03,7.87,8.22,7.87,8.1,2685424,0.0,0
2019-07-05,8.01,8.09,7.85,8.05,2677182,0.0,0
2019-07-08,7.97,8.17,7.97,8.15,4929616,0.0,0
2019-07-09,8.13,8.23,8.04,8.13,5269919,0.0,0
2019-07-10,8.13,8.29,8.08,8.23,2548856,0.0,0
2019-07-11,8.21,8.25,8.02,8.11,3913359,0.0,0
2019-07-12,8.09,8.15,7.97,8.01,2281737,0.0,0
2019-07-15,8.0,8.05,7.92,8.0,2524767,0.0,0
2019-07-16,7.96,8.02,7.85,7.87,2065063,0.0,0
2019-07-17,7.82,7.93,7.78,7.87,2015662,0.0,0
2019-07-18,7.83,7.86,7.71,7.74,2317553,0.0,0
2019-07-19,7.71,7.79,7.52,7.59,2232706,0.0,0
2019-07-22,7.62,7.66,7.53,7.64,2032002,0.0,0
2019-07-23,7.65,7.9,7.65,7.88,1855369,0.0,0
2019-07-24,7.9,8.0,7.88,7.96,1649675,0.0,0
2019-07-25,7.94,7.97,7.69,7.82,1682887,0.0,0
2019-07-26,7.89,7.93,7.76,7.91,1548550,0.15,0
2019-07-29,7.92,7.98,7.87,7.89,1015266,0.0,0
2019-07-30,7.86,8.06,7.77,8.05,1410721,0.0,0
2019-07-31,8.03,8.14,7.81,7.83,1889467,0.0,0
2019-08-01,7.84,7.86,7.65,7.73,2200640,0.0,0
2019-08-02,7.73,7.79,7.67,7.73,1256480,0.0,0
2019-08-05,7.7,7.7,7.46,7.6,2170253,0.0,0
2019-08-06,7.64,7.8,7.47,7.75,2324018,0.0,0
2019-08-07,7.75,8.1,7.66,8.02,2031353,0.0,0
2019-08-08,7.84,8.5,7.83,8.42,3457954,0.0,0
2019-08-09,8.36,8.57,8.36,8.55,2310784,0.0,0
2019-08-12,8.55,8.7,8.44,8.67,2085843,0.0,0
2019-08-13,8.65,8.68,8.53,8.68,1623925,0.0,0
2019-08-14,8.63,8.66,8.32,8.35,1663386,0.0,0
2019-08-15,8.42,8.48,8.23,8.34,1542760,0.0,0
2019-08-16,8.34,8.61,8.3,8.58,1397355,0.0,0
2019-08-19,8.59,8.68,8.54,8.6,1162866,0.0,0
2019-08-20,8.6,8.61,8.26,8.27,1369424,0.0,0
2019-08-21,8.31,8.31,8.2,8.21,1360052,0.0,0
2019-08-22,8.27,8.31,8.13,8.2,2229640,0.0,0
2019-08-23,8.17,8.28,7.92,7.96,1866426,0.0,0
2019-08-26,8.03,8.1,7.91,7.96,1118496,0.0,0
2019-08-27,8.01,8.14,7.74,7.74,1624311,0.0,0
2019-08-28,7.75,7.93,7.74,7.83,955905,0.0,0
2019-08-29,7.85,8.08,7.82,8.01,1010359,0.0,0
2019-08-30,8.01,8.16,8.01,8.1,1387026,0.0,0
2019-09-03,8.08,8.34,8.04,8.21,1174835,0.0,0
2019-09-04,8.25,8.31,8.21,8.27,1076589,0.0,0
2019-09-05,8.3,8.39,8.2,8.35,1201005,0.0,0
2019-09-06,8.35,8.45,8.31,8.32,1317096,0.0,0
2019-09-09,8.32,8.67,8.29,8.67,1364111,0.0,0
2019-09-10,8.62,8.64,8.45,8.52,1457882,0.0,0
2019-09-11,8.53,8.69,8.47,8.5,1629050,0.0,0
2019-09-12,8.53,8.59,8.43,8.49,1699799,0.0,0
2019-09-13,8.5,8.64,8.39,8.48,1534065,0.0,0
2019-09-16,8.45,8.51,8.38,8.47,1335755,0.0,0
2019-09-17,8.46,8.5,8.33,8.44,1159030,0.0,0
2019-09-18,8.45,8.5,8.25,8.31,1299055,0.0,0
2019-09-19,8.35,8.41,8.29,8.3,1205201,0.0,0
2019-09-20,8.3,8.54,8.29,8.47,4312874,0.0,0
2019-09-23,8.48,8.67,8.37,8.64,1140870,0.0,0
2019-09-24,8.66,8.84,8.64,8.78,2699515,0.0,0
2019-09-25,8.75,9.04,8.72,8.91,1539144,0.0,0
2019-09-26,8.92,8.95,8.81,8.87,940996,0.0,0
