Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,56.23,56.69,56.14,56.62,405900,0.0,0
2019-02-06,56.42,56.94,56.42,56.91,320700,0.0,0
2019-02-07,56.77,57.01,56.41,57.0,343900,0.0,0
2019-02-08,56.9,57.36,56.54,57.05,559600,0.0,0
2019-02-11,57.08,57.71,56.85,57.66,442200,0.0,0
2019-02-12,57.89,58.63,57.76,58.5,527700,0.0,0
2019-02-13,58.65,59.35,58.62,59.06,794600,0.0,0
2019-02-14,58.88,60.05,58.25,58.47,1115300,0.0,0
2019-02-15,58.61,58.69,56.71,57.25,1150000,0.0,0
2019-02-19,57.28,58.4,57.28,58.27,683700,0.0,0
2019-02-20,58.45,58.65,58.07,58.65,497900,0.0,0
2019-02-21,58.62,58.67,57.77,57.92,413400,0.0,0
2019-02-22,58.01,58.19,57.58,57.94,410600,0.0,0
2019-02-25,58.13,58.26,57.45,57.59,533800,0.0,0
2019-02-26,57.64,57.78,57.11,57.24,476400,0.41,0
2019-02-27,57.12,57.4,56.46,56.52,624700,0.0,0
2019-02-28,56.44,56.92,56.14,56.66,665300,0.0,0
2019-03-01,56.96,57.24,56.63,56.91,497900,0.0,0
2019-03-04,56.96,57.59,56.72,57.59,692800,0.0,0
2019-03-05,57.6,57.87,57.31,57.53,617400,0.0,0
2019-03-06,57.69,57.95,56.96,57.06,360200,0.0,0
2019-03-07,57.0,57.12,56.61,56.88,363000,0.0,0
2019-03-08,56.64,57.14,56.0,57.07,500900,0.0,0
2019-03-11,57.32,58.16,57.1,58.03,883700,0.0,0
2019-03-12,58.18,58.24,57.67,57.83,511100,0.0,0
2019-03-13,57.89,58.86,57.15,57.69,879900,0.0,0
2019-03-14,57.7,58.0,57.51,57.96,480400,0.0,0
2019-03-15,58.06,58.34,57.48,57.84,2019200,0.0,0
2019-03-18,57.99,58.64,57.69,58.64,447600,0.0,0
2019-03-19,58.91,59.06,58.15,58.3,336300,0.0,0
2019-03-20,58.23,58.36,57.63,58.07,397700,0.0,0
2019-03-21,58.11,59.18,58.11,58.98,539100,0.0,0
2019-03-22,58.74,58.9,58.02,58.03,493200,0.0,0
2019-03-25,57.96,59.06,57.59,58.85,577900,0.0,0
2019-03-26,59.33,59.7,58.98,59.48,368200,0.0,0
2019-03-27,59.54,59.76,59.05,59.41,326300,0.0,0
2019-03-28,59.64,59.88,59.14,59.87,383600,0.0,0
2019-03-29,60.14,60.23,59.53,60.22,629800,0.0,0
2019-04-01,60.51,60.79,60.26,60.77,370900,0.0,0
2019-04-02,60.91,60.91,60.06,60.16,275100,0.0,0
2019-04-03,60.54,60.59,60.18,60.53,327900,0.0,0
2019-04-04,60.65,60.75,60.19,60.73,304000,0.0,0
2019-04-05,60.75,61.36,60.54,60.82,398500,0.0,0
2019-04-08,60.55,60.83,60.39,60.78,479500,0.0,0
