Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,56.23,56.66,55.45,55.76,287600,0.0,0
2019-02-06,55.44,55.99,54.75,55.82,397100,0.0,0
2019-02-07,52.54,53.38,44.87,45.96,2662000,0.0,0
2019-02-08,46.62,47.72,45.07,45.55,955500,0.0,0
2019-02-11,44.9,46.06,44.76,45.54,1347400,0.0,0
2019-02-12,45.2,47.9,45.2,47.78,1292800,0.0,0
2019-02-13,47.97,50.58,47.97,49.94,973000,0.0,0
2019-02-14,49.66,51.89,49.62,51.8,945800,0.0,0
2019-02-15,51.36,53.82,50.79,53.1,1571700,0.42,0
2019-02-19,53.12,54.12,52.18,53.55,817500,0.0,0
2019-02-20,53.45,54.53,52.89,54.27,754300,0.0,0
2019-02-21,54.18,56.04,53.92,54.77,824200,0.0,0
2019-02-22,55.27,55.36,51.45,51.58,914300,0.0,0
2019-02-25,52.53,53.64,51.97,52.3,1248800,0.0,0
2019-02-26,52.26,53.54,51.92,52.65,1101300,0.0,0
2019-02-27,52.37,53.68,52.1,53.0,618400,0.0,0
2019-02-28,53.14,53.78,52.0,53.02,588100,0.0,0
2019-03-01,53.47,54.54,53.33,54.04,600400,0.0,0
2019-03-04,54.07,54.57,52.51,53.31,607100,0.0,0
2019-03-05,53.27,55.15,52.79,54.31,824500,0.0,0
2019-03-06,54.27,54.95,53.98,54.18,676400,0.0,0
2019-03-07,54.01,54.87,53.13,53.39,644700,0.0,0
2019-03-08,53.06,54.6,52.67,54.4,617600,0.0,0
2019-03-11,54.52,55.42,54.08,55.12,613600,0.0,0
2019-03-12,55.0,56.41,54.83,55.02,736100,0.0,0
2019-03-13,55.16,55.3,54.1,54.34,580000,0.0,0
2019-03-14,53.81,54.41,53.81,54.31,315000,0.0,0
2019-03-15,54.39,55.39,54.04,55.21,533100,0.0,0
2019-03-18,55.33,55.83,54.58,55.16,434500,0.0,0
2019-03-19,55.23,55.8,54.97,55.23,494500,0.0,0
2019-03-20,54.82,54.82,53.08,53.74,698100,0.0,0
2019-03-21,53.36,55.41,53.18,55.2,446100,0.0,0
2019-03-22,55.06,55.06,54.0,54.34,424500,0.0,0
2019-03-25,53.99,54.34,53.42,53.87,401500,0.0,0
2019-03-26,54.37,54.73,53.76,54.19,359800,0.0,0
2019-03-27,54.5,54.61,53.55,53.81,362300,0.0,0
2019-03-28,53.92,54.51,53.3,53.56,370300,0.0,0
2019-03-29,53.56,54.34,52.95,53.61,572900,0.0,0
2019-04-01,53.86,56.3,53.83,56.28,439800,0.0,0
2019-04-02,55.79,56.6,55.17,55.35,507000,0.0,0
2019-04-03,55.14,56.02,54.94,55.0,268900,0.0,0
2019-04-04,55.2,56.42,55.09,55.74,392400,0.0,0
