Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,129.07,131.43,128.59,129.56,1325100,0,0
2019-02-06,129.16,130.38,126.1,128.21,1131700,0,0
2019-02-07,126.77,128.3,124.67,128.21,1408400,0,0
2019-02-08,126.48,131.37,126.48,130.89,1293800,0,0
2019-02-11,132.64,134.38,129.63,130.92,1415100,0,0
2019-02-12,131.97,134.87,131.62,134.27,1793300,0,0
2019-02-13,135.0,135.0,132.5,133.81,877200,0,0
2019-02-14,133.01,136.15,132.16,134.53,1268200,0,0
2019-02-15,134.94,136.34,133.81,136.25,1120500,0,0
2019-02-19,136.12,136.89,135.45,136.16,878600,0,0
2019-02-20,136.15,136.45,132.19,133.12,1597800,0,0
2019-02-21,132.28,133.12,131.52,132.42,1698700,0,0
2019-02-22,132.49,134.65,132.42,134.56,941600,0,0
2019-02-25,136.89,136.9,134.51,135.4,1429400,0,0
2019-02-26,135.62,137.07,133.61,135.97,1213900,0,0
2019-02-27,136.87,139.04,135.79,138.45,1605000,0,0
2019-02-28,138.95,138.95,135.87,135.88,3425400,0,0
2019-03-01,143.0,143.7,132.46,134.65,7171800,0,0
2019-03-04,134.44,134.97,124.35,127.91,4969300,0,0
2019-03-05,127.22,128.0,123.87,125.31,2539400,0,0
2019-03-06,125.0,126.69,121.81,122.71,2128200,0,0
2019-03-07,122.5,125.47,122.09,123.33,2493300,0,0
2019-03-08,121.21,123.72,119.51,122.43,1871600,0,0
2019-03-11,123.0,125.84,122.99,125.81,2155300,0,0
2019-03-12,126.75,126.78,124.63,124.79,1786400,0,0
2019-03-13,124.49,126.34,124.07,124.25,1462200,0,0
2019-03-14,125.4,128.38,124.43,126.42,2031100,0,0
2019-03-15,126.5,127.98,126.12,127.32,1938000,0,0
2019-03-18,127.33,129.9,127.33,128.58,1800000,0,0
2019-03-19,129.69,130.38,128.58,129.55,1681800,0,0
2019-03-20,129.5,131.0,127.66,129.99,1186200,0,0
2019-03-21,129.5,132.5,129.5,132.47,1291800,0,0
2019-03-22,132.22,132.28,124.55,125.68,2298500,0,0
2019-03-25,125.0,125.39,122.02,123.54,2112800,0,0
2019-03-26,125.91,126.0,123.5,124.28,1233100,0,0
2019-03-27,124.2,124.61,118.83,120.49,1614300,0,0
2019-03-28,120.5,122.33,119.5,121.83,1203000,0,0
2019-03-29,123.2,125.57,122.33,124.6,2405100,0,0
2019-04-01,126.3,128.88,124.53,126.84,1459200,0,0
2019-04-02,126.84,127.82,125.48,127.73,1471400,0,0
2019-04-03,128.61,129.91,127.25,128.87,1081500,0,0
2019-04-04,129.0,130.16,122.95,125.95,1686700,0,0
2019-04-05,126.08,129.08,126.07,128.7,1548700,0,0
2019-04-08,128.74,129.7,125.9,129.63,972500,0,0
2019-04-09,128.69,130.02,128.17,129.69,1169200,0,0
2019-04-10,130.32,134.32,130.21,133.92,1467100,0,0
2019-04-11,133.62,135.77,133.22,135.38,1357700,0,0
2019-04-12,135.9,135.9,133.94,134.94,1008200,0,0
2019-04-15,135.02,136.49,132.74,134.68,960900,0,0
2019-04-16,135.78,137.25,132.35,133.52,1253500,0,0
2019-04-17,134.59,134.79,128.2,128.91,1560500,0,0
2019-04-18,128.8,129.58,125.25,128.08,1264800,0,0
2019-04-22,127.89,130.37,127.3,130.0,1295000,0,0
2019-04-23,130.5,133.76,129.64,133.61,1714000,0,0
2019-04-24,134.33,135.74,133.19,133.29,977500,0,0
2019-04-25,135.02,136.76,132.69,135.76,1422400,0,0
2019-04-26,136.1,138.2,135.28,137.7,1008900,0,0
2019-04-29,138.11,140.75,138.0,138.88,1142600,0,0
2019-04-30,138.24,139.96,136.93,138.04,726100,0,0
2019-05-01,138.52,139.0,134.66,134.81,1331100,0,0
2019-05-02,134.5,136.96,132.73,134.47,1166600,0,0
2019-05-03,135.6,136.59,134.0,135.22,999000,0,0
2019-05-06,131.01,135.54,129.2,135.1,729000,0,0
2019-05-07,133.5,134.0,128.22,131.29,1473600,0,0
2019-05-08,131.29,132.94,130.23,131.77,652400,0,0
2019-05-09,130.06,132.97,127.72,132.43,758400,0,0
2019-05-10,132.04,134.19,129.92,133.32,871900,0,0
2019-05-13,128.86,130.81,126.14,126.86,1034100,0,0
2019-05-14,128.26,131.93,127.52,130.98,964600,0,0
2019-05-15,130.21,135.84,130.21,135.0,1140500,0,0
2019-05-16,135.66,140.66,135.57,139.01,1817500,0,0
2019-05-17,138.0,138.62,135.59,136.49,1021700,0,0
2019-05-20,136.19,136.6,133.51,134.33,1318900,0,0
2019-05-21,135.52,138.55,135.52,138.27,1366200,0,0
2019-05-22,137.07,137.43,135.24,136.12,1693500,0,0
2019-05-23,134.03,134.16,128.01,128.73,3411300,0,0
2019-05-24,125.79,129.5,115.62,119.3,11667900,0,0
2019-05-28,120.09,124.98,120.07,122.19,3805600,0,0
2019-05-29,120.5,121.99,117.89,118.77,2511400,0,0
2019-05-30,119.96,120.2,117.11,117.6,1555700,0,0
2019-05-31,114.96,116.66,113.19,113.99,2777900,0,0
2019-06-03,113.89,113.89,107.89,109.05,2641400,0,0
2019-06-04,111.25,111.99,109.91,111.73,1957000,0,0
2019-06-05,113.72,114.2,108.91,110.97,1888200,0,0
2019-06-06,110.74,111.0,107.96,109.5,2600600,0,0
2019-06-07,110.4,112.37,110.13,111.34,2443400,0,0
2019-06-10,115.51,121.5,114.99,118.51,4069000,0,0
2019-06-11,120.0,120.25,115.32,116.75,2227700,0,0
2019-06-12,115.23,116.49,114.26,116.13,1262900,0,0
2019-06-13,116.13,118.73,115.8,118.24,1177600,0,0
2019-06-14,117.98,118.96,116.29,118.24,1369800,0,0
2019-06-17,118.37,121.09,118.24,119.32,1181000,0,0
2019-06-18,120.27,122.45,119.88,120.08,1228800,0,0
2019-06-19,120.85,122.16,119.35,122.11,1089400,0,0
2019-06-20,124.0,125.88,122.86,124.47,1539000,0,0
2019-06-21,124.03,125.1,123.17,124.34,1748900,0,0
2019-06-24,125.8,126.0,122.59,122.93,1187800,0,0
2019-06-25,122.12,122.73,117.78,117.99,2023600,0,0
2019-06-26,119.86,122.58,118.51,120.76,1736600,0,0
2019-06-27,121.24,124.97,120.33,124.23,1284300,0,0
2019-06-28,124.82,126.18,123.17,125.75,2011600,0,0
2019-07-01,129.0,129.2,124.8,125.33,2124900,0,0
2019-07-02,125.33,128.61,125.06,128.44,1283000,0,0
2019-07-03,128.61,130.0,127.73,129.31,932300,0,0
2019-07-05,128.69,130.47,127.79,130.32,844300,0,0
2019-07-08,129.88,130.47,128.12,130.41,950900,0,0
2019-07-09,130.0,132.63,129.75,132.36,1458300,0,0
2019-07-10,132.7,134.38,131.94,132.21,1034700,0,0
2019-07-11,133.04,138.09,132.54,137.42,2332600,0,0
2019-07-12,136.6,137.52,134.78,136.82,1746200,0,0
2019-07-15,137.64,139.54,136.15,138.49,1408400,0,0
2019-07-16,138.0,138.26,135.92,136.51,1198300,0,0
2019-07-17,137.04,139.25,136.65,138.56,1234700,0,0
