Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,88.99,91.72,88.99,91.71,1454200,0.0,0
2019-02-06,91.65,92.74,91.32,91.47,1285100,0.0,0
2019-02-07,91.11,93.1,91.08,92.53,1205800,0.0,0
2019-02-08,92.16,93.19,91.22,93.05,803700,0.0,0
2019-02-11,93.45,94.85,93.01,93.68,1549800,0.0,0
2019-02-12,94.31,94.82,93.25,93.27,1066300,0.0,0
2019-02-13,93.99,94.44,92.72,93.11,1214700,0.0,0
2019-02-14,92.61,93.42,92.2,93.12,844200,0.0,0
2019-02-15,93.88,95.3,93.88,95.17,714300,0.0,0
2019-02-19,94.8,96.15,94.5,95.74,911600,0.0,0
2019-02-20,95.87,97.43,95.65,97.43,1762000,0.0,0
2019-02-21,97.32,97.36,95.07,95.58,957400,0.0,0
2019-02-22,95.98,97.53,95.98,97.45,899300,0.0,0
2019-02-25,98.21,98.77,96.76,96.87,745500,0.0,0
2019-02-26,96.52,97.15,96.21,96.71,701400,0.0,0
2019-02-27,96.64,97.27,95.95,97.19,585700,0.0,0
2019-02-28,97.17,98.77,96.68,98.24,1252400,0.0,0
2019-03-01,99.04,99.41,98.29,98.79,717800,0.0,0
2019-03-04,98.97,99.77,97.68,98.08,1418500,0.0,0
2019-03-05,97.16,97.68,96.05,96.68,796300,0.0,0
2019-03-06,96.0,96.84,95.7,96.17,849600,0.0,0
2019-03-07,96.06,96.27,94.98,95.55,989000,0.0,0
2019-03-08,94.86,96.07,93.98,95.91,642300,0.0,0
2019-03-11,87.42,93.39,86.64,92.32,3478000,0.0,0
2019-03-12,91.18,91.65,89.42,91.38,2590600,0.0,0
2019-03-13,91.48,93.76,89.01,92.87,2802000,0.0,0
2019-03-14,93.15,93.47,91.32,91.39,1485000,0.0,0
2019-03-15,91.35,91.88,90.18,90.9,1666800,0.12,0
2019-03-18,90.75,92.3,90.13,92.1,1856700,0.0,0
2019-03-19,92.16,92.61,90.41,90.6,946100,0.0,0
2019-03-20,90.51,91.71,90.11,91.06,1246800,0.0,0
