Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,37.33,37.59,37.13,37.55,418900,0.0,0
2019-02-06,37.61,37.61,37.09,37.13,709400,0.0,0
2019-02-07,37.02,37.55,36.9,37.45,532000,0.0,0
2019-02-08,37.35,37.76,37.21,37.73,433900,0.0,0
2019-02-11,37.65,37.98,37.34,37.9,530900,0.0,0
2019-02-12,37.97,37.97,36.91,37.0,549300,0.0,0
2019-02-13,36.91,37.45,36.81,37.41,663100,0.0,0
2019-02-14,37.4,37.67,37.17,37.59,380400,0.0,0
2019-02-15,37.68,38.23,37.47,38.23,806500,0.0,0
2019-02-19,38.13,38.24,37.61,37.64,546300,0.0,0
2019-02-20,37.48,37.76,37.01,37.18,416100,0.0,0
2019-02-21,36.7,37.62,36.57,37.55,675000,0.0,0
2019-02-22,37.77,37.92,37.51,37.69,668500,0.0,0
2019-02-25,37.79,37.83,37.06,37.12,939100,0.0,0
2019-02-26,37.01,37.15,36.56,36.58,876100,0.0,0
2019-02-27,36.46,36.53,35.99,36.28,768400,0.0,0
2019-02-28,36.27,36.79,36.12,36.5,816700,0.0,0
2019-03-01,36.47,36.74,35.48,35.76,768700,0.0,0
2019-03-04,35.96,36.23,35.52,35.96,770900,0.0,0
2019-03-05,35.9,36.02,35.72,35.93,717900,0.0,0
2019-03-06,35.92,35.92,35.35,35.41,534300,0.0,0
2019-03-07,35.53,35.92,35.4,35.5,457000,0.0,0
2019-03-08,35.41,35.63,35.12,35.39,358700,0.0,0
2019-03-11,35.42,35.76,35.23,35.76,438700,0.0,0
2019-03-12,35.85,35.99,35.64,35.75,499400,0.0,0
2019-03-13,35.8,36.11,35.64,35.66,1035400,0.0,0
2019-03-14,35.78,35.83,35.52,35.62,842800,0.0,0
2019-03-15,35.64,35.65,35.2,35.35,2165400,0.0,0
2019-03-18,35.42,35.62,34.98,35.08,538000,0.0,0
2019-03-19,35.21,35.33,34.93,34.95,698100,0.0,0
2019-03-20,34.93,35.35,34.66,35.01,1769100,0.0,0
2019-03-21,34.95,35.77,34.95,35.66,1077300,0.0,0
2019-03-22,35.74,36.1,35.54,35.69,1037200,0.0,0
2019-03-25,35.83,35.95,35.51,35.66,1122400,0.0,0
2019-03-26,35.67,36.11,35.59,36.03,1012700,0.0,0
2019-03-27,36.16,36.16,35.59,35.99,1268800,0.0,0
2019-03-28,36.15,37.56,36.08,37.55,2254800,0.625,0
2019-03-29,37.53,38.3,37.3,38.16,2261700,0.0,0
2019-04-01,38.21,38.24,37.73,38.2,1654000,0.0,0
2019-04-02,38.25,38.32,37.57,38.19,1636800,0.0,0
2019-04-03,38.16,38.52,37.92,38.26,1297400,0.0,0
2019-04-04,38.45,38.81,38.33,38.8,819700,0.0,0
2019-04-05,38.8,39.01,38.37,38.73,2047800,0.0,0
2019-04-08,38.62,39.0,38.42,38.84,1047700,0.0,0
2019-04-09,38.85,38.94,38.42,38.55,1427000,0.0,0
2019-04-10,38.78,39.29,38.73,39.08,985900,0.0,0
2019-04-11,39.16,39.33,38.84,39.0,658900,0.0,0
2019-04-12,38.98,39.3,38.69,39.28,429300,0.0,0
2019-04-15,39.33,39.38,38.9,39.08,677300,0.0,0
2019-04-16,39.16,39.16,38.0,38.2,1102900,0.0,0
2019-04-17,38.33,38.33,37.76,37.89,836800,0.0,0
2019-04-18,37.98,38.36,37.8,38.11,681400,0.0,0
2019-04-22,38.04,38.11,37.51,37.81,767500,0.0,0
2019-04-23,37.78,38.62,37.73,38.43,1224600,0.0,0
2019-04-24,38.55,39.02,38.45,38.73,553300,0.0,0
2019-04-25,38.59,39.03,38.38,38.99,752800,0.0,0
2019-04-26,39.13,39.54,38.93,39.51,698300,0.0,0
2019-04-29,39.42,39.51,38.89,38.91,834800,0.0,0
2019-04-30,38.88,39.14,38.73,38.86,829600,0.0,0
2019-05-01,38.97,39.66,38.87,39.41,850400,0.0,0
2019-05-02,39.47,41.0,39.38,40.72,1106200,0.0,0
2019-05-03,40.01,40.56,39.84,40.05,6387300,0.0,0
2019-05-06,40.04,40.63,39.96,40.48,2221600,0.0,0
2019-05-07,40.46,40.48,39.65,39.87,1678300,0.0,0
2019-05-08,39.38,40.05,39.38,39.9,1888700,0.0,0
2019-05-09,39.8,40.13,39.22,40.07,1296300,0.0,0
2019-05-10,40.07,40.59,39.98,40.57,1486700,0.0,0
2019-05-13,40.31,41.07,40.17,40.95,1273400,0.0,0
2019-05-14,41.05,41.16,40.72,40.91,1066100,0.0,0
2019-05-15,40.91,41.12,40.82,41.07,891900,0.0,0
2019-05-16,41.02,41.49,40.94,41.25,742100,0.0,0
2019-05-17,41.3,41.49,41.16,41.35,1014300,0.0,0
2019-05-20,41.41,41.46,40.89,41.05,904700,0.0,0
2019-05-21,41.15,41.44,41.03,41.12,907800,0.0,0
2019-05-22,41.09,41.19,40.91,41.13,998900,0.0,0
2019-05-23,40.96,41.22,40.79,41.06,1015700,0.0,0
2019-05-24,41.17,41.3,40.83,40.94,916500,0.0,0
2019-05-28,41.05,41.1,40.3,40.32,973600,0.0,0
2019-05-29,40.27,40.27,39.61,40.09,1391700,0.0,0
2019-05-30,40.2,40.77,40.13,40.44,1080000,0.0,0
2019-05-31,40.32,41.03,40.13,40.97,1456800,0.0,0
2019-06-03,41.62,42.27,41.45,42.19,2491000,0.0,0
2019-06-04,42.34,42.34,41.34,41.97,2066100,0.0,0
2019-06-05,42.2,42.99,42.07,42.98,1154200,0.0,0
2019-06-06,42.94,42.94,42.09,42.79,1390600,0.0,0
2019-06-07,42.95,42.97,42.45,42.66,1394300,0.0,0
2019-06-10,42.61,42.8,41.87,42.29,818900,0.0,0
2019-06-11,42.32,42.45,41.99,42.45,579400,0.0,0
2019-06-12,42.55,42.92,42.54,42.82,481500,0.0,0
2019-06-13,42.94,43.28,42.46,42.82,924200,0.0,0
2019-06-14,42.8,43.22,42.69,43.0,612400,0.0,0
2019-06-17,43.1,43.49,42.72,43.02,977100,0.0,0
2019-06-18,43.16,43.47,42.44,42.7,636200,0.0,0
2019-06-19,42.68,43.21,42.44,43.05,720100,0.0,0
2019-06-20,43.22,43.58,42.9,43.35,765500,0.0,0
2019-06-21,43.31,43.31,42.67,43.12,1053400,0.0,0
2019-06-24,43.25,43.31,42.39,42.72,854600,0.0,0
2019-06-25,42.74,42.8,42.01,42.08,817700,0.0,0
2019-06-26,42.04,42.07,40.85,41.09,806400,0.0,0
2019-06-27,41.33,41.68,41.08,41.21,830600,0.625,0
2019-06-28,41.2,41.63,41.12,41.58,1719100,0.0,0
2019-07-01,41.67,41.74,40.71,41.28,652200,0.0,0
2019-07-02,43.03,43.47,42.71,43.1,4060900,0.0,0
2019-07-03,42.87,43.99,42.87,43.76,2237800,0.0,0
2019-07-05,43.33,43.6,42.77,43.47,2248700,0.0,0
2019-07-08,43.31,43.55,42.92,43.26,17094900,0.0,0
2019-07-09,43.03,43.48,42.9,43.06,1790000,0.0,0
2019-07-10,43.18,43.63,43.05,43.59,1655700,0.0,0
2019-07-11,44.06,44.47,43.37,43.65,1541900,0.0,0
2019-07-12,43.55,43.85,43.31,43.66,865300,0.0,0
2019-07-15,43.71,44.09,43.49,43.61,717600,0.0,0
2019-07-16,43.38,43.55,42.86,42.97,1022300,0.0,0
2019-07-17,43.03,43.3,42.17,42.67,1106300,0.0,0
2019-07-18,42.58,42.93,42.1,42.8,1352800,0.0,0
2019-07-19,42.75,42.9,42.21,42.49,1516900,0.0,0
2019-07-22,42.56,42.7,41.97,42.32,1038800,0.0,0
2019-07-23,42.48,42.73,42.06,42.7,707800,0.0,0
2019-07-24,42.75,42.84,42.48,42.71,721700,0.0,0
2019-07-25,42.62,42.76,42.33,42.62,562200,0.0,0
2019-07-26,42.69,42.88,42.34,42.75,507000,0.0,0
2019-07-29,42.89,43.25,42.66,43.16,760300,0.0,0
2019-07-30,43.05,43.6,43.05,43.57,928100,0.0,0
2019-07-31,43.43,43.76,42.76,43.0,816600,0.0,0
2019-08-01,42.97,43.18,42.59,42.76,1139600,0.0,0
