Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,51.75,52.01,51.61,51.8,1544700,0.0,0
2019-02-06,51.89,52.02,51.16,51.86,1690400,0.0,0
2019-02-07,51.64,51.86,51.14,51.61,1461500,0.0,0
2019-02-08,51.28,52.68,51.18,52.54,1679200,0.0,0
2019-02-11,53.14,53.57,52.72,53.33,2164700,0.0,0
2019-02-12,53.79,54.96,53.77,54.91,2090300,0.0,0
2019-02-13,55.22,55.58,54.86,55.02,1774800,0.0,0
2019-02-14,55.57,56.03,54.86,55.91,2720900,0.0,0
2019-02-15,60.07,60.4,56.76,59.41,5097300,0.0,0
2019-02-19,59.72,60.14,59.06,60.0,2741800,0.0,0
2019-02-20,59.04,59.65,58.47,58.81,2701700,0.0,0
2019-02-21,58.48,58.74,58.3,58.72,2123900,0.0,0
2019-02-22,58.85,59.88,58.85,59.43,1859000,0.0,0
2019-02-25,60.37,61.96,59.65,60.9,3951200,0.0,0
2019-02-26,61.03,61.3,60.44,61.24,1897800,0.0,0
2019-02-27,61.27,61.56,60.74,61.31,1300500,0.0,0
2019-02-28,61.17,61.5,60.71,61.21,1732100,0.1,0
2019-03-01,62.06,62.56,61.48,62.08,2947100,0.0,0
2019-03-04,62.84,63.98,60.8,61.59,1801500,0.0,0
2019-03-05,62.42,62.47,61.3,61.89,1402000,0.0,0
2019-03-06,61.99,62.12,61.13,61.26,2259200,0.0,0
2019-03-07,61.13,61.33,60.1,60.6,1448300,0.0,0
2019-03-08,59.67,60.26,53.71,60.17,2203700,0.0,0
2019-03-11,60.4,61.98,60.4,61.96,1457600,0.0,0
2019-03-12,62.18,62.54,61.35,61.74,1550900,0.0,0
2019-03-13,62.13,62.89,61.81,61.95,1515500,0.0,0
2019-03-14,61.97,62.98,61.84,62.78,1390800,0.0,0
2019-03-15,62.75,63.08,61.73,61.84,2352800,0.0,0
2019-03-18,62.23,62.61,61.79,62.23,1807800,0.0,0
2019-03-19,62.44,62.69,61.48,62.32,1363700,0.0,0
2019-03-20,62.35,62.75,61.22,61.76,1121600,0.0,0
2019-03-21,61.69,63.25,61.48,63.25,1304100,0.0,0
2019-03-22,62.98,63.32,61.41,61.77,1405700,0.0,0
2019-03-25,61.36,61.93,60.98,61.34,1204700,0.0,0
2019-03-26,62.06,62.52,61.56,62.05,1026400,0.0,0
2019-03-27,62.19,62.26,60.4,61.16,1116400,0.0,0
2019-03-28,61.57,62.4,61.29,62.38,871700,0.0,0
2019-03-29,62.91,63.55,62.54,63.31,1577300,0.0,0
2019-04-01,64.21,64.8,63.07,63.99,2224800,0.0,0
2019-04-02,64.14,64.61,63.71,64.35,1016000,0.0,0
2019-04-03,64.59,64.78,63.88,64.01,1865100,0.0,0
2019-04-04,64.15,64.36,62.09,62.85,1182400,0.0,0
2019-04-05,63.15,63.45,62.82,63.26,1006000,0.0,0
2019-04-08,63.24,63.55,62.44,63.34,1270800,0.0,0
2019-04-09,63.25,63.81,63.25,63.49,821300,0.0,0
2019-04-10,63.54,64.63,63.54,64.55,1042800,0.0,0
2019-04-11,64.71,65.37,64.41,65.28,1047200,0.0,0
2019-04-12,65.9,65.9,64.71,64.9,1083300,0.0,0
2019-04-15,65.03,65.59,64.47,64.95,803100,0.0,0
2019-04-16,65.12,65.51,64.31,64.68,729800,0.0,0
2019-04-17,65.09,65.09,63.55,63.59,1412800,0.0,0
2019-04-18,63.59,64.01,62.71,63.83,1359000,0.0,0
2019-04-22,63.4,64.69,63.2,64.63,645500,0.0,0
2019-04-23,64.72,66.32,64.72,65.98,1159500,0.0,0
2019-04-24,66.2,66.51,65.52,65.61,815600,0.0,0
2019-04-25,65.8,66.0,64.77,65.28,957100,0.0,0
2019-04-26,65.17,66.32,65.17,66.31,839100,0.0,0
2019-04-29,66.6,67.32,66.33,66.63,1291500,0.0,0
2019-04-30,66.89,67.33,66.49,67.26,1580200,0.0,0
2019-05-01,60.32,61.4,58.05,59.48,9477500,0.0,0
2019-05-02,59.31,60.69,58.98,59.99,2603500,0.0,0
2019-05-03,60.1,60.57,59.04,59.64,1750900,0.0,0
2019-05-06,58.19,60.23,57.98,60.14,1170200,0.0,0
2019-05-07,59.37,59.62,58.1,58.57,1736200,0.0,0
2019-05-08,58.73,59.8,58.5,58.55,1550000,0.0,0
2019-05-09,58.36,58.4,57.07,57.95,1459900,0.0,0
2019-05-10,57.59,58.67,56.83,58.51,1332600,0.0,0
2019-05-13,57.06,57.61,56.0,56.27,1463100,0.0,0
2019-05-14,56.64,58.04,56.6,57.8,1559300,0.0,0
2019-05-15,57.28,58.93,57.28,58.36,1353400,0.0,0
2019-05-16,58.46,60.09,58.43,59.09,2354900,0.0,0
2019-05-17,58.61,59.26,58.2,58.42,658000,0.0,0
2019-05-20,57.6,57.93,56.96,57.36,913900,0.0,0
