Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,114.79,117.33,114.12,116.93,559400,0.0,0
2019-02-06,116.74,117.83,116.61,117.4,529400,0.0,0
2019-02-07,117.02,118.35,116.31,117.96,553100,0.0,0
2019-02-08,117.29,117.53,116.57,117.4,355900,0.0,0
2019-02-11,117.84,119.47,117.4,118.66,789400,0.0,0
2019-02-12,119.96,122.27,118.37,119.59,1029300,0.0,0
2019-02-13,119.34,119.99,118.4,118.99,578700,0.0,0
2019-02-14,118.27,120.19,117.59,119.83,419800,0.0,0
2019-02-15,120.6,121.19,120.12,121.06,311900,0.0,0
2019-02-19,120.78,122.3,120.45,121.29,373300,0.0,0
2019-02-20,120.93,122.12,120.55,121.62,277000,0.0,0
2019-02-21,121.32,122.19,120.62,121.16,317400,0.0,0
2019-02-22,121.08,122.23,120.46,121.17,362000,0.0,0
2019-02-25,121.77,122.51,120.21,120.74,479000,0.0,0
2019-02-26,120.63,120.68,119.45,119.69,300300,0.34,0
2019-02-27,119.59,120.06,118.92,119.75,272600,0.0,0
2019-02-28,119.49,120.69,119.19,120.09,395100,0.0,0
2019-03-01,121.09,122.01,119.57,121.71,349600,0.0,0
2019-03-04,121.95,122.28,119.95,121.15,356200,0.0,0
2019-03-05,120.98,121.67,119.38,120.4,175400,0.0,0
2019-03-06,120.44,120.46,118.79,119.19,460700,0.0,0
2019-03-07,119.19,119.8,118.63,118.93,199900,0.0,0
2019-03-08,118.07,118.89,117.33,118.31,344500,0.0,0
2019-03-11,118.65,120.17,118.21,120.11,219500,0.0,0
2019-03-12,120.21,121.49,119.63,121.35,260200,0.0,0
2019-03-13,121.8,122.75,121.47,121.92,578100,0.0,0
2019-03-14,121.84,122.82,120.91,122.66,381200,0.0,0
2019-03-15,123.1,123.36,121.88,122.49,650400,0.0,0
2019-03-18,122.67,122.67,120.66,122.34,539900,0.0,0
2019-03-19,122.61,122.79,121.67,122.42,168200,0.0,0
2019-03-20,121.42,123.59,121.42,122.33,262100,0.0,0
2019-03-21,121.99,124.58,121.99,124.26,496300,0.0,0
2019-03-22,123.64,123.98,122.08,122.13,272800,0.0,0
2019-03-25,121.69,121.98,120.41,121.56,331500,0.0,0
2019-03-26,122.65,122.85,121.46,122.35,336000,0.0,0
2019-03-27,122.47,124.91,121.39,124.36,399400,0.0,0
2019-03-28,124.23,126.35,123.64,125.75,219300,0.0,0
2019-03-29,126.54,127.71,125.56,127.1,352700,0.0,0
2019-04-01,127.42,128.59,125.16,126.51,296700,0.0,0
2019-04-02,126.77,127.1,124.91,125.64,259300,0.0,0
2019-04-03,126.29,126.33,124.68,125.07,372700,0.0,0
2019-04-04,125.32,126.07,124.06,124.9,323400,0.0,0
2019-04-05,125.12,126.21,124.1,124.56,477700,0.0,0
2019-04-08,124.68,125.04,123.13,124.62,694000,0.0,0
2019-04-09,124.62,126.16,123.8,124.79,291500,0.0,0
2019-04-10,125.13,126.2,124.67,125.51,511900,0.0,0
2019-04-11,125.8,127.43,125.53,127.17,436700,0.0,0
2019-04-12,127.56,128.3,127.01,127.73,377900,0.0,0
2019-04-15,128.04,128.93,127.33,127.75,388900,0.0,0
2019-04-16,128.76,128.76,124.09,124.3,443400,0.0,0
2019-04-17,125.12,125.33,118.76,119.62,897300,0.0,0
2019-04-18,120.24,122.42,119.32,121.94,641100,0.0,0
2019-04-22,121.36,124.58,121.36,122.36,359400,0.0,0
2019-04-23,122.76,125.65,122.76,124.81,438300,0.0,0
2019-04-24,124.6,127.06,124.6,126.69,372500,0.0,0
2019-04-25,126.0,127.73,125.56,127.07,230400,0.0,0
2019-04-26,127.07,128.57,126.59,128.18,279000,0.0,0
2019-04-29,128.5,129.9,127.91,129.39,575300,0.0,0
2019-04-30,129.81,130.75,129.24,130.03,335500,0.0,0
2019-05-01,130.63,131.56,129.19,130.55,387800,0.0,0
2019-05-02,130.06,131.73,129.54,131.01,352500,0.0,0
2019-05-03,132.04,134.01,131.99,132.27,476400,0.0,0
2019-05-06,130.61,133.09,130.6,133.04,629100,0.0,0
2019-05-07,131.97,132.57,128.97,130.02,493600,0.0,0
2019-05-08,130.08,130.85,128.66,129.27,845200,0.0,0
2019-05-09,128.47,129.7,127.04,128.97,410700,0.0,0
