Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,57.58,57.58,56.61,57.22,3785100,0.0,0
2019-02-06,57.1,57.59,56.41,56.83,2917500,0.0,0
2019-02-07,63.56,64.06,60.55,62.62,24656300,0.0,0
2019-02-08,62.61,62.92,61.77,62.28,9182800,0.0,0
2019-02-11,62.44,62.85,62.28,62.67,5280800,0.0,0
2019-02-12,63.14,63.88,63.08,63.43,5454200,0.0,0
2019-02-13,63.39,63.69,62.5,62.55,5659100,0.0,0
2019-02-14,62.02,62.13,61.18,61.95,4910200,0.0,0
2019-02-15,62.63,63.38,62.43,63.01,4437500,0.0,0
2019-02-19,62.57,63.68,62.19,63.52,4343800,0.0,0
2019-02-20,63.56,64.53,63.27,64.39,4956100,0.0,0
2019-02-21,64.49,64.84,64.14,64.5,4449500,0.0,0
2019-02-22,64.57,64.57,63.84,64.12,3338900,0.0,0
2019-02-25,64.45,64.61,63.61,63.63,3719400,0.0,0
2019-02-26,63.42,63.98,62.83,63.25,3405500,0.0,0
2019-02-27,63.4,63.75,63.05,63.53,3389900,0.5,0
2019-02-28,63.56,63.83,63.14,63.25,2925300,0.0,0
2019-03-01,63.51,64.87,63.38,64.62,5825900,0.0,0
2019-03-04,64.7,65.57,63.97,64.56,4885700,0.0,0
2019-03-05,64.39,64.95,63.43,64.58,4596000,0.0,0
2019-03-06,64.35,64.45,62.93,63.17,3181100,0.0,0
2019-03-07,62.74,62.75,61.57,61.79,5211900,0.0,0
2019-03-08,61.3,61.94,61.09,61.9,2963500,0.0,0
2019-03-11,61.95,62.55,61.7,62.25,3516800,0.0,0
2019-03-12,62.44,62.7,61.59,61.72,3346200,0.0,0
2019-03-13,61.93,62.69,61.56,62.4,3060500,0.0,0
2019-03-14,62.42,62.77,62.18,62.49,1968000,0.0,0
2019-03-15,62.33,62.87,62.08,62.2,4670800,0.0,0
2019-03-18,62.3,63.16,62.23,62.88,3636200,0.0,0
2019-03-19,63.27,63.34,61.47,61.49,3530600,0.0,0
2019-03-20,61.41,61.54,59.76,59.77,5853600,0.0,0
2019-03-21,59.37,59.4,58.5,58.67,4791600,0.0,0
2019-03-22,58.04,58.22,55.91,55.96,6834700,0.0,0
2019-03-25,56.12,56.88,55.26,55.66,4828600,0.0,0
2019-03-26,56.11,56.93,55.57,56.27,3450600,0.0,0
2019-03-27,56.07,56.75,55.71,56.42,2973500,0.0,0
2019-03-28,56.72,57.59,56.43,57.51,3849600,0.0,0
2019-03-29,58.13,58.39,57.48,57.77,4065400,0.0,0
2019-04-01,58.32,59.84,58.29,59.71,2942500,0.0,0
2019-04-02,59.48,60.92,59.31,60.31,3908000,0.0,0
2019-04-03,60.87,61.42,59.97,60.18,5374000,0.0,0
2019-04-04,59.85,60.55,59.79,60.2,4380400,0.0,0
2019-04-05,60.12,60.59,59.71,60.11,3178500,0.0,0
2019-04-08,59.9,60.48,59.75,60.36,2201200,0.0,0
2019-04-09,59.92,60.21,59.29,59.54,2427900,0.0,0
2019-04-10,59.58,60.05,59.08,60.02,1693100,0.0,0
2019-04-11,60.3,60.87,60.08,60.43,1593400,0.0,0
2019-04-12,61.22,61.99,60.47,61.3,2675200,0.0,0
2019-04-15,61.16,61.42,60.36,60.57,2006200,0.0,0
2019-04-16,60.6,61.8,60.4,61.71,1686600,0.0,0
2019-04-17,62.06,62.42,61.31,62.18,2823900,0.0,0
2019-04-18,61.89,62.58,60.24,61.9,4269200,0.0,0
2019-04-22,61.73,62.1,61.15,61.77,2743900,0.0,0
2019-04-23,61.66,62.16,61.03,61.95,3800500,0.0,0
2019-04-24,61.8,62.42,61.35,62.22,1541000,0.0,0
2019-04-25,61.83,63.1,61.77,62.66,1664300,0.0,0
2019-04-26,62.71,63.36,62.54,63.34,2173500,0.0,0
2019-04-29,63.37,64.61,63.28,64.19,1768400,0.0,0
2019-04-30,64.16,64.28,63.35,63.84,2183300,0.0,0
2019-05-01,63.75,64.21,63.05,63.19,2286200,0.0,0
2019-05-02,63.26,63.79,62.75,63.11,2068600,0.0,0
2019-05-03,63.35,63.77,63.22,63.72,2101600,0.0,0
2019-05-06,62.78,63.75,62.45,63.41,1921100,0.0,0
2019-05-07,62.53,62.78,61.73,62.27,2606000,0.0,0
2019-05-08,61.99,62.31,61.47,61.51,1680700,0.0,0
2019-05-09,60.8,61.93,60.65,61.81,1746900,0.0,0
2019-05-10,61.34,62.48,60.88,62.24,2411800,0.0,0
2019-05-13,61.14,61.41,60.15,60.25,2819200,0.0,0
2019-05-14,60.28,61.22,60.21,60.47,2100700,0.0,0
2019-05-15,60.02,60.26,59.0,59.88,1635600,0.0,0
2019-05-16,60.03,61.0,60.03,60.63,1390400,0.0,0
2019-05-17,60.04,61.19,60.02,60.37,1102800,0.0,0
2019-05-20,60.09,61.1,60.09,60.8,2520400,0.0,0
2019-05-21,61.05,61.46,61.01,61.36,1928200,0.0,0
2019-05-22,60.93,61.8,60.85,61.54,2161100,0.0,0
2019-05-23,60.97,61.14,60.14,60.48,1582300,0.0,0
2019-05-24,60.69,60.91,60.47,60.79,1736500,0.0,0
2019-05-28,60.6,60.87,59.63,59.63,2593400,0.0,0
