Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,30.82,30.9,30.48,30.82,1044600,0.0,0
2019-02-06,30.78,30.87,30.57,30.66,1099500,0.0,0
2019-02-07,30.66,31.19,30.5,31.08,1006000,0.0,0
2019-02-08,30.98,31.25,30.95,31.19,917200,0.0,0
2019-02-11,31.35,31.35,31.06,31.19,1501800,0.0,0
2019-02-12,31.22,31.28,30.46,30.49,1849500,0.0,0
2019-02-13,30.47,30.71,30.18,30.66,1913900,0.0,0
2019-02-14,30.62,30.86,30.55,30.75,977600,0.0,0
2019-02-15,30.82,31.29,30.67,31.28,2337400,0.0,0
2019-02-19,31.29,31.44,31.09,31.21,1773200,0.0,0
2019-02-20,31.14,31.25,30.6,30.86,1554500,0.0,0
2019-02-21,30.97,31.32,30.5,31.26,1323800,0.0,0
2019-02-22,31.29,31.52,31.09,31.47,2035100,0.0,0
2019-02-25,31.51,31.52,31.19,31.23,1521200,0.0,0
2019-02-26,31.36,31.42,30.97,31.0,1800000,0.0,0
2019-02-27,30.8,31.18,30.58,31.06,1856400,0.0,0
2019-02-28,31.03,31.65,30.92,31.24,2584900,0.0,0
2019-03-01,31.24,31.29,30.23,30.79,2688300,0.0,0
2019-03-04,30.88,31.05,30.55,30.85,1411100,0.0,0
2019-03-05,30.77,31.17,30.69,31.16,1285400,0.0,0
2019-03-06,31.17,31.24,30.95,31.06,1203300,0.0,0
2019-03-07,31.21,31.48,31.03,31.15,2108800,0.0,0
2019-03-08,31.08,31.31,30.91,31.07,1359200,0.0,0
2019-03-11,31.2,31.34,31.03,31.31,1215200,0.0,0
2019-03-12,31.39,31.56,31.39,31.46,1427400,0.0,0
2019-03-13,31.58,31.69,31.45,31.46,1386200,0.0,0
2019-03-14,31.56,31.58,31.28,31.32,2970200,0.0,0
2019-03-15,31.36,31.39,31.08,31.12,3063300,0.0,0
2019-03-18,31.23,31.3,30.89,31.07,1276500,0.0,0
2019-03-19,31.08,31.14,30.92,30.99,957100,0.0,0
2019-03-20,31.08,31.57,30.87,31.37,1331500,0.0,0
2019-03-21,31.29,32.14,31.27,31.92,1721900,0.0,0
2019-03-22,31.94,32.24,31.82,31.89,1637600,0.0,0
2019-03-25,31.87,32.29,31.58,32.18,1373400,0.0,0
2019-03-26,32.21,32.69,32.11,32.68,1797600,0.0,0
2019-03-27,32.71,32.81,32.2,32.26,2413000,0.0,0
2019-03-28,32.28,32.66,32.23,32.62,1694900,0.33,0
2019-03-29,32.65,32.65,32.38,32.55,1202700,0.0,0
2019-04-01,32.61,32.61,32.03,32.37,1532200,0.0,0
2019-04-02,32.42,32.45,32.09,32.43,1854200,0.0,0
2019-04-03,32.36,32.51,32.07,32.36,1487600,0.0,0
2019-04-04,32.33,32.36,32.07,32.23,1275300,0.0,0
2019-04-05,32.18,32.52,32.15,32.52,1528100,0.0,0
2019-04-08,32.5,32.55,32.18,32.22,1111600,0.0,0
2019-04-09,32.28,32.33,32.04,32.09,679700,0.0,0
