Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,171.01,173.73,170.65,172.01,2604600,0.0,0
2019-02-06,171.64,171.97,168.69,169.62,1651700,0.0,0
2019-02-07,168.96,171.97,168.66,171.35,1896200,0.0,0
2019-02-08,171.4,172.5,170.86,172.5,1344200,0.0,0
2019-02-11,172.6,173.88,169.72,170.81,2021200,0.74,0
2019-02-12,170.36,171.07,168.94,169.99,1979900,0.0,0
2019-02-13,171.96,174.14,171.05,172.79,4736500,0.0,0
2019-02-14,172.93,173.02,171.09,171.99,2484500,0.0,0
2019-02-15,173.28,174.2,171.6,172.93,1965600,0.0,0
2019-02-19,173.0,174.39,172.08,172.74,2072300,0.0,0
2019-02-20,173.42,174.78,164.48,165.09,5401800,0.0,0
2019-02-21,165.46,165.85,162.13,163.77,5426300,0.0,0
2019-02-22,163.84,167.45,163.63,167.15,3913800,0.0,0
2019-02-25,168.37,168.82,164.96,165.26,1695100,0.0,0
2019-02-26,165.19,167.86,165.19,167.49,1495900,0.0,0
2019-02-27,166.84,167.41,165.95,167.33,1112300,0.0,0
2019-02-28,168.02,168.51,166.78,167.24,1540600,0.0,0
2019-03-01,168.27,170.0,168.03,169.99,1508500,0.0,0
2019-03-04,170.62,170.83,167.14,168.7,1828700,0.0,0
2019-03-05,168.29,168.29,165.21,165.57,2601700,0.0,0
2019-03-06,165.7,167.0,163.84,164.18,1292500,0.0,0
2019-03-07,166.54,167.65,164.48,165.74,1595600,0.0,0
2019-03-08,164.96,165.96,163.45,164.31,1146200,0.0,0
2019-03-11,165.17,166.85,164.57,166.42,1043300,0.0,0
2019-03-12,166.63,167.53,165.95,166.9,997900,0.0,0
2019-03-13,167.91,169.95,167.79,168.73,1379200,0.0,0
2019-03-14,168.57,169.35,167.39,168.68,1240000,0.0,0
2019-03-15,169.54,170.85,167.88,168.52,2682700,0.0,0
2019-03-18,169.14,169.44,168.37,169.14,856300,0.0,0
2019-03-19,169.27,169.29,164.13,165.44,2187200,0.0,0
2019-03-20,165.44,165.71,161.67,162.74,2815900,0.0,0
2019-03-21,162.36,167.59,162.31,167.47,1622600,0.0,0
2019-03-22,166.5,168.49,165.62,167.61,1553100,0.0,0
2019-03-25,166.73,167.23,164.86,166.14,1384100,0.0,0
2019-03-26,166.63,169.92,166.37,169.77,2077000,0.0,0
2019-03-27,168.3,169.94,167.52,168.19,1217400,0.0,0
2019-03-28,168.32,170.57,167.97,170.55,1170900,0.0,0
2019-03-29,171.01,174.46,170.8,173.34,2193900,0.0,0
2019-04-01,174.91,176.57,172.54,175.58,2908800,0.0,0
2019-04-02,176.23,176.59,173.51,174.71,2237600,0.0,0
2019-04-03,175.25,177.73,174.81,177.66,2644100,0.0,0
2019-04-04,176.49,191.0,176.1,189.28,7719600,0.0,0
2019-04-05,189.33,191.52,187.02,191.11,4639500,0.0,0
2019-04-08,190.32,190.48,188.4,190.16,2866200,0.0,0
2019-04-09,189.17,190.15,187.41,188.73,1917900,0.0,0
2019-04-10,188.84,189.43,186.49,187.95,1399100,0.0,0
2019-04-11,187.88,189.43,186.97,189.01,1847300,0.0,0
2019-04-12,190.02,190.34,188.08,188.37,948500,0.0,0
2019-04-15,188.53,188.84,187.18,188.76,1447600,0.0,0
2019-04-16,188.85,189.29,187.4,187.86,2025300,0.0,0
2019-04-17,188.79,190.69,187.7,189.41,1090900,0.0,0
2019-04-18,191.15,197.62,191.15,196.55,2881500,0.0,0
2019-04-22,196.28,203.42,196.02,203.13,2196900,0.0,0
2019-04-23,204.49,206.83,202.61,205.13,2256500,0.0,0
2019-04-24,205.79,208.04,205.55,207.76,1666900,0.0,0
2019-04-25,206.45,212.05,206.45,209.76,1900700,0.0,0
2019-04-26,210.59,211.93,209.11,209.76,1329600,0.0,0
2019-04-29,209.96,210.92,208.29,210.13,1078400,0.0,0
2019-04-30,209.7,210.36,207.53,209.27,1532600,0.0,0
2019-05-01,209.2,211.28,208.82,209.69,876500,0.0,0
2019-05-02,208.75,209.29,205.31,206.75,1569400,0.0,0
2019-05-03,207.75,209.66,207.41,209.01,1113900,0.0,0
2019-05-06,205.92,208.91,205.65,208.03,1166400,0.0,0
2019-05-07,206.76,207.27,204.4,205.52,1227900,0.0,0
2019-05-08,204.81,206.41,204.41,204.84,840800,0.0,0
2019-05-09,203.57,204.98,200.26,200.33,1833400,0.75,0
2019-05-10,199.51,202.43,197.73,201.66,1617000,0.0,0
2019-05-13,198.53,200.11,197.48,199.51,1320100,0.0,0
2019-05-14,200.44,205.65,199.91,203.74,1202000,0.0,0
2019-05-15,202.38,206.18,202.05,203.41,1368700,0.0,0
2019-05-16,203.47,205.93,202.54,205.2,873000,0.0,0
2019-05-17,203.5,206.06,203.19,203.21,893500,0.0,0
