Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,8.43,8.48,8.27,8.33,785100,0.0,0
2019-02-06,8.31,8.5,8.25,8.45,727200,0.0,0
2019-02-07,8.37,8.43,8.13,8.33,886800,0.0,0
2019-02-08,8.29,8.37,8.2,8.31,496100,0.0,0
2019-02-11,8.34,8.51,8.32,8.43,2355000,0.0,0
2019-02-12,8.5,8.6,8.37,8.58,1037700,0.0,0
2019-02-13,8.6,8.73,8.51,8.59,1350400,0.0,0
2019-02-14,8.58,8.65,8.45,8.52,1249700,0.0,0
2019-02-15,8.51,8.84,8.48,8.69,1019900,0.0,0
2019-02-19,8.69,8.83,8.6,8.79,667400,0.0,0
2019-02-20,8.78,9.09,8.78,8.93,834200,0.0,0
2019-02-21,8.92,8.94,8.31,8.49,1306700,0.0,0
2019-02-22,8.51,8.74,8.51,8.65,807100,0.0,0
2019-02-25,8.75,8.85,8.63,8.69,652000,0.0,0
2019-02-26,8.69,8.81,8.62,8.66,1388000,0.0,0
2019-02-27,8.61,8.86,8.49,8.82,813500,0.0,0
2019-02-28,8.83,8.89,8.54,8.55,649300,0.0,0
2019-03-01,8.63,8.73,8.51,8.6,600100,0.0,0
2019-03-04,8.67,8.7,8.37,8.51,740100,0.0,0
2019-03-05,8.49,8.74,8.47,8.59,849800,0.0,0
2019-03-06,8.58,8.58,8.17,8.26,1374500,0.0,0
2019-03-07,8.19,8.22,7.98,8.05,990500,0.0,0
2019-03-08,8.01,8.09,7.88,8.0,1425300,0.0,0
2019-03-11,8.02,8.33,8.02,8.18,1523600,0.0,0
2019-03-12,8.28,9.32,8.28,9.23,4120300,0.0,0
2019-03-13,9.46,9.98,9.18,9.86,5506400,0.0,0
2019-03-14,9.91,10.9,9.74,10.57,3335800,0.0,0
2019-03-15,10.64,10.91,10.52,10.55,1939100,0.0,0
2019-03-18,10.51,10.51,9.99,10.23,2448700,0.0,0
2019-03-19,10.29,10.36,10.07,10.27,1923200,0.0,0
2019-03-20,10.33,10.58,10.16,10.32,1473900,0.0,0
2019-03-21,10.24,10.62,10.21,10.59,1046800,0.0,0
2019-03-22,10.68,10.69,10.2,10.2,983900,0.029,0
2019-03-25,10.26,10.3,9.89,10.08,1077500,0.0,0
2019-03-26,10.21,10.48,10.14,10.2,953700,0.0,0
2019-03-27,10.21,10.36,9.94,10.16,909700,0.0,0
2019-03-28,10.3,10.41,10.03,10.19,840700,0.0,0
2019-03-29,10.25,10.35,10.15,10.25,1075100,0.0,0
2019-04-01,10.41,10.69,10.41,10.49,1049500,0.0,0
2019-04-02,10.59,10.67,10.46,10.51,1070800,0.0,0
2019-04-03,10.57,10.89,10.54,10.86,3313100,0.0,0
2019-04-04,10.89,11.07,10.58,10.69,1568300,0.0,0
2019-04-05,10.7,10.81,10.68,10.8,838200,0.0,0
2019-04-08,10.87,10.87,10.45,10.66,1026800,0.0,0
2019-04-09,10.73,10.73,10.47,10.53,751500,0.0,0
2019-04-10,10.57,10.65,10.46,10.59,1249300,0.0,0
2019-04-11,10.6,10.84,10.48,10.72,884100,0.0,0
2019-04-12,10.76,10.83,10.6,10.8,1287300,0.0,0
2019-04-15,10.8,10.81,10.57,10.62,510000,0.0,0
2019-04-16,10.68,10.7,10.49,10.62,469500,0.0,0
2019-04-17,10.68,10.92,10.59,10.69,910600,0.0,0
2019-04-18,10.74,10.78,10.57,10.63,941700,0.0,0
2019-04-22,10.64,10.89,10.57,10.71,616200,0.0,0
2019-04-23,10.7,10.79,10.56,10.58,725700,0.0,0
2019-04-24,10.57,10.65,10.33,10.39,682700,0.0,0
2019-04-25,10.4,10.49,10.22,10.37,774200,0.0,0
2019-04-26,10.37,10.72,10.32,10.69,821800,0.0,0
2019-04-29,11.08,11.15,10.71,10.8,2091100,0.0,0
2019-04-30,10.78,10.93,10.66,10.8,1016300,0.0,0
2019-05-01,10.87,10.93,10.7,10.72,484200,0.0,0
2019-05-02,10.65,10.82,10.6,10.75,566200,0.0,0
2019-05-03,10.77,11.03,10.77,11.01,922600,0.0,0
2019-05-06,10.77,11.11,10.77,11.08,857800,0.0,0
2019-05-07,10.93,11.04,10.7,10.79,998800,0.0,0
2019-05-08,10.79,11.12,10.79,10.93,1238800,0.0,0
2019-05-09,10.72,11.17,10.13,11.13,1716300,0.0,0
2019-05-10,11.08,11.42,10.93,11.24,1277700,0.0,0
2019-05-13,11.03,11.56,11.0,11.45,1143100,0.0,0
2019-05-14,11.45,12.03,11.44,11.76,1483700,0.0,0
2019-05-15,11.73,12.23,11.62,12.18,1650800,0.0,0
2019-05-16,12.18,12.41,12.06,12.31,1075500,0.0,0
2019-05-17,12.19,12.37,12.13,12.22,890100,0.0,0
2019-05-20,12.13,12.59,12.09,12.41,842000,0.0,0
2019-05-21,12.45,12.87,12.45,12.72,1592000,0.029,0
2019-05-22,12.64,12.78,12.55,12.68,797000,0.0,0
2019-05-23,12.57,12.68,12.42,12.65,838500,0.0,0
2019-05-24,12.77,12.94,12.55,12.58,1083300,0.0,0
2019-05-28,12.62,12.86,12.59,12.63,1001600,0.0,0
2019-05-29,12.58,12.64,12.09,12.53,951900,0.0,0
2019-05-30,12.55,12.75,12.38,12.57,931500,0.0,0
2019-05-31,12.42,12.55,12.29,12.32,593500,0.0,0
2019-06-03,12.38,12.5,12.25,12.32,793500,0.0,0
2019-06-04,12.37,12.44,11.97,12.22,800400,0.0,0
2019-06-05,12.2,12.24,12.1,12.21,995500,0.0,0
2019-06-06,12.26,12.41,12.1,12.36,864900,0.0,0
2019-06-07,12.43,12.5,12.27,12.5,684600,0.0,0
2019-06-10,12.55,12.88,12.5,12.52,682600,0.0,0
2019-06-11,12.65,12.7,12.34,12.54,693700,0.0,0
2019-06-12,12.54,12.84,12.53,12.82,571600,0.0,0
2019-06-13,12.85,13.05,12.68,12.76,947100,0.0,0
2019-06-14,12.73,12.97,12.58,12.88,624600,0.0,0
2019-06-17,12.85,13.33,12.83,13.14,1217400,0.0,0
2019-06-18,13.2,13.48,13.18,13.23,1113700,0.0,0
2019-06-19,13.27,13.45,13.21,13.44,919300,0.0,0
2019-06-20,13.47,13.58,13.26,13.27,836100,0.0,0
2019-06-21,13.2,13.42,13.14,13.27,1174000,0.0,0
2019-06-24,13.28,13.34,13.07,13.16,1104200,0.0,0
2019-06-25,13.22,13.3,12.93,13.01,813000,0.0,0
2019-06-26,12.95,13.13,12.81,12.84,461300,0.0,0
2019-06-27,12.83,13.04,12.83,13.0,850700,0.0,0
2019-06-28,12.97,13.2,12.95,13.04,1832900,0.0,0
2019-07-01,13.19,13.29,13.06,13.12,665100,0.0,0
2019-07-02,13.21,13.43,13.05,13.27,1257300,0.0,0
2019-07-03,13.24,13.74,13.24,13.6,3282800,0.0,0
2019-07-05,13.57,13.57,13.06,13.25,645400,0.0,0
2019-07-08,13.2,13.26,13.0,13.1,607700,0.0,0
2019-07-09,13.06,13.37,13.06,13.26,716700,0.0,0
2019-07-10,13.31,13.34,13.02,13.25,641700,0.0,0
2019-07-11,13.27,13.27,13.1,13.2,486400,0.0,0
2019-07-12,13.24,13.38,13.12,13.31,929600,0.0,0
2019-07-15,13.25,13.26,13.12,13.24,486300,0.0,0
2019-07-16,13.2,13.28,12.82,13.07,632400,0.0,0
2019-07-17,13.06,13.25,13.0,13.2,690300,0.0,0
2019-07-18,13.18,13.23,13.07,13.15,369500,0.0,0
2019-07-19,13.25,13.37,13.14,13.15,688800,0.0,0
2019-07-22,13.18,13.34,13.1,13.16,494000,0.0,0
2019-07-23,13.25,13.47,13.21,13.4,569000,0.0,0
2019-07-24,13.41,13.95,13.41,13.7,1442300,0.0,0
2019-07-25,13.75,13.8,13.29,13.4,956500,0.0,0
2019-07-26,13.49,13.53,13.31,13.41,457000,0.0,0
2019-07-29,13.41,13.66,13.14,13.55,607200,0.0,0
2019-07-30,13.46,13.69,13.44,13.53,659700,0.0,0
2019-07-31,13.56,13.79,13.39,13.52,786600,0.0,0
2019-08-01,13.56,13.8,13.44,13.52,1058000,0.0,0
2019-08-02,13.43,13.76,13.3,13.69,641400,0.0,0
2019-08-05,13.49,13.59,13.29,13.5,671000,0.0,0
2019-08-06,13.62,13.7,13.21,13.43,680000,0.0,0
2019-08-07,13.39,13.71,13.38,13.7,1400100,0.0,0
2019-08-08,14.01,14.45,13.75,14.28,2247000,0.0,0
2019-08-09,14.38,14.88,14.32,14.88,1587700,0.0,0
2019-08-12,14.9,15.34,14.85,15.29,1108100,0.0,0
2019-08-13,15.14,15.41,15.08,15.28,955000,0.0,0
2019-08-14,15.22,15.51,15.18,15.32,1316400,0.0,0
2019-08-15,15.44,15.44,15.02,15.07,1052900,0.0,0
2019-08-16,15.15,15.22,15.02,15.12,1580300,0.029,0
2019-08-19,15.27,15.53,15.18,15.3,1238000,0.0,0
2019-08-20,15.36,15.65,15.36,15.45,761100,0.0,0
2019-08-21,15.53,16.02,15.47,15.95,2493900,0.0,0
2019-08-22,16.01,16.5,15.95,16.42,2098200,0.0,0
2019-08-23,16.45,16.58,16.0,16.05,1394600,0.0,0
2019-08-26,16.24,16.4,16.1,16.2,1101300,0.0,0
2019-08-27,16.27,16.46,16.13,16.25,1401800,0.0,0
2019-08-28,16.23,16.33,16.16,16.26,830700,0.0,0
2019-08-29,16.35,16.55,16.33,16.39,1256400,0.0,0
2019-08-30,16.45,16.49,16.32,16.37,1242800,0.0,0
2019-09-03,16.39,16.46,16.15,16.33,754500,0.0,0
2019-09-04,16.4,16.7,16.4,16.54,930000,0.0,0
2019-09-05,16.6,16.81,16.49,16.75,1008200,0.0,0
2019-09-06,16.87,16.92,16.63,16.65,781400,0.0,0
2019-09-09,16.71,16.71,15.8,15.83,1626500,0.0,0
2019-09-10,15.73,15.83,15.35,15.74,1157000,0.0,0
2019-09-11,15.71,16.07,15.64,16.07,536300,0.0,0
2019-09-12,16.06,16.25,15.9,16.01,393700,0.0,0
