Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,60.33,60.56,58.78,59.46,393600,0,0
2019-02-06,59.11,59.93,58.8,59.11,487700,0,0
2019-02-07,59.71,61.15,59.15,59.77,345100,0,0
2019-02-08,59.35,60.18,57.67,57.92,565300,0,0
2019-02-11,58.04,58.67,57.72,58.6,366400,0,0
2019-02-12,59.15,59.98,59.1,59.74,414700,0,0
2019-02-13,59.99,60.33,59.39,59.85,498000,0,0
2019-02-14,59.11,59.45,58.56,58.9,742600,0,0
2019-02-15,59.41,60.83,59.0,60.32,729800,0,0
2019-02-19,59.95,61.21,59.73,60.94,720800,0,0
2019-02-20,61.13,61.98,60.62,61.87,549900,0,0
2019-02-21,61.82,61.82,61.05,61.27,410800,0,0
2019-02-22,61.3,61.79,61.22,61.52,506400,0,0
2019-02-25,61.99,62.46,61.52,61.61,390400,0,0
2019-02-26,61.44,62.47,60.5,60.52,471500,0,0
2019-02-27,60.66,61.39,60.23,60.95,378100,0,0
2019-02-28,61.12,61.26,60.5,61.03,540500,0,0
2019-03-01,61.8,62.24,61.0,61.95,479200,0,0
2019-03-04,61.75,61.83,60.74,61.16,664100,0,0
2019-03-05,61.0,62.21,60.3,61.72,605900,0,0
2019-03-06,61.52,61.67,59.76,60.14,1109500,0,0
2019-03-07,59.71,60.53,58.55,59.0,1560000,0,0
2019-03-08,58.45,59.54,58.28,59.11,863900,0,0
2019-03-11,59.45,59.74,58.85,59.26,643500,0,0
2019-03-12,59.31,59.93,58.86,59.27,313100,0,0
2019-03-13,59.65,59.97,59.08,59.36,429100,0,0
2019-03-14,59.41,59.94,58.35,58.58,641800,0,0
2019-03-15,58.57,59.57,58.37,58.57,656100,0,0
2019-03-18,58.85,60.13,58.77,59.82,636400,0,0
2019-03-19,59.93,60.2,58.68,58.81,692400,0,0
2019-03-20,58.49,58.85,55.71,55.77,1875500,0,0
2019-03-21,55.54,55.93,54.52,55.13,774000,0,0
2019-03-22,54.49,54.64,52.25,53.14,2127400,0,0
2019-03-25,53.22,53.96,52.48,52.67,2085300,0,0
2019-03-26,53.18,54.44,53.0,54.34,1243700,0,0
2019-03-27,53.8,54.2,53.06,53.89,823300,0,0
2019-03-28,53.95,54.64,52.85,54.62,538500,0,0
2019-03-29,55.24,55.56,54.26,54.59,594000,0,0
2019-04-01,55.04,56.73,55.04,56.63,773900,0,0
2019-04-02,56.5,57.28,55.87,56.7,643800,0,0
2019-04-03,57.3,57.96,56.5,56.72,985600,0,0
2019-04-04,56.75,58.6,56.04,58.27,702000,0,0
2019-04-05,58.37,59.38,57.97,59.15,472100,0,0
2019-04-08,59.09,59.62,58.73,59.12,440400,0,0
2019-04-09,58.9,58.9,57.27,57.43,409700,0,0
2019-04-10,57.42,58.3,56.79,58.28,616800,0,0
2019-04-11,58.55,59.02,57.67,58.2,575100,0,0
2019-04-12,59.1,59.99,58.29,59.22,897500,0,0
2019-04-15,59.2,59.58,57.94,57.98,749400,0,0
2019-04-16,57.98,58.91,57.49,58.71,894700,0,0
2019-04-17,59.08,59.08,57.82,58.49,1796600,0,0
2019-04-18,59.98,63.2,59.45,62.63,2033900,0,0
2019-04-22,62.44,63.15,62.09,62.65,842700,0,0
2019-04-23,62.81,64.44,62.1,64.24,720300,0,0
2019-04-24,63.92,64.64,62.94,64.01,950300,0,0
2019-04-25,63.87,64.32,62.8,63.83,701300,0,0
2019-04-26,63.96,64.35,63.31,64.2,629300,0,0
2019-04-29,64.54,66.15,64.42,65.64,650700,0,0
2019-04-30,65.69,66.18,64.46,64.73,459600,0,0
2019-05-01,64.92,65.82,63.72,64.19,568300,0,0
2019-05-02,64.1,65.51,64.1,65.3,583100,0,0
2019-05-03,65.3,66.15,64.57,66.13,580400,0,0
2019-05-06,64.83,66.61,64.42,66.19,389500,0,0
2019-05-07,65.39,66.1,64.77,65.15,608500,0,0
2019-05-08,64.95,65.55,64.34,64.39,360500,0,0
2019-05-09,63.64,64.58,62.69,64.38,452900,0,0
2019-05-10,64.18,64.38,63.37,64.24,343700,0,0
2019-05-13,62.71,63.05,60.43,60.92,522700,0,0
2019-05-14,61.18,62.16,60.61,61.83,913600,0,0
2019-05-15,60.8,61.39,59.85,60.79,523400,0,0
2019-05-16,61.04,62.03,61.04,61.71,277200,0,0
2019-05-17,61.14,61.84,60.6,60.65,511200,0,0
2019-05-20,60.35,61.26,60.21,60.71,806500,0,0
2019-05-21,61.07,62.48,61.07,62.04,496500,0,0
2019-05-22,61.67,62.06,60.52,60.67,486900,0,0
2019-05-23,59.86,59.86,57.95,58.71,426900,0,0
2019-05-24,60.08,61.26,59.45,61.14,543700,0,0
2019-05-28,61.04,61.66,60.12,60.18,515600,0,0
2019-05-29,59.85,60.85,58.86,60.73,383300,0,0
2019-05-30,60.97,61.43,58.09,58.89,353600,0,0
2019-05-31,58.04,58.55,56.96,57.3,517600,0,0
2019-06-03,57.34,59.25,57.22,58.37,830400,0,0
2019-06-04,59.25,61.2,59.25,61.06,456300,0,0
2019-06-05,60.82,61.46,59.75,60.55,596100,0,0
2019-06-06,60.6,60.71,59.19,59.86,490900,0,0
2019-06-07,58.2,58.83,57.22,58.71,654800,0,0
2019-06-10,59.34,60.51,59.25,59.31,437000,0,0
2019-06-11,59.99,60.53,59.07,59.5,333200,0,0
2019-06-12,59.32,59.97,58.68,59.28,480200,0,0
2019-06-13,59.53,60.24,59.14,59.45,360900,0,0
2019-06-14,59.6,60.49,58.37,60.33,480100,0,0
2019-06-17,60.45,61.3,58.69,58.71,433000,0,0
2019-06-18,58.62,61.25,58.62,60.7,538500,0,0
2019-06-19,60.98,61.94,59.14,59.35,526600,0,0
2019-06-20,60.04,60.04,57.97,59.24,562800,0,0
2019-06-21,59.03,60.54,59.03,59.69,524900,0,0
2019-06-24,59.24,60.46,59.07,59.16,388200,0,0
2019-06-25,59.0,59.4,57.88,59.28,484800,0,0
2019-06-26,59.46,60.77,59.45,60.46,752000,0,0
2019-06-27,60.6,61.79,60.33,61.09,497100,0,0
2019-06-28,61.76,62.5,60.62,61.37,1125500,0,0
2019-07-01,62.67,62.67,60.89,61.2,446100,0,0
2019-07-02,61.17,61.17,59.33,60.03,532800,0,0
2019-07-03,60.21,60.57,59.74,60.5,291200,0,0
2019-07-05,61.17,61.57,60.5,61.3,613200,0,0
2019-07-08,60.77,60.95,60.28,60.83,389400,0,0
2019-07-09,60.65,61.5,60.36,61.02,613600,0,0
2019-07-10,61.09,63.05,59.36,59.4,625800,0,0
2019-07-11,59.4,60.15,58.53,59.6,793700,0,0
2019-07-12,59.76,61.29,59.19,61.13,832900,0,0
2019-07-15,61.31,61.31,58.73,59.21,677000,0,0
2019-07-16,59.29,60.04,58.65,59.42,498000,0,0
