Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,35.44,35.51,34.37,34.4,593000,0.0,0
2019-02-06,34.37,34.5,33.89,34.11,815400,0.0,0
2019-02-07,33.89,34.1,33.56,34.1,605600,0.0,0
2019-02-08,33.91,34.21,33.5,34.21,853400,0.0,0
2019-02-11,34.25,34.63,34.25,34.44,449900,0.0,0
2019-02-12,34.78,35.14,34.53,35.0,800300,0.0,0
2019-02-13,35.09,35.09,34.25,34.5,766500,0.0,0
2019-02-14,34.39,34.94,34.29,34.62,863500,0.0,0
2019-02-15,34.78,35.45,34.66,35.45,587600,0.0,0
2019-02-19,35.3,35.77,35.2,35.74,530400,0.0,0
2019-02-20,35.84,36.22,35.63,35.95,721200,0.0,0
2019-02-21,35.83,36.13,35.61,35.86,736600,0.0,0
2019-02-22,34.81,35.12,31.21,32.0,2612500,0.0,0
2019-02-25,31.94,32.31,31.05,31.72,1443800,0.0,0
2019-02-26,31.52,31.52,30.62,31.12,1140900,0.0,0
2019-02-27,31.14,31.44,31.05,31.3,737400,0.0,0
2019-02-28,31.34,31.55,31.0,31.3,1428700,0.0,0
2019-03-01,31.42,31.69,31.03,31.4,752100,0.0,0
2019-03-04,31.45,31.49,30.76,31.2,737900,0.0,0
2019-03-05,31.27,31.27,30.81,30.87,569000,0.0,0
2019-03-06,30.86,30.87,30.37,30.58,839900,0.0,0
2019-03-07,30.47,30.69,30.21,30.33,604800,0.0,0
2019-03-08,30.22,30.39,30.01,30.33,412100,0.0,0
2019-03-11,30.36,31.28,30.27,31.23,736800,0.0,0
2019-03-12,31.24,31.76,31.24,31.36,476400,0.0,0
2019-03-13,31.39,31.74,31.12,31.28,781600,0.0,0
2019-03-14,31.28,31.6,31.04,31.51,503900,0.165,0
2019-03-15,31.5,31.72,31.12,31.12,1246300,0.0,0
2019-03-18,31.04,31.59,31.03,31.59,627300,0.0,0
2019-03-19,31.75,31.85,30.93,30.98,790300,0.0,0
2019-03-20,31.07,31.45,30.87,30.92,887200,0.0,0
2019-03-21,30.66,31.67,30.66,31.3,672500,0.0,0
2019-03-22,31.19,31.36,30.67,30.86,454700,0.0,0
2019-03-25,30.82,31.08,30.61,31.02,405600,0.0,0
2019-03-26,31.3,31.42,30.88,31.12,573700,0.0,0
2019-03-27,31.04,31.19,30.61,30.62,507600,0.0,0
2019-03-28,30.64,30.76,30.0,30.21,526500,0.0,0
2019-03-29,30.21,30.41,29.97,30.17,838600,0.0,0
2019-04-01,30.39,30.61,30.22,30.54,514700,0.0,0
2019-04-02,30.63,30.68,30.18,30.24,465800,0.0,0
2019-04-03,30.43,30.94,30.32,30.77,725200,0.0,0
2019-04-04,30.95,31.62,30.83,31.6,672500,0.0,0
2019-04-05,31.61,31.96,31.34,31.5,662800,0.0,0
2019-04-08,31.5,31.5,31.04,31.32,839300,0.0,0
2019-04-09,31.26,31.45,31.07,31.16,511500,0.0,0
2019-04-10,31.28,31.71,31.07,31.62,340400,0.0,0
2019-04-11,31.62,31.62,31.27,31.55,384100,0.0,0
2019-04-12,31.61,31.74,31.14,31.23,686100,0.0,0
