Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,226.0,227.16,224.89,226.88,110500,0,0
2019-02-06,226.46,227.9,225.69,226.87,65700,0,0
2019-02-07,225.93,227.39,222.8,227.12,127100,0,0
2019-02-08,225.38,229.41,225.38,228.69,143400,0,0
2019-02-11,229.45,230.52,227.93,229.77,128900,0,0
2019-02-12,231.24,233.38,230.8,232.22,128900,0,0
2019-02-13,232.84,232.84,229.97,231.35,107700,0,0
2019-02-14,229.06,233.48,229.06,232.44,106900,0,0
2019-02-15,233.68,236.58,232.58,236.38,95900,0,0
2019-02-19,234.84,236.0,234.37,235.45,90900,0,0
2019-02-20,236.23,236.23,232.82,235.84,127700,0,0
2019-02-21,235.28,235.28,231.82,233.29,100000,0,0
2019-02-22,234.15,235.74,232.96,235.55,132500,0,0
2019-02-25,237.51,237.78,233.94,235.36,123100,0,0
2019-02-26,235.75,236.9,233.88,235.15,156600,0,0
2019-02-27,234.89,237.63,234.61,237.0,131800,0,0
2019-02-28,237.25,238.24,234.79,236.04,180500,0,0
2019-03-01,237.31,237.94,234.72,235.8,143000,0,0
2019-03-04,236.31,237.17,233.54,235.86,119600,0,0
2019-03-05,236.08,236.08,232.22,232.39,82900,0,0
2019-03-06,232.97,233.3,230.27,231.7,79600,0,0
2019-03-07,231.57,231.57,228.03,230.58,112800,0,0
2019-03-08,228.14,229.83,228.14,229.37,65600,0,0
2019-03-11,228.91,228.91,224.87,227.26,236300,0,0
2019-03-12,227.0,228.84,224.84,228.08,158100,0,0
2019-03-13,229.04,232.17,229.03,229.59,195400,0,0
2019-03-14,230.12,230.3,227.06,227.4,172600,0,0
2019-03-15,227.85,230.02,227.21,228.25,443900,0,0
2019-03-18,228.3,235.0,228.3,234.7,287000,0,0
2019-03-19,235.05,235.71,232.18,232.72,151200,0,0
2019-03-20,231.45,236.29,231.26,233.38,132700,0,0
2019-03-21,232.79,237.45,232.79,237.05,134300,0,0
2019-03-22,235.85,235.85,227.37,227.61,113500,0,0
2019-03-25,226.66,231.08,225.44,229.23,223600,0,0
2019-03-26,231.8,234.79,228.59,231.35,184600,0,0
2019-03-27,231.09,232.92,227.22,229.85,130200,0,0
2019-03-28,230.73,233.72,228.25,233.58,110500,0,0
2019-03-29,234.93,237.65,234.09,237.01,254800,0,0
2019-04-01,238.75,241.69,238.3,240.21,130500,0,0
2019-04-02,242.0,242.41,239.13,240.78,140200,0,0
2019-04-03,242.0,243.56,241.22,243.18,201400,0,0
2019-04-04,243.95,247.25,242.56,244.33,271300,0,0
2019-04-05,244.87,246.17,243.31,244.63,138900,0,0
2019-04-08,243.71,248.52,241.18,247.59,222700,0,0
2019-04-09,245.79,247.01,244.81,245.56,146700,0,0
2019-04-10,245.83,247.65,244.17,247.02,100900,0,0
2019-04-11,247.29,250.97,246.89,249.91,148500,0,0
2019-04-12,251.01,252.29,250.55,251.79,147200,0,0
2019-04-15,252.18,252.96,249.68,252.71,147700,0,0
2019-04-16,253.72,254.84,252.71,253.29,127900,0,0
2019-04-17,254.69,254.69,250.01,251.46,205800,0,0
2019-04-18,255.0,255.0,250.66,252.43,180100,0,0
2019-04-22,250.85,254.1,250.1,250.16,196900,0,0
2019-04-23,250.79,253.78,250.79,252.72,500100,0,0
2019-04-24,255.25,260.99,249.72,249.72,615800,0,0
2019-04-25,249.03,249.75,245.7,247.73,285500,0,0
2019-04-26,247.0,248.81,245.84,248.55,335400,0,0
2019-04-29,249.0,252.0,247.91,250.91,283700,0,0
2019-04-30,251.24,251.33,247.59,248.51,205400,0,0
2019-05-01,249.39,249.69,245.36,245.36,203600,0,0
2019-05-02,245.21,246.2,242.74,244.38,271700,0,0
2019-05-03,247.73,249.67,245.15,249.13,158500,0,0
2019-05-06,244.78,250.75,244.14,250.06,254100,0,0
2019-05-07,247.5,250.96,246.95,250.34,290800,0,0
2019-05-08,250.17,252.37,249.29,249.87,255500,0,0
2019-05-09,247.95,249.83,244.54,247.88,112000,0,0
2019-05-10,246.97,248.72,242.89,248.09,152100,0,0
2019-05-13,243.03,244.05,239.41,241.08,258500,0,0
2019-05-14,241.34,242.13,236.61,236.94,405700,0,0
2019-05-15,235.44,240.47,234.26,239.0,147900,0,0
2019-05-16,239.85,242.44,239.24,241.53,210200,0,0
2019-05-17,240.05,243.54,239.79,240.67,188000,0,0
2019-05-20,239.67,242.9,239.01,241.76,233900,0,0
2019-05-21,243.44,247.11,243.03,246.61,188300,0,0
2019-05-22,245.97,246.56,244.51,246.01,123500,0,0
2019-05-23,242.87,244.83,236.64,237.74,154400,0,0
2019-05-24,239.65,241.77,238.41,239.74,137600,0,0
2019-05-28,240.57,242.41,236.33,236.6,146900,0,0
2019-05-29,235.06,238.02,234.29,235.6,112300,0,0
2019-05-30,235.88,238.98,235.88,236.95,89200,0,0
2019-05-31,234.26,236.7,232.61,235.8,131500,0,0
2019-06-03,235.06,238.81,233.67,236.06,154200,0,0
2019-06-04,237.71,244.45,237.71,244.15,140500,0,0
2019-06-05,244.78,250.92,244.01,250.63,154600,0,0
2019-06-06,250.63,254.38,250.63,251.93,161300,0,0
2019-06-07,253.4,256.45,250.85,251.56,217300,0,0
2019-06-10,253.17,255.74,252.49,253.22,121000,0,0
2019-06-11,256.29,256.29,249.34,251.24,130100,0,0
2019-06-12,252.04,253.29,248.83,253.29,102900,0,0
2019-06-13,254.5,255.74,249.43,254.75,119900,0,0
2019-06-14,255.06,255.24,253.19,254.72,94200,0,0
2019-06-17,255.0,257.75,253.62,254.84,157100,0,0
2019-06-18,255.55,259.53,255.55,257.45,129100,0,0
2019-06-19,257.5,262.38,256.85,261.47,186800,0,0
2019-06-20,264.37,268.12,263.61,267.56,259400,0,0
2019-06-21,268.1,269.35,264.61,264.76,529700,0,0
2019-06-24,265.43,268.54,264.92,266.28,286600,0,0
2019-06-25,266.3,267.48,264.14,265.97,242900,0,0
2019-06-26,267.37,267.62,264.83,265.55,202100,0,0
2019-06-27,265.73,268.3,262.86,267.65,190200,0,0
2019-06-28,268.42,273.87,267.4,273.87,353300,0,0
2019-07-01,276.12,277.47,273.74,275.74,252400,0,0
2019-07-02,276.1,278.74,274.86,277.7,233600,0,0
2019-07-03,278.35,279.15,277.02,277.95,69300,0,0
2019-07-05,276.55,278.19,274.76,277.21,135000,0,0
2019-07-08,275.62,276.79,273.54,274.47,168500,0,0
2019-07-09,273.79,274.81,271.09,274.78,138100,0,0
2019-07-10,276.09,277.63,271.28,271.85,137600,0,0
2019-07-11,272.48,273.61,270.23,272.3,162200,0,0
2019-07-12,272.9,278.39,272.34,278.05,185800,0,0
2019-07-15,279.61,279.96,277.48,278.5,180100,0,0
2019-07-16,278.32,281.27,277.9,280.5,129900,0,0
2019-07-17,278.59,280.96,276.2,276.3,136200,0,0
2019-07-18,276.11,277.84,275.04,276.47,124400,0,0
2019-07-19,277.46,280.55,276.77,278.09,145500,0,0
2019-07-22,278.87,281.34,277.57,280.59,129200,0,0
2019-07-23,281.64,283.51,280.28,281.99,211700,0,0
2019-07-24,294.25,306.46,292.99,299.64,405200,0,0
2019-07-25,299.64,300.33,295.27,296.26,200000,0,0
2019-07-26,295.47,297.11,292.25,296.18,193800,0,0
2019-07-29,295.21,295.21,290.01,294.36,154800,0,0
2019-07-30,292.8,295.32,291.0,295.14,141100,0,0
2019-07-31,294.09,297.75,290.09,291.28,150100,0,0
2019-08-01,291.0,295.0,286.71,288.65,155900,0,0
2019-08-02,287.51,289.37,284.47,289.12,129500,0,0
2019-08-05,282.34,286.54,278.69,282.07,126800,0,0
2019-08-06,284.6,289.58,284.49,289.02,158900,0,0
2019-08-07,287.3,295.41,284.42,293.2,229700,0,0
2019-08-08,294.82,299.87,294.82,299.0,220100,0,0
2019-08-09,297.5,298.49,294.0,296.58,103900,0,0
2019-08-12,295.21,297.95,291.58,293.27,51100,0,0
2019-08-13,292.97,299.16,292.97,296.77,159000,0,0
2019-08-14,291.84,294.8,287.49,289.91,170300,0,0
2019-08-15,291.05,296.33,289.79,294.81,210300,0,0
2019-08-16,298.01,301.46,295.77,300.85,256500,0,0
2019-08-19,304.86,304.9,289.79,303.37,168600,0,0
2019-08-20,301.4,304.27,299.34,303.25,140400,0,0
2019-08-21,304.87,307.52,304.42,305.64,199100,0,0
2019-08-22,306.92,308.56,305.44,307.82,123700,0,0
2019-08-23,307.04,310.43,301.67,302.68,166400,0,0
2019-08-26,303.77,306.91,301.69,306.75,186300,0,0
