Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,110.32,111.17,109.84,110.69,287400,0.0,0
2019-02-06,110.13,110.91,109.5,110.35,254100,0.0,0
2019-02-07,110.38,111.6,110.38,111.53,193600,0.0,0
2019-02-08,111.16,112.41,110.32,110.71,227300,0.0,0
2019-02-11,111.07,111.48,110.19,111.31,168800,0.0,0
2019-02-12,111.75,113.94,111.75,113.62,378700,0.0,0
2019-02-13,113.81,115.1,113.53,113.77,191900,0.0,0
2019-02-14,113.36,113.65,112.35,112.45,270200,0.0,0
2019-02-15,112.95,114.29,112.83,113.32,194400,0.0,0
2019-02-19,113.23,114.49,112.36,113.81,350000,0.0,0
2019-02-20,113.74,114.63,113.48,114.39,240000,0.0,0
2019-02-21,114.63,115.25,113.91,114.49,148700,0.0,0
2019-02-22,114.63,115.01,113.94,114.54,173100,0.0,0
2019-02-25,114.49,114.92,113.31,113.69,371800,0.0,0
2019-02-26,113.38,114.84,113.38,113.87,230000,0.0,0
2019-02-27,113.66,115.35,113.66,114.61,304100,0.0,0
2019-02-28,114.14,115.08,114.14,114.36,196500,0.0,0
2019-03-01,115.4,116.71,115.35,115.76,184600,0.0,0
2019-03-04,115.75,116.47,115.03,115.58,234900,0.0,0
2019-03-05,115.67,115.76,114.69,114.98,145500,0.0,0
2019-03-06,115.08,115.53,114.06,114.2,188700,0.0,0
2019-03-07,114.01,114.52,113.3,113.53,164900,0.0,0
2019-03-08,113.1,113.69,112.7,113.0,214000,0.0,0
2019-03-11,113.18,113.22,111.88,112.27,227500,0.0,0
2019-03-12,112.38,113.48,112.1,112.64,185000,0.0,0
2019-03-13,112.9,113.38,111.73,112.15,260300,0.0,0
2019-03-14,112.17,113.25,111.84,112.77,186600,0.6,0
2019-03-15,112.52,114.03,112.33,112.52,804300,0.0,0
2019-03-18,112.56,113.65,112.1,112.46,431700,0.0,0
2019-03-19,112.72,113.44,111.05,111.16,236700,0.0,0
2019-03-20,111.05,111.67,109.98,110.15,212100,0.0,0
2019-03-21,109.67,111.56,109.67,110.95,218000,0.0,0
2019-03-22,110.35,111.8,110.35,110.63,180700,0.0,0
2019-03-25,110.76,111.36,109.84,110.31,338600,0.0,0
2019-03-26,111.02,111.2,109.51,110.42,189700,0.0,0
2019-03-27,110.31,111.54,110.31,111.23,182700,0.0,0
2019-03-28,111.53,112.01,110.29,110.65,281400,0.0,0
2019-03-29,110.92,111.23,110.15,110.55,184400,0.0,0
2019-04-01,111.03,111.71,110.38,111.15,232200,0.0,0
2019-04-02,110.92,111.15,109.95,110.52,229100,0.0,0
2019-04-03,110.88,111.07,109.58,110.74,253300,0.0,0
2019-04-04,110.8,111.99,110.8,111.59,239400,0.0,0
2019-04-05,111.67,112.57,111.28,112.02,320300,0.0,0
2019-04-08,111.92,112.74,111.34,111.86,140700,0.0,0
2019-04-09,111.55,111.55,110.05,110.49,106300,0.0,0
2019-04-10,110.63,111.93,110.63,111.55,175400,0.0,0
2019-04-11,111.78,112.48,111.63,112.17,136900,0.0,0
2019-04-12,112.63,113.12,112.11,112.86,265500,0.0,0
2019-04-15,112.99,113.24,112.46,112.67,202700,0.0,0
2019-04-16,113.38,114.0,112.71,113.99,267700,0.0,0
2019-04-17,113.9,113.9,112.32,112.73,304500,0.0,0
