Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,242.95,246.01,242.28,245.36,1626100,0.0,0
2019-02-06,244.55,247.22,244.55,246.6,1033100,0.0,0
2019-02-07,244.47,245.21,240.29,242.27,1147600,0.0,0
2019-02-08,240.86,242.94,240.27,242.87,794600,0.0,0
2019-02-11,242.87,245.49,242.74,243.93,1233000,0.0,0
2019-02-12,245.77,248.65,244.62,247.68,1189200,0.0,0
2019-02-13,248.56,249.01,245.8,246.74,1014500,0.0,0
2019-02-14,246.21,246.74,245.09,245.49,996300,0.0,0
2019-02-15,248.16,251.85,247.03,251.83,1718200,0.0,0
2019-02-19,251.01,251.55,250.03,250.17,1099900,0.0,0
2019-02-20,250.29,251.95,249.16,251.56,1091100,0.0,0
2019-02-21,250.21,250.91,249.04,250.79,840300,0.0,0
2019-02-22,250.79,251.71,250.51,251.44,1118000,0.0,0
2019-02-25,251.86,255.06,251.85,253.17,1194700,0.0,0
2019-02-26,253.06,254.52,252.17,253.32,1198300,0.0,0
2019-02-27,252.39,258.9,252.39,258.46,1759100,0.0,0
2019-02-28,257.17,259.43,255.92,258.89,2061300,0.0,0
2019-03-01,260.31,263.75,259.01,263.37,1433700,0.0,0
2019-03-04,265.3,265.48,257.64,258.77,1342800,0.0,0
2019-03-05,259.03,259.62,252.74,253.79,2900200,0.0,0
2019-03-06,253.33,253.8,250.24,250.58,1533100,0.0,0
2019-03-07,250.57,251.06,247.61,250.15,1227500,0.0,0
2019-03-08,248.6,249.45,246.02,249.19,1169200,0.0,0
2019-03-11,250.21,253.76,248.97,253.65,1589300,0.0,0
2019-03-12,254.87,255.51,253.99,254.25,1297200,0.0,0
2019-03-13,256.01,258.32,254.05,258.19,1569100,0.0,0
2019-03-14,259.34,261.38,258.34,260.93,1513900,0.19,0
2019-03-15,261.96,263.89,261.51,262.59,2371800,0.0,0
2019-03-18,262.55,263.5,260.6,263.03,1449200,0.0,0
2019-03-19,263.96,266.9,263.56,265.46,1551300,0.0,0
2019-03-20,265.33,267.34,262.39,265.13,1524200,0.0,0
2019-03-21,264.12,271.18,263.63,270.54,1424100,0.0,0
2019-03-22,268.34,269.34,263.11,263.31,1736500,0.0,0
2019-03-25,266.36,268.98,263.51,268.29,1638400,0.0,0
2019-03-26,271.26,271.42,268.49,270.93,1459000,0.0,0
2019-03-27,270.14,270.94,265.57,268.34,1051200,0.0,0
2019-03-28,269.59,271.02,267.64,269.79,771700,0.0,0
2019-03-29,271.98,273.42,269.55,273.2,1193800,0.0,0
2019-04-01,274.62,276.14,273.67,275.67,1143700,0.0,0
2019-04-02,275.21,276.02,272.5,274.29,900900,0.0,0
2019-04-03,276.35,278.33,275.06,276.24,1184300,0.0,0
2019-04-04,276.48,276.48,272.25,274.53,937500,0.0,0
2019-04-05,274.63,276.65,274.08,275.97,839800,0.0,0
2019-04-08,276.18,278.0,273.46,277.89,1062600,0.0,0
2019-04-09,276.45,279.08,274.94,277.27,1242800,0.0,0
2019-04-10,277.66,279.58,277.47,278.32,980800,0.0,0
2019-04-11,278.04,280.5,276.94,279.98,1027600,0.0,0
2019-04-12,282.08,282.44,279.14,280.12,1635000,0.0,0
2019-04-15,279.84,280.62,274.51,277.03,1801000,0.0,0
2019-04-16,278.78,279.24,265.25,266.32,2443000,0.0,0
2019-04-17,268.44,269.08,252.74,257.02,5077300,0.0,0
2019-04-18,257.66,260.87,255.28,259.29,2960100,0.0,0
2019-04-22,259.51,263.25,257.36,258.6,1989800,0.0,0
2019-04-23,254.52,266.95,253.66,263.42,3099800,0.0,0
2019-04-24,264.48,266.09,259.15,261.06,2770000,0.0,0
2019-04-25,260.51,269.95,260.17,269.04,2053700,0.0,0
2019-04-26,269.49,272.96,267.5,272.7,1550100,0.0,0
2019-04-29,273.44,274.69,271.17,272.0,940400,0.0,0
2019-04-30,272.76,277.37,270.14,276.92,1380700,0.0,0
2019-05-01,276.65,277.59,273.37,275.97,1491900,0.0,0
2019-05-02,274.95,277.52,273.09,277.28,1353800,0.0,0
2019-05-03,278.47,279.48,277.21,278.11,1254200,0.0,0
2019-05-06,272.26,279.06,270.19,278.43,1320300,0.0,0
2019-05-07,275.98,276.86,269.2,271.18,1480900,0.0,0
2019-05-08,271.67,273.4,269.58,270.0,1691100,0.0,0
2019-05-09,267.26,269.17,263.35,268.49,1550700,0.0,0
2019-05-10,267.72,268.84,260.31,268.67,1548500,0.0,0
