Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,36.98,37.23,36.64,36.84,3116900,0.0,0
2019-02-06,37.4,37.69,36.78,37.38,4566200,0.0,0
2019-02-07,32.07,32.5,30.35,31.84,23453500,0.0,0
2019-02-08,31.84,32.88,31.81,32.2,9726200,0.0,0
2019-02-11,32.43,33.33,32.31,32.95,4569500,0.0,0
2019-02-12,33.26,33.7,33.04,33.62,6239200,0.0,0
2019-02-13,33.75,33.82,33.25,33.38,4891600,0.0,0
2019-02-14,32.93,33.46,32.47,33.43,4712800,0.0,0
2019-02-15,33.76,34.46,33.53,34.15,5092400,0.0,0
2019-02-19,34.14,34.14,33.5,33.79,3278400,0.0,0
2019-02-20,34.05,34.05,33.23,33.27,4463700,0.0,0
2019-02-21,33.17,33.56,33.05,33.12,3839100,0.0,0
2019-02-22,33.29,33.8,33.28,33.72,2457600,0.0,0
2019-02-25,33.98,34.48,33.86,34.39,3767600,0.0,0
2019-02-26,34.62,34.76,33.88,33.91,2786600,0.0,0
2019-02-27,33.59,33.97,33.51,33.71,2063800,0.0,0
2019-02-28,33.82,33.82,33.2,33.23,2929000,0.0,0
2019-03-01,33.84,33.95,33.08,33.63,2748500,0.0,0
2019-03-04,33.48,33.79,32.71,32.9,2947100,0.0,0
2019-03-05,33.13,33.46,32.88,32.91,2872800,0.0,0
2019-03-06,33.17,33.22,32.76,32.83,2322000,0.0,0
2019-03-07,33.03,33.03,32.32,32.83,4275300,0.3375,0
2019-03-08,32.37,32.52,31.97,32.21,3279000,0.0,0
2019-03-11,32.32,32.68,32.12,32.52,2910800,0.0,0
2019-03-12,32.59,32.74,32.11,32.44,2244900,0.0,0
2019-03-13,32.45,33.02,32.36,32.52,2569800,0.0,0
2019-03-14,32.5,32.52,31.69,31.79,4871800,0.0,0
2019-03-15,31.82,31.85,30.89,30.92,9722100,0.0,0
2019-03-18,31.06,31.69,30.98,31.63,4258800,0.0,0
2019-03-19,31.78,32.2,31.5,31.62,3494900,0.0,0
2019-03-20,31.56,31.56,30.44,30.59,7136500,0.0,0
2019-03-21,30.64,30.89,30.33,30.68,4624000,0.0,0
2019-03-22,30.29,30.53,29.68,29.7,4594600,0.0,0
2019-03-25,29.69,30.54,29.47,30.32,4300700,0.0,0
2019-03-26,30.44,31.0,30.44,30.68,2889900,0.0,0
2019-03-27,30.84,31.31,30.83,31.19,3430200,0.0,0
2019-03-28,31.62,31.86,31.25,31.41,3961100,0.0,0
2019-03-29,31.64,31.78,31.06,31.2,3836600,0.0,0
2019-04-01,31.4,32.18,31.38,32.07,3684000,0.0,0
2019-04-02,32.23,32.3,31.87,31.92,2810800,0.0,0
2019-04-03,32.18,32.6,32.09,32.55,3666700,0.0,0
2019-04-04,32.56,33.09,32.45,33.08,2308600,0.0,0
2019-04-05,33.19,33.35,32.78,32.89,3067000,0.0,0
2019-04-08,32.76,32.8,32.34,32.47,2725100,0.0,0
2019-04-09,32.18,32.23,31.69,32.23,3787900,0.0,0
2019-04-10,32.23,32.42,31.74,32.09,3682900,0.0,0
2019-04-11,32.27,32.47,31.52,31.6,4033300,0.0,0
2019-04-12,31.81,32.02,31.1,31.28,4185700,0.0,0
2019-04-15,31.37,31.46,30.86,31.02,3388100,0.0,0
2019-04-16,30.93,31.08,30.65,30.98,4098200,0.0,0
2019-04-17,31.26,31.88,30.94,31.02,5136900,0.0,0
2019-04-18,31.01,31.39,30.81,31.26,3087000,0.0,0
2019-04-22,31.13,31.26,29.36,29.48,5799600,0.0,0
2019-04-23,29.39,29.74,28.86,29.62,9500100,0.0,0
2019-04-24,29.62,30.65,29.61,30.28,6854900,0.0,0
2019-04-25,30.25,30.25,29.51,29.58,4741000,0.0,0
2019-04-26,29.8,30.48,29.65,30.4,4016600,0.0,0
2019-04-29,30.31,31.07,30.31,31.05,4843100,0.0,0
2019-04-30,30.77,31.01,30.4,30.99,4366700,0.0,0
2019-05-01,31.08,31.24,29.74,29.79,5217000,0.0,0
2019-05-02,29.91,30.34,29.61,30.15,5692200,0.0,0
2019-05-03,30.36,30.62,29.87,29.96,6443000,0.0,0
2019-05-06,29.25,30.41,29.15,30.27,5566100,0.0,0
2019-05-07,29.98,30.2,29.3,29.5,6211800,0.0,0
2019-05-08,29.37,30.05,29.29,29.53,6156400,0.0,0
2019-05-09,34.63,34.63,31.62,32.04,20422900,0.0,0
2019-05-10,31.74,31.99,30.11,30.97,8356500,0.0,0
2019-05-13,30.15,30.18,28.8,29.02,6769600,0.0,0
2019-05-14,29.27,29.73,28.64,29.56,5466400,0.0,0
2019-05-15,29.33,30.15,29.05,29.85,6206200,0.0,0
2019-05-16,30.02,30.53,29.97,30.1,4150400,0.0,0
2019-05-17,29.85,30.03,29.45,29.56,4654200,0.0,0
2019-05-20,29.26,29.58,29.13,29.5,4181500,0.0,0
2019-05-21,29.73,30.19,29.59,30.14,4239100,0.0,0
2019-05-22,29.87,29.88,29.35,29.64,4009500,0.0,0
2019-05-23,29.3,29.47,28.82,29.03,4253600,0.0,0
2019-05-24,29.3,29.32,28.27,28.53,5984300,0.0,0
2019-05-28,28.62,28.9,28.23,28.23,9148500,0.0,0
2019-05-29,27.78,28.31,27.5,27.85,4587700,0.0,0
2019-05-30,27.75,27.85,27.21,27.24,5787600,0.0,0
2019-05-31,26.93,27.58,26.82,27.43,4355100,0.0,0
2019-06-03,27.41,27.93,27.29,27.68,4469700,0.0,0
2019-06-04,28.09,29.05,28.07,28.86,4840600,0.0,0
2019-06-05,29.27,29.41,28.41,28.97,5328200,0.0,0
2019-06-06,28.94,29.01,28.21,28.76,3323500,0.338,0
2019-06-07,28.86,29.42,28.63,29.38,3215000,0.0,0
2019-06-10,29.59,29.89,29.07,29.11,3625400,0.0,0
2019-06-11,29.49,29.56,28.82,28.87,3752500,0.0,0
2019-06-12,28.99,29.07,28.0,28.0,7146400,0.0,0
2019-06-13,28.27,29.08,28.11,29.08,3019000,0.0,0
2019-06-14,28.96,29.03,28.41,28.69,3581500,0.0,0
2019-06-17,28.6,29.17,28.45,28.81,2662700,0.0,0
2019-06-18,29.04,30.03,29.04,29.44,4011300,0.0,0
