Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,40.13,40.55,39.57,40.03,1525600,0.0,0
2019-02-06,39.81,40.36,39.78,39.92,1587500,0.0,0
2019-02-07,39.58,39.78,38.51,38.94,2092000,0.0,0
2019-02-08,38.76,38.89,37.92,38.89,1918500,0.0,0
2019-02-11,38.53,38.77,38.1,38.74,3034100,0.0,0
2019-02-12,39.35,39.87,39.14,39.77,1832600,0.0,0
2019-02-13,39.93,40.74,39.82,40.49,1632300,0.0,0
2019-02-14,40.37,41.26,40.16,41.1,2519700,0.0,0
2019-02-15,41.49,41.84,41.24,41.48,2067500,0.0,0
2019-02-19,42.54,44.46,42.54,43.65,5120700,0.0,0
2019-02-20,42.18,42.94,39.9,40.91,6643500,0.0,0
2019-02-21,40.61,40.79,37.96,38.31,5001300,0.0,0
2019-02-22,38.69,38.79,38.14,38.17,2534600,0.0,0
2019-02-25,37.97,38.24,37.6,37.7,2821500,0.0,0
2019-02-26,37.69,37.85,36.72,36.76,2782600,0.0,0
2019-02-27,37.07,37.6,36.36,37.18,2779000,0.0,0
2019-02-28,37.36,37.49,36.66,36.68,2384900,0.0,0
2019-03-01,36.85,38.04,36.8,38.02,2482000,0.0,0
2019-03-04,38.07,38.25,37.37,37.89,2226100,0.0,0
2019-03-05,37.85,38.03,37.43,37.53,2047900,0.0,0
2019-03-06,37.37,37.51,36.71,36.71,2075700,0.0,0
2019-03-07,36.72,36.97,36.38,36.54,2774600,0.0,0
2019-03-08,35.84,35.96,35.05,35.91,3018100,0.0,0
2019-03-11,36.23,36.82,36.03,36.77,2305000,0.0,0
2019-03-12,36.94,37.64,36.87,37.0,2106300,0.0,0
2019-03-13,37.31,37.57,36.93,37.17,1744300,0.0,0
2019-03-14,37.23,37.64,36.86,36.99,1509300,0.0,0
2019-03-15,36.78,36.86,36.23,36.49,2633500,0.0,0
2019-03-18,36.58,37.16,36.43,37.14,1648400,0.0,0
2019-03-19,37.3,37.35,36.84,37.01,1497600,0.0,0
2019-03-20,36.99,38.02,36.84,37.9,1583600,0.0,0
2019-03-21,37.72,38.42,37.65,38.29,2051300,0.0,0
2019-03-22,37.91,37.96,37.1,37.12,1423700,0.0,0
2019-03-25,36.98,37.19,36.43,36.94,1599900,0.0,0
2019-03-26,37.34,38.38,37.15,37.35,1485000,0.0,0
2019-03-27,37.36,37.63,36.97,37.17,1498100,0.0,0
2019-03-28,36.99,37.4,36.79,37.36,1832600,0.0,0
2019-03-29,37.96,38.36,37.48,37.87,1896900,0.0,0
2019-04-01,38.26,38.7,37.87,38.63,1558700,0.0,0
2019-04-02,38.7,38.88,38.39,38.51,1788700,0.0,0
2019-04-03,38.68,38.84,36.82,36.98,3145700,0.0,0
2019-04-04,36.95,37.09,36.12,36.69,2525100,0.0,0
2019-04-05,36.73,37.56,36.67,37.18,1694600,0.0,0
2019-04-08,37.18,37.37,36.5,36.76,1571800,0.0,0
2019-04-09,36.56,36.62,36.0,36.45,2112500,0.0,0
2019-04-10,36.56,36.6,35.74,35.82,2247600,0.0,0
2019-04-11,35.76,36.36,35.69,35.9,1571500,0.0,0
2019-04-12,36.39,36.62,36.15,36.56,2216200,0.0,0
2019-04-15,36.48,36.62,36.11,36.42,1703700,0.0,0
2019-04-16,36.46,36.49,35.8,36.1,1707100,0.0,0
2019-04-17,36.17,36.45,35.87,35.88,1613400,0.0,0
2019-04-18,35.86,35.88,35.3,35.86,2345300,0.0,0
2019-04-22,36.2,37.59,35.91,37.34,2461800,0.0,0
2019-04-23,37.36,37.81,36.95,37.29,2466700,0.0,0
2019-04-24,37.18,37.22,36.6,37.08,1737400,0.0,0
2019-04-25,37.15,37.22,36.52,36.67,1416400,0.0,0
2019-04-26,36.5,37.05,36.25,37.02,1465800,0.0,0
2019-04-29,37.12,38.14,37.06,37.88,3715400,0.0,0
2019-04-30,38.16,38.2,37.22,37.41,2089300,0.91,0
2019-05-01,37.41,37.89,37.12,37.15,1706300,0.0,0
2019-05-02,36.82,37.06,36.05,36.66,2973200,0.0,0
2019-05-03,36.84,37.49,36.83,37.15,1731300,0.0,0
2019-05-06,36.7,37.25,36.62,37.23,2598700,0.0,0
2019-05-07,36.71,38.3,35.62,38.02,7677500,0.0,0
2019-05-08,37.74,37.88,36.66,36.75,3063600,0.0,0
2019-05-09,36.39,36.6,35.47,35.92,2354400,0.0,0
2019-05-10,35.96,37.82,35.88,37.67,3385400,0.0,0
2019-05-13,37.29,38.06,37.08,37.68,3432700,0.0,0
2019-05-14,37.71,38.76,37.69,38.43,2365300,0.0,0
2019-05-15,38.56,39.26,38.34,39.08,2089500,0.0,0
2019-05-16,39.27,39.8,39.1,39.38,2446700,0.0,0
2019-05-17,39.14,39.68,38.95,39.29,1708200,0.0,0
2019-05-20,39.26,39.42,38.2,38.44,2348400,0.0,0
2019-05-21,38.61,39.67,38.3,39.29,1707200,0.0,0
2019-05-22,39.16,39.23,38.44,38.84,1545000,0.0,0
2019-05-23,38.18,38.18,36.72,37.38,2303700,0.0,0
2019-05-24,37.8,38.31,37.17,37.7,1999800,0.0,0
2019-05-28,37.71,37.95,36.63,36.7,2683800,0.0,0
2019-05-29,36.07,36.56,34.89,36.44,2885300,0.0,0
