Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,62.41,62.76,62.2,62.29,1537100,0.0,0
2019-02-06,62.04,62.09,61.47,61.83,939000,0.0,0
2019-02-07,61.41,61.72,61.0,61.35,1123200,0.0,0
2019-02-08,61.1,61.82,60.75,61.69,1642800,0.0,0
2019-02-11,61.86,62.42,61.45,61.47,2120500,0.0,0
2019-02-12,62.14,63.31,61.92,63.0,4445800,0.0,0
2019-02-13,63.04,64.22,63.04,64.2,2565700,0.0,0
2019-02-14,59.54,63.76,58.01,63.38,4356000,0.0,0
2019-02-15,63.49,63.74,62.15,62.87,1949300,0.0,0
2019-02-19,62.62,63.05,61.85,62.54,1768600,0.0,0
2019-02-20,62.48,63.16,62.25,62.78,1818500,0.0,0
2019-02-21,62.71,63.45,62.51,62.9,1409700,0.0,0
2019-02-22,63.1,63.37,62.72,63.27,1128500,0.0,0
2019-02-25,63.74,64.59,63.64,64.21,1965800,0.0,0
2019-02-26,63.94,64.19,63.37,63.4,1411200,0.0,0
2019-02-27,63.31,63.31,62.26,62.93,1443900,0.0,0
2019-02-28,62.84,64.81,62.65,64.3,1830600,0.0,0
2019-03-01,64.55,64.92,63.88,64.59,1305200,0.0,0
2019-03-04,64.83,64.93,63.67,64.31,1970900,0.0,0
2019-03-05,64.41,65.1,64.16,64.69,1471800,0.0,0
2019-03-06,64.64,65.29,63.87,63.88,1097200,0.075,0
2019-03-07,63.71,63.8,63.0,63.63,1437500,0.0,0
2019-03-08,63.07,64.23,62.95,63.98,1851000,0.0,0
2019-03-11,64.13,65.48,64.13,64.97,995800,0.0,0
2019-03-12,64.93,65.05,63.72,64.84,2174300,0.0,0
2019-03-13,65.12,66.44,64.99,65.25,2127100,0.0,0
2019-03-14,65.17,65.29,64.55,64.87,1102600,0.0,0
2019-03-15,64.77,65.09,64.49,64.94,1446600,0.0,0
2019-03-18,64.97,65.23,64.45,65.05,1166200,0.0,0
2019-03-19,65.24,65.61,64.78,64.97,1099400,0.0,0
2019-03-20,64.89,65.9,64.7,65.3,1015500,0.0,0
2019-03-21,65.04,66.79,65.04,66.66,1055400,0.0,0
2019-03-22,66.34,66.48,65.11,65.22,1362800,0.0,0
2019-03-25,64.88,65.37,64.42,64.8,937200,0.0,0
2019-03-26,65.35,66.15,64.71,65.06,1844600,0.0,0
2019-03-27,64.93,65.27,64.52,65.0,732600,0.0,0
2019-03-28,65.04,65.66,64.9,65.65,741800,0.0,0
2019-03-29,66.13,66.65,65.82,66.65,1110600,0.0,0
2019-04-01,67.3,68.06,67.21,67.96,1369200,0.0,0
2019-04-02,68.0,68.0,67.57,67.81,1190000,0.0,0
2019-04-03,68.23,68.93,67.82,68.61,1477900,0.0,0
2019-04-04,68.55,68.76,67.79,67.94,1044200,0.0,0
2019-04-05,67.98,68.49,67.57,67.92,2393400,0.0,0
2019-04-08,67.92,68.14,67.26,67.98,2674800,0.0,0
2019-04-09,67.85,67.95,67.35,67.6,1436000,0.0,0
2019-04-10,67.84,68.5,67.68,68.18,1716900,0.0,0
2019-04-11,68.45,68.47,67.95,68.25,1780100,0.0,0
2019-04-12,68.41,70.05,68.19,69.91,1795900,0.0,0
2019-04-15,70.07,70.56,69.84,70.11,1816100,0.0,0
2019-04-16,70.34,71.03,69.96,70.74,2235500,0.0,0
2019-04-17,71.07,71.07,70.41,70.8,1049100,0.0,0
2019-04-18,71.04,71.79,70.64,70.83,1873900,0.0,0
2019-04-22,70.71,71.03,70.1,70.49,2520400,0.0,0
2019-04-23,68.87,69.3,66.05,68.54,4100300,0.0,0
2019-04-24,69.08,69.8,67.7,68.13,2810800,0.0,0
2019-04-25,68.19,68.58,67.75,68.31,1333500,0.0,0
2019-04-26,68.35,69.22,67.91,69.2,1219500,0.0,0
2019-04-29,69.39,70.01,69.29,69.84,1649800,0.0,0
2019-04-30,69.89,70.17,69.08,69.45,1224000,0.0,0
