Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,87.77,88.9,87.31,88.37,1542600,0.0,0
2019-02-06,88.37,89.89,87.33,89.79,1233500,0.0,0
2019-02-07,89.37,89.52,87.98,89.51,1573200,0.0,0
2019-02-08,88.97,91.39,88.72,91.06,1880300,0.0,0
2019-02-11,91.73,93.52,91.44,92.91,1835500,0.0,0
2019-02-12,93.24,94.44,92.97,94.26,1639300,0.0,0
2019-02-13,94.28,94.87,93.2,94.52,1643600,0.0,0
2019-02-14,93.95,94.99,93.21,94.48,1470600,0.0,0
2019-02-15,94.88,96.31,94.31,96.25,1457600,0.0,0
2019-02-19,95.28,96.03,94.05,95.75,1246800,0.0,0
2019-02-20,95.44,96.69,95.44,96.22,1204700,0.0,0
2019-02-21,96.13,96.69,95.34,95.69,871800,0.0,0
2019-02-22,96.03,96.28,94.54,95.04,1315000,0.31,0
2019-02-25,95.52,95.71,93.57,93.81,948700,0.0,0
2019-02-26,93.47,94.23,93.3,93.81,1045700,0.0,0
2019-02-27,93.73,94.91,93.35,94.36,1165000,0.0,0
2019-02-28,93.99,94.82,93.32,94.35,1357600,0.0,0
2019-03-01,94.87,95.35,92.53,93.97,1289600,0.0,0
2019-03-04,94.25,94.89,91.88,92.9,1581300,0.0,0
2019-03-05,93.03,93.94,92.48,92.53,748300,0.0,0
2019-03-06,92.83,93.81,91.01,91.23,922100,0.0,0
2019-03-07,91.11,91.61,90.64,91.27,866300,0.0,0
2019-03-08,90.77,91.38,88.92,89.44,1175300,0.0,0
2019-03-11,89.94,89.96,87.77,88.58,1450300,0.0,0
2019-03-12,88.44,90.5,88.44,89.62,1181500,0.0,0
2019-03-13,89.93,90.93,89.7,90.56,1147500,0.0,0
2019-03-14,90.46,90.46,89.32,89.45,950700,0.0,0
2019-03-15,89.45,89.9,88.27,88.52,2004400,0.0,0
2019-03-18,88.49,89.11,88.09,88.9,1620000,0.0,0
2019-03-19,89.39,91.21,89.08,90.21,1049100,0.0,0
2019-03-20,90.24,91.43,89.76,90.13,1408900,0.0,0
2019-03-21,90.89,93.56,90.31,93.36,1204100,0.0,0
2019-03-22,92.93,93.41,91.5,91.71,896000,0.0,0
2019-03-25,91.44,94.01,91.44,93.07,977800,0.0,0
2019-03-26,93.6,94.68,93.55,93.95,1042900,0.0,0
2019-03-27,93.94,94.8,93.0,93.82,1234600,0.0,0
2019-03-28,93.87,94.85,93.87,94.24,1111700,0.0,0
2019-03-29,94.88,97.55,94.39,96.74,1958600,0.0,0
2019-04-01,97.13,98.2,95.6,96.47,1979000,0.0,0
2019-04-02,96.49,96.7,95.67,96.14,1084600,0.0,0
2019-04-03,96.54,98.1,96.03,97.05,1362400,0.0,0
2019-04-04,97.07,98.56,96.85,98.55,1123900,0.0,0
2019-04-05,98.66,100.41,98.6,100.07,1756000,0.0,0
2019-04-08,99.65,100.84,99.1,100.61,1244800,0.0,0
2019-04-09,100.32,100.88,99.69,99.87,935200,0.0,0
2019-04-10,100.14,100.29,98.98,100.11,975800,0.0,0
2019-04-11,100.88,101.93,100.34,101.87,1158300,0.0,0
2019-04-12,102.18,103.64,102.03,103.16,1286100,0.0,0
2019-04-15,102.88,103.82,102.31,103.4,1542200,0.0,0
2019-04-16,103.17,104.71,103.17,104.08,1623600,0.0,0
2019-04-17,104.51,104.97,102.76,102.81,1247800,0.0,0
2019-04-18,102.66,103.36,101.36,102.01,1407400,0.0,0
2019-04-22,101.96,102.12,100.22,100.57,915800,0.0,0
2019-04-23,101.15,102.48,100.73,102.09,1183600,0.0,0
2019-04-24,102.31,103.99,102.17,102.97,1498500,0.0,0
2019-04-25,103.7,106.85,102.84,103.96,3831400,0.0,0
2019-04-26,104.0,104.56,101.45,104.03,1860100,0.0,0
2019-04-29,104.16,104.74,102.84,103.6,1193000,0.0,0
2019-04-30,103.11,103.52,101.49,102.42,1383900,0.0,0
2019-05-01,102.52,102.71,99.56,99.91,910300,0.0,0
2019-05-02,99.89,101.96,99.63,101.95,1469600,0.0,0
2019-05-03,102.14,103.66,101.9,102.78,1573200,0.0,0
2019-05-06,101.12,102.39,100.76,102.01,892700,0.0,0
2019-05-07,100.89,101.21,98.89,99.6,1107000,0.0,0
2019-05-08,99.32,101.27,98.48,100.43,1325700,0.0,0
2019-05-09,99.82,101.81,98.96,101.41,1164900,0.0,0
2019-05-10,101.03,101.98,99.98,101.65,1507700,0.0,0
2019-05-13,99.9,100.55,97.58,98.24,1440000,0.0,0
2019-05-14,98.58,99.89,97.64,99.61,1204100,0.0,0
2019-05-15,98.76,98.95,97.07,98.22,1450000,0.0,0
2019-05-16,98.97,100.65,98.4,99.98,1085200,0.0,0
2019-05-17,99.49,100.74,99.2,99.63,1070100,0.0,0
2019-05-20,98.9,100.35,98.52,100.21,1439000,0.0,0
2019-05-21,100.57,103.05,100.48,102.45,1100100,0.0,0
2019-05-22,101.76,102.54,101.27,101.82,1056000,0.0,0
2019-05-23,100.86,102.01,100.0,100.96,1193600,0.0,0
2019-05-24,101.31,101.81,99.77,100.43,1205500,0.35,0
2019-05-28,100.63,102.12,99.44,99.49,1469300,0.0,0
2019-05-29,98.9,99.43,97.52,98.57,1196500,0.0,0
2019-05-30,98.92,100.18,98.92,100.06,607800,0.0,0
2019-05-31,98.96,100.36,97.85,100.07,1228300,0.0,0
2019-06-03,100.0,101.28,99.39,100.52,1036700,0.0,0
2019-06-04,101.54,103.45,101.54,103.41,1118800,0.0,0
2019-06-05,104.25,104.79,102.85,103.94,1008500,0.0,0
2019-06-06,104.23,107.12,103.87,106.51,1419700,0.0,0
2019-06-07,106.88,108.9,106.65,107.8,1091100,0.0,0
2019-06-10,108.75,108.9,106.26,106.38,1061200,0.0,0
2019-06-11,106.92,107.32,105.7,106.57,1052700,0.0,0
2019-06-12,106.73,107.59,105.94,106.52,715800,0.0,0
2019-06-13,107.25,108.18,106.75,107.4,745500,0.0,0
2019-06-14,107.49,107.86,105.23,105.39,1686000,0.0,0
2019-06-17,104.97,105.15,102.27,103.39,1321300,0.0,0
2019-06-18,104.04,104.97,103.21,104.33,919000,0.0,0
2019-06-19,103.36,106.04,103.36,105.49,1201600,0.0,0
2019-06-20,105.8,106.53,104.5,106.02,1031500,0.0,0
2019-06-21,106.2,106.4,105.02,106.01,1061100,0.0,0
2019-06-24,106.92,107.21,105.85,106.11,839700,0.0,0
2019-06-25,106.22,106.7,105.22,105.88,858000,0.0,0
2019-06-26,106.09,107.13,105.69,105.95,815100,0.0,0
2019-06-27,106.04,107.98,105.25,107.44,1172900,0.0,0
2019-06-28,107.72,108.39,106.89,108.03,1132800,0.0,0
2019-07-01,109.15,111.59,108.63,109.83,974700,0.0,0
2019-07-02,109.97,110.6,109.18,109.74,1054800,0.0,0
2019-07-03,108.64,109.25,107.65,109.22,970900,0.0,0
2019-07-05,108.7,110.0,108.25,109.69,812600,0.0,0
2019-07-08,109.25,110.07,109.23,109.59,666600,0.0,0
2019-07-09,109.53,110.27,108.57,109.32,813500,0.0,0
2019-07-10,109.51,109.52,107.52,108.55,761500,0.0,0
2019-07-11,109.84,110.47,108.83,109.74,1167200,0.0,0
2019-07-12,110.36,112.74,110.15,112.17,895500,0.0,0
2019-07-15,112.12,112.34,109.94,110.67,833500,0.0,0
2019-07-16,112.2,112.42,111.38,111.52,976200,0.0,0
2019-07-17,111.37,111.39,110.18,110.33,868900,0.0,0
2019-07-18,110.25,111.87,109.22,111.44,1386000,0.0,0
2019-07-19,112.11,113.44,110.95,111.68,1273800,0.0,0
2019-07-22,111.86,113.38,111.23,111.95,1150100,0.0,0
2019-07-23,112.18,112.38,109.06,110.56,1454400,0.0,0
2019-07-24,110.4,112.22,110.13,111.7,1401000,0.0,0
2019-07-25,104.26,111.04,104.26,110.68,2819400,0.0,0
2019-07-26,111.24,111.51,108.66,109.17,1455900,0.0,0
2019-07-29,109.1,110.17,108.44,109.67,1097400,0.0,0
2019-07-30,109.12,109.87,108.19,108.48,815500,0.0,0
2019-07-31,108.31,109.64,107.19,108.04,1287200,0.0,0
2019-08-01,108.27,109.1,105.83,107.2,1354200,0.0,0
2019-08-02,106.93,107.34,105.82,106.3,1052200,0.0,0
2019-08-05,104.85,104.98,101.23,102.03,1520500,0.0,0
2019-08-06,102.44,105.18,101.97,104.96,1140300,0.0,0
2019-08-07,103.78,105.3,102.98,104.93,926400,0.0,0
2019-08-08,105.18,108.75,104.94,108.31,1092800,0.0,0
2019-08-09,107.75,109.64,106.67,106.82,932300,0.0,0
2019-08-12,106.11,106.11,101.39,101.8,1492200,0.0,0
2019-08-13,102.11,105.3,100.6,103.5,1243200,0.0,0
2019-08-14,101.49,102.16,99.06,99.14,1241500,0.0,0
2019-08-15,99.28,100.07,97.9,98.66,1371500,0.0,0
2019-08-16,99.42,100.54,99.0,99.84,1078600,0.0,0
2019-08-19,101.03,101.4,98.97,100.5,1375100,0.0,0
2019-08-20,100.21,101.65,99.82,100.16,865900,0.0,0
2019-08-21,101.26,102.0,100.48,100.61,915000,0.0,0
2019-08-22,100.71,101.61,99.9,100.73,842000,0.0,0
2019-08-23,99.73,99.74,95.58,96.51,2027700,0.35,0
