Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,113.82,116.54,113.01,113.89,3850700,0,0
2019-02-06,114.12,114.99,109.4,113.34,2603800,0,0
2019-02-07,111.5,111.54,108.26,110.12,3291300,0,0
2019-02-08,108.88,114.92,108.8,114.78,3163500,0,0
2019-02-11,118.5,119.0,113.71,115.75,6263700,0,0
2019-02-12,115.75,116.67,114.46,115.29,6914400,0,0
2019-02-13,114.19,116.89,105.6,106.87,19247600,0,0
2019-02-14,105.47,108.55,103.25,107.27,9540200,0,0
2019-02-15,106.2,107.66,104.25,106.85,5239300,0,0
2019-02-19,106.09,112.85,106.08,112.57,7687900,0,0
2019-02-20,113.0,119.25,112.75,116.3,8181100,0,0
2019-02-21,116.44,116.51,111.72,113.16,4667400,0,0
2019-02-22,114.1,116.61,113.63,116.55,3173000,0,0
2019-02-25,118.57,121.1,116.33,118.27,4416600,0,0
2019-02-26,117.1,118.96,116.25,116.92,2456800,0,0
2019-02-27,116.41,119.47,116.35,119.46,3262600,0,0
2019-02-28,118.85,122.37,118.33,121.69,4219200,0,0
2019-03-01,123.25,123.9,121.27,123.53,3026100,0,0
2019-03-04,124.71,124.85,112.25,116.1,6576900,0,0
2019-03-05,115.0,115.24,110.6,115.18,4731500,0,0
2019-03-06,115.0,116.48,113.11,114.63,3212500,0,0
2019-03-07,114.74,117.57,113.71,115.5,4136600,0,0
2019-03-08,113.22,117.0,111.52,116.8,2833900,0,0
2019-03-11,117.4,123.0,117.33,122.09,4003100,0,0
2019-03-12,122.87,126.96,121.34,125.7,4188400,0,0
2019-03-13,126.66,129.43,125.91,126.78,4109900,0,0
2019-03-14,127.01,131.36,126.41,130.0,3826800,0,0
2019-03-15,129.19,130.72,127.44,129.41,3593000,0,0
2019-03-18,131.3,133.32,127.16,129.35,3785400,0,0
2019-03-19,130.12,131.76,128.57,130.38,3247100,0,0
2019-03-20,130.1,132.39,127.68,130.65,2772600,0,0
2019-03-21,130.18,136.0,130.02,135.66,3838400,0,0
2019-03-22,135.0,135.79,128.66,129.53,4193900,0,0
2019-03-25,129.52,132.89,127.27,131.55,4336900,0,0
2019-03-26,133.51,134.85,130.47,131.87,2608100,0,0
2019-03-27,132.4,132.58,124.62,126.48,4030000,0,0
2019-03-28,127.65,128.37,124.12,125.73,3610300,0,0
2019-03-29,127.15,130.72,126.14,129.18,3286400,0,0
2019-04-01,131.58,131.95,125.32,127.67,3895900,0,0
2019-04-02,127.01,130.0,125.88,129.79,2379800,0,0
2019-04-03,130.52,131.65,128.6,129.38,1833700,0,0
2019-04-04,129.92,130.23,118.48,122.37,7238300,0,0
2019-04-05,123.15,123.91,120.54,122.42,4574200,0,0
2019-04-08,121.67,122.4,119.1,122.12,2707100,0,0
2019-04-09,122.23,124.93,121.58,122.7,2842100,0,0
2019-04-10,123.44,125.79,122.43,125.22,2188800,0,0
2019-04-11,125.8,126.47,123.1,125.7,1875900,0,0
