Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,45.71,47.96,44.97,47.94,1789900,0.0,0
2019-02-06,47.33,48.01,46.96,47.66,1009200,0.0,0
2019-02-07,47.68,48.25,47.18,47.85,1366000,0.0,0
2019-02-08,47.61,48.13,47.07,47.52,629200,0.0,0
2019-02-11,47.92,48.41,47.54,48.19,853800,0.0,0
2019-02-12,48.44,49.64,48.43,49.46,1090700,0.0,0
2019-02-13,49.77,50.01,49.08,49.29,674900,0.0,0
2019-02-14,49.01,49.69,48.89,49.07,711200,0.0,0
2019-02-15,49.4,50.06,49.35,49.59,511100,0.0,0
2019-02-19,49.43,50.3,49.24,50.12,608400,0.0,0
2019-02-20,50.01,51.38,49.97,51.27,875600,0.0,0
2019-02-21,50.97,51.58,50.64,51.15,511700,0.0,0
2019-02-22,51.25,51.38,50.13,50.43,694100,0.0,0
2019-02-25,50.7,50.83,49.91,49.95,1080200,0.0,0
2019-02-26,49.97,50.42,49.69,49.71,614300,0.0,0
2019-02-27,49.82,50.05,49.31,49.7,682900,0.0,0
2019-02-28,49.52,49.64,48.58,48.73,868000,0.0,0
2019-03-01,49.09,49.43,48.94,49.08,1037000,0.0,0
2019-03-04,49.12,49.44,48.11,48.73,658500,0.0,0
2019-03-05,48.64,49.17,48.51,48.84,479000,0.0,0
2019-03-06,48.91,49.16,48.54,48.54,524800,0.0,0
2019-03-07,48.34,48.47,47.42,47.9,1208900,0.0,0
2019-03-08,47.52,47.9,47.44,47.77,612600,0.0,0
2019-03-11,48.08,48.95,48.08,48.35,545900,0.0,0
2019-03-12,48.3,48.56,48.14,48.21,598900,0.0,0
2019-03-13,48.43,48.67,47.98,48.16,945800,0.0,0
2019-03-14,48.02,48.29,47.48,47.85,479200,0.0,0
2019-03-15,47.96,48.13,46.96,47.23,1308700,0.0,0
2019-03-18,47.34,47.85,47.31,47.69,377300,0.0,0
2019-03-19,47.76,48.38,47.34,47.56,442900,0.0,0
2019-03-20,47.57,47.57,46.37,46.75,678800,0.0,0
2019-03-21,46.64,47.88,46.64,47.83,470800,0.0,0
2019-03-22,47.6,47.6,46.36,46.41,437300,0.0,0
2019-03-25,46.43,46.7,45.72,46.37,487400,0.0,0
2019-03-26,46.94,47.43,46.78,47.31,753300,0.0,0
2019-03-27,47.37,47.84,46.64,46.92,359400,0.0,0
2019-03-28,47.02,47.44,46.41,47.17,517600,0.0,0
2019-03-29,47.71,47.71,47.17,47.52,697500,0.0,0
2019-04-01,47.82,48.85,47.82,48.82,503700,0.435,0
2019-04-02,48.86,48.97,47.74,48.12,621500,0.0,0
2019-04-03,48.59,48.7,47.75,48.22,711500,0.0,0
2019-04-04,48.15,48.49,47.67,48.0,655300,0.0,0
2019-04-05,48.28,48.43,47.78,47.95,407300,0.0,0
2019-04-08,47.95,48.11,47.56,47.88,810400,0.0,0
2019-04-09,47.57,48.06,47.08,47.31,604000,0.0,0
2019-04-10,47.57,47.77,46.73,47.43,704900,0.0,0
2019-04-11,47.61,48.14,47.5,47.63,370600,0.0,0
2019-04-12,47.88,48.38,47.56,47.77,321200,0.0,0
2019-04-15,47.9,48.2,47.05,47.29,348100,0.0,0
2019-04-16,46.77,47.03,45.89,46.89,613400,0.0,0
2019-04-17,46.92,47.28,46.1,46.17,583900,0.0,0
2019-04-18,46.27,46.52,46.03,46.4,331300,0.0,0
2019-04-22,46.49,46.81,45.71,45.92,495100,0.0,0
2019-04-23,46.14,47.08,45.83,46.96,515200,0.0,0
2019-04-24,46.76,46.95,46.3,46.31,310700,0.0,0
2019-04-25,46.37,47.07,45.91,46.81,627700,0.0,0
2019-04-26,47.01,47.68,46.99,47.37,349900,0.0,0
2019-04-29,46.97,47.13,46.51,46.98,393600,0.0,0
2019-04-30,47.77,47.77,46.51,47.22,785600,0.0,0
2019-05-01,46.65,47.05,43.96,44.02,1200900,0.0,0
2019-05-02,44.17,44.51,43.34,43.58,772000,0.0,0
2019-05-03,44.8,45.53,44.48,45.47,1085300,0.0,0
2019-05-06,44.66,45.66,44.66,45.52,599200,0.0,0
2019-05-07,45.0,45.75,44.83,45.24,826700,0.0,0
2019-05-08,44.84,45.22,44.34,44.39,503300,0.0,0
2019-05-09,44.35,45.56,44.06,45.01,568000,0.0,0
2019-05-10,44.75,45.13,44.08,44.9,601200,0.0,0
2019-05-13,44.22,44.22,42.84,43.28,509000,0.0,0
2019-05-14,43.36,44.16,43.05,44.01,516500,0.0,0
2019-05-15,43.64,43.9,43.22,43.58,613700,0.0,0
2019-05-16,43.87,44.0,43.01,43.12,795900,0.0,0
2019-05-17,42.63,43.15,42.38,42.52,501800,0.0,0
2019-05-20,41.98,42.1,41.42,41.56,643500,0.0,0
2019-05-21,41.68,42.59,41.55,42.47,437200,0.0,0
2019-05-22,42.26,42.5,41.55,41.57,346100,0.0,0
2019-05-23,41.05,41.42,40.6,40.87,505600,0.0,0
2019-05-24,41.06,41.35,40.56,41.17,308100,0.0,0
2019-05-28,41.14,41.25,40.59,40.65,577200,0.0,0
2019-05-29,40.26,40.86,40.11,40.62,396900,0.0,0
2019-05-30,40.67,41.1,40.2,40.43,275400,0.0,0
2019-05-31,40.11,40.87,39.9,40.6,1492900,0.0,0
2019-06-03,40.46,41.08,40.28,40.53,641100,0.0,0
2019-06-04,41.01,41.89,40.91,41.88,718300,0.0,0
2019-06-05,41.96,41.96,41.18,41.9,470200,0.0,0
2019-06-06,41.79,42.5,41.76,42.31,750900,0.0,0
2019-06-07,42.46,42.88,42.06,42.63,398100,0.0,0
2019-06-10,42.82,43.22,41.72,42.11,384300,0.0,0
2019-06-11,42.13,42.54,41.53,41.62,656400,0.0,0
2019-06-12,41.52,42.61,41.52,42.54,482200,0.0,0
2019-06-13,42.65,43.05,41.88,42.71,532900,0.0,0
2019-06-14,42.35,42.58,41.75,42.01,431500,0.0,0
2019-06-17,41.97,42.05,41.16,41.65,538600,0.0,0
2019-06-18,41.94,42.39,41.72,41.77,495900,0.0,0
2019-06-19,41.84,42.65,41.76,42.46,503600,0.0,0
2019-06-20,42.81,43.02,42.12,42.37,539400,0.0,0
2019-06-21,42.28,42.62,41.97,42.34,683000,0.0,0
2019-06-24,42.42,42.49,41.48,41.5,497100,0.0,0
2019-06-25,41.67,42.05,41.56,41.67,380300,0.0,0
2019-06-26,41.8,42.45,41.76,41.86,422300,0.0,0
2019-06-27,41.99,42.52,41.88,42.52,318400,0.0,0
2019-06-28,42.44,43.17,42.44,43.0,669500,0.0,0
2019-07-01,43.31,43.59,42.65,43.26,631700,0.455,0
2019-07-02,42.69,42.94,42.36,42.59,706100,0.0,0
2019-07-03,40.97,42.57,40.97,42.47,516800,0.0,0
2019-07-05,42.2,42.2,41.26,41.79,524200,0.0,0
2019-07-08,41.76,42.02,41.47,41.71,590400,0.0,0
2019-07-09,41.59,41.59,40.72,41.11,777200,0.0,0
2019-07-10,41.39,41.66,41.04,41.14,588400,0.0,0
2019-07-11,41.09,41.09,40.27,40.75,667100,0.0,0
2019-07-12,40.56,40.85,40.3,40.53,576900,0.0,0
2019-07-15,40.55,40.73,39.75,40.3,620900,0.0,0
2019-07-16,40.24,41.58,40.19,40.78,1074200,0.0,0
2019-07-17,40.73,40.8,39.43,39.46,859700,0.0,0
2019-07-18,39.35,40.42,39.24,40.27,609100,0.0,0
2019-07-19,40.39,40.58,40.15,40.2,487200,0.0,0
2019-07-22,40.21,40.37,39.85,39.86,431800,0.0,0
2019-07-23,40.11,40.85,40.01,40.71,398900,0.0,0
2019-07-24,40.42,41.72,40.42,41.51,633700,0.0,0
2019-07-25,41.44,41.58,40.87,41.24,491800,0.0,0
2019-07-26,41.39,41.74,41.07,41.39,337800,0.0,0
2019-07-29,41.28,41.39,40.61,40.95,463800,0.0,0
2019-07-30,40.81,41.93,40.59,41.7,568400,0.0,0
2019-07-31,41.81,41.96,41.22,41.41,788400,0.0,0
2019-08-01,39.27,39.56,36.39,36.75,2292300,0.0,0
2019-08-02,36.35,36.39,35.01,35.11,1143100,0.0,0
2019-08-05,34.4,35.95,34.39,35.28,975200,0.0,0
2019-08-06,35.12,35.37,34.46,35.06,1022700,0.0,0
2019-08-07,34.67,35.2,34.32,35.05,787700,0.0,0
2019-08-08,35.36,36.12,35.21,36.0,756800,0.0,0
2019-08-09,35.71,35.77,34.33,34.59,866900,0.0,0
2019-08-12,34.41,34.45,33.93,34.06,583500,0.0,0
2019-08-13,33.99,35.27,33.71,34.38,692200,0.0,0
2019-08-14,33.81,34.0,32.91,33.09,760100,0.0,0
2019-08-15,33.17,33.34,32.41,32.43,628400,0.0,0
2019-08-16,32.6,32.95,32.36,32.72,882800,0.0,0
2019-08-19,33.45,33.45,32.36,33.08,734300,0.0,0
2019-08-20,33.04,33.04,32.39,32.42,750000,0.0,0
2019-08-21,32.64,33.08,32.46,32.65,659500,0.0,0
2019-08-22,32.63,32.89,32.37,32.45,584700,0.0,0
2019-08-23,32.21,32.41,31.11,31.15,758500,0.0,0
2019-08-26,31.41,32.14,31.41,31.76,756400,0.0,0
2019-08-27,32.05,32.19,31.1,31.11,616200,0.0,0
2019-08-28,30.96,31.99,30.95,31.57,562900,0.0,0
2019-08-29,31.89,32.59,31.89,32.45,758600,0.0,0
2019-08-30,32.48,32.92,31.88,32.15,1144500,0.0,0
2019-09-03,31.91,32.02,31.31,31.62,718000,0.0,0
2019-09-04,32.0,32.32,31.79,32.06,666100,0.0,0
2019-09-05,32.55,33.3,32.55,33.01,456400,0.0,0
2019-09-06,32.95,33.15,32.64,32.81,576800,0.0,0
2019-09-09,33.13,33.47,32.98,33.34,657500,0.0,0
2019-09-10,33.41,34.64,33.41,34.6,600200,0.0,0
2019-09-11,34.59,35.04,33.81,34.91,571700,0.0,0
2019-09-12,34.7,35.02,34.19,34.75,566200,0.0,0
2019-09-13,35.12,35.74,35.06,35.21,789300,0.0,0
2019-09-16,34.96,35.35,34.61,34.8,676400,0.0,0
2019-09-17,34.31,34.66,33.75,34.43,721900,0.0,0
2019-09-18,34.35,34.35,33.85,33.89,633400,0.0,0
2019-09-19,33.84,33.94,33.34,33.44,606400,0.0,0
2019-09-20,33.48,34.4,33.46,33.57,1329200,0.0,0
2019-09-23,33.31,34.43,33.27,34.19,679500,0.0,0
2019-09-24,34.41,34.41,32.99,33.03,928500,0.0,0
2019-09-25,32.95,34.08,32.95,34.04,640900,0.0,0
2019-09-26,33.77,34.15,33.75,33.99,504200,0.0,0
2019-09-27,34.19,34.85,34.07,34.6,703400,0.0,0
2019-09-30,34.69,35.04,34.56,34.94,856100,0.0,0
2019-10-01,34.99,35.47,33.09,33.17,741400,0.455,0
2019-10-02,33.07,33.14,32.44,32.83,662000,0.0,0
2019-10-03,32.52,34.31,32.52,33.84,1324700,0.0,0
2019-10-04,34.57,34.66,33.34,33.82,722100,0.0,0
2019-10-07,33.61,33.96,33.37,33.38,773800,0.0,0
2019-10-08,33.17,33.41,31.94,31.94,832100,0.0,0
2019-10-09,32.39,33.2,32.13,32.98,840000,0.0,0
2019-10-10,33.1,33.94,33.1,33.52,687400,0.0,0
2019-10-11,34.22,35.23,34.22,34.72,900900,0.0,0
2019-10-14,34.51,34.73,34.17,34.23,453800,0.0,0
2019-10-15,34.25,34.28,33.79,33.8,636300,0.0,0
2019-10-16,33.57,34.24,33.48,33.92,514500,0.0,0
2019-10-17,34.02,34.29,33.72,33.9,411800,0.0,0
2019-10-18,33.83,34.1,33.66,33.97,574100,0.0,0
2019-10-21,34.44,34.91,34.11,34.24,788100,0.0,0
2019-10-22,34.35,34.91,34.16,34.53,588700,0.0,0
2019-10-23,34.52,35.41,34.33,35.22,926600,0.0,0
2019-10-24,35.39,35.51,34.61,35.48,1608300,0.0,0
2019-10-25,37.24,40.51,36.69,37.45,1779700,0.0,0
2019-10-28,37.78,38.64,37.07,37.21,1073100,0.0,0
2019-10-29,36.95,37.25,36.4,36.69,721400,0.0,0
2019-10-30,36.44,36.6,35.98,36.34,608600,0.0,0
2019-10-31,36.37,36.44,35.46,35.96,1024400,0.0,0
2019-11-01,36.25,36.61,36.1,36.5,555200,0.0,0
2019-11-04,36.69,36.84,36.44,36.49,584100,0.0,0
2019-11-05,36.75,37.63,36.64,37.58,697900,0.0,0
2019-11-06,37.44,38.19,37.31,37.85,598600,0.0,0
2019-11-07,38.54,39.08,38.2,39.02,687100,0.0,0
2019-11-08,38.82,38.87,38.1,38.28,657300,0.0,0
2019-11-11,37.82,38.52,37.82,38.01,658100,0.0,0
2019-11-12,37.86,38.16,37.67,37.87,1150300,0.0,0
2019-11-13,37.51,37.91,37.26,37.74,588200,0.0,0
2019-11-14,37.71,37.9,37.55,37.66,602400,0.0,0
2019-11-15,37.76,37.94,37.48,37.87,1499400,0.0,0
2019-11-18,37.8,38.27,37.41,38.11,457600,0.0,0
2019-11-19,38.15,38.17,37.53,37.58,615600,0.0,0
2019-11-20,37.29,37.37,36.6,36.68,790100,0.0,0
2019-11-21,36.75,36.9,36.32,36.45,830300,0.0,0
2019-11-22,36.6,37.22,36.46,37.05,668600,0.0,0
2019-11-25,36.99,37.92,36.87,37.73,450700,0.0,0
2019-11-26,37.54,38.03,37.32,37.98,517100,0.0,0
2019-11-27,38.25,38.25,37.54,37.67,431900,0.0,0
2019-11-29,37.5,37.61,36.88,36.88,284900,0.0,0
2019-12-02,37.04,37.57,36.98,37.14,625900,0.0,0
2019-12-03,36.68,36.84,36.27,36.83,594100,0.0,0
2019-12-04,37.07,37.79,37.06,37.15,480400,0.0,0
2019-12-05,37.3,37.5,37.11,37.43,367500,0.0,0
2019-12-06,37.69,38.36,37.69,37.75,536800,0.0,0
2019-12-09,37.74,38.47,37.74,38.41,656200,0.0,0
2019-12-10,38.25,38.41,37.73,37.84,401900,0.0,0
2019-12-11,37.83,37.98,37.54,37.86,463400,0.0,0
2019-12-12,37.91,38.94,37.78,38.77,519000,0.0,0
2019-12-13,38.77,38.9,37.96,38.07,744300,0.0,0
2019-12-16,38.3,38.72,38.06,38.1,766800,0.0,0
2019-12-17,38.14,38.52,37.89,38.01,624400,0.0,0
2019-12-18,37.97,38.59,37.77,38.57,616900,0.0,0
2019-12-19,38.81,38.82,38.5,38.69,585800,0.0,0
2019-12-20,38.9,39.19,38.34,38.37,1684500,0.0,0
2019-12-23,38.51,38.61,37.76,38.13,409800,0.0,0
2019-12-24,38.33,38.45,38.17,38.32,146900,0.0,0
2019-12-26,38.37,38.57,38.13,38.2,390700,0.0,0
2019-12-27,38.3,38.54,37.96,37.96,290500,0.0,0
2019-12-30,38.04,38.21,37.79,37.88,464100,0.0,0
2019-12-31,37.7,38.39,37.7,38.24,558700,0.455,0
2020-01-02,38.43,38.61,37.9,38.0,498800,0.0,0
2020-01-03,37.5,37.77,37.39,37.44,525300,0.0,0
2020-01-06,37.0,37.09,36.32,36.59,578000,0.0,0
2020-01-07,36.45,36.7,36.16,36.55,431600,0.0,0
2020-01-08,36.58,37.87,36.47,37.78,893100,0.0,0
2020-01-09,37.82,37.91,37.26,37.91,523600,0.0,0
2020-01-10,37.91,37.96,37.27,37.56,739900,0.0,0
2020-01-13,37.71,38.36,37.6,38.34,630900,0.0,0
2020-01-14,38.1,38.75,38.06,38.57,892500,0.0,0
2020-01-15,38.4,38.83,38.26,38.64,518800,0.0,0
