Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,55.25,55.68,54.74,55.55,724400,0.0,0
2019-02-06,53.86,54.41,49.81,50.97,2078000,0.0,0
2019-02-07,50.78,51.37,50.25,51.28,1871600,0.0,0
2019-02-08,51.5,52.23,51.4,51.91,1173600,0.0,0
2019-02-11,51.68,52.07,51.13,51.46,921000,0.0,0
2019-02-12,51.48,51.49,50.7,50.97,1388300,0.0,0
2019-02-13,50.89,51.77,50.89,51.71,1421000,0.0,0
2019-02-14,51.91,52.33,51.71,51.74,1036900,0.0,0
2019-02-15,51.74,52.34,51.74,52.14,735100,0.0,0
2019-02-19,52.26,52.46,51.91,52.24,922500,0.0,0
2019-02-20,52.14,52.29,51.69,52.16,1400200,0.0,0
2019-02-21,52.02,52.51,51.86,52.45,824600,0.0,0
2019-02-22,52.57,53.2,52.24,53.04,782500,0.0,0
2019-02-25,53.66,54.09,52.93,53.4,1113400,0.0,0
2019-02-26,53.57,53.77,53.24,53.26,1077900,0.0,0
2019-02-27,52.95,53.84,52.92,53.77,1016600,0.0,0
2019-02-28,53.79,54.02,53.44,53.56,1158300,0.0,0
2019-03-01,53.62,53.79,52.82,53.17,817900,0.0,0
2019-03-04,53.37,53.61,52.71,53.56,931500,0.0,0
2019-03-05,53.4,53.65,53.14,53.21,820200,0.0,0
2019-03-06,53.26,53.51,52.73,52.73,969200,0.0,0
2019-03-07,53.08,53.55,52.9,53.21,1030600,0.0,0
2019-03-08,53.14,53.35,52.72,53.26,588200,0.0,0
2019-03-11,53.18,53.53,53.14,53.53,539200,0.0,0
2019-03-12,53.46,53.52,53.19,53.35,957800,0.0,0
2019-03-13,53.32,53.83,53.2,53.67,880800,0.0,0
2019-03-14,53.7,54.22,53.61,53.72,701800,0.26,0
2019-03-15,53.78,54.15,53.6,53.91,1287900,0.0,0
2019-03-18,53.96,54.44,53.78,54.07,1127200,0.0,0
2019-03-19,54.09,54.32,53.52,53.68,631000,0.0,0
2019-03-20,53.63,53.87,53.05,53.41,1022900,0.0,0
2019-03-21,53.36,54.73,53.36,54.6,955700,0.0,0
2019-03-22,54.72,55.1,54.5,54.59,1333500,0.0,0
2019-03-25,54.54,54.87,54.18,54.86,805000,0.0,0
2019-03-26,54.96,55.32,54.82,55.29,704300,0.0,0
2019-03-27,55.31,55.37,54.97,55.16,644100,0.0,0
2019-03-28,54.98,55.32,54.31,54.37,645700,0.0,0
2019-03-29,54.35,54.58,54.23,54.33,1271600,0.0,0
2019-04-01,54.35,54.58,53.77,54.3,556700,0.0,0
2019-04-02,50.9,51.47,49.82,50.31,6237800,0.0,0
2019-04-03,49.84,51.27,49.41,51.26,4631100,0.0,0
2019-04-04,51.38,51.8,51.25,51.46,2503900,0.0,0
2019-04-05,51.83,52.04,51.47,51.98,1958100,0.0,0
2019-04-08,51.83,52.1,51.46,51.97,1522600,0.0,0
2019-04-09,51.7,52.36,51.7,52.05,1307900,0.0,0
2019-04-10,52.13,52.65,51.78,51.83,1388200,0.0,0
2019-04-11,51.69,51.94,51.5,51.84,1267900,0.0,0
2019-04-12,51.89,52.24,51.88,52.14,1407000,0.0,0
2019-04-15,52.15,52.44,51.89,52.02,1123700,0.0,0
2019-04-16,52.05,52.18,51.59,51.74,977900,0.0,0
2019-04-17,51.82,51.82,51.16,51.31,1279000,0.0,0
2019-04-18,51.39,51.62,51.22,51.47,930500,0.0,0
2019-04-22,51.47,51.73,51.33,51.67,1463300,0.0,0
2019-04-23,51.82,52.19,51.68,52.13,2251500,0.0,0
2019-04-24,52.23,52.97,52.23,52.71,2441800,0.0,0
2019-04-25,52.53,53.06,52.31,52.68,1102400,0.0,0
2019-04-26,52.83,53.05,52.61,52.72,999900,0.0,0
2019-04-29,52.55,52.72,52.26,52.45,493000,0.0,0
2019-04-30,52.6,53.59,52.32,53.43,2503300,0.0,0
2019-05-01,53.57,53.64,53.0,53.0,1083100,0.0,0
2019-05-02,53.03,53.35,52.73,52.87,1008800,0.0,0
2019-05-03,53.01,53.95,53.01,53.63,1143000,0.0,0
2019-05-06,53.69,53.9,53.28,53.88,1231500,0.0,0
2019-05-07,53.54,54.08,52.43,52.86,1524300,0.0,0
2019-05-08,52.93,53.13,52.09,52.12,1489900,0.0,0
2019-05-09,52.34,53.02,52.08,52.94,1259800,0.0,0
2019-05-10,53.02,53.93,52.73,53.92,1276800,0.0,0
2019-05-13,53.61,53.73,52.98,53.26,1322800,0.0,0
2019-05-14,53.13,53.39,53.02,53.06,1255400,0.0,0
2019-05-15,53.36,53.36,52.67,52.82,1911100,0.0,0
2019-05-16,52.69,53.36,52.69,53.16,1661000,0.0,0
2019-05-17,53.01,53.19,52.8,52.86,1054600,0.0,0
2019-05-20,52.72,53.09,51.91,52.17,1119000,0.0,0
2019-05-21,52.18,52.56,52.0,52.41,1361700,0.0,0
2019-05-22,52.51,52.55,52.06,52.51,877000,0.0,0
2019-05-23,52.47,52.47,51.21,51.41,1175600,0.0,0
2019-05-24,51.56,52.29,51.55,52.19,885200,0.0,0
2019-05-28,52.21,52.45,51.73,51.8,1914100,0.0,0
2019-05-29,51.87,51.87,50.35,50.47,782400,0.0,0
2019-05-30,50.48,50.86,49.92,50.2,954600,0.0,0
2019-05-31,50.04,50.61,49.71,50.59,906800,0.0,0
2019-06-03,50.79,51.44,50.58,51.32,877800,0.0,0
2019-06-04,51.56,51.58,50.84,51.5,1018100,0.0,0
2019-06-05,51.51,52.29,51.12,52.11,724900,0.0,0
2019-06-06,52.35,52.78,52.22,52.62,1047300,0.0,0
2019-06-07,53.15,53.4,52.65,52.65,788700,0.0,0
2019-06-10,52.46,52.64,51.49,51.62,444300,0.0,0
2019-06-11,51.54,51.68,51.08,51.46,887200,0.0,0
2019-06-12,51.6,52.01,51.51,51.92,765500,0.0,0
2019-06-13,52.09,52.35,51.76,51.97,891100,0.3,0
2019-06-14,52.07,52.5,51.79,52.3,633000,0.0,0
2019-06-17,52.14,52.3,51.67,51.89,800700,0.0,0
2019-06-18,52.46,52.46,51.37,51.63,920800,0.0,0
2019-06-19,51.59,52.23,51.24,52.06,1067700,0.0,0
2019-06-20,52.47,52.54,51.84,52.34,688700,0.0,0
2019-06-21,51.97,53.22,51.84,53.09,2110800,0.0,0
2019-06-24,53.16,53.22,52.49,52.64,863900,0.0,0
2019-06-25,52.8,53.48,52.59,53.25,1138600,0.0,0
2019-06-26,53.15,53.19,51.65,51.66,1239400,0.0,0
2019-06-27,51.83,52.19,51.47,52.06,829500,0.0,0
2019-06-28,52.04,52.73,52.04,52.65,2023000,0.0,0
2019-07-01,52.74,53.02,52.29,52.57,1083800,0.0,0
2019-07-02,52.81,53.28,52.57,53.23,835100,0.0,0
2019-07-03,52.88,53.06,50.99,51.69,1518200,0.0,0
2019-07-05,51.41,52.19,51.34,52.15,935000,0.0,0
2019-07-08,52.09,52.47,51.96,52.46,1269700,0.0,0
2019-07-09,52.35,52.38,51.81,52.29,1179800,0.0,0
2019-07-10,52.51,52.69,52.22,52.34,922200,0.0,0
2019-07-11,52.32,52.57,51.86,52.41,1420400,0.0,0
2019-07-12,52.49,52.5,51.78,52.15,1040100,0.0,0
2019-07-15,52.23,52.23,51.74,51.9,1026400,0.0,0
2019-07-16,51.83,51.94,51.53,51.86,962100,0.0,0
2019-07-17,52.11,52.14,51.14,51.22,1402800,0.0,0
2019-07-18,51.08,51.15,50.45,50.85,1270500,0.0,0
2019-07-19,50.57,50.9,49.57,49.57,826400,0.0,0
2019-07-22,49.77,49.8,49.16,49.28,985200,0.0,0
2019-07-23,49.4,49.85,48.92,49.53,1134400,0.0,0
2019-07-24,49.6,50.01,49.5,49.88,1142600,0.0,0
2019-07-25,49.88,50.21,49.76,49.96,1881900,0.0,0
2019-07-26,50.1,50.65,49.86,50.2,1066800,0.0,0
2019-07-29,50.27,50.75,50.12,50.68,1750100,0.0,0
2019-07-30,50.7,51.35,50.34,50.48,1074400,0.0,0
2019-07-31,50.71,51.15,50.29,50.37,2192700,0.0,0
2019-08-01,50.33,51.12,49.83,50.67,1785900,0.0,0
2019-08-02,50.7,51.06,50.34,50.44,1046900,0.0,0
2019-08-05,50.33,50.33,48.08,48.72,1453700,0.0,0
2019-08-06,48.43,48.98,45.29,47.0,2723700,0.0,0
2019-08-07,46.83,47.12,45.97,46.89,1947400,0.0,0
2019-08-08,47.06,48.3,46.82,48.24,1868300,0.325,0
2019-08-09,48.1,48.22,47.24,47.26,1031800,0.0,0
2019-08-12,47.35,47.35,46.63,46.97,735400,0.0,0
2019-08-13,46.57,47.22,46.45,46.7,1102000,0.0,0
2019-08-14,46.68,46.73,45.93,46.16,1295700,0.0,0
2019-08-15,46.16,46.76,45.94,46.21,1720400,0.0,0
2019-08-16,46.48,48.01,46.45,47.85,1874800,0.0,0
2019-08-19,47.87,48.88,47.64,48.56,2605100,0.0,0
