Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,360.91,365.07,358.77,360.26,57400,0.0,0
2019-02-06,359.4,368.07,359.4,361.97,42400,0.0,0
2019-02-07,365.11,379.29,359.08,378.71,78200,0.0,0
2019-02-08,375.56,386.37,367.29,368.52,45100,0.0,0
2019-02-11,370.5,371.03,368.02,370.36,32500,0.0,0
2019-02-12,372.46,374.86,370.62,371.47,31000,0.0,0
2019-02-13,371.77,374.12,369.99,370.67,31100,0.0,0
2019-02-14,368.49,378.29,368.49,376.9,41600,0.0,0
2019-02-15,377.96,382.33,373.9,374.89,60900,0.0,0
2019-02-19,375.64,380.49,373.36,375.92,47200,0.0,0
2019-02-20,373.94,379.2,372.16,379.2,32400,0.0,0
2019-02-21,378.86,385.19,375.96,382.61,33300,0.0,0
2019-02-22,383.64,383.64,371.65,375.45,37800,0.0,0
2019-02-25,377.11,380.84,371.4,373.47,32900,0.0,0
2019-02-26,373.18,376.31,368.49,374.82,36300,0.0,0
2019-02-27,373.57,381.43,373.57,376.79,33700,0.0,0
2019-02-28,376.36,384.09,374.47,383.02,61500,0.0,0
2019-03-01,383.85,386.15,377.87,379.6,41200,0.0,0
2019-03-04,379.94,381.68,368.8,369.27,44900,0.0,0
2019-03-05,370.11,380.17,365.59,367.2,56100,0.0,0
2019-03-06,366.86,370.98,364.83,367.88,23100,0.0,0
2019-03-07,366.44,370.15,364.29,365.54,31400,0.0,0
2019-03-08,363.18,367.24,362.34,364.32,38300,0.0,0
2019-03-11,364.93,374.63,364.93,374.6,38200,0.0,0
2019-03-12,374.27,377.08,370.1,370.84,43500,0.0,0
2019-03-13,372.67,377.73,372.67,375.86,26600,0.0,0
2019-03-14,374.92,375.87,371.45,374.77,60700,0.0,0
2019-03-15,375.47,378.14,372.6,377.55,46500,0.0,0
2019-03-18,377.48,383.44,371.67,380.41,31500,0.0,0
2019-03-19,381.89,381.89,374.0,375.47,36800,0.0,0
2019-03-20,374.38,374.51,367.61,367.61,45700,0.5,0
2019-03-21,367.19,372.43,367.19,368.54,66300,0.0,0
2019-03-22,367.29,367.29,354.58,358.01,30400,0.0,0
2019-03-25,358.17,364.34,356.47,356.53,34200,0.0,0
2019-03-26,358.07,362.06,356.78,360.08,36100,0.0,0
2019-03-27,360.91,367.07,359.2,364.43,25700,0.0,0
2019-03-28,364.49,375.95,361.64,368.52,50000,0.0,0
2019-03-29,370.0,376.81,366.88,370.49,64300,0.0,0
2019-04-01,372.22,377.14,370.98,375.93,21300,0.0,0
2019-04-02,375.76,377.17,367.65,368.71,29500,0.0,0
2019-04-03,370.13,371.98,363.73,369.08,27400,0.0,0
2019-04-04,369.67,373.79,366.32,370.98,35900,0.0,0
2019-04-05,370.98,374.85,369.8,370.03,22800,0.0,0
2019-04-08,368.12,371.3,361.57,368.1,39300,0.0,0
2019-04-09,366.36,369.33,364.55,369.2,30000,0.0,0
2019-04-10,368.68,371.05,363.69,369.46,24000,0.0,0
2019-04-11,369.02,375.89,366.93,374.17,32600,0.0,0
2019-04-12,376.12,382.95,372.56,376.28,25100,0.0,0
2019-04-15,376.89,377.96,367.17,369.91,33000,0.0,0
2019-04-16,371.06,372.73,367.3,367.98,21900,0.0,0
2019-04-17,369.72,374.51,367.46,368.75,24700,0.0,0
2019-04-18,369.6,372.25,367.01,367.01,16600,0.0,0
2019-04-22,366.47,370.44,365.14,365.33,24300,0.0,0
2019-04-23,365.54,373.44,365.54,373.17,33600,0.0,0
2019-04-24,372.42,379.85,372.42,377.72,42000,0.0,0
2019-04-25,376.78,379.87,371.54,371.91,32300,0.0,0
2019-04-26,372.47,377.24,370.29,377.04,24600,0.0,0
2019-04-29,377.18,381.65,375.07,376.94,35700,0.0,0
2019-04-30,375.47,375.47,367.93,372.14,38700,0.0,0
2019-05-01,373.21,375.11,369.2,371.93,29900,0.0,0
2019-05-02,372.68,380.51,372.06,380.51,41600,0.0,0
2019-05-03,381.63,391.9,377.58,384.44,43700,0.0,0
2019-05-06,381.77,389.88,378.77,387.93,77000,0.0,0
2019-05-07,387.93,393.35,382.61,385.15,64800,0.0,0
2019-05-08,384.9,390.92,382.46,385.24,31600,0.0,0
2019-05-09,383.44,386.63,381.17,385.22,47000,0.0,0
2019-05-10,386.59,391.69,382.6,391.33,44200,0.0,0
2019-05-13,385.71,391.92,384.86,386.83,35000,0.0,0
2019-05-14,386.09,393.83,384.49,390.25,48400,0.0,0
2019-05-15,388.42,398.2,388.42,392.76,60900,0.0,0
2019-05-16,394.88,402.82,394.88,401.41,73000,0.0,0
2019-05-17,398.58,398.81,378.54,380.55,56600,0.0,0
2019-05-20,378.94,385.83,375.15,382.95,32300,0.0,0
2019-05-21,384.84,396.47,384.84,391.04,70500,0.0,0
2019-05-22,390.13,390.13,384.42,387.35,55500,0.0,0
2019-05-23,385.09,387.41,380.93,386.73,63000,0.0,0
2019-05-24,388.86,389.72,385.52,388.27,66600,0.0,0
2019-05-28,388.9,398.39,383.16,388.42,147100,0.0,0
2019-05-29,386.87,388.82,381.44,385.45,72900,0.0,0
2019-05-30,385.34,392.34,375.51,377.39,114300,0.0,0
2019-05-31,373.89,376.34,362.51,367.21,105500,0.0,0
2019-06-03,368.66,378.62,367.0,377.17,60900,0.0,0
2019-06-04,378.96,386.27,378.3,385.56,122800,0.0,0
2019-06-05,388.38,393.54,382.74,387.89,132100,0.0,0
2019-06-06,388.73,390.84,384.59,388.52,51500,0.0,0
2019-06-07,389.87,393.42,386.17,391.61,52900,0.0,0
2019-06-10,391.57,396.53,391.07,393.18,60500,0.0,0
2019-06-11,394.66,394.97,388.41,390.23,62300,0.0,0
2019-06-12,386.23,389.43,380.47,381.22,90500,0.0,0
2019-06-13,382.86,386.87,379.75,386.63,99700,0.0,0
2019-06-14,385.2,391.32,383.74,387.99,53500,0.0,0
2019-06-17,387.59,390.41,380.47,380.47,48500,0.0,0
2019-06-18,383.17,392.63,382.95,384.07,72900,0.0,0
2019-06-19,386.03,386.03,380.47,380.55,67200,0.0,0
2019-06-20,383.75,384.44,377.96,379.25,59700,0.0,0
2019-06-21,378.45,382.3,377.97,379.69,75800,0.0,0
2019-06-24,380.28,381.45,375.89,377.76,65300,0.0,0
2019-06-25,375.87,379.76,374.97,377.46,56000,0.0,0
2019-06-26,377.51,378.96,373.86,375.85,55500,0.0,0
2019-06-27,375.54,378.74,373.72,375.27,41200,0.0,0
2019-06-28,376.79,380.62,376.46,377.51,142200,0.0,0
2019-07-01,381.15,383.81,374.87,377.04,38300,0.0,0
2019-07-02,378.67,378.67,369.1,372.87,69100,0.0,0
2019-07-03,374.44,379.53,374.44,377.48,24500,0.0,0
2019-07-05,375.88,377.53,373.01,375.62,50300,0.0,0
2019-07-08,373.77,378.66,371.99,376.03,42200,0.0,0
2019-07-09,374.34,376.41,370.62,372.22,55900,0.0,0
2019-07-10,372.37,375.94,370.28,371.13,66200,0.0,0
2019-07-11,371.58,376.5,368.94,375.66,31900,0.0,0
2019-07-12,375.02,380.68,373.26,378.26,37500,0.0,0
2019-07-15,378.53,381.01,375.1,379.2,28900,0.0,0
2019-07-16,378.66,384.83,378.06,379.68,37400,0.0,0
2019-07-17,378.66,378.66,369.91,373.18,37100,0.0,0
2019-07-18,373.26,378.28,371.13,377.93,40500,0.0,0
2019-07-19,378.28,379.65,374.42,375.14,26400,0.0,0
2019-07-22,373.97,380.61,373.97,376.23,29700,0.0,0
2019-07-23,377.96,379.74,375.42,378.66,22300,0.0,0
2019-07-24,378.29,382.47,378.29,380.65,28500,0.0,0
2019-07-25,380.81,381.44,376.95,377.58,35800,0.0,0
2019-07-26,378.57,386.71,378.57,385.79,35900,0.0,0
2019-07-29,385.85,387.91,380.49,382.78,51200,0.0,0
2019-07-30,381.43,386.92,380.19,385.59,42100,0.0,0
2019-07-31,385.5,389.44,376.17,385.94,57400,0.0,0
2019-08-01,383.58,387.43,372.57,375.48,33800,0.0,0
2019-08-02,374.37,376.56,364.5,365.91,66300,0.0,0
2019-08-05,361.92,363.52,354.36,358.38,53200,0.0,0
2019-08-06,359.32,359.47,352.08,358.01,85200,0.0,0
2019-08-07,354.42,360.81,344.85,356.88,89500,0.0,0
2019-08-08,347.14,361.64,347.14,357.06,82900,0.0,0
2019-08-09,355.64,361.99,353.7,358.8,55000,0.0,0
2019-08-12,355.53,358.4,349.45,350.83,55000,0.0,0
2019-08-13,350.39,358.59,350.39,352.09,57800,0.0,0
2019-08-14,348.12,353.33,345.22,347.79,61600,0.0,0
2019-08-15,350.03,351.19,343.02,346.34,51400,0.0,0
2019-08-16,348.55,350.34,339.94,348.39,50600,0.0,0
2019-08-19,351.4,354.57,349.04,351.23,48600,0.0,0
2019-08-20,351.5,351.5,343.24,344.45,45300,0.0,0
2019-08-21,346.1,347.44,343.28,346.05,42100,0.0,0
2019-08-22,346.05,347.34,340.43,342.21,51300,0.0,0
2019-08-23,341.67,342.26,338.41,339.42,43000,0.0,0
2019-08-26,341.7,342.37,335.48,339.28,59600,0.0,0
2019-08-27,342.21,342.77,339.89,342.13,77200,0.0,0
2019-08-28,341.41,349.35,340.31,347.61,74200,0.0,0
2019-08-29,347.5,350.73,344.46,345.05,44200,0.0,0
2019-08-30,347.28,351.0,345.38,350.65,62700,0.0,0
2019-09-03,349.03,352.02,344.7,351.01,85200,0.0,0
2019-09-04,352.03,353.09,347.88,350.09,55400,0.0,0
2019-09-05,355.05,356.76,351.91,356.53,62100,0.0,0
2019-09-06,357.72,358.63,351.52,355.41,56900,0.5,0
2019-09-09,355.41,364.11,354.94,359.22,68800,0.0,0
2019-09-10,359.87,366.23,357.95,365.3,36900,0.0,0
2019-09-11,364.81,376.3,364.46,371.9,46400,0.0,0
2019-09-12,372.49,377.5,370.28,377.5,36400,0.0,0
2019-09-13,377.59,382.48,377.59,379.32,37800,0.0,0
2019-09-16,381.28,389.46,380.09,385.03,63500,0.0,0
2019-09-17,384.7,390.0,382.5,386.82,66500,0.0,0
2019-09-18,385.59,396.92,385.59,394.67,82900,0.0,0
2019-09-19,395.76,396.95,393.64,394.09,66700,0.0,0
2019-09-20,395.86,398.12,386.98,388.6,113300,0.0,0
2019-09-23,388.67,390.3,384.87,384.98,48600,0.0,0
2019-09-24,385.68,386.57,379.88,381.93,74400,0.0,0
2019-09-25,382.48,393.04,382.16,391.62,73500,0.0,0
2019-09-26,390.87,394.26,387.53,391.97,64600,0.0,0
2019-09-27,392.55,394.45,388.91,392.37,40300,0.0,0
2019-09-30,393.3,393.31,385.74,389.51,36100,0.0,0
2019-10-01,390.03,394.2,381.86,381.86,36900,0.0,0
2019-10-02,380.69,384.08,375.9,376.3,36400,0.0,0
2019-10-03,375.82,377.64,371.04,375.29,51200,0.0,0
2019-10-04,376.72,378.9,374.79,378.8,29000,0.0,0
2019-10-07,377.88,377.96,375.02,375.55,27500,0.0,0
2019-10-08,374.49,374.76,369.19,370.99,46000,0.0,0
2019-10-09,372.55,373.94,367.06,370.49,36900,0.0,0
2019-10-10,370.3,375.88,370.3,373.99,30300,0.0,0
2019-10-11,375.98,385.86,375.98,385.86,41200,0.0,0
2019-10-14,384.8,384.8,377.5,380.33,18400,0.0,0
2019-10-15,380.93,384.59,378.13,383.81,25900,0.0,0
2019-10-16,382.97,392.21,382.39,390.11,52300,0.0,0
2019-10-17,391.47,397.45,391.47,394.36,29400,0.0,0
2019-10-18,393.75,397.59,393.75,397.34,26800,0.0,0
2019-10-21,399.01,401.48,396.69,399.34,31900,0.0,0
2019-10-22,400.12,401.91,395.25,396.41,54500,0.0,0
2019-10-23,396.03,413.04,396.02,411.77,83400,0.0,0
2019-10-24,414.35,418.43,410.55,418.43,58600,0.0,0
2019-10-25,417.8,419.35,409.5,411.08,39400,0.0,0
2019-10-28,411.6,411.74,404.91,406.19,32600,0.0,0
2019-10-29,404.85,412.0,403.45,408.75,37700,0.0,0
2019-10-30,409.14,410.29,403.65,407.62,32400,0.0,0
2019-10-31,407.2,412.57,400.5,404.49,26300,0.0,0
2019-11-01,406.65,411.83,404.94,411.75,28100,0.0,0
2019-11-04,413.35,417.46,412.19,415.95,29600,0.0,0
2019-11-05,417.25,424.07,416.47,421.48,44700,0.0,0
2019-11-06,421.93,425.92,417.28,423.93,56800,0.0,0
2019-11-07,392.47,414.19,381.0,391.94,90700,0.0,0
2019-11-08,388.85,391.42,383.25,386.55,45900,0.0,0
2019-11-11,383.18,385.95,382.01,385.86,38000,0.0,0
2019-11-12,384.58,384.58,374.95,378.19,57600,0.0,0
2019-11-13,375.95,378.92,374.84,375.98,41200,0.0,0
2019-11-14,373.92,375.19,369.67,373.58,40500,0.0,0
2019-11-15,374.14,374.14,369.5,369.5,34700,0.0,0
2019-11-18,368.66,369.65,365.48,367.93,44800,0.0,0
2019-11-19,366.33,366.51,362.04,362.74,55800,0.0,0
2019-11-20,362.49,366.37,360.04,363.52,58900,0.0,0
2019-11-21,365.05,365.05,361.92,361.92,43700,0.0,0
2019-11-22,361.29,362.52,359.98,359.98,34600,0.0,0
2019-11-25,359.84,365.98,359.84,364.01,60900,0.0,0
