Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,134.46,135.91,133.76,134.32,601400,0.0,0
2019-02-06,133.85,134.73,133.2,134.47,420600,0.0,0
2019-02-07,134.1,134.63,132.24,132.36,731500,0.0,0
2019-02-08,131.92,131.95,128.99,130.91,708000,0.0,0
2019-02-11,131.0,132.45,130.11,132.12,423400,0.0,0
2019-02-12,132.55,133.3,131.87,132.76,470700,0.0,0
2019-02-13,133.43,133.99,132.55,133.52,502500,0.0,0
2019-02-14,132.9,133.81,131.55,133.14,654700,0.0,0
2019-02-15,134.2,135.3,133.76,134.94,651100,0.0,0
2019-02-19,134.35,135.19,133.9,134.68,638500,0.0,0
2019-02-20,134.59,134.64,133.64,133.73,437300,0.0,0
2019-02-21,134.2,134.43,133.21,133.96,527800,0.0,0
2019-02-22,134.33,135.92,133.89,135.44,860600,0.0,0
2019-02-25,135.84,136.59,133.78,133.81,743300,0.0,0
2019-02-26,134.32,134.72,132.92,133.04,630400,0.0,0
2019-02-27,132.78,133.78,130.87,132.68,692000,0.0,0
2019-02-28,132.98,140.9,132.98,138.32,1405800,0.1,0
2019-03-01,139.82,141.7,138.83,140.29,796500,0.0,0
2019-03-04,138.38,138.84,135.59,136.74,933400,0.0,0
2019-03-05,137.73,138.17,135.65,136.73,676600,0.0,0
2019-03-06,136.73,137.01,132.27,132.35,741000,0.0,0
2019-03-07,132.12,133.07,128.4,129.05,1152900,0.0,0
2019-03-08,128.33,128.8,127.22,128.72,721900,0.0,0
2019-03-11,129.45,130.15,127.95,129.23,736400,0.0,0
2019-03-12,129.71,131.27,129.11,130.61,591800,0.0,0
2019-03-13,131.24,132.85,130.33,132.21,602000,0.0,0
2019-03-14,132.49,134.42,132.12,133.63,552500,0.0,0
2019-03-15,133.53,134.38,133.29,133.75,786500,0.0,0
2019-03-18,133.96,135.44,133.96,135.35,540100,0.0,0
2019-03-19,135.62,136.08,134.43,134.94,900900,0.0,0
2019-03-20,134.94,135.35,133.11,133.53,418300,0.0,0
2019-03-21,132.42,136.48,131.96,136.07,388600,0.0,0
2019-03-22,134.91,136.41,134.81,134.82,565900,0.0,0
2019-03-25,134.31,134.91,133.4,133.88,600200,0.0,0
2019-03-26,134.11,135.05,133.01,133.65,549100,0.0,0
2019-03-27,133.2,134.08,131.6,132.29,455700,0.0,0
2019-03-28,132.59,133.17,132.19,133.02,463800,0.0,0
2019-03-29,133.88,133.93,132.68,133.28,917000,0.0,0
2019-04-01,134.4,135.1,134.02,134.26,815000,0.0,0
2019-04-02,133.92,134.35,132.53,133.26,464300,0.0,0
2019-04-03,134.14,134.64,133.1,133.76,548400,0.0,0
2019-04-04,134.03,134.45,133.15,133.48,416400,0.0,0
2019-04-05,133.89,134.53,133.84,134.23,626900,0.0,0
2019-04-08,134.46,134.51,132.25,132.52,553000,0.0,0
2019-04-09,131.84,133.49,131.71,133.36,617900,0.0,0
2019-04-10,133.47,134.7,133.36,134.0,815000,0.0,0
2019-04-11,134.65,134.69,131.81,131.94,425800,0.0,0
2019-04-12,132.82,133.78,131.74,132.32,817100,0.0,0
2019-04-15,132.3,132.75,131.62,132.26,456700,0.0,0
2019-04-16,133.4,133.4,124.98,125.87,1389300,0.0,0
2019-04-17,126.04,126.08,120.46,122.21,1321900,0.0,0
2019-04-18,122.24,124.24,121.1,124.06,1223800,0.0,0
2019-04-22,123.99,125.33,121.51,122.45,1071500,0.0,0
2019-04-23,122.73,129.03,122.38,127.61,1114100,0.0,0
2019-04-24,127.53,132.84,127.53,129.84,1732200,0.0,0
2019-04-25,129.13,132.43,128.06,131.22,879200,0.0,0
2019-04-26,128.32,129.0,123.35,128.76,1444200,0.0,0
2019-04-29,127.98,128.83,124.54,126.75,863600,0.0,0
2019-04-30,127.2,127.58,124.68,126.41,950500,0.0,0
2019-05-01,126.34,126.94,124.18,124.3,929200,0.0,0
2019-05-02,123.87,124.06,122.56,123.55,1217200,0.0,0
2019-05-03,124.18,124.5,122.18,122.55,1101200,0.0,0
2019-05-06,120.83,124.77,120.79,124.04,949300,0.0,0
2019-05-07,123.77,124.63,121.51,122.5,725000,0.0,0
2019-05-08,122.08,122.72,120.76,121.58,675200,0.0,0
2019-05-09,121.17,122.89,120.8,122.44,828800,0.0,0
2019-05-10,122.69,123.53,119.56,122.34,707700,0.0,0
2019-05-13,120.31,121.73,119.72,121.4,636600,0.0,0
2019-05-14,121.56,123.01,121.05,122.09,614300,0.0,0
2019-05-15,121.36,122.4,119.99,121.42,542800,0.0,0
2019-05-16,121.56,123.18,120.94,121.26,517300,0.0,0
2019-05-17,120.28,122.79,120.08,121.44,508700,0.0,0
2019-05-20,120.77,123.07,120.33,122.8,506400,0.0,0
2019-05-21,122.95,125.38,122.7,124.36,681100,0.0,0
2019-05-22,124.11,125.1,123.64,124.98,758400,0.0,0
2019-05-23,124.22,124.33,121.47,122.51,684400,0.0,0
2019-05-24,121.99,123.31,121.64,122.64,547600,0.0,0
2019-05-28,122.38,123.43,121.99,122.04,666200,0.0,0
2019-05-29,121.54,121.54,118.83,119.14,691300,0.0,0
2019-05-30,119.19,120.44,118.6,119.65,503700,0.0,0
2019-05-31,119.01,119.93,117.44,119.21,608800,0.1,0
2019-06-03,119.21,121.45,118.82,121.12,687600,0.0,0
2019-06-04,122.21,123.9,121.58,122.07,770900,0.0,0
2019-06-05,122.84,122.84,119.99,121.07,862800,0.0,0
2019-06-06,121.17,121.9,120.46,120.77,1254300,0.0,0
2019-06-07,121.17,123.47,120.6,123.36,867500,0.0,0
2019-06-10,124.0,124.7,123.21,123.23,498300,0.0,0
2019-06-11,123.82,123.82,121.14,122.65,496600,0.0,0
2019-06-12,122.62,123.61,121.39,123.56,495300,0.0,0
2019-06-13,123.44,124.09,122.43,123.6,338900,0.0,0
2019-06-14,123.69,124.22,122.4,122.41,496700,0.0,0
2019-06-17,122.99,123.16,121.84,123.07,513900,0.0,0
2019-06-18,123.43,124.78,122.37,123.58,489800,0.0,0
2019-06-19,123.83,125.08,122.46,124.93,361100,0.0,0
2019-06-20,125.46,126.26,122.46,124.01,873500,0.0,0
2019-06-21,124.01,125.19,122.64,124.96,801200,0.0,0
2019-06-24,125.17,126.19,124.15,126.09,570900,0.0,0
2019-06-25,126.23,129.19,125.81,128.28,723200,0.0,0
2019-06-26,128.51,129.18,125.75,126.71,515800,0.0,0
2019-06-27,127.31,128.0,126.47,127.79,431700,0.0,0
2019-06-28,128.0,130.02,127.04,130.02,1064100,0.0,0
2019-07-01,130.8,131.35,128.34,129.7,643700,0.0,0
2019-07-02,129.93,130.34,128.7,129.63,497000,0.0,0
2019-07-03,129.62,130.82,128.9,130.72,341400,0.0,0
2019-07-05,130.14,131.23,129.58,131.01,317700,0.0,0
2019-07-08,130.86,131.42,129.82,131.34,477100,0.0,0
2019-07-09,130.46,131.72,127.39,128.53,554100,0.0,0
2019-07-10,128.56,130.06,128.03,129.3,326700,0.0,0
2019-07-11,130.75,132.22,129.15,130.87,358300,0.0,0
2019-07-12,130.51,132.82,129.92,132.53,404400,0.0,0
2019-07-15,132.53,133.74,131.58,133.38,447200,0.0,0
2019-07-16,133.61,134.12,133.05,133.59,435600,0.0,0
2019-07-17,133.35,133.65,132.31,132.51,348800,0.0,0
2019-07-18,132.51,133.28,131.1,132.81,412400,0.0,0
2019-07-19,132.84,132.84,131.54,132.26,489900,0.0,0
2019-07-22,132.28,133.27,131.82,132.3,401300,0.0,0
2019-07-23,132.36,133.38,130.82,133.33,363000,0.0,0
2019-07-24,133.46,136.91,132.16,136.62,1021700,0.0,0
2019-07-25,136.38,137.14,135.1,136.59,932600,0.0,0
2019-07-26,145.19,157.35,145.19,151.46,2955300,0.0,0
2019-07-29,149.3,153.06,145.78,152.22,1349000,0.0,0
2019-07-30,149.6,152.75,146.44,152.44,934500,0.0,0
2019-07-31,152.35,152.81,148.61,150.44,803300,0.0,0
2019-08-01,150.68,151.55,145.07,146.75,876300,0.0,0
2019-08-02,146.3,146.99,145.14,146.04,804800,0.0,0
2019-08-05,144.63,145.55,141.93,142.94,681200,0.0,0
2019-08-06,143.95,146.18,142.6,145.98,784300,0.0,0
2019-08-07,145.64,146.74,143.42,145.73,749700,0.0,0
2019-08-08,146.41,147.28,144.95,146.05,509200,0.0,0
2019-08-09,146.08,147.27,145.13,146.53,379100,0.0,0
2019-08-12,146.6,146.97,144.83,146.28,436700,0.0,0
2019-08-13,146.72,149.81,145.82,148.55,521000,0.0,0
2019-08-14,147.07,147.11,143.98,145.42,586600,0.0,0
2019-08-15,145.6,146.22,144.81,144.96,419600,0.0,0
2019-08-16,145.56,147.65,144.9,146.94,494900,0.0,0
2019-08-19,148.4,148.7,146.74,147.78,337900,0.0,0
2019-08-20,147.12,147.57,145.07,145.23,657300,0.0,0
2019-08-21,146.35,146.91,144.84,146.73,456600,0.0,0
2019-08-22,146.76,147.46,145.49,145.54,422900,0.0,0
2019-08-23,144.79,146.69,142.34,143.08,595600,0.0,0
2019-08-26,144.07,144.4,142.1,143.82,469100,0.0,0
2019-08-27,144.48,144.59,140.23,140.28,511300,0.0,0
2019-08-28,139.63,142.22,139.49,142.2,571500,0.0,0
2019-08-29,143.36,145.17,142.59,143.83,609600,0.0,0
2019-08-30,145.0,145.09,143.62,144.37,592500,0.2,0
2019-09-03,143.41,145.83,143.12,145.7,477000,0.0,0
2019-09-04,146.96,147.64,144.83,146.05,348200,0.0,0
2019-09-05,147.79,148.21,144.53,144.93,884600,0.0,0
2019-09-06,145.63,148.39,144.78,148.05,692400,0.0,0
2019-09-09,148.11,150.27,146.44,149.31,758800,0.0,0
2019-09-10,149.25,155.42,149.0,155.15,1320800,0.0,0
2019-09-11,154.37,156.84,153.15,154.89,1194000,0.0,0
2019-09-12,155.28,155.87,152.42,152.74,848900,0.0,0
2019-09-13,153.44,156.71,151.47,152.3,676100,0.0,0
2019-09-16,151.42,153.89,150.83,153.67,640500,0.0,0
2019-09-17,153.42,153.42,150.14,151.65,800000,0.0,0
2019-09-18,151.52,153.16,150.15,151.77,676000,0.0,0
2019-09-19,151.6,153.05,149.75,149.8,768900,0.0,0
2019-09-20,150.25,151.44,149.02,149.91,1117900,0.0,0
2019-09-23,149.04,150.63,148.47,149.76,579900,0.0,0
2019-09-24,150.06,150.08,147.26,148.24,864100,0.0,0
2019-09-25,148.24,148.95,146.69,147.14,982400,0.0,0
2019-09-26,147.62,148.17,145.58,146.35,990800,0.0,0
2019-09-27,147.06,148.06,146.11,146.62,519000,0.0,0
2019-09-30,146.85,149.3,146.68,148.54,608500,0.0,0
2019-10-01,148.25,150.96,146.24,146.9,491500,0.0,0
2019-10-02,146.03,146.81,144.91,146.02,586600,0.0,0
2019-10-03,145.9,146.43,144.53,145.16,695900,0.0,0
2019-10-04,145.89,146.63,144.14,145.92,563100,0.0,0
2019-10-07,145.6,146.36,144.49,144.86,710200,0.0,0
2019-10-08,144.18,144.49,142.52,143.0,715100,0.0,0
2019-10-09,143.97,145.38,143.72,144.91,364500,0.0,0
2019-10-10,144.62,146.18,144.23,145.62,383300,0.0,0
2019-10-11,146.48,148.81,145.86,145.92,356800,0.0,0
2019-10-14,145.34,145.66,143.75,143.78,339100,0.0,0
2019-10-15,144.61,146.11,144.56,145.04,715100,0.0,0
2019-10-16,145.24,147.11,144.12,144.51,559800,0.0,0
