Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,17.03,17.1,16.74,16.85,1295900,0.0,0
2019-02-06,16.83,16.99,16.75,16.79,2429400,0.0,0
2019-02-07,16.98,17.29,16.84,16.97,1954500,0.0,0
2019-02-08,16.92,17.04,16.63,16.65,1781100,0.0,0
2019-02-11,16.64,16.85,16.57,16.84,1618100,0.0,0
2019-02-12,16.91,17.26,16.91,17.0,2536400,0.0,0
2019-02-13,17.03,17.09,16.91,16.95,1079400,0.0,0
2019-02-14,16.8,16.92,16.7,16.85,1275700,0.0,0
2019-02-15,16.98,17.11,16.69,17.07,1542900,0.0,0
2019-02-19,17.0,17.21,16.98,17.12,2592400,0.0,0
2019-02-20,17.15,17.65,17.06,17.63,5017900,0.0,0
2019-02-21,17.64,17.72,17.28,17.32,1737900,0.0,0
2019-02-22,17.33,17.51,17.24,17.5,1544000,0.0,0
2019-02-25,17.63,17.7,17.29,17.31,1255100,0.0,0
2019-02-26,17.28,17.48,17.08,17.09,1949100,0.0,0
2019-02-27,17.1,17.6,17.04,17.31,1406500,0.0,0
2019-02-28,17.33,17.42,17.24,17.29,1185800,0.0,0
2019-03-01,17.41,17.51,17.13,17.31,1046300,0.0,0
2019-03-04,17.34,17.45,17.07,17.26,950900,0.0,0
2019-03-05,17.25,17.52,17.01,17.34,1641400,0.0,0
2019-03-06,17.31,17.36,16.86,16.87,1566300,0.0,0
2019-03-07,16.85,16.85,16.58,16.67,1572500,0.0,0
2019-03-08,16.56,16.91,16.49,16.85,1293600,0.0,0
2019-03-11,16.9,16.9,16.67,16.76,2516500,0.0,0
2019-03-12,16.82,16.84,16.65,16.79,1059300,0.0,0
2019-03-13,16.84,16.89,16.72,16.73,1316000,0.0,0
2019-03-14,16.77,16.91,16.66,16.87,1980400,0.0,0
2019-03-15,16.85,16.99,16.66,16.71,3717600,0.0,0
2019-03-18,16.77,17.07,16.75,17.05,1755100,0.0,0
2019-03-19,17.15,17.15,16.41,16.46,1462300,0.0,0
2019-03-20,16.48,16.62,15.86,15.91,2368000,0.0,0
2019-03-21,15.83,16.02,15.62,15.72,1895000,0.0,0
2019-03-22,15.6,15.67,14.86,15.21,3746200,0.0,0
2019-03-25,15.23,15.37,14.98,15.27,2415500,0.0,0
2019-03-26,15.38,15.78,15.38,15.77,2070400,0.0,0
2019-03-27,15.71,15.87,15.63,15.82,1463600,0.0,0
2019-03-28,15.88,16.15,15.78,16.07,2775700,0.21,0
2019-03-29,16.23,16.29,15.82,15.89,1820000,0.0,0
2019-04-01,16.07,16.45,16.03,16.44,1612400,0.0,0
2019-04-02,16.44,16.54,16.28,16.35,1565800,0.0,0
2019-04-03,16.57,16.63,16.32,16.37,1389600,0.0,0
