Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,157.26,157.83,156.52,157.79,3357100,0.0,0
2019-02-06,157.5,158.49,156.81,157.24,2379600,0.0,0
2019-02-07,155.97,158.08,155.47,158.05,3056300,0.0,0
2019-02-08,157.07,158.24,156.79,158.2,2986300,0.0,0
2019-02-11,159.17,161.05,158.85,160.77,4044800,0.0,0
2019-02-12,161.41,164.39,161.29,163.41,3781800,0.0,0
2019-02-13,163.23,165.49,162.97,165.2,3886900,0.0,0
2019-02-14,164.05,166.81,163.87,165.94,4157500,0.0,0
2019-02-15,167.15,167.62,166.04,166.53,3270900,0.0,0
2019-02-19,165.63,168.69,165.37,167.6,3889700,0.0,0
2019-02-20,167.74,168.19,167.04,167.27,3063600,0.0,0
2019-02-21,167.52,168.09,165.84,166.47,3056700,0.0,0
2019-02-22,166.2,166.64,164.44,166.36,4345600,0.0,0
2019-02-25,167.02,167.02,164.89,165.86,4804200,0.0,0
2019-02-26,165.85,167.5,165.05,166.45,3635200,0.0,0
2019-02-27,166.16,167.7,165.01,166.24,2544000,0.88,0
2019-02-28,166.35,166.37,164.73,164.9,3650700,0.0,0
2019-03-01,166.46,166.71,164.01,164.65,3116100,0.0,0
2019-03-04,164.55,167.27,163.23,164.58,4341000,0.0,0
2019-03-05,164.91,166.37,164.0,164.0,2794900,0.0,0
2019-03-06,164.13,164.42,162.72,163.14,3067800,0.0,0
2019-03-07,162.98,163.34,161.42,162.19,4141500,0.0,0
2019-03-08,160.94,161.74,159.11,161.56,2884600,0.0,0
2019-03-11,161.36,164.16,160.95,162.84,4051600,0.0,0
2019-03-12,163.22,163.98,161.78,162.08,4723500,0.0,0
2019-03-13,163.33,166.1,162.43,164.05,3855100,0.0,0
2019-03-14,164.39,164.54,161.85,162.41,3762100,0.0,0
2019-03-15,161.75,163.83,161.47,162.25,9732400,0.0,0
2019-03-18,162.25,164.77,161.87,163.47,4071700,0.0,0
2019-03-19,163.1,163.16,157.64,158.07,5728000,0.0,0
2019-03-20,158.42,159.72,157.49,158.31,3802400,0.0,0
2019-03-21,157.25,160.55,156.84,159.9,3316700,0.0,0
2019-03-22,159.39,159.73,157.39,157.94,3556700,0.0,0
2019-03-25,158.03,160.97,157.92,158.81,3137200,0.0,0
2019-03-26,160.34,160.34,157.59,159.11,2628200,0.0,0
2019-03-27,158.99,160.87,158.81,160.29,2871900,0.0,0
2019-03-28,161.03,162.72,161.03,162.44,2829600,0.0,0
2019-03-29,163.41,165.33,163.04,164.41,3646900,0.0,0
2019-04-01,166.12,168.41,165.72,168.07,3372000,0.0,0
2019-04-02,167.82,168.43,166.31,166.95,2259900,0.0,0
2019-04-03,167.52,168.17,166.12,166.78,2669100,0.0,0
2019-04-04,166.46,167.33,165.5,165.97,2788600,0.0,0
2019-04-05,166.34,167.15,165.7,165.91,2214400,0.0,0
2019-04-08,165.61,165.99,164.59,165.88,2580800,0.0,0
2019-04-09,164.76,164.76,163.0,163.32,3025000,0.0,0
2019-04-10,164.08,164.5,162.22,163.57,3551500,0.0,0
2019-04-11,163.82,164.24,162.5,163.89,2378400,0.0,0
2019-04-12,164.99,166.81,164.21,166.67,3091700,0.0,0
2019-04-15,166.67,167.4,164.22,164.83,3052600,0.0,0
2019-04-16,164.98,165.54,164.15,165.18,2361400,0.0,0
2019-04-17,168.26,169.42,165.86,166.46,5437200,0.0,0
2019-04-18,172.28,174.8,171.69,173.71,8684600,0.0,0
2019-04-22,173.76,176.55,173.18,174.75,4969700,0.0,0
2019-04-23,174.29,174.52,172.41,173.78,3284900,0.0,0
2019-04-24,174.58,176.11,173.78,173.89,2859000,0.0,0
2019-04-25,172.22,174.18,171.23,172.56,2199900,0.0,0
2019-04-26,172.63,174.3,172.21,174.26,2234100,0.0,0
2019-04-29,174.12,174.78,173.38,173.47,1836400,0.0,0
2019-04-30,173.14,174.7,171.94,174.09,2444100,0.0,0
2019-05-01,174.06,175.05,172.13,172.43,2601300,0.0,0
2019-05-02,171.65,173.03,170.91,172.96,2313300,0.0,0
2019-05-03,174.92,177.02,174.58,176.21,2729500,0.0,0
2019-05-06,173.31,176.63,172.75,174.2,2706000,0.0,0
2019-05-07,171.92,172.79,169.45,171.83,4547300,0.0,0
2019-05-08,171.96,174.21,171.63,172.65,2314500,0.0,0
2019-05-09,171.1,173.11,169.83,172.7,2138400,0.0,0
2019-05-10,171.42,173.32,168.94,172.98,2659600,0.0,0
2019-05-13,169.5,170.48,167.29,168.92,3649500,0.0,0
2019-05-14,169.61,173.25,169.57,171.58,2560600,0.0,0
2019-05-15,170.61,171.92,169.5,170.87,4089200,0.0,0
