Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,21.43,21.57,21.23,21.56,1238200,0,0
2019-02-06,21.44,21.76,21.23,21.75,1622800,0,0
2019-02-07,21.68,21.69,20.78,21.1,2523700,0,0
2019-02-08,19.54,21.65,19.54,21.35,4364000,0,0
2019-02-11,21.35,22.79,21.01,22.62,3931500,0,0
2019-02-12,22.79,23.19,22.49,23.08,1920500,0,0
2019-02-13,23.2,23.4,23.06,23.15,1569700,0,0
2019-02-14,23.0,23.83,23.0,23.45,1706900,0,0
2019-02-15,23.55,23.86,23.44,23.58,1352900,0,0
2019-02-19,23.48,23.99,23.37,23.7,1388800,0,0
2019-02-20,23.69,24.02,23.62,23.88,851500,0,0
2019-02-21,23.77,23.95,23.43,23.59,782100,0,0
2019-02-22,23.63,23.8,23.48,23.58,925200,0,0
2019-02-25,23.78,23.89,23.47,23.48,838600,0,0
2019-02-26,23.4,23.71,23.33,23.39,1018600,0,0
2019-02-27,23.25,23.56,23.24,23.29,1090600,0,0
2019-02-28,23.28,23.31,22.47,22.61,2297600,0,0
2019-03-01,22.68,24.02,22.68,23.9,4658200,0,0
2019-03-04,23.98,23.98,22.07,22.75,3435400,0,0
2019-03-05,22.85,23.5,22.71,23.13,1923900,0,0
2019-03-06,23.02,23.17,22.48,22.89,1846400,0,0
2019-03-07,22.77,22.94,22.39,22.8,1947900,0,0
2019-03-08,22.56,22.67,22.12,22.58,1712300,0,0
2019-03-11,22.58,22.85,22.14,22.33,1778600,0,0
2019-03-12,22.39,22.74,21.96,22.68,1734700,0,0
2019-03-13,22.82,23.09,22.8,22.9,1221900,0,0
2019-03-14,22.81,22.91,22.67,22.78,624900,0,0
2019-03-15,22.69,23.05,22.59,22.91,5076100,0,0
2019-03-18,22.92,23.05,22.77,23.01,802500,0,0
2019-03-19,22.97,23.0,22.15,22.21,1968500,0,0
2019-03-20,22.15,22.28,21.75,21.99,1024800,0,0
2019-03-21,21.93,22.6,21.84,22.22,4713600,0,0
2019-03-22,22.14,22.14,21.03,21.06,1295300,0,0
2019-03-25,20.94,21.14,20.75,20.91,3448900,0,0
2019-03-26,21.15,21.15,20.83,20.95,1681500,0,0
2019-03-27,20.99,21.14,20.59,20.75,1944500,0,0
2019-03-28,20.78,21.59,20.76,21.53,3477400,0,0
2019-03-29,21.77,22.36,21.62,22.16,3010000,0,0
2019-04-01,22.28,22.6,21.97,22.15,3068900,0,0
2019-04-02,22.25,22.47,22.01,22.27,2164000,0,0
2019-04-03,22.38,22.59,22.19,22.23,1988800,0,0
2019-04-04,22.25,22.71,22.25,22.4,1464500,0,0
2019-04-05,22.5,22.75,22.43,22.7,1202800,0,0
2019-04-08,22.3,22.74,22.25,22.53,1249700,0,0
2019-04-09,22.35,22.41,22.09,22.1,972800,0,0
2019-04-10,22.09,22.31,21.86,22.23,639600,0,0
2019-04-11,22.26,22.44,22.11,22.2,522900,0,0
2019-04-12,22.37,22.63,22.33,22.55,1096000,0,0
2019-04-15,22.58,22.73,22.14,22.28,1063500,0,0
2019-04-16,22.35,22.66,22.29,22.57,479000,0,0
2019-04-17,22.37,22.71,22.34,22.43,1241400,0,0
2019-04-18,22.51,22.51,21.94,21.98,1645700,0,0
2019-04-22,21.96,22.13,21.8,21.91,948500,0,0
2019-04-23,22.0,22.21,21.89,22.2,2366500,0,0
2019-04-24,22.19,22.41,21.98,22.19,1966100,0,0
2019-04-25,22.17,22.35,21.89,22.01,1155200,0,0
2019-04-26,21.94,22.27,21.9,22.15,868300,0,0
2019-04-29,22.19,22.67,22.16,22.47,1564300,0,0
2019-04-30,22.46,22.62,22.04,22.33,2659000,0,0
2019-05-01,22.4,22.46,21.97,21.99,1363400,0,0
2019-05-02,21.85,22.05,21.51,21.78,1632700,0,0
2019-05-03,21.92,22.34,21.8,22.33,887900,0,0
2019-05-06,21.82,22.13,21.61,21.9,1469400,0,0
2019-05-07,21.6,21.69,21.22,21.31,1420300,0,0
2019-05-08,21.32,21.51,21.24,21.34,1159000,0,0
2019-05-09,21.1,22.36,21.0,22.07,3140300,0,0
2019-05-10,22.15,23.07,22.08,22.94,2840800,0,0
2019-05-13,22.41,22.44,21.65,21.72,1936300,0,0
2019-05-14,22.11,22.62,22.1,22.46,2757600,0,0
2019-05-15,22.19,23.17,21.96,22.15,2689900,0,0
2019-05-16,22.25,22.75,22.21,22.47,1619000,0,0
2019-05-17,22.26,22.57,22.1,22.13,1232500,0,0
2019-05-20,21.89,22.07,21.83,21.9,1075900,0,0
2019-05-21,22.1,22.41,22.1,22.37,1538300,0,0
2019-05-22,22.16,22.34,22.05,22.27,886300,0,0
2019-05-23,21.96,22.31,21.87,22.03,1464400,0,0
2019-05-24,22.16,22.22,21.97,21.97,2568600,0,0
2019-05-28,21.96,22.13,21.5,21.57,2178000,0,0
2019-05-29,21.45,21.45,20.61,20.99,2406300,0,0
2019-05-30,21.01,21.32,20.73,20.86,1624800,0,0
2019-05-31,20.58,20.58,19.95,20.01,2733600,0,0
2019-06-03,20.01,20.66,20.01,20.52,2085500,0,0
2019-06-04,20.79,21.81,20.79,21.78,2043000,0,0
2019-06-05,21.98,22.07,21.46,21.71,1163500,0,0
2019-06-06,21.64,21.74,21.18,21.51,1277500,0,0
2019-06-07,21.58,21.83,21.42,21.54,2279000,0,0
2019-06-10,21.66,22.02,21.64,21.78,985000,0,0
2019-06-11,22.02,22.1,21.55,21.62,1407700,0,0
2019-06-12,21.64,21.64,21.17,21.34,1317900,0,0
2019-06-13,21.45,21.7,21.39,21.61,1456800,0,0
2019-06-14,21.29,21.56,20.95,21.16,2618800,0,0
2019-06-17,21.13,21.25,20.94,21.04,1325100,0,0
2019-06-18,21.22,21.58,21.15,21.41,1933700,0,0
2019-06-19,21.42,21.9,21.33,21.5,1650500,0,0
2019-06-20,21.87,22.04,21.32,21.52,1352800,0,0
2019-06-21,21.42,21.53,21.16,21.31,1604500,0,0
2019-06-24,21.34,21.44,20.97,20.98,1582100,0,0
2019-06-25,21.01,21.14,20.84,21.0,1619600,0,0
2019-06-26,21.07,21.29,21.05,21.19,974000,0,0
2019-06-27,21.22,21.78,21.18,21.61,2890200,0,0
2019-06-28,21.7,22.11,21.56,22.04,3523800,0,0
2019-07-01,22.5,22.7,21.9,22.2,1620200,0,0
2019-07-02,22.16,22.18,21.51,21.71,1581600,0,0
2019-07-03,21.75,21.9,21.63,21.77,357700,0,0
2019-07-05,21.65,21.9,21.52,21.88,300100,0,0
2019-07-08,21.74,21.92,21.17,21.23,1657400,0,0
2019-07-09,21.11,21.25,20.98,21.21,1065900,0,0
2019-07-10,21.23,21.42,21.14,21.17,929700,0,0
2019-07-11,21.1,21.1,20.7,21.04,1184400,0,0
2019-07-12,21.06,21.45,21.03,21.44,1062200,0,0
2019-07-15,21.44,21.44,21.09,21.31,1308600,0,0
2019-07-16,21.28,21.67,21.07,21.16,3520700,0,0
2019-07-17,21.12,21.2,20.59,20.69,1844000,0,0
2019-07-18,20.58,20.6,20.21,20.54,2571000,0,0
2019-07-19,20.66,20.71,20.46,20.51,1046900,0,0
2019-07-22,20.56,20.6,20.41,20.47,859000,0,0
2019-07-23,20.61,21.44,20.51,21.4,1966200,0,0
2019-07-24,21.35,22.32,21.32,22.22,2679000,0,0
2019-07-25,22.19,22.19,21.86,22.13,1452700,0,0
2019-07-26,22.16,22.38,21.96,22.27,1212500,0,0
2019-07-29,22.25,22.38,22.12,22.18,956300,0,0
2019-07-30,22.01,22.36,21.84,22.36,1210900,0,0
2019-07-31,22.33,22.57,21.94,22.12,1428900,0,0
2019-08-01,22.1,22.16,21.2,21.37,2010200,0,0
2019-08-02,21.23,21.23,20.6,20.89,2564600,0,0
2019-08-05,20.28,21.18,19.4,20.51,3022300,0,0
2019-08-06,20.56,20.56,19.48,19.71,3130500,0,0
2019-08-07,19.54,20.06,19.17,20.02,2375200,0,0
2019-08-08,20.44,21.02,20.42,20.78,3086100,0,0
2019-08-09,20.85,20.85,20.22,20.24,1369000,0,0
2019-08-12,20.12,20.12,19.23,19.25,1122800,0,0
2019-08-13,19.42,20.08,19.15,19.36,2507300,0,0
2019-08-14,19.08,19.08,18.73,18.84,2895300,0,0
2019-08-15,18.8,18.81,18.38,18.75,3351300,0,0
2019-08-16,18.85,19.15,18.75,18.95,1259700,0,0
2019-08-19,19.27,19.3,19.07,19.17,1287100,0,0
2019-08-20,19.13,19.13,18.78,18.97,1158300,0,0
2019-08-21,19.08,19.17,18.91,19.0,880800,0,0
2019-08-22,19.06,19.27,18.85,18.9,890500,0,0
2019-08-23,18.68,18.73,18.02,18.18,1437100,0,0
2019-08-26,18.35,18.35,18.1,18.24,1119400,0,0
2019-08-27,18.37,18.49,17.85,18.0,530600,0,0
2019-08-28,17.99,18.38,17.78,18.27,782400,0,0
2019-08-29,18.49,18.92,18.49,18.67,3107700,0,0
2019-08-30,18.85,19.41,18.85,19.35,1548100,0,0
2019-09-03,19.04,19.14,18.56,18.93,920500,0,0
2019-09-04,19.24,19.41,19.08,19.38,1971600,0,0
2019-09-05,19.65,20.4,19.65,20.3,2447700,0,0
2019-09-06,20.29,20.49,20.09,20.26,2451900,0,0
2019-09-09,20.37,21.0,20.35,20.99,1907200,0,0
2019-09-10,20.98,21.91,20.98,21.86,2913600,0,0
2019-09-11,22.06,22.44,21.84,22.44,2197300,0,0
2019-09-12,22.0,23.05,21.98,22.61,2134600,0,0
2019-09-13,22.87,23.17,22.52,22.6,1743000,0,0
2019-09-16,22.44,22.97,22.32,22.39,2335100,0,0
2019-09-17,22.25,22.73,22.01,22.68,1541000,0,0
2019-09-18,22.56,22.75,22.33,22.74,1585700,0,0
2019-09-19,22.7,22.73,22.04,22.1,1169000,0,0
2019-09-20,22.14,22.23,21.91,22.0,1522400,0,0
2019-09-23,21.8,22.1,21.71,21.86,2191500,0,0
2019-09-24,20.89,21.15,20.28,20.59,4990100,0,0
2019-09-25,20.72,20.88,20.27,20.61,3247900,0,0
2019-09-26,20.52,20.66,20.11,20.35,2333200,0,0
2019-09-27,20.43,20.74,20.3,20.51,1113100,0,0
2019-09-30,20.56,20.84,20.48,20.76,1285200,0,0
2019-10-01,20.98,21.01,20.08,20.2,2648400,0,0
2019-10-02,19.95,20.08,19.75,19.96,1796300,0,0
2019-10-03,19.84,20.19,19.56,20.18,1697800,0,0
2019-10-04,20.24,20.43,20.06,20.08,1943900,0,0
2019-10-07,20.04,20.4,19.98,20.17,2161300,0,0
2019-10-08,19.96,20.02,19.58,19.65,1422200,0,0
2019-10-09,19.92,19.93,19.63,19.8,568500,0,0
2019-10-10,19.85,20.08,19.73,19.88,1565200,0,0
2019-10-11,20.44,20.91,20.25,20.82,1805400,0,0
2019-10-14,20.65,20.99,20.42,20.8,1293900,0,0
2019-10-15,20.89,21.17,20.73,21.05,853800,0,0
2019-10-16,21.07,21.26,20.85,20.89,897900,0,0
2019-10-17,21.0,21.19,20.83,21.01,1400300,0,0
2019-10-18,20.94,21.03,20.86,20.9,708900,0,0
2019-10-21,21.1,21.59,21.07,21.5,1368400,0,0
2019-10-22,21.48,21.53,20.97,21.29,1393300,0,0
2019-10-23,21.26,21.56,21.05,21.4,1951100,0,0
2019-10-24,21.48,21.59,20.96,21.26,1938100,0,0
2019-10-25,21.11,21.74,21.11,21.65,1200500,0,0
2019-10-28,21.86,22.06,21.79,21.9,1411400,0,0
2019-10-29,21.86,22.18,21.72,22.01,1050000,0,0
2019-10-30,21.95,21.95,21.42,21.75,838800,0,0
2019-10-31,21.6,21.63,21.2,21.46,730500,0,0
2019-11-01,21.67,22.08,21.55,21.94,2187600,0,0
2019-11-04,22.23,22.45,22.05,22.35,2997400,0,0
2019-11-05,23.0,24.37,22.26,24.08,7767600,0,0
2019-11-06,24.07,24.13,23.74,23.82,2140400,0,0
2019-11-07,24.11,24.46,23.99,24.06,4277100,0,0
2019-11-08,24.0,24.18,23.86,23.96,2598500,0,0
2019-11-11,23.77,24.03,23.62,23.87,2030600,0,0
2019-11-12,23.91,24.11,23.66,23.67,1182700,0,0
2019-11-13,23.52,23.54,23.11,23.13,1402800,0,0
2019-11-14,23.1,23.33,22.96,23.06,1311200,0,0
2019-11-15,23.29,23.65,23.08,23.61,1355500,0,0
2019-11-18,23.51,23.52,23.07,23.17,611700,0,0
2019-11-19,23.26,23.37,22.79,22.85,1368900,0,0
2019-11-20,22.73,23.14,22.68,22.78,914500,0,0
2019-11-21,22.79,22.85,22.45,22.78,621100,0,0
2019-11-22,22.9,23.27,22.82,23.26,1095700,0,0
2019-11-25,23.35,23.83,23.14,23.79,1482200,0,0
2019-11-26,23.7,23.94,23.61,23.68,1359600,0,0
2019-11-27,23.79,23.96,23.62,23.85,778000,0,0
2019-11-29,23.68,23.71,23.39,23.42,597100,0,0
2019-12-02,23.51,23.7,23.04,23.12,845300,0,0
2019-12-03,22.74,22.93,22.51,22.7,903200,0,0
2019-12-04,22.88,23.3,22.88,22.89,832500,0,0
2019-12-05,23.06,23.16,22.84,23.15,619500,0,0
2019-12-06,23.56,24.05,23.56,23.98,2498400,0,0
2019-12-09,23.88,23.99,23.7,23.71,1270200,0,0
2019-12-10,23.62,23.81,23.37,23.58,1777200,0,0
2019-12-11,23.54,23.77,23.45,23.68,759200,0,0
2019-12-12,23.73,24.41,23.63,24.39,1618900,0,0
2019-12-13,24.3,24.77,24.13,24.26,2027300,0,0
2019-12-16,24.46,24.7,24.16,24.24,2450100,0,0
2019-12-17,24.15,24.29,23.92,23.99,860400,0,0
2019-12-18,23.98,24.01,23.75,23.93,659500,0,0
2019-12-19,24.0,24.15,23.86,24.05,690800,0,0
2019-12-20,24.01,24.26,23.96,24.2,2458900,0,0
2019-12-23,24.32,24.47,24.1,24.42,573300,0,0
2019-12-24,24.53,24.56,24.39,24.45,416600,0,0
2019-12-26,24.49,24.49,24.15,24.43,1157700,0,0
2019-12-27,24.45,24.58,24.2,24.22,866600,0,0
2019-12-30,24.25,24.34,24.02,24.11,830400,0,0
2019-12-31,24.06,24.47,23.94,24.24,1891700,0,0
2020-01-02,24.39,24.58,24.1,24.35,1646400,0,0
2020-01-03,23.95,24.07,23.83,24.01,936200,0,0
2020-01-06,23.81,24.03,23.69,23.98,1048300,0,0
2020-01-07,23.82,23.99,23.58,23.68,2144000,0,0
2020-01-08,23.75,23.84,23.51,23.63,759100,0,0
2020-01-09,23.75,23.96,23.59,23.85,1721500,0,0
2020-01-10,23.95,24.02,23.73,23.82,846500,0,0
2020-01-13,23.82,23.98,23.48,23.66,1169200,0,0
2020-01-14,23.56,23.85,23.54,23.59,1121100,0,0
2020-01-15,23.59,23.88,23.44,23.55,656100,0,0
2020-01-16,23.7,23.91,23.66,23.71,924200,0,0
2020-01-17,23.82,23.82,23.35,23.46,977100,0,0
2020-01-21,23.25,23.27,22.95,23.02,1190800,0,0
2020-01-22,23.05,23.1,22.78,22.81,657000,0,0
2020-01-23,22.6,22.69,22.0,22.59,1620500,0,0
2020-01-24,22.61,22.63,22.0,22.15,637600,0,0
2020-01-27,21.68,22.16,21.6,21.97,1161600,0,0
2020-01-28,22.12,22.24,21.83,22.19,871500,0,0
2020-01-29,22.29,22.69,22.21,22.52,1160000,0,0
2020-01-30,22.32,22.53,21.81,22.06,1337800,0,0
2020-01-31,21.96,22.14,21.4,21.55,1560500,0,0
2020-02-03,21.69,21.95,21.54,21.86,1808600,0,0
