Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,103.19,104.06,102.45,104.01,3690400,0.0,0
2019-02-06,103.81,105.15,103.54,105.13,4490600,0.0,0
2019-02-07,104.68,105.26,103.75,104.28,3395700,0.0,0
2019-02-08,103.75,104.45,103.12,104.44,2951000,0.0,0
2019-02-11,104.54,105.32,104.23,105.24,2765300,0.0,0
2019-02-12,105.85,107.03,105.85,106.91,2881600,0.0,0
2019-02-13,107.24,108.26,106.73,108.21,2731500,0.0,0
2019-02-14,107.63,108.37,106.86,108.01,2359400,0.0,0
2019-02-15,107.17,108.15,105.9,107.11,4273400,0.0,0
2019-02-19,107.14,107.96,106.44,107.01,2658700,0.0,0
2019-02-20,107.17,107.39,106.66,107.3,3346700,0.0,0
2019-02-21,107.01,108.47,106.96,107.97,2260100,0.0,0
2019-02-22,108.1,108.1,104.19,106.62,4085000,0.0,0
2019-02-25,107.11,108.4,106.86,108.04,3112700,0.96,0
2019-02-26,107.91,109.06,107.86,108.22,2927600,0.0,0
2019-02-27,108.11,108.37,107.61,108.3,2620800,0.0,0
2019-02-28,107.92,108.27,107.19,107.4,2843600,0.0,0
2019-03-01,108.12,109.51,107.54,109.28,3904100,0.0,0
2019-03-04,109.85,110.03,107.02,107.67,2730700,0.0,0
2019-03-05,107.1,108.03,106.24,107.17,3150900,0.0,0
2019-03-06,107.04,107.21,105.58,106.08,2679500,0.0,0
2019-03-07,105.89,106.26,103.52,104.14,3979700,0.0,0
2019-03-08,103.49,104.02,102.27,103.97,2648600,0.0,0
2019-03-11,104.15,106.15,104.08,106.06,2963400,0.0,0
2019-03-12,106.31,107.05,105.86,106.24,2549600,0.0,0
2019-03-13,106.93,108.89,106.79,108.04,3323800,0.0,0
2019-03-14,108.33,108.35,107.28,108.06,2539600,0.0,0
2019-03-15,108.03,108.42,106.64,106.74,4874400,0.0,0
2019-03-18,106.76,108.05,106.72,107.88,2394600,0.0,0
2019-03-19,107.98,108.2,107.31,107.54,2940800,0.0,0
2019-03-20,105.58,106.23,103.79,105.18,4199100,0.0,0
2019-03-21,104.54,107.17,104.21,107.01,1819900,0.0,0
2019-03-22,106.49,106.8,104.57,104.62,2727900,0.0,0
2019-03-25,104.35,104.73,103.64,104.18,2088200,0.0,0
2019-03-26,104.95,106.02,104.55,105.65,2204400,0.0,0
2019-03-27,105.74,106.37,105.41,106.21,1911300,0.0,0
2019-03-28,106.53,107.6,106.25,107.5,1621000,0.0,0
2019-03-29,108.18,109.18,108.11,108.9,3428600,0.0,0
2019-04-01,110.31,111.86,110.03,111.52,3721700,0.0,0
2019-04-02,111.47,111.64,110.23,110.79,2456400,0.0,0
2019-04-03,111.59,112.11,110.98,111.44,2556500,0.0,0
2019-04-04,111.39,111.66,110.6,111.07,2889400,0.0,0
2019-04-05,111.26,111.99,111.14,111.42,2487300,0.0,0
2019-04-08,110.84,111.16,110.44,111.07,1854500,0.0,0
2019-04-09,110.2,110.39,109.55,110.04,2230000,0.0,0
2019-04-10,110.29,110.39,109.45,110.21,1767700,0.0,0
2019-04-11,110.32,110.84,110.01,110.6,2384800,0.0,0
2019-04-12,111.04,111.96,110.58,111.55,2853700,0.0,0
2019-04-15,111.8,111.99,110.34,110.75,1768300,0.0,0
2019-04-16,110.8,111.25,110.51,111.04,2072500,0.0,0
2019-04-17,111.51,111.8,110.92,111.58,2108400,0.0,0
2019-04-18,111.62,111.8,111.17,111.25,1859700,0.0,0
2019-04-22,110.69,110.97,109.99,110.73,2585500,0.0,0
2019-04-23,110.46,111.15,109.95,110.71,2851300,0.0,0
2019-04-24,110.71,112.06,110.57,111.52,3570600,0.0,0
2019-04-25,106.8,107.09,101.55,102.46,10116600,0.0,0
2019-04-26,102.24,102.35,100.58,101.31,5421700,0.0,0
2019-04-29,101.37,102.3,100.4,102.17,4551000,0.0,0
2019-04-30,102.02,103.71,100.68,103.52,5101400,0.0,0
2019-05-01,103.36,103.79,101.61,101.96,2615100,0.0,0
2019-05-02,101.96,103.33,101.45,102.83,2589800,0.0,0
2019-05-03,103.44,104.23,102.64,103.94,3107500,0.0,0
2019-05-06,101.89,103.2,101.37,101.96,2704900,0.0,0
2019-05-07,101.24,101.43,98.53,99.49,4221600,0.0,0
2019-05-08,99.64,100.52,99.16,99.26,2497800,0.0,0
2019-05-09,98.51,98.51,97.23,98.19,3998700,0.0,0
2019-05-10,97.66,98.43,95.93,98.07,3071200,0.0,0
2019-05-13,96.11,96.95,95.38,96.82,3766300,0.0,0
2019-05-14,97.12,98.36,97.03,97.22,2889100,0.0,0
2019-05-15,96.88,99.42,96.36,98.96,3818300,0.0,0
2019-05-16,99.02,100.28,98.41,98.73,3337900,0.0,0
2019-05-17,97.94,99.03,97.41,97.8,2587000,0.96,0
2019-05-20,97.01,97.25,96.3,96.93,2088500,0.0,0
2019-05-21,97.75,98.14,96.95,97.81,1762100,0.0,0
2019-05-22,97.13,97.23,95.87,95.93,2580700,0.0,0
2019-05-23,95.36,95.44,93.62,94.62,3111900,0.0,0
2019-05-24,94.86,95.26,93.81,94.31,2401700,0.0,0
2019-05-28,94.34,94.41,92.56,92.56,3357400,0.0,0
2019-05-29,92.45,93.59,91.54,93.24,3388100,0.0,0
2019-05-30,93.86,94.58,93.49,94.21,2518800,0.0,0
2019-05-31,92.86,93.47,91.16,91.42,4192400,0.0,0
2019-06-03,91.35,93.54,91.34,92.61,4971400,0.0,0
2019-06-04,93.94,96.11,93.17,96.09,5096000,0.0,0
2019-06-05,96.75,97.06,96.01,96.63,2766900,0.0,0
2019-06-06,96.64,96.86,95.86,96.42,2643200,0.0,0
2019-06-07,97.1,97.35,96.47,96.65,2803200,0.0,0
2019-06-10,97.55,98.81,97.33,98.48,3327200,0.0,0
2019-06-11,99.36,99.71,98.25,98.4,3229200,0.0,0
2019-06-12,97.98,98.81,97.77,98.78,2261700,0.0,0
2019-06-13,99.37,100.64,99.33,100.38,2943100,0.0,0
2019-06-14,100.21,100.25,99.03,99.98,1829500,0.0,0
2019-06-17,100.01,100.29,99.34,99.77,2317800,0.0,0
2019-06-18,100.25,101.92,100.0,100.51,2524200,0.0,0
2019-06-19,100.61,100.87,99.34,99.92,2056500,0.0,0
2019-06-20,101.1,102.02,100.76,101.74,2622900,0.0,0
2019-06-21,101.75,101.97,100.5,100.53,5283100,0.0,0
2019-06-24,100.01,100.35,98.06,98.11,3704600,0.0,0
2019-06-25,98.11,98.11,95.43,95.57,5339400,0.0,0
2019-06-26,96.04,98.76,95.58,98.36,4624000,0.0,0
2019-06-27,98.72,100.45,98.56,100.06,2613600,0.0,0
2019-06-28,100.59,101.8,100.59,101.61,3130400,0.0,0
2019-07-01,102.9,103.43,100.73,101.31,2627600,0.0,0
2019-07-02,101.47,101.47,99.69,100.36,2020200,0.0,0
2019-07-03,100.57,101.55,100.22,101.54,1193300,0.0,0
2019-07-05,101.14,101.14,99.62,100.77,1572000,0.0,0
2019-07-08,100.07,101.03,100.07,100.28,1675300,0.0,0
2019-07-09,99.99,100.12,99.53,100.09,1952300,0.0,0
2019-07-10,100.78,100.8,99.63,99.98,1992400,0.0,0
2019-07-11,100.0,101.73,99.83,101.67,1820000,0.0,0
2019-07-12,102.03,104.5,102.03,104.2,3541300,0.0,0
2019-07-15,104.02,104.54,102.87,104.09,2288200,0.0,0
2019-07-16,104.54,105.8,103.86,103.91,2958400,0.0,0
2019-07-17,103.39,103.39,100.45,100.58,3672300,0.0,0
2019-07-18,100.27,101.3,100.18,101.14,2359000,0.0,0
2019-07-19,101.55,103.14,101.5,101.65,3011800,0.0,0
2019-07-22,102.24,102.78,101.97,102.34,2495400,0.0,0
2019-07-23,102.8,103.61,102.34,103.58,3362300,0.0,0
2019-07-24,108.3,113.2,107.85,112.55,12086000,0.0,0
2019-07-25,113.44,116.39,113.03,116.35,8941300,0.0,0
2019-07-26,115.59,119.35,115.55,118.64,8526500,0.0,0
2019-07-29,117.46,117.87,116.2,116.84,4171100,0.0,0
2019-07-30,115.79,118.64,115.27,117.88,3265900,0.0,0
2019-07-31,117.72,119.25,116.29,117.55,4859500,0.0,0
2019-08-01,116.96,118.83,114.69,115.1,5106700,0.0,0
2019-08-02,114.77,116.19,114.43,115.31,3560800,0.0,0
2019-08-05,113.62,113.86,111.8,113.0,4332900,0.0,0
2019-08-06,113.75,114.06,111.76,113.15,4875200,0.0,0
2019-08-07,111.81,113.7,110.41,113.55,3529400,0.0,0
2019-08-08,114.66,115.9,114.38,115.66,2349100,0.0,0
2019-08-09,115.36,115.55,113.58,113.89,2113800,0.0,0
2019-08-12,113.28,114.07,112.62,113.04,1724000,0.0,0
