Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,31.74,31.97,31.24,31.52,3086500,0,0
2019-02-06,31.47,31.57,30.82,31.12,3032800,0,0
2019-02-07,30.99,31.56,30.81,31.54,2297300,0,0
2019-02-08,31.24,31.82,30.54,30.9,3983000,0,0
2019-02-11,30.95,31.29,30.64,31.15,1609000,0,0
2019-02-12,31.32,31.84,31.22,31.36,1354600,0,0
2019-02-13,31.37,31.47,30.37,30.8,1760400,0,0
2019-02-14,30.45,30.93,30.15,30.29,1949000,0,0
2019-02-15,30.43,30.89,30.19,30.23,1914600,0,0
2019-02-19,30.32,30.32,29.87,30.19,1780700,0,0
2019-02-20,30.02,30.64,29.93,30.18,1922800,0,0
2019-02-21,30.18,30.5,29.92,30.02,1908700,0,0
2019-02-22,30.01,30.33,29.84,30.29,1610300,0,0
2019-02-25,30.53,30.9,30.27,30.31,1571600,0,0
2019-02-26,30.32,30.7,30.14,30.19,1076700,0,0
2019-02-27,30.15,31.0,30.15,30.86,2350100,0,0
2019-02-28,30.87,31.11,30.34,30.85,2441000,0,0
2019-03-01,31.31,31.87,30.97,31.13,2778000,0,0
2019-03-04,31.2,31.27,30.13,30.2,2861200,0,0
2019-03-05,30.59,30.74,30.02,30.35,8381000,0,0
2019-03-06,30.72,31.84,30.06,30.32,8656600,0,0
2019-03-07,30.07,30.25,29.3,29.62,3607800,0,0
2019-03-08,29.3,29.46,28.82,29.14,5532300,0,0
2019-03-11,29.31,30.1,28.95,29.92,2966500,0,0
2019-03-12,29.84,29.95,29.4,29.74,1827400,0,0
2019-03-13,29.74,29.9,29.21,29.35,1845800,0,0
2019-03-14,29.18,29.29,28.59,28.86,2045300,0,0
2019-03-15,28.89,28.97,28.51,28.61,2412600,0,0
2019-03-18,28.74,29.18,28.65,29.11,2128200,0,0
2019-03-19,29.23,29.94,28.91,29.59,3277200,0,0
2019-03-20,29.56,29.58,28.57,28.59,2504700,0,0
2019-03-21,28.58,28.61,28.02,28.09,2129300,0,0
2019-03-22,28.0,28.19,27.82,27.92,2449700,0,0
2019-03-25,27.78,28.46,27.6,27.98,2125600,0,0
2019-03-26,27.92,28.36,27.91,28.03,1645100,0,0
