Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,116.9,118.15,116.26,116.95,289700,0,0
2019-02-06,116.95,118.04,115.66,116.5,220900,0,0
2019-02-07,116.35,116.93,114.83,115.3,217700,0,0
2019-02-08,114.89,116.89,114.58,116.48,305800,0,0
2019-02-11,116.67,118.19,116.45,117.5,202600,0,0
2019-02-12,117.91,118.53,116.78,118.11,210300,0,0
2019-02-13,118.47,118.99,117.12,117.78,204800,0,0
2019-02-14,117.65,119.48,117.65,118.54,186100,0,0
2019-02-15,119.05,119.65,118.34,119.63,227100,0,0
2019-02-19,118.91,119.67,117.64,118.77,215500,0,0
2019-02-20,118.83,119.18,117.59,117.89,171300,0,0
2019-02-21,117.49,118.16,116.26,117.02,163900,0,0
2019-02-22,117.58,118.31,116.09,118.3,242700,0,0
2019-02-25,118.82,120.26,118.35,119.87,345300,0,0
2019-02-26,119.6,122.6,119.25,121.95,494200,0,0
2019-02-27,127.53,127.53,119.56,125.54,488200,0,0
2019-02-28,125.34,127.95,124.85,126.29,385600,0,0
2019-03-01,126.65,128.94,126.51,126.84,516100,0,0
2019-03-04,127.76,127.98,119.84,120.12,497800,0,0
2019-03-05,119.82,119.88,115.02,115.4,905400,0,0
2019-03-06,115.02,116.29,111.01,111.19,659900,0,0
2019-03-07,110.98,111.9,109.39,111.06,500300,0,0
2019-03-08,110.72,111.34,109.62,110.61,369100,0,0
2019-03-11,110.69,112.59,110.44,111.83,440100,0,0
2019-03-12,112.51,112.78,110.7,111.36,673800,0,0
2019-03-13,111.77,118.09,111.17,115.56,725000,0,0
2019-03-14,115.42,117.27,114.59,117.03,379600,0,0
2019-03-15,117.12,118.33,116.67,117.76,622500,0,0
2019-03-18,117.76,119.27,116.36,118.85,311000,0,0
2019-03-19,119.3,120.54,118.21,118.65,267300,0,0
2019-03-20,118.86,122.68,118.49,121.24,470800,0,0
2019-03-21,120.84,123.69,119.18,122.99,473500,0,0
2019-03-22,122.61,123.88,120.68,120.8,275500,0,0
2019-03-25,120.9,122.17,119.19,120.29,346500,0,0
2019-03-26,118.83,121.54,116.95,118.07,308600,0,0
2019-03-27,118.16,118.92,116.29,116.53,335500,0,0
2019-03-28,116.81,118.65,116.36,117.21,209300,0,0
2019-03-29,118.25,118.86,116.84,117.37,454800,0,0
2019-04-01,118.54,118.69,117.22,117.92,291100,0,0
2019-04-02,118.15,118.74,116.75,116.82,279300,0,0
2019-04-03,117.42,117.6,116.31,117.39,476600,0,0
2019-04-04,117.62,118.6,116.73,118.49,336400,0,0
2019-04-05,118.9,121.11,118.34,120.81,358600,0,0
2019-04-08,117.45,118.66,113.8,113.92,698800,0,0
2019-04-09,113.33,113.33,110.61,110.65,558800,0,0
2019-04-10,110.66,111.35,110.08,110.81,454400,0,0
2019-04-11,111.2,111.74,109.05,109.91,437000,0,0
2019-04-12,110.39,110.53,106.98,107.91,429400,0,0
2019-04-15,108.16,108.67,107.36,107.98,350600,0,0
2019-04-16,108.6,108.85,106.38,107.0,326300,0,0
2019-04-17,107.19,107.28,100.4,100.65,786100,0,0
2019-04-18,101.36,102.4,98.77,100.34,652200,0,0
2019-04-22,99.91,101.0,98.18,98.84,444500,0,0
2019-04-23,99.56,105.0,99.21,104.31,952400,0,0
2019-04-24,104.21,104.31,102.62,103.5,507800,0,0
2019-04-25,103.27,103.9,100.96,102.04,488500,0,0
2019-04-26,102.18,105.18,101.67,104.89,507800,0,0
2019-04-29,105.46,105.68,101.72,101.89,582800,0,0
2019-04-30,102.19,103.34,100.12,102.57,502200,0,0
2019-05-01,103.45,105.87,98.53,99.3,972800,0,0
2019-05-02,100.1,101.47,99.38,101.25,692900,0,0
2019-05-03,101.39,101.91,97.62,98.64,869400,0,0
2019-05-06,97.75,100.96,97.51,100.64,532100,0,0
2019-05-07,99.95,100.28,98.44,99.49,572900,0,0
2019-05-08,99.14,100.2,95.6,95.71,829800,0,0
2019-05-09,97.73,98.98,94.14,96.68,1024500,0,0
2019-05-10,96.0,96.0,93.27,94.64,688400,0,0
2019-05-13,93.17,93.59,90.04,90.74,643800,0,0
2019-05-14,90.28,91.91,89.57,90.5,830300,0,0
2019-05-15,89.65,90.18,88.25,89.33,666500,0,0
2019-05-16,89.18,89.96,88.26,88.64,891800,0,0
2019-05-17,88.33,91.92,88.23,90.65,682000,0,0
2019-05-20,90.03,90.57,87.76,87.9,726300,0,0
2019-05-21,88.46,89.54,87.9,88.75,684800,0,0
2019-05-22,88.91,89.74,85.94,87.05,568900,0,0
2019-05-23,86.43,86.43,83.96,85.99,918700,0,0
2019-05-24,85.98,88.8,85.8,87.5,900800,0,0
2019-05-28,87.21,87.98,86.08,86.62,3402200,0,0
2019-05-29,86.33,87.34,85.34,86.98,820300,0,0
2019-05-30,86.86,88.6,86.65,86.75,868600,0,0
2019-05-31,85.94,85.94,83.51,83.97,1073200,0,0
2019-06-03,83.71,85.37,82.78,83.74,987600,0,0
2019-06-04,83.52,86.83,83.06,85.93,1265500,0,0
2019-06-05,85.85,85.85,81.77,82.99,1336200,0,0
2019-06-06,82.83,83.82,80.94,81.05,1014500,0,0
2019-06-07,81.82,83.44,80.1,81.98,1066100,0,0
2019-06-10,81.78,83.9,81.36,82.83,741700,0,0
2019-06-11,83.4,83.5,80.48,80.76,936000,0,0
2019-06-12,80.78,81.1,79.4,80.31,822800,0,0
2019-06-13,80.7,81.24,79.5,81.07,804500,0,0
2019-06-14,80.83,80.84,77.78,78.23,829000,0,0
2019-06-17,78.66,79.92,78.24,78.58,688300,0,0
2019-06-18,79.09,81.1,78.4,78.6,676200,0,0
2019-06-19,78.41,78.89,76.96,78.6,811400,0,0
2019-06-20,79.1,80.42,77.43,77.94,649400,0,0
2019-06-21,77.66,78.75,76.52,77.51,768100,0,0
2019-06-24,77.44,77.64,75.72,76.06,680400,0,0
2019-06-25,76.48,79.03,75.85,77.26,906500,0,0
2019-06-26,77.72,78.31,75.96,76.36,524100,0,0
2019-06-27,76.11,78.13,76.11,77.01,534500,0,0
2019-06-28,77.09,78.13,77.02,78.06,676600,0,0
2019-07-01,82.55,82.75,81.38,82.05,838000,0,0
2019-07-02,82.67,82.78,81.18,82.75,786100,0,0
2019-07-03,82.54,82.54,80.33,81.91,824500,0,0
2019-07-05,81.61,82.11,79.69,80.01,492600,0,0
2019-07-08,79.73,79.97,77.31,78.11,848500,0,0
2019-07-09,78.17,81.22,77.96,80.06,502200,0,0
2019-07-10,80.62,80.62,78.21,79.13,511900,0,0
2019-07-11,79.04,79.22,77.27,77.49,536700,0,0
2019-07-12,77.27,78.3,76.06,76.48,321500,0,0
2019-07-15,76.56,76.56,75.31,76.18,324000,0,0
2019-07-16,76.26,76.86,75.55,75.92,402600,0,0
2019-07-17,76.2,76.94,75.45,76.13,347700,0,0
2019-07-18,75.92,76.98,75.66,76.25,487400,0,0
2019-07-19,76.39,77.02,75.14,75.32,930300,0,0
2019-07-22,75.5,75.66,74.65,74.85,359400,0,0
2019-07-23,75.0,75.26,74.31,74.94,328400,0,0
2019-07-24,74.94,76.83,74.47,76.71,475900,0,0
2019-07-25,76.88,78.4,76.72,76.88,550900,0,0
2019-07-26,76.93,78.92,76.87,77.6,578800,0,0
2019-07-29,77.55,78.36,75.75,78.2,454100,0,0
2019-07-30,77.69,80.0,77.52,79.53,518700,0,0
2019-07-31,81.89,83.5,78.62,79.24,930000,0,0
2019-08-01,81.29,85.31,80.93,83.07,1282400,0,0
2019-08-02,82.88,83.9,81.25,83.26,445900,0,0
2019-08-05,82.45,82.66,77.87,79.11,911400,0,0
2019-08-06,79.75,79.75,76.87,78.38,586200,0,0
2019-08-07,77.86,80.1,77.2,79.89,487500,0,0
2019-08-08,80.14,81.73,79.93,81.67,454600,0,0
2019-08-09,81.52,82.77,80.42,81.6,562400,0,0
2019-08-12,81.16,81.5,80.19,81.19,379800,0,0
2019-08-13,80.77,82.55,79.6,80.16,485500,0,0
2019-08-14,79.12,80.84,78.67,79.32,465900,0,0
2019-08-15,79.7,80.54,78.54,79.52,292400,0,0
2019-08-16,80.0,81.83,79.44,81.37,357500,0,0
2019-08-19,82.17,82.87,80.5,81.82,234500,0,0
2019-08-20,81.76,82.48,80.69,81.31,245400,0,0
2019-08-21,81.43,82.82,81.4,82.78,283600,0,0
2019-08-22,83.13,83.27,81.15,82.85,286400,0,0
2019-08-23,82.53,83.81,80.33,80.71,273600,0,0
2019-08-26,81.11,81.59,79.87,81.5,333700,0,0
2019-08-27,81.84,82.88,79.28,80.01,461400,0,0
2019-08-28,79.82,81.61,79.25,81.05,261300,0,0
2019-08-29,81.48,82.94,81.16,82.73,203100,0,0
2019-08-30,83.14,84.25,82.4,82.56,392900,0,0
2019-09-03,82.53,82.97,80.06,81.03,452400,0,0
2019-09-04,82.05,82.35,79.61,80.81,763400,0,0
2019-09-05,81.67,81.8,80.15,81.05,563300,0,0
2019-09-06,81.0,81.22,79.84,80.44,396900,0,0
2019-09-09,80.43,80.43,78.96,80.1,601900,0,0
2019-09-10,79.89,81.9,78.97,81.83,526800,0,0
2019-09-11,81.72,83.07,80.6,82.92,408500,0,0
2019-09-12,83.02,83.48,79.26,79.82,480700,0,0
2019-09-13,80.33,83.14,79.98,80.69,637700,0,0
2019-09-16,80.55,83.89,79.71,83.53,424600,0,0
2019-09-17,83.48,86.19,81.72,85.87,726000,0,0
2019-09-18,86.11,86.35,83.7,84.2,443100,0,0
2019-09-19,84.68,87.85,84.68,85.92,533800,0,0
2019-09-20,86.49,87.08,84.77,85.99,714300,0,0
2019-09-23,86.01,86.3,84.76,85.08,350900,0,0
2019-09-24,85.53,85.87,84.53,85.43,594000,0,0
2019-09-25,85.42,86.48,84.73,85.0,413700,0,0
2019-09-26,85.15,85.15,81.76,82.2,476800,0,0
2019-09-27,82.14,82.77,80.2,80.84,534800,0,0
2019-09-30,80.84,81.11,78.45,79.75,552200,0,0
2019-10-01,80.2,80.67,77.51,78.36,580800,0,0
2019-10-02,78.03,79.8,77.3,79.42,668200,0,0
2019-10-03,79.11,79.7,77.85,78.31,377300,0,0
2019-10-04,78.45,79.46,76.33,79.19,473900,0,0
2019-10-07,79.01,80.77,78.51,79.95,502900,0,0
2019-10-08,79.6,80.05,78.16,78.71,344000,0,0
2019-10-09,78.95,80.64,78.54,79.71,480600,0,0
2019-10-10,80.11,81.37,79.45,80.75,318000,0,0
2019-10-11,81.24,83.02,81.24,81.89,267100,0,0
2019-10-14,81.59,82.41,80.82,81.25,313700,0,0
2019-10-15,81.26,82.27,81.26,81.97,496000,0,0
